x	y	z	Processing of Capped Intronless Pre-mRNA
239	272	24	1
248	286	24	2
239	287	24	2
244	287	24	2
249	288	24	2
244	289	24	1
235	270	25	1
238	270	25	1
230	272	25	1
233	272	25	1
238	273	25	1
234	274	25	1
234	276	25	2
236	276	25	1
231	277	25	2
231	278	25	1
232	278	25	1
232	279	25	1
233	279	25	1
234	280	25	1
236	280	25	1
239	280	25	1
241	280	25	2
245	280	25	1
235	281	25	1
240	281	25	1
241	281	25	1
235	282	25	2
237	282	25	1
238	282	25	2
245	282	25	1
247	282	25	1
232	283	25	1
237	283	25	1
238	283	25	2
243	283	25	1
246	283	25	2
249	283	25	1
236	284	25	1
237	284	25	1
241	284	25	1
245	284	25	2
247	284	25	1
249	284	25	1
250	284	25	1
235	285	25	1
236	285	25	1
239	285	25	1
241	285	25	1
244	285	25	1
246	285	25	1
248	285	25	1
250	285	25	1
252	285	25	1
232	286	25	1
233	286	25	1
243	286	25	1
237	287	25	2
242	288	25	1
250	288	25	1
226	289	25	1
235	289	25	1
236	289	25	1
237	289	25	1
242	289	25	1
244	289	25	1
236	290	25	1
246	290	25	1
249	290	25	1
226	291	25	1
238	291	25	2
227	292	25	1
235	292	25	2
239	292	25	1
244	292	25	1
239	293	25	1
240	294	25	1
243	294	25	1
246	294	25	1
234	295	25	1
240	295	25	1
243	295	25	1
245	295	25	1
238	296	25	1
242	296	25	1
244	296	25	1
240	298	25	1
241	299	25	1
243	299	25	2
227	300	25	1
238	300	25	1
239	300	25	1
229	264	26	2
232	265	26	2
235	267	26	1
235	268	26	1
241	268	26	1
237	269	26	1
227	270	26	1
235	271	26	2
223	272	26	1
230	272	26	1
234	272	26	1
236	273	26	1
249	273	26	1
238	274	26	1
233	275	26	1
248	275	26	1
250	275	26	1
233	276	26	2
237	276	26	1
239	276	26	1
244	276	26	2
248	276	26	1
250	276	26	1
207	277	26	1
231	277	26	2
236	277	26	1
233	278	26	1
235	278	26	2
236	278	26	1
237	278	26	1
249	278	26	1
207	279	26	1
231	279	26	2
236	279	26	1
237	279	26	2
239	279	26	1
246	279	26	1
250	279	26	2
232	280	26	1
238	280	26	1
247	280	26	1
231	281	26	1
234	281	26	1
236	281	26	1
237	281	26	2
244	281	26	1
247	281	26	1
248	281	26	1
250	281	26	1
208	282	26	1
212	282	26	1
233	282	26	1
237	282	26	4
238	282	26	1
245	282	26	1
238	283	26	1
248	283	26	1
214	284	26	1
232	284	26	1
233	284	26	3
234	284	26	3
235	284	26	1
241	284	26	1
246	284	26	1
248	284	26	1
252	284	26	1
232	285	26	1
235	285	26	2
236	285	26	1
240	285	26	1
245	285	26	1
246	285	26	1
247	285	26	2
253	285	26	1
254	285	26	2
233	286	26	1
240	286	26	1
241	286	26	1
243	286	26	1
248	286	26	1
252	286	26	1
234	287	26	1
247	287	26	1
232	288	26	1
236	288	26	1
253	288	26	1
231	289	26	1
234	289	26	2
235	289	26	1
238	289	26	1
240	289	26	1
242	289	26	1
252	289	26	1
227	290	26	1
238	290	26	1
243	290	26	1
244	290	26	1
250	290	26	1
226	291	26	1
229	291	26	1
232	291	26	1
235	291	26	1
236	291	26	1
237	291	26	1
239	291	26	1
245	291	26	1
246	291	26	1
225	292	26	1
227	292	26	2
237	292	26	1
240	292	26	2
251	292	26	1
234	293	26	1
247	293	26	1
237	294	26	2
239	294	26	1
241	294	26	1
245	294	26	1
222	295	26	1
242	295	26	2
244	295	26	1
245	295	26	2
248	295	26	1
235	296	26	1
240	296	26	2
242	296	26	2
243	296	26	1
236	297	26	1
242	297	26	1
246	297	26	2
239	298	26	2
246	298	26	1
239	299	26	2
182	255	27	1
184	255	27	1
215	258	27	1
232	258	27	1
180	259	27	1
184	259	27	1
228	259	27	1
229	259	27	2
184	260	27	3
226	260	27	1
233	260	27	1
234	260	27	2
235	260	27	1
185	261	27	1
230	261	27	2
234	261	27	1
239	262	27	2
175	263	27	1
178	263	27	1
179	263	27	1
183	263	27	1
185	263	27	1
229	263	27	1
233	263	27	2
234	263	27	1
235	263	27	2
236	263	27	1
239	263	27	2
176	264	27	1
219	264	27	2
222	264	27	1
225	264	27	1
226	264	27	1
228	264	27	1
181	265	27	2
212	265	27	1
215	265	27	1
221	265	27	1
226	265	27	1
230	265	27	1
235	265	27	1
238	265	27	1
240	265	27	1
180	266	27	1
217	266	27	1
227	266	27	1
230	266	27	2
233	266	27	1
239	266	27	1
182	267	27	2
217	267	27	1
228	267	27	1
230	267	27	1
235	267	27	1
240	267	27	1
241	267	27	1
197	268	27	1
207	268	27	1
215	268	27	1
216	268	27	1
217	268	27	1
219	268	27	1
224	268	27	1
225	268	27	1
227	268	27	1
228	268	27	1
229	268	27	1
231	268	27	2
234	268	27	1
236	268	27	1
179	269	27	1
182	269	27	2
225	269	27	1
227	269	27	1
228	269	27	3
229	269	27	2
235	269	27	1
184	270	27	1
192	270	27	2
207	270	27	1
231	270	27	1
240	270	27	1
242	270	27	1
243	270	27	1
207	271	27	1
208	271	27	2
211	271	27	1
223	271	27	1
225	271	27	1
226	271	27	2
230	271	27	1
237	271	27	1
242	271	27	2
247	271	27	1
248	271	27	2
176	272	27	1
181	272	27	1
204	272	27	2
205	272	27	1
207	272	27	1
222	272	27	1
223	272	27	2
228	272	27	1
229	272	27	1
234	272	27	1
235	272	27	1
247	272	27	1
183	273	27	1
205	273	27	1
212	273	27	1
213	273	27	1
