x	y	z	RMTs methylate histone arginines
236	284	29	1
238	284	29	1
243	284	29	1
245	284	29	1
252	284	29	1
226	285	29	1
234	285	29	1
246	285	29	1
248	285	29	1
250	285	29	1
253	285	29	2
254	285	29	1
235	286	29	2
241	286	29	1
242	286	29	1
247	286	29	1
226	288	29	1
234	288	29	1
245	288	29	1
224	289	29	1
228	289	29	1
234	289	29	2
235	289	29	1
245	289	29	1
247	289	29	1
250	289	29	1
227	290	29	1
228	290	29	1
230	290	29	1
242	290	29	1
243	290	29	1
245	290	29	1
222	291	29	1
225	291	29	1
226	291	29	2
239	291	29	1
240	291	29	2
246	291	29	1
248	291	29	1
222	292	29	1
245	292	29	2
221	294	29	1
240	294	29	1
241	294	29	1
242	294	29	1
244	294	29	1
220	295	29	1
223	295	29	1
240	295	29	1
241	295	29	1
245	295	29	1
222	296	29	3
253	296	29	1
255	296	29	1
238	297	29	1
239	297	29	2
240	297	29	1
245	297	29	1
215	298	29	1
237	298	29	1
239	299	29	1
226	300	29	2
227	300	29	2
237	300	29	1
240	300	29	1
223	301	29	1
247	301	29	1
236	305	29	1
225	251	30	1
215	252	30	2
237	253	30	1
215	254	30	1
232	254	30	1
191	255	30	1
230	255	30	2
234	255	30	1
236	255	30	2
232	256	30	1
235	256	30	1
192	257	30	1
203	257	30	1
227	257	30	1
239	257	30	1
176	258	30	1
181	258	30	2
186	258	30	1
226	258	30	2
228	258	30	1
233	258	30	1
239	258	30	1
219	259	30	1
222	259	30	1
230	259	30	2
232	259	30	1
234	259	30	1
225	260	30	1
226	260	30	1
228	260	30	1
231	260	30	1
238	260	30	1
187	261	30	2
188	261	30	1
198	261	30	1
199	261	30	2
231	261	30	1
246	261	30	1
249	261	30	1
218	262	30	1
233	262	30	1
247	262	30	2
248	262	30	1
249	262	30	1
185	263	30	2
189	263	30	1
211	263	30	1
226	263	30	1
228	263	30	1
240	263	30	1
246	263	30	1
186	264	30	1
188	264	30	1
225	264	30	1
228	264	30	1
238	264	30	1
240	264	30	1
246	264	30	1
191	265	30	1
208	265	30	1
212	265	30	1
217	265	30	1
224	265	30	2
228	265	30	1
232	265	30	1
239	265	30	1
244	265	30	1
193	266	30	1
195	266	30	1
215	266	30	1
229	266	30	1
231	266	30	2
232	266	30	2
241	266	30	1
176	267	30	1
191	267	30	1
193	267	30	1
196	267	30	1
225	267	30	1
228	267	30	1
232	267	30	1
240	267	30	3
246	267	30	1
247	267	30	1
250	267	30	1
172	268	30	3
182	268	30	3
194	268	30	1
196	268	30	2
207	268	30	1
213	268	30	1
216	268	30	1
237	268	30	1
238	268	30	1
239	268	30	1
244	268	30	1
250	268	30	1
196	269	30	1
204	269	30	1
213	269	30	2
239	269	30	1
240	269	30	1
243	269	30	1
248	269	30	1
194	270	30	1
197	270	30	1
198	270	30	1
250	270	30	1
187	271	30	1
198	271	30	1
199	271	30	1
200	271	30	1
208	271	30	1
229	271	30	2
232	271	30	1
243	271	30	1
180	272	30	1
181	272	30	1
223	272	30	2
224	272	30	1
233	272	30	1
236	272	30	1
240	272	30	1
245	272	30	1
183	273	30	1
203	273	30	1
208	273	30	1
235	273	30	1
214	274	30	2
229	274	30	2
233	274	30	1
234	274	30	1
175	275	30	1
184	275	30	1
212	275	30	3
239	275	30	1
250	275	30	1
232	276	30	1
233	276	30	1
239	276	30	1
240	276	30	1
241	276	30	1
250	276	30	1
205	277	30	3
175	278	30	1
205	278	30	1
206	278	30	1
226	278	30	1
238	278	30	1
243	278	30	1
248	278	30	1
250	278	30	1
238	279	30	2
239	279	30	1
250	279	30	1
176	280	30	1
206	280	30	2
219	280	30	1
226	280	30	1
233	280	30	1
237	280	30	1
239	280	30	1
241	280	30	1
247	280	30	1
254	280	30	1
218	281	30	1
234	281	30	1
235	281	30	1
239	281	30	1
174	282	30	1
182	282	30	1
210	282	30	1
213	282	30	1
220	282	30	1
238	282	30	1
240	282	30	1
247	282	30	2
250	282	30	1
253	282	30	1
215	283	30	2
222	283	30	1
234	283	30	1
236	283	30	2
238	283	30	1
241	283	30	1
242	283	30	1
249	283	30	1
252	283	30	1
177	284	30	1
180	284	30	1
225	284	30	1
241.666666666667	284.666666666667	31	2
249	284	30	1
251	284	30	1
253	284	30	1
254	284	30	1
258	284	30	1
222.5	285.5	30.5	1
227	285	30	1
233	285	30	1
236	285	30	1
242	285	30	1
245	285.666666666667	31	1
246	285	30	1
252	285	30	1
222	286	30	1
227	286	30	1
228	286	30	1
230	286	30	1
231	286	30	1
234	286	30	1
241	286	30	1
245	286	30	1
249	286	30	1
252	286	30	1
257	286	30	1
228	287	30	1
238.5	287.5	30.5	2
243	287	30	1
252	287	30	1
255	287	30	1
225	288	30	1
229	288	30	1
231	288	30	2
232	288	30	1
234	288	30	2
235	288	30	1
237	288	30	1
241	288	30	2
243	288	30	1
246	288	30	1
247	288	30	1
249	288	30	2
252	288	30	2
230	289	30	2
232	289	30	2
234	289	30	1
239	289	30	1
198	290	30	1
224	290	30	2
227	290	30	3
232	290	30	1
239	290	30	1
241	290	30	1
246	290	30	1
250	290	30	1
225	291	30	1
232	291	30	1
248	291	30	1
198	292	30	1
223	292	30	1
226	292	30	1
230	292	30	1
235	292	30	2
236	292	30	1
238	292	30	1
248	292	30	1
257	292	30	1
201	293	30	1
231	293	30	1
236	293	30	1
239	293	30	2
243	293	30	1
245	293	30	1
250	293	30	1
189	294	30	1
210	294	30	1
232	294	30	4
241	294	30	1
250	294	30	2
251	294	30	1
252	294	30	1
218	295	30	2
220	295	30	1
226	295	30	1
229	295	30	2
234	295	30	1
241	295	30	1
244	295	30	1
247	295	30	1
222	296	30	1
234	296	30	2
235	296	30	1
237	296	30	1
239	296	30	1
244	296	30	1
229	297	30	1
238	297	30	1
243	297	30	1
245	297	30	1
248	297	30	1
252	297	30	1
215	298	30	1
225	298	30	1
226	298	30	1
231	298	30	1
235	298	30	1
237	298	30	1
245	298	30	1
247	298	30	2
248	298	30	1
251	298	30	2
216	299	30	1
218	299	30	1
225	299	30	1
230	299	30	1
231	299	30	1
240	299	30	2
242	299	30	2
244	299	30	1
247	299	30	2
231	300	30	1
247	300	30	1
245	301	30	1
247	301	30	1
223	302	30	1
247	302	30	1
248	302	30	1
217	303	30	1
237	303	30	1
238	303	30	1
241	303	30	1
244	303	30	1
246	303	30	1
234	304	30	1
242	304	30	1
233	305	30	1
238	305	30	2
242	305	30	1
236	306	30	1
235	250	31	1
224	253	31	1
225	253	31	2
228	253	31	1
191	255	31	1
229	255	31	2
230	255	31	1
235	255	31	1
236	255	31	1
230	257	31	1
238	257	31	1
240	257	31	2
188	258	31	1
190	258	31	1
205	258	31	1
215	258	31	1
216	258	31	1
227	258	31	2
229	258	31	1
230	258	31	1
231	258	31	1
234	258	31	1
188	259	31	1
206	259	31	1
229	259	31	1
186	260	31	1
188	260	31	1
212	260	31	1
224	260	31	1
228	260	31	1
234	260	31	1
237	260	31	1
240	260	31	1
242	260	31	1
245	260	31	1
246	260	31	1
184	261	31	2
225	261	31	1
226	261	31	1
227	261	31	1
228	261	31	1
186	262	31	1
193	262	31	1
194	262	31	1
207	262	31	1
218	262	31	1
223	262	31	1
226	262	31	1
229	262	31	1
233	262	31	2
240	262	31	2
187	263	31	1
226	263	31	2
229	263	31	1
230	263	31	1
238	263	31	1
240	263	31	1
249	263	31	1
184	264	31	1
224	264	31	2
228	264	31	1
232	264	31	1
237	264	31	1
239	264	31	1
244	264	31	1
184	265	31	1
194	265	31	1
223	265	31	2
234	265	31	1
235	265	31	1
236	265	31	1
248	265	31	1
197	266	31	1
211	266	31	1
215	266	31	2
236	266	31	1
243	266	31	2
246	266	31	1
247	266	31	1
248	266	31	1
251	266	31	2
177	267	31	1
186	267	31	1
193	267	31	1
194	267	31	1
196	267	31	1
211	267	31	1
216	267	31	1
217	267	31	1
219	267	31	2
236	267	31	1
237	267	31	1
242	267	31	1
197	268	31	1
215	268	31	2
218	268	31	1
222	268	31	1
231	268	31	3
232	268	31	1
240	268	31	1
241	268	31	1
243	268	31	1
194	269	31	1
214	269	31	1
215	269	31	1
232	269	31	1
238	269	31	1
242	269	31	1
247	269	31	1
252	269	31	1
173	270	31	2
185	270	31	1
194	270	31	1
196	270	31	2
212	270	31	1
216	270	31	1
234	270	31	1
239	270	31	1
240	270	31	1
244	270	31	1
249	270	31	2
171	271	31	1
216	271	31	1
217	271	31	1
231	271	31	2
184	272	31	1
203	272	31	1
214	272	31	1
232	272	31	1
239	272	31	1
241	272	31	1
251	272	31	1
184	273	31	1
209	273	31	2
211	273	31	1
232	273	31	1
236	273	31	1
238	273	31	1
240	273	31	1
179	274	31	1
204	274	31	1
209	274	31	1
210	274	31	1
213	274	31	1
226	274	31	1
239	274	31	1
182	275	31	1
184	275	31	1
238	275	31	1
250	275	31	2
205	276	31	2
238	276	31	1
239	276	31	1
244	276	31	1
252	276	31	1
205	277	31	1
238	277	31	1
245	277	31	1
249	277	31	1
174	278	31	1
236	278	31	1
249	278	31	1
175	279	31	1
205	279	31	1
207	279	31	1
236	279	31	1
245	279	31	1
247	279	31	1
249	279	31	1
175	280	31	1
208	280	31	1
217	280	31	1
220	280	31	1
221	280	31	1
226	280	31	2
236	280	31	1
246	280	31	2
248	280	31	1
250	280	31	1
251	280	31	2
179	281	31	1
181	281	31	1
204	281	31	1
224	281	31	2
228	281	31	1
231	281	31	1
236	281	31	1
240	281	31	1
244	281	31	1
173	282	31	2
220	282	31	1
223	282	31	1
234	282	31	1
247	282	31	1
249	282	31	1
252	282	31	1
182	283	31	1
208	283	31	1
230	283	31	1
244	283	31	1
246	283	31	1
222	284	31	1
238	284	31	1
177	285	31	1
183	285	31	1
206	285	31	2
225	285	31	1
231	285	31	1
238	285.5	31.5	1
253	285	31	2
255	285	31	1
204	286	31	1
219	286	31	1
220	286	31	3
224	286	31	1
237	286	31	1
244	286	31	1
249	286	31	1
252	286	31	2
190	287	31	1
221	287	31	1
228	287	31	1
229	287	31	2
234	287	31	1
236	287	31	1
239	287	31	1
246	287	31	2
250	287	31	1
253	287	31	1
225	288	31	1
228	288	31	1
233	288	31	1
234	288	31	1
236	288	31	1
241	288	31	1
242	288	31	1
247	288	31	1
249	288	31	1
231	289	31	1
225	290	31	1
226	290	31	1
231	290	31	1
235	290	31	1
237	290	31	1
239	290	31	1
240	290	31	1
241	290	31	1
243	290	31	1
248	290	31	2
198	291	31	1
222	291	31	1
227	291	31	1
228	291	31	1
237	291	31	1
238	291	31	1
199	292	31	1
230	292	31	1
235	292	31	1
238	292	31	1
250	292	31	1
251	292	31	1
253	292	31	1
198	293	31	1
242	293	31	2
248	293	31	1
220	294	31	1
224	294	31	1
226	294	31	1
230	294	31	1
251	294	31	1
253	294	31	2
220	295	31	1
223	295	31	1
225	295	31	1
228	295	31	1
233	295	31	1
235	295	31	1
247	295	31	1
255	295	31	1
197	296	31	1
215	296	31	2
222	296	31	1
224	296	31	1
231	296	31	1
235	296	31	1
245	296	31	1
252	296	31	2
223	297	31	1
226	297	31	1
230	297	31	1
235	297	31	2
241	297	31	1
243	297	31	1
252	297	31	1
205	298	31	1
223	298	31	1
226	298	31	1
248	298	31	1
249	298	31	1
251	298	31	3
252	298	31	1
221	299	31	2
229	299	31	1
230	299	31	1
224	300	31	1
225	300	31	1
236	300	31	1
244	300	31	1
248	300	31	2
221	301	31	1
225	301	31	1
228	301	31	1
220	302	31	1
223	302	31	1
224	302	31	1
226	302	31	1
229	302	31	1
243	302	31	1
244	302	31	1
245	302	31	1
247	302	31	1
224	303	31	2
232	303	31	2
235	303	31	1
236	303	31	2
245	303	31	1
247	303	31	1
235	304	31	1
237	304	31	1
244	304	31	1
224	305	31	1
231	306	31	1
228	251	32	1
216	252	32	1
193	253	32	1
215	253	32	1
218	253	32	1
224	253	32	1
225	253	32	1
227	253	32	1
237	253	32	1
240	253	32	1
215	254	32	1
225	254	32	1
227	254	32	1
228	254	32	2
236	254	32	1
214	255	32	1
217	255	32	1
219	255	32	1
228	255	32	1
230	255	32	1
232	255	32	1
238	255	32	1
210	256	32	1
219	256	32	1
229	256	32	1
242	256	32	1
228	257	32	1
229	257	32	1
230	257	32	1
240	257	32	1
182	258	32	1
192	258	32	1
193	258	32	1
213	258	32	1
219	258	32	1
231	258	32	1
233	258	32	1
240	258	32	1
193	259	32	1
201	259	32	1
215	259	32	1
222	259	32	1
231	259	32	1
240	259	32	1
244	259	32	1
216	260	32	1
220	260	32	1
240	260	32	1
242	260	32	1
243	260	32	1
244	260	32	2
217	261	32	1
218	261	32	1
220	261	32	1
228	261	32	1
237	261	32	1
239	261	32	1
207	262	32	2
216	262	32	1
219	262	32	1
221	262.666666666667	33	1
225	262	32	1
228	262	32	1
235	262	32	2
240	262	32	1
243	262	32	1
246	262	32	1
250	262	32	1
189	263	32	1
211	263	32	2
216	263	32	1
218	263	32	1
221	263	32	1
231	263	32	2
236	263	32	1
250	263	32	1
186	264	32	1
194	264	32	1
214	264	32	1
216	264	32	1
233	264	32	2
186	265	32	1
191	265	32	1
192	265	32	1
194	265	32	1
203	265	32	1
216	265	32	2
218	265	32	1
226	265	32	1
230	265	32	1
234	265	32	1
249	265	32	1
251	265	32	1
197	266	32	1
220	266	32	1
222	266	32	1
239	266	32	1
240	266	32	1
241	266	32	1
243	266	32	2
249	266	32	1
251	266	32	1
252	266	32	1
183	267	32	1
188	267	32	1
191	267	32	1
197	267	32	1
221	267	32	1
228	267	32	2
238	267	32	1
242	267	32	1
243	267	32	1
252	267	32	1
193	268	32	1
198	268	32	1
207	268	32	1
213	268	32	1
216	268	32	1
220	268	32	1
225	268	32	1
228	268	32	1
245	268	32	1
246	268	32	1
252	268	32	1
194	269	32	2
196	269	32	1
213	269	32	1
218	269	32	1
222	269	32	1
238	269	32	1
240	269	32	2
246	269	32	1
250	269	32	1
251	269	32	1
210	270	32	1
222	270	32	2
227	270	32	2
245	270	32	1
177	271	32	1
215	271	32	1
235	271	32	1
237	271	32	1
244	271	32	1
247	271	32	1
250	271	32	1
251	271	32	1
176	272	32	1
181	272	32	1
198	272	32	1
206	272	32	1
207	272	32	1
210	272	32	1
225	272	32	1
240	272	32	1
243	272	32	1
244	272	32	1
246	272	32	1
248	272	32	1
249	272	32	1
255	272	32	1
182	273	32	1
183	273	32	1
186	273	32	3
204	273	32	1
208	273	32	1
210	273	32	1
212	273	32	2
213	273	32	1
236	273	32	1
240	273	32	1
242	273	32	1
172	274	32	1
179	274	32	1
181	274	32	1
202	274	32	1
206	274	32	1
211	274	32	1
214	274	32	1
215	274	32	2
243	274	32	1
252	274	32	3
213	275	32	2
215	275	32	1
226	275	32	1
238	275	32	1
206	276	32	1
236	276	32	1
239	276	32	1
204	277	32	2
205	277	32	1
214	277	32	1
216	277	32	1
236	277	32	1
242	277	32	1
248	277	32	1
177	278	32	1
204	278	32	1
235	278	32	1
236	278	32	1
238	278	32	2
205	279	32	1
207	279	32	1
214	279	32	2
223	279	32	1
241	279	32	1
247	279	32	1
173	280	32	1
180	280	32	1
189	280	32	1
220	280	32	1
222	280	32	2
229	280	32	1
246	280	32	1
248	280	32	1
249	280	32	1
251	280	32	1
175	281	32	1
210	281	32	1
221	281	32	1
222	281	32	1
226	281	32	1
241	281	32	1
244	281	32	1
245	281	32	3
251	281	32	2
175	282	32	1
179	282	32	1
182	282	32	1
187	282	32	2
222	282	32	1
224	282	32	1
227	282	32	1
237	282	32	1
241	282	32	1
244	282	32	1
253	282	32	2
173	283	32	1
175	283	32	1
176	283	32	1
178	283	32	1
179	283	32	1
223	283	32	1
226	283	32	2
244	283	32	1
177	284	32	1
184	284	32	2
186	284	32	1
206	284	32	1
210	284	32	1
222	284	32	1
225	284	32	1
230	284	32	1
236	284	32	1
241	284	32	2
248	284	32	1
176	285	32	1
180	285	32	1
206	285	32	1
220	285	32	1
225	285	32	1
234	285	32	1
240	285	32	1
243	285	32	2
244	285	32	1
245	285	32	1
246	285	32	1
252	285	32	1
183	286	32	1
218	286	32	1
224	286	32	1
226	286	32	1
236	286	32	1
237	286	32	1
243	286	32	1
246	286	32	1
207	287	32	1
219	287	32	3
221	287	32	1
222	287	32	1
224	287	32	1
226	287	32	1
227	287	32	1
230	287	32	2
233	287	32	1
236.5	287.5	32.5	1
238	287	32	1
240	287	32	1
241	287	32	1
243	287	32	1
244	287	32	1
202	288	32	1
220	288	32	1
222	288	32	1
226	288	32	1
236	288	32	1
240	288	32	1
248	288	32	1
250	288	32	1
185	289	32	1
187	289	32	1
222	289	32	2
226	289	32	2
227	289	32	1
233	289	32	1
242	289	32	2
243	289	32	1
229	290	32	1
230	290	32	1
234	290	32	1
236	290	32	1
237	290	32	1
239	290	32	1
241	290	32	2
245	290	32	1
248	290	32	1
252	290	32	1
253	290	32	1
200	291	32	1
231	291	32	1
236	291	32	3
242	291	32	2
243	291	32	1
254	291	32	1
255	291	32	1
197	292	32	1
203	292	32	1
204	292	32	1
221	292	32	1
224	292	32	1
225	292	32	1
233	292	32	1
243	292	32	1
250	292	32	2
251	292	32	1
256	292	32	1
179	293	32	1
199	293	32	1
200	293	32	1
