x	y	z	SLBP independent Processing of Histone Pre-mRNAs
244	290	24	1
244	291	24	1
231	264	25	1
227	272	25	1
230	274	25	1
231	277	25	1
233	279	25	1
237	279	25	1
249	279	25	2
241	280	25	1
237	281	25	1
248	281	25	2
237	282	25	2
233	283	25	1
236	283	25	1
243	283	25	1
249	284	25	1
252	284	25	1
243	285	25	2
244	285	25	1
250	285	25	2
252	285	25	1
236	286	25	1
240	286	25	1
242	286	25	1
243	286	25	1
246	287	25	1
251	287	25	1
224	288	25	1
237	289	25	1
236	290	25	1
238	290	25	2
235	291	25	1
236	291	25	1
240	291	25	1
241	291	25	1
238	292	25	1
239	292	25	1
246	293	25	1
239	294	25	1
247	294	25	1
243	295	25	1
239	296	25	1
240	300	25	1
183	258	26	1
236	268	26	1
228	269	26	1
235	270	26	2
236	270	26	1
229	271	26	1
235	271	26	1
236	271	26	1
239	272	26	1
237	273	26	1
248	273	26	1
236	275	26	1
248	275	26	1
250	275	26	1
238	276	26	1
248	276	26	1
213	277	26	1
232	278	26	1
233	278	26	2
237	278	26	1
243	278	26	1
207	279	26	1
248	279	26	1
240	280	26	1
241	280	26	1
234	281	26	1
236	281	26	1
209	282	26	1
235	282	26	1
246	282	26	1
250	282	26	1
231	283	26	1
232	284	26	1
237	284	26	1
244	284	26	1
252	284	26	1
232	285	26	1
253	285	26	1
251	286	26	1
223	287	26	1
248	287	26	2
235	288	26	1
241	288	26	1
238	289	26	2
242	289	26	1
250	289	26	1
225	290	26	1
227	290	26	1
238	290	26	1
238	291	26	1
240	291	26	1
244	291	26	1
246	291	26	1
250	291	26	1
249	292	26	1
240	293	26	1
220	294	26	1
245	294	26	1
239	296	26	1
240	296	26	1
244	296	26	1
240	297	26	1
181	257	27	1
184	258	27	1
232	258	27	2
184	260	27	1
187	261	27	1
220	261	27	1
230	261	27	1
184	262	27	1
186	262	27	1
229	262	27	1
236	262	27	1
239	262	27	1
183	263	27	1
225	263	27	1
230	263	27	1
232	263	27	2
233	263	27	2
235	263	27	1
229	264	27	2
232	264	27	1
239	264	27	1
226	265	27	1
230	265	27	1
201	266	27	1
227	266	27	1
234	266	27	1
237	266	27	1
226	267	27	3
230	267	27	1
234	267	27	1
179	268	27	1
215	268	27	1
217	268	27	1
230	268	27	1
231	268	27	1
234	268	27	1
240	268	27	1
238	269	27	1
240	269	27	1
181	270	27	1
184	270	27	1
197	270	27	1
216	270	27	1
218	270	27	1
232	270	27	1
242	270	27	1
244	270	27	2
206	271	27	1
208	271	27	1
222	271	27	1
231	271	27	1
234	271	27	1
236	271	27	1
239	271	27	1
242	271	27	1
176	272	27	1
181	272	27	1
216	272	27	1
227	272	27	1
231	272	27	1
206	273	27	1
211	273	27	1
224	273	27	1
231	273	27	1
241	273	27	2
182	274	27	1
209	274	27	1
228	274	27	1
233	274	27	1
236	274	27	1
237	274	27	1
247	274	27	1
252	274	27	1
205	275	27	1
214	275	27	1
224	275	27	1
236	275	27	1
249	275	27	1
207	276	27	1
209	276	27	1
217	276	27	1
222	276	27	1
