x	y	z	Deposition of new CENPA-containing nucleosomes at the centromere
244	284	21	1
246	292	21	2
232	278	24	1
239	278	24	1
244	286	24	1
248	286	24	1
239	287	24	1
244	287	24	3
245	287	24	1
246	287	24	1
245	288	24	1
249	289	24	1
232	265	25	1
236	268	25	1
233	269	25	1
238	270	25	1
233	272	25	1
239	272	25	1
227	273	25	2
231	274	25	1
232	274	25	1
234	274	25	1
238	274	25	1
237	275	25	1
236	276	25	1
237	277	25	2
234	278	25	1
237	278	25	1
238	278	25	1
234	279	25	1
237	279	25	1
238	279	25	1
239	279	25	1
241	279	25	1
239	280	25	1
245	280	25	1
248	280	25	1
234	281	25	1
235	281	25	1
237	281	25	1
240	281	25	1
240	282	25	1
247	282	25	1
249	282	25	2
235	283	25	1
239	283	25	1
241	283	25	1
245	283	25	1
246	283	25	1
247	283	25	1
234	284	25	1
235	284	25	1
243	284	25	1
244	284	25	1
247	284	25	1
252	284	25	1
238	285	25	1
240	285	25	2
244	285	25	2
252	285	25	1
218	286	25	1
232	286	25	2
240	286	25	2
241	286	25	1
243	286	25	2
254	286	25	1
237	288	25	2
239	288	25	1
242	288	25	2
250	288	25	3
251	288	25	1
237	289	25	2
241	289	25	1
242	289	25	1
243	290	25	3
246	290	25	1
249	290	25	1
235	291	25	1
236	291	25	2
242	291	25	1
245	291	25	1
249	292	25	1
239	293	25	1
244	293	25	1
247	293	25	1
243	294	25	1
244	294	25	1
245	295	25	1
242	296	25	1
246	296	25	2
243	297	25	1
240	298	25	1
227	300	25	1
240	300	25	1
182	259	26	1
182	260	26	1
229	262	26	1
215	265	26	1
235	268	26	2
228	269	26	1
227	270	26	2
236	270	26	1
215	272	26	3
234	272	26	1
236	272	26	1
236	273	26	1
237	273	26	1
233	274	26	1
233	275	26	1
237	275	26	1
245	275	26	2
248	275	26	2
250	275	26	1
207	276	26	1
215	276	26	1
232	276	26	1
238	276	26	1
244	276	26	1
248	276	26	2
250	276	26	1
209	277	26	1
213	277	26	1
234	277	26	1
240	277	26	1
240	278	26	1
252	278	26	1
231	279	26	1
232	279	26	2
237	279	26	1
239	279	26	1
246	279	26	1
249	279	26	2
232	280	26	1
234	280	26	1
238	280	26	1
240	280	26	1
242	280	26	1
249	280	26	1
250	280	26	1
230	281	26	1
232	281	26	1
234	281	26	1
236	281	26	1
237	281	26	1
239	281	26	1
240	281	26	1
247	281	26	2
248	281	26	1
208	282	26	1
231	282	26	1
240	282	26	4
242	282	26	1
245	282	26	1
246	282	26	1
249	282	26	1
250	282	26	3
233	283	26	2
238	283	26	1
249	283	26	1
251	283	26	1
253	283	26	1
215	284	26	1
235	284	26	2
237	284	26	1
241	284	26	1
242	284	26	2
246	284	26	2
250	284	26	1
212	285	26	1
234	285	26	1
237	285	26	1
240	285	26	1
241	285	26	1
246	285	26	1
250	285	26	2
253	285	26	1
255	285	26	1
232	286	26	2
233	286	26	1
238	286	26	1
241	286	26	1
242	286	26	1
249	286	26	1
224	287	26	1
237	287	26	1
239	287	26	2
243	287	26	1
250	287	26	1
251	287	26	2
253	287	26	1
236	288	26	1
241	288	26	2
250	288	26	1
252	288	26	1
222	289	26	1
227	289	26	2
232	289	26	1
233	289	26	1
242	289	26	1
243	289	26	1
248	289	26	2
250	289	26	1
227	290	26	2
238	290	26	1
242	290	26	1
250	290	26	1
226	291	26	2
235	291	26	1
239	291	26	2
240	291	26	1
242	291	26	1
249	291	26	1
250	291	26	1
226	292	26	2
227	292	26	1
237	292	26	1
239	292	26	1
240	292	26	1
244	292	26	1
249	292	26	1
238	293	26	1
244	293	26	1
239	294	26	1
242	294	26	2
244	294	26	1
245	294	26	2
234	295	26	1
254	295	26	1
242	296	26	1
244	296	26	2
236	297	26	1
236	298	26	3
242	298	26	1
240	299	26	1
236	300	26	2
182	255	27	1
186	257	27	1
184	258	27	2
215	258	27	2
232	259	27	1
184	260	27	1
226	260	27	1
227	260	27	1
228	260	27	1
235	260	27	1
180	261	27	1
182	261	27	1
184	261	27	1
228	261	27	1
229	261	27	1
230	261	27	1
232	261	27	1
239	261	27	1
177	262	27	1
184	262	27	1
227	262	27	1
233	262	27	1
239	262	27	2
179	263	27	1
181	263	27	1
185	263	27	2
220	263	27	1
238	263	27	1
175	264	27	1
180	264	27	2
186	264	27	1
209	264	27	1
229	264	27	1
239	264	27	1
234	265	27	1
235	265	27	1
237	265	27	1
238	265	27	1
240	265	27	1
226	266	27	1
227	266	27	1
231	266	27	2
234	266	27	1
235	266	27	1
237	266	27	1
214	267	27	2
217	267	27	1
226	267	27	1
231	267	27	1
233	267	27	1
235	267	27	1
236	267	27	1
179	268	27	1
197	268	27	1
207	268	27	1
213	268	27	1
214	268	27	1
215	268	27	1
216	268	27	1
219	268	27	1
223	268	27	1
226	268	27	2
228	268	27	1
229	268	27	1
230	268	27	1
235	268	27	1
236	268	27	1
241	268	27	2
247	268	27	2
248	268	27	1
177	269	27	1
182	269	27	1
214	269	27	1
215	269	27	1
218	269	27	1
229	269	27	1
231	269	27	1
233	269	27	1
235	269	27	1
239	269	27	1
241	269	27	2
243	269	27	1
252	269	27	1
181	270	27	1
207	270	27	1
215	270	27	1
217	270	27	1
218	270	27	1
230	270	27	1
233	270	27	1
234	270	27	1
240	270	27	1
178	271	27	1
206	271	27	1
207	271	27	1
209	271	27	1
215	271	27	1
216	271	27	1
222	271	27	1
231	271	27	1
240	271	27	1
242	271	27	2
176	272	27	1
179	272	27	2
203	272	27	1
208	272	27	1
222	272	27	1
227	272	27	1
229	272	27	1
240	272	27	1
241	272	27	1
203	273	27	1
207	273	27	1
214	273	27	1
217	273	27	1
223	273	27	1
227	273	27	1
234	273	27	1
237	273	27	2
238	273	27	1
241	273	27	1
177	274	27	1
204	274	27	2
207	274	27	1
208	274	27	1
211	274	27	1
213	274	27	1
214	274	27	1
224	274	27	3
232	274	27	1
236	274	27	1
237	274	27	1
240	274	27	1
241	274	27	1
243	274	27	1
247	274	27	1
252	274	27	1
254	274	27	1
185	275	27	1
211	275	27	1
217	275	27	1
222	275	27	2
235	275	27	1
239	275	27	3
245	275	27	2
249	275	27	1
250	275	27	2
252	275	27	1
254	275	27	2
205	276	27	3
207	276	27	1
215	276	27	1
217	276	27	2
219	276	27	1
222	276	27	1
233	276	27	1
234	276	27	1
238	276	27	2
240	276	27	1
252	276	27	2
207	277	27	1
218	277	27	1
233	277	27	1
235	277	27	1
238	277	27	2
240	277	27	1
248	277	27	1
214	278	27	1
227	278	27	1
230	278	27	1
239	278	27	1
248	278	27	1
249	278	27	1
250	278	27	1
251	278	27	1
230	279	27	1
231	279	27	1
235	279	27	1
236	279	27	2
240	279	27	1
243	279	27	2
245	279	27	1
248	279	27	1
251	279	27	1
204	280	27	1
207	280	27	1
214	280	27	1
236	280	27	1
241	280	27	1
243	280	27	1
250	280	27	2
206	281	27	1
210	281	27	1
214	281	27	1
228	281	27	1
229	281	27	1
233	281	27	1
236	281	27	2
238	281	27	1
241	281	27	1
244	281	27	1
249	281	27	2
252	281	27	1
254	281	27	1
257	281	27	1
206	282	27	1
210	282	27	2
212	282	27	2
214	282	27	1
216	282	27	2
229	282	27	1
233	282	27	2
235	282	27	1
237	282	27	1
243	282	27	1
244	282	27	2
201	283	27	1
206	283	27	1
209	283	27	1
218	283	27	1
228	283	27	1
235	283	27	2
236	283	27	1
238	283	27	1
239	283	27	2
242	283	27	1
244	283	27	2
245	283	27	1
249	283	27	2
251	283	27	2
254	283	27	2
255	283	27	1
206	284	27	1
207	284	27	1
209	284	27	1
210	284	27	1
213	284	27	1
237	284	27	1
238	284	27	2
243	284	27	1
254	284	27	1
255	284	27	1
206	285	27	2
209	285	27	1
210	285	27	2
212	285	27	2
213	285	27	1
220	285	27	1
224	285	27	1
228	285	27	2
233	285	27	1
235	285	27	1
236	285	27	3
241	285	27	1
242	285	27	1
250	285	27	1
253	285	27	1
204	286	27	1
207	286	27	1
208	286	27	1
209	286	27	2
211	286	27	1
212	286	27	1
216	286	27	1
218	286	27	2
219	286	27	2
224	286	27	2
226	286	27	1
236	286	27	2
239	286	27	1
240	286	27	1
241	286	27	1
245	286	27	1
251	286	27	1
252	286	27	1
255	286	27	2
230	287	27	1
231	287	27	1
241	287	27	3
247	287	27	1
253	287	27	1
255	287	27	1
211	288	27	1
222	288	27	1
223	288	27	1
224	288	27	1
228	288	27	2
231	288	27	1
233	288	27	1
235	288	27	1
238	288	27	1
240	288	27	1
249	288	27	2
250	288	27	1
210	289	27	2
222	289	27	2
223	289	27	1
227	289	27	1
231	289	27	1
235	289	27	1
236	289	27	1
237	289	27	1
240	289	27	1
252	289	27	1
207	290	27	1
226	290	27	1
227	290	27	2
235	290	27	1
237	290	27	1
243	290	27	2
244	290	27	1
247	290	27	1
251	290	27	1
252	290	27	1
225	291	27	1
227	291	27	1
230	291	27	1
234	291	27	1
224	292	27	1
225	292	27	1
226	292	27	1
227	292	27	1
228	292	27	1
229	292	27	1
234	292	27	2
235	292	27	1
246	292	27	1
254	292	27	1
229	293	27	1
234	293	27	1
243	293	27	1
244	293	27	1
250	293	27	1
251	293	27	1
253	293	27	1
254	293	27	1
213	294	27	1
224	294	27	1
226	294	27	1
245	294	27	1
246	294	27	1
248	294	27	1
251	294	27	3
222	295	27	1
226	295	27	1
241	295	27	1
243	295	27	2
244	295	27	1
247	295	27	1
248	295	27	1
250	295	27	2
252	295	27	1
238	296	27	2
239	296	27	1
240	296	27	1
252	296	27	1
239	297	27	1
242	297	27	1
245	297	27	1
249	297	27	1
251	297	27	1
253	297	27	1
226	298	27	1
235	298	27	1
238	298	27	1
243	298	27	1
248	298	27	2
223	299	27	1
226	299	27	1
229	299	27	1
239	299	27	4
247	299	27	1
252	299	27	2
228	300	27	1
238	300	27	2
239	300	27	2
244	300	27	1
237	301	27	1
238	301	27	1
245	301	27	1
226	302	27	1
235	302	27	1
245	302	27	2
235	304	27	1
236	304	27	1
235	305	27	1
237	305	27	2
231	266	28	1
234	266	28	1
235	266	28	1
206	272	28	1
232	272	28	1
250	272	28	1
232	274	28	1
234	274	28	1
234	276	28	1
238	276	28	1
238	277	28	1
237	278	28	1
239	280	28	2
241	280	28	1
248	281	28	1
252	281	28	1
235	282	28	2
247	283	28	1
248	284	28	1
250	284	28	1
254	284	28	3
240	285	28	2
242	285	28	1
244	285	28	1
