x	y	z	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
239	272	24	2
240	277	24	1
232	278	24	2
235	278	24	1
241	279	24	1
245	284	24	1
246	284	24	3
245	287	24	1
243	288	24	1
249	289	24	1
244	290	24	1
231	268	25	1
233	269	25	1
235	270	25	2
227	273	25	2
230	274	25	1
232	274	25	1
233	274	25	1
234	274	25	2
238	275	25	2
232.5	276.5	25.5	1
233	276	25	1
234	276	25	1
248	276	25	1
231	277	25	3
233	277	25	1
247	277	25	1
232	278	25	1
238	278	25	1
231	279	25	1
236	279	25	1
241	279	25	1
236	280	25	1
245	280	25	1
231	281	25	1
234	281	25	3
235	281	25	1
240	281	25	1
249	281	25	1
214	282	25	3
231	282	25	1
233	282	25	2
235	282	25	1
240	282	25	3
231	283	25	1
233	283	25	1
234	283	25	1
237	283	25	1
238	283	25	1
239	283	25	1
247	283	25	1
213	284	25	1
233	284	25	1
234	284	25	1
242	284	25	1
244	284	25	1
215	285	25	2
232	285	25	1
235	285	25	1
236	285	25	1
238	285	25	1
241	285	25	1
244	285	25	2
246	285	25	1
232	286	25	1
235	286	25	1
240	286	25	1
252	286	25	1
245	287	25	1
246	287	25	1
252	287	25	1
242	288	25	1
226	289	25	1
236	289	25	1
242	289	25	1
244	289	25	1
248.5	289.5	25.5	3
250	289	25	1
236	290	25	1
238	290	25	1
240	290	25	1
243	290	25	1
249	290	25	3
226	291	25	2
235	291	25	1
236	291	25	1
238	291	25	1
240	291	25	2
251	291	25	1
235	292	25	1
239	292	25	1
244	292	25	1
249	292	25	1
250	292	25	2
240	293	25	1
244	294	25	1
246	294	25	1
247	294	25	1
237	295	25	1
245	295	25	2
239	296	25	1
244	296	25	1
239	297	25	2
243	297	25	1
243	299	25	1
238	300	25	1
239	300	25	1
183	258	26	1
232	263	26	2
215	265	26	1
233	268	26	1
236	268	26	2
233	270	26	1
235	271	26	1
215	272	26	1
223	272	26	2
224	272	26	1
230	272	26	2
234	272	26	1
239	272	26	1
231	273	26	1
239	273	26	2
248	273	26	1
236	274	26	2
233	275	26	1
236	275	26	1
245	275	26	1
246	275	26	2
249	275	26	2
215	276	26	1
234	276	26	1
237	276	26	2
238	276	26	1
248	276	26	1
209	277	26	1
210	277	26	1
213	277	26	1
232	277	26	1
247	277	26	1
233	278	26	1
243	278	26	1
252	278	26	1
239	279	26	1
248	279	26	2
249	279	26	1
250	279	26	1
234	280	26	1
238	280	26	1
241	280	26	1
247	280	26	1
248	280	26	1
217	281	26	2
234	281	26	1
236	281	26	1
239	281	26	1
208	282	26	1
237	282	26	1
240	282	26	1
247	282	26	1
251	282	26	2
233	283	26	1
239	283	26	1
246	283	26	1
214	284	26	2
235	284	26	1
237	284	26	1
252	284	26	1
211	285	26	1
212	285	26	3
234	285	26	1
240	285	26	3
247	285	26	1
254	285	26	1
216	286	26	1
232	286	26	1
234	286	26	1
249	286	26	1
252	286	26	1
237	287	26	1
232	288	26	1
235	288	26	1
240	288	26	1
250	288	26	1
222	289	26	1
223	289	26	1
231	289	26	1
233	289	26	1
234	289	26	1
236	289	26	1
248	289	26	1
250	289	26	1
251	289	26	1
252	289	26	2
225	290	26	1
228	290	26	3
233	290	26	1
236	290	26	1
237	290	26	1
238	290	26	1
240	290	26	1
242	290	26	1
243	290	26	2
250	290	26	1
222	291	26	1
250	291	26	1
225	292	26	2
226	292	26	1
238	292	26	1
239	292	26	1
245	292	26	1
250	292	26	2
251	292	26	1
252	292	26	1
236	293	26	1
237	293	26	1
240	293	26	1
246	293	26	1
220	294	26	1
237	294	26	2
239	294	26	1
240	294	26	1
241	294	26	1
243	294	26	1
249	294	26	2
222	295	26	1
240	295	26	1
241	295	26	1
242	295	26	1
243	295	26	1
244	295	26	1
245	295	26	1
239	296	26	1
240	296	26	1
241	296	26	1
242	296	26	2
243	296	26	1
236	297	26	1
246	297	26	1
236	298	26	1
239	298	26	1
240	298	26	1
236	299	26	1
239	299	26	2
227	301	26	1
184	255	27	1
184	256	27	1
186	257	27	1
183	258	27	1
232	258	27	3
183	259	27	1
231	259	27	1
227	260	27	1
235	260	27	1
237	260	27	3
240	260	27	1
182	261	27	1
187	261	27	1
222	261	27	2
231	261	27	1
234	261	27	3
235	261	27	1
236	261	27	1
227	262	27	1
229	262	27	2
232	262	27	1
175	263	27	1
181	263	27	1
183	263	27	1
185	263	27	1
215	263	27	1
220	263	27	1
227	263	27	1
231	263	27	1
232	263	27	1
186	264	27	1
209	264	27	1
224	264	27	1
231	264	27	1
232	264	27	1
234	264	27	1
238	264	27	1
248	264	27	1
181	265	27	1
215	265	27	1
236	265	27	1
238	265	27	1
180	266	27	1
215	266	27	1
217	266	27	1
221	266	27	1
226	266	27	2
230	266	27	1
232	266	27	1
233	266	27	1
214	267	27	1
228	267	27	1
236	267	27	1
241	267	27	1
249	267	27	1
181	268	27	1
197	268	27	1
213	268	27	1
222	268	27	1
223	268	27	2
224	268	27	1
225	268	27	1
226	268	27	1
227	268	27	2
228	268	27	3
236	268	27	1
237	268	27	1
243	268	27	1
247	268	27	1
177	269	27	1
179	269	27	2
213	269	27	1
224	269	27	1
225	269	27	1
231	269	27	1
234	269	27	1
235	269	27	3
243	269	27	1
252	269	27	1
178	270	27	1
179	270	27	2
181	270	27	1
184	270	27	1
197	270	27	1
217	270	27	1
218	270	27	1
227	270	27	1
230	270	27	1
178	271	27	1
182	271	27	1
208	271	27	1
209	271	27	1
210	271	27	1
215	271	27	2
216	271	27	1
222	271	27	2
226	271	27	1
228	271	27	2
230	271	27	1
234	271	27	1
235	271	27	2
239	271	27	1
240	271	27	1
242	271	27	1
247	271	27	1
249	271	27	1
203	272	27	3
205	272	27	1
214	272	27	1
216	272	27	1
217	272	27	1
220	272	27	1
223	272	27	1
225	272	27	1
230	272	27	1
232	272	27	1
235	272	27	2
236	272	27	1
238	272	27	1
203	273	27	1
205	273	27	2
207	273	27	1
211	273	27	1
212	273	27	1
224	273	27	1
232	273	27	1
237	273	27	1
239	273	27	1
240	273	27	1
241	273	27	1
182	274	27	1
203	274	27	1
204	274	27	2
206	274	27	1
207	274	27	1
209	274	27	1
211	274	27	2
221	274	27	1
230	274	27	1
240	274	27	1
185	275	27	1
205	275	27	2
206	275	27	1
217	275	27	1
218	275	27	3
222	275	27	1
232	275	27	1
235	275	27	2
247	275	27	1
249	275	27	1
252	275	27	1
254	275	27	2
207	276	27	2
208	276	27	1
211	276	27	2
213	276	27	1
214	276	27	2
215	276	27	1
220	276	27	1
233	276	27	1
204	277	27	1
205	277	27	2
220	277	27	1
231	277	27	1
