x	y	z	Interconversion of nucleotide di- and triphosphates
244	284	21	1
231	268	25	1
227	272	25	1
238	273	25	1
235	275	25	1
235	276	25	1
233	277	25	1
231	278	25	1
236	278	25	1
236	280	25	1
245	280	25	1
237	281	25	1
240	281	25	1
238	282	25	1
239	282	25	1
243	283	25	1
239	285	25	1
250	285	25	1
242	286	25	1
236	288	25	1
239	288	25	1
235	289	25	1
237	289	25	1
250	289	25	1
237	290	25	1
240	290	25	1
234	291	25	1
227	292	25	1
242	294	25	1
239	302	25	1
182	259	26	1
241	267	26	1
233	270	26	1
236	274	26	1
231	276	26	1
238	276	26	1
250	276	26	1
234	278	26	1
236	278	26	1
240	278	26	1
207	279	26	2
240	279	26	1
249	279	26	1
238	280	26	1
250	280	26	1
244	281	26	1
242	282	26	1
250	284	26	1
249	287	26	1
240	288	26	1
252	288	26	1
251	289	26	1
227	290	26	2
236	291	26	1
225	292	26	1
252	292	26	1
225	293	26	1
245	294	26	1
244	295	26	1
248	295	26	1
239	297	26	1
245	297	26	1
240	298	26	1
239	299	26	1
181	261	27	1
183	261	27	1
184	261	27	1
183	263	27	2
229	264	27	1
230	264	27	1
231	265	27	1
221	266	27	1
239	266	27	1
182	267	27	1
214	267	27	2
215	267	27	1
215	268	27	1
230	268	27	1
238	268	27	1
232	269	27	1
235	269	27	1
242	269	27	1
252	269	27	1
215	270	27	1
243	270	27	1
181	271	27	2
211	271	27	1
215	271	27	1
216	271	27	1
226	271	27	1
242	271	27	1
248	271	27	1
204	272	27	1
249	273	27	1
177	274	27	1
212	274	27	1
216	274	27	1
241	274	27	1
247	274	27	1
252	274	27	1
218	275	27	1
222	275	27	1
249	275	27	1
207	276	27	1
211	276	27	1
212	276	27	1
234	276	27	1
208	277	27	2
219	277	27	1
220	277	27	1
233	277	27	1
239	277	27	1
250	277	27	1
204	278	27	1
219	278	27	1
221	278	27	1
232	278	27	2
249	278	27	1
240	279	27	1
243	279	27	1
209	280	27	1
234	280	27	1
231	281	27	1
254	281	27	1
209	282	27	1
213	282	27	1
235	282	27	1
252	282	27	2
201	283	27	2
218	283	27	1
221	283	27	1
245	283	27	1
206	284	27	1
215	284	27	1
230	284	27	1
237	284	27	1
237	285	27	1
208	286	27	1
216	286	27	1
239	286	27	1
240	286	27	1
252	286	27	1
254	286	27	1
256	286	27	1
230	287	27	1
234	287	27	1
242	287	27	1
247	287	27	1
252	287	27	1
255	287	27	1
234	288	27	1
241	288	27	1
245	288	27	1
225	289	27	1
231	289	27	1
246	289	27	1
207	290	27	1
228	290	27	1
235	290	27	1
239	290	27	1
241	290	27	1
243	290	27	1
234	291	27	1
242	291	27	1
213	292	27	1
237	292	27	1
238	292	27	1
251	292	27	2
217	293	27	1
229	293	27	1
234	293	27	1
237	293	27	1
244	293	27	1
253	294	27	1
254	294	27	1
257	294	27	1
244	295	27	2
241	296	27	1
249	296	27	1
220	297	27	1
253	297	27	1
243	298	27	1
229	299	27	1
240	300	27	1
247	300	27	1
235	301	27	1
234	266	28	1
236	267	28	1
237	268	28	2
238	268	28	2
250	270	28	2
235	274	28	1
248	279	28	1
241	280	28	1
208	281	28	2
248	285	28	2
244	287	28	2
243	289	28	1
245	292	28	1
249	294	28	1
250	294	28	1
242	295	28	1
230	261	29	1
231	261	29	1
222	263	29	2
216	264	29	1
230	264	29	1
248	264	29	1
234	265	29	1
197	266	29	1
217	268	29	1
234	269	29	1
248	269	29	1
178	270	29	1
242	271	29	1
238	272	29	1
249	272	29	1
212	273	29	1
180	274	29	1
206	274	29	1
213	274	29	1
235	275	29	1
234	277	29	1
236	277	29	1
251	277	29	1
244	278	29	1
206	279	29	2
234	279	29	1
233	280	29	1
246	281	29	1
213	282	29	1
235	282	29	1
241	283	29	1
244	283	29	1
248	284	29	1
239	285	29	1
246	285	29	1
235	286	29	1
252	286	29	1
228	287	29	1
244	287	29	1
249	287	29	1
234	288	29	1
240	289	29	2
245	289	29	2
245	290	29	1
240	291	29	1
238	294	29	1
240	294	29	1
243	294	29	1
253	296	29	1
221	299	29	1
222	299	29	1
252	299	29	1
225	301	29	1
232	255	30	1
203	257	30	1
227	257	30	1
229	257	30	1
229	258	30	1
195	259	30	1
241	259	30	1
228	260	30	1
186	261	30	1
217	261	30	1
225	261	30	1
230	261	30	1
231	261	30	1
236	261	30	1
244	261	30	1
221	262	30	1
245	262	30	1
186	263	30	1
227	263	30	1
230	263	30	1
228	264	30	1
231	264	30	1
240	264	30	1
184	266	30	1
198	267	30	1
214	267	30	1
230	268	30	1
231	268	30	1
241	268	30	1
248	268	30	1
250	268	30	2
172	269	30	1
197	269	30	2
222	269	30	1
242	269	30	1
245	269	30	1
193	271	30	1
244	271	30	1
182	272	30	1
244	272	30	1
185	274	30	1
214	274	30	1
238	274	30	2
247	274	30	1
213	275	30	1
215	275	30	1
204	278	30	1
205	278	30	1
236	278	30	1
246	278	30	1
221	279	30	1
234	279	30	1
219	280	30	1
246	280	30	1
248	280	30	1
235	281	30	2
247	281	30	1
252	281	30	1
234	282	30	1
245	282	30	1
246	282	30	1
257	283	30	1
177	284	30	1
224	284	30	1
253	284	30	1
254	284	30	1
220	285	30	1
233	285	30	1
256	285	30	1
219	286	30	1
225	286	30	1
241	286	30	1
249	286	30	1
255	286	30	1
220	287	30	1
238.5	287.5	30.5	1
241	287	30	1
254	287	30	1
231	288	30	1
245	288	30	1
244	290	30	1
248	290	30	1
198	291	30	1
234	291	30	1
250	291	30	1
251	291	30	1
235	292	30	1
248	292	30	1
222	293	30	1
223	293	30	1
227	293	30	1
229	293	30	1
240	293	30	1
247	293	30	1
251	293	30	1
221	294	30	1
231	294	30	1
235	294	30	1
229	295	30	1
241	295	30	1
241	296	30	1
227	297	30	1
245	297	30	1
241	298	30	1
245	298	30	1
227	299	30	1
240	299	30	1
233	300	30	1
242	300	30	1
242	302	30	1
238	303	30	1
244	303	30	1
236	306	30	1
224	253	31	2
229	254	31	1
230	255	31	1
216	256	31	1
233	256	31	1
227	258	31	1
233	258	31	1
232	259	31	1
239	259	31	1
191	260	31	1
242	260	31	1
187	261	31	1
211	261	31	1
211	263	31	1
232	263	31	1
235	263	31	1
192	265	31	1
200	265	31	1
239	265	31	1
212	266	31	1
217	266	31	1
233	266	31	1
246	266	31	1
182	267	31	1
229	267	31	2
215	268	31	1
225	268	31	1
231	268	31	1
173	269	31	1
204	269	31	1
234	269	31	1
240	269	31	1
249	269	31	1
237	270	31	1
242	270	31	1
250	270	31	1
175	271	31	1
184	271	31	1
237	271	31	1
