x	y	z	Cholesterol biosynthesis
240	286	21	1
239	278	24	1
241	279	24	1
246	284	24	1
239	287	24	1
243	288	24	1
244	288	24	1
249	288	24	2
248	289	24	1
231	268	25	1
227	272	25	1
233	272	25	1
233	274	25	2
234	274	25	1
236	275	25	1
239	276	25	2
240	276	25	1
233	277	25	1
234	277	25	1
236	277	25	1
232	278	25	1
237	278	25	1
235	279	25	1
236	279	25	1
238	279	25	1
234	280	25	1
236	280	25	2
239	280	25	1
241	280	25	1
248	280	25	1
235	281	25	2
245	281	25	1
214	282	25	1
235	282	25	1
238	282	25	1
231	283	25	1
234	283	25	1
236	283	25	1
240	283	25	1
241	283	25	1
243	283	25	1
233	284	25	1
236	284	25	1
242	284	25	2
245	284	25	1
249	284	25	1
250	284	25	1
215	285	25	1
238	285	25	2
241	285	25	1
250	285	25	1
252	285	25	1
218	286	25	1
232	286	25	1
236	286	25	1
243	286	25	1
254	286	25	1
251	287	25	2
226	289	25	1
235	289	25	2
236	289	25	1
250	289	25	1
252	289	25	1
234	290	25	1
243	290	25	2
250	290	25	1
234	291	25	1
236	291	25	1
249	292	25	1
239	293	25	1
240	294	25	1
242	294	25	1
246	294	25	1
240	295	25	1
241	295	25	1
246	296	25	1
247	296	25	1
239	297	25	2
240	300	25	1
239	302	25	1
176	259	26	1
182	259	26	1
232	263	26	1
232	265	26	1
235	267	26	1
236	269	26	1
237	270	26	1
236	271	26	1
240	271	26	1
223	272	26	1
224	272	26	1
226	272	26	1
239	272	26	1
248	273	26	1
249	273	26	1
232	275	26	1
236	275	26	1
237	275	26	1
239	275	26	1
207	276	26	1
237	276	26	1
250	276	26	2
210	277	26	1
230	277	26	2
234	277	26	1
235	277	26	1
236	277	26	1
239	277	26	1
247	277	26	1
231	278	26	1
237	278	26	1
252	278	26	1
231	279	26	1
250	279	26	1
230	280	26	1
232	280	26	1
234	280	26	1
242	280	26	1
248	280	26	1
249	280	26	1
217	281	26	1
232	281	26	1
235	281	26	1
236	281	26	1
240	281	26	1
233	282	26	2
237	282	26	1
242	282	26	1
250	282	26	1
254	282	26	1
227	283	26	1
241	283	26	2
249	283	26	1
215	284	26	1
233	284	26	1
243	284	26	1
244	284	26	1
246	284	26	1
211	285	26	1
212	285	26	1
234	285	26	1
240	285	26	1
253	285	26	1
254	285	26	1
234	286	26	2
238	286	26	1
240	286	26	1
252	286	26	1
224	287	26	1
238	287	26	2
239	287	26	1
249	287	26	1
250	287	26	1
249	288	26	1
253	288	26	1
227	289	26	2
233	289	26	1
240	289	26	1
242	289	26	1
243	289	26	2
248	289	26	1
251	289	26	1
228	290	26	1
233	290	26	2
236	290	26	1
237	290	26	2
240	290	26	1
222	291	26	1
229	291	26	1
240	291	26	1
244	291	26	1
239	292	26	1
240	292	26	1
250	292	26	3
252	292	26	1
254	292	26	1
234	293	26	1
235	294	26	1
244	294	26	1
249	294	26	1
234	295	26	1
241	295	26	3
242	295	26	1
243	295	26	1
248	295	26	1
235	296	26	2
245	297	26	1
235	298	26	1
239	299	26	1
240	299	26	1
243	299	26	1
183	257	27	1
186	257	27	1
215	258	27	1
226	259	27	2
183	260	27	1
184	260	27	1
186	260	27	1
228	260	27	1
233	260	27	1
234	260	27	1
237	260	27	1
177	261	27	1
183	261	27	1
184	261	27	1
185	261	27	1
222	261	27	1
227	261	27	1
177	262	27	1
182	262	27	2
229	262	27	1
233	262	27	1
236	262	27	1
181	263	27	1
229	263	27	1
232	263	27	2
233	263	27	1
186	264	27	1
222	264	27	1
225	264	27	1
229	264	27	1
248	264	27	1
181	265	27	2
189	265	27	1
212	265	27	1
215	265	27	1
225	265	27	2
233	265	27	1
234	265	27	1
240	265	27	1
221	266	27	1
224	266	27	1
239	266	27	2
182	267	27	1
214	267	27	1
215	267	27	1
228	267	27	1
230	267	27	1
235	267	27	1
240	267	27	2
249	267	27	1
180	268	27	1
214	268	27	1
215	268	27	1
216	268	27	1
217	268	27	1
223	268	27	2
224	268	27	1
225	268	27	1
227	268	27	1
234	268	27	1
241	268	27	1
179	269	27	1
207	269	27	1
213	269	27	1
214	269	27	1
215	269	27	1
231	269	27	1
243	269	27	1
