x	y	z	Senescence-Associated Secretory Phenotype (SASP)
231	283	26	1
233	283	26	1
239	283	26	1
243	283	26	1
245	283	26	1
246	283	26	1
248	283	26	1
249	283	26	1
214	284	26	1
232	284	26	1
235	284	26	2
236	284	26	1
241	284	26	1
243	284	26	1
246	284	26	1
214	285	26	1
237	285	26	1
240	285	26	1
244	285	26	1
253	285	26	1
233	286	26	1
235	286	26	1
243	286	26	1
247	286	26	1
252	286	26	1
254	286	26	1
223	287	26	1
234	287	26	2
238	287	26	1
235	288	26	1
245	288	26	2
252	288	26	1
222	289	26	1
233	289	26	1
234	289	26	3
236	289	26	1
240	289	26	1
248	289	26	1
243	290	26	1
244	290	26	2
250	290	26	1
226	291	26	1
238	291	26	2
239	291	26	1
240	291	26	2
246	291	26	1
237	292	26	1
240	292	26	1
242	292	26	1
245	292	26	1
246	292	26	1
250	292	26	1
251	292	26	1
247	293	26	1
237	294	26	1
240	294	26	1
242	294	26	1
244	294	26	2
245	294	26	1
249	294	26	1
221	295	26	2
237	295	26	1
240	295	26	2
241	295	26	2
242	295	26	1
244	295	26	1
254	295	26	1
235	296	26	1
244	296	26	1
239	297	26	1
246	297	26	1
235	298	26	2
236	300	26	1
227	301	26	1
182	255	27	1
183	257	27	1
183	258	27	2
232	258	27	2
227	260	27	1
235	260	27	2
182	261	27	1
184	261	27	1
185	261	27	1
187	261	27	2
222	261	27	1
229	261	27	1
230	261	27	1
234	261	27	2
180	262	27	2
178	263	27	1
181	263	27	1
210	263	27	1
211	263	27	1
220	263	27	1
230	263	27	1
233	263	27	2
175	264	27	2
180	264	27	1
225	264	27	1
228	264	27	3
230	264	27	1
231	264	27	1
240	264	27	1
248	264	27	1
181	265	27	1
215	265	27	1
230	265	27	3
231	265	27	1
232	265	27	1
234	265	27	1
235	265	27	1
237	265	27	1
180	266	27	1
201	266	27	1
215	266	27	1
216	266	27	2
221	266	27	1
226	266	27	1
234	266	27	1
239	266	27	1
182	267	27	1
215	267	27	1
217	267	27	2
226	267	27	1
232	267	27	1
233	267	27	2
234	267	27	1
235	267	27	1
236	267	27	1
249	267	27	1
250	267	27	1
179	268	27	1
207	268	27	1
213	268	27	1
223	268	27	1
228	268	27	1
229	268	27	1
231	268	27	1
234	268	27	1
235	268	27	2
236	268	27	1
237	268	27	1
243	268	27	1
247	268	27	1
178	269	27	2
214	269	27	1
225	269	27	2
231	269	27	1
232	269	27	1
234	269	27	1
236	269	27	2
239	269	27	1
240	269	27	1
241	269	27	1
243	269	27	2
178	270	27	2
192	270	27	1
207	270	27	2
217	270	27	1
221	270	27	1
226	270	27	1
230	270	27	1
231	270	27	1
232	270	27	3
233	270	27	1
238	270	27	1
242	270	27	1
244	270	27	2
248	270	27	1
250	270	27	2
206	271	27	1
209	271	27	1
216	271	27	1
228	271	27	1
232	271	27	1
235	271	27	1
236	271	27	2
242	271	27	2
248	271	27	1
204	272	27	1
205	272	27	1
217	272	27	1
220	272	27	1
227	272	27	1
232	272	27	1
237	272	27	1
240	272	27	1
247	272	27	1
251	272	27	1
183	273	27	1
206	273	27	1
220	273	27	1
223	273	27	1
231	273	27	1
238	273	27	1
240	273	27	1
248	273	27	1
178	274	27	1
182	274	27	2
209	274	27	1
211	274	27	1
226	274	27	1
227	274	27	1
229	274	27	1
230	274	27	1
232	274	27	2
233	274	27	1
236	274	27	1
247	274	27	2
250	274	27	1
211	275	27	1
212	275	27	1
216	275	27	1
218	275	27	1
223	275	27	1
230	275	27	1
232	275	27	1
233	275	27	3
240	275	27	1
242	275	27	1
245	275	27	2
246	275	27	2
254	275	27	1
177	276	27	2
204	276	27	1
207	276	27	1
208	276	27	1
212	276	27	1
213	276	27	1
217	276	27	1
219	276	27	1
230	276	27	1
233	276	27	1
234	276	27	1
205	277	27	1
210	277	27	1
218	277	27	1
219	277	27	3
227	277	27	2
231	277	27	1
237	277	27	2
238	277	27	1
243	277	27	1
204	278	27	1
206	278	27	1
213	278	27	1
220	278	27	2
227	278	27	2
232	278	27	1
233	278	27	1
234	278	27	2
238	278	27	1
239	278	27	1
245	278	27	1
248	278	27	2
251	278	27	1
252	278	27	1
201	279	27	2
207	279	27	1
210	279	27	1
231	279	27	1
232	279	27	1
238	279	27	1
239	279	27	1
240	279	27	1
242	279	27	2
245	279	27	1
246	279	27	1
247	279	27	1
248	279	27	2
249	279	27	1
250	279	27	1
252	279	27	1
257	279	27	1
205	280	27	1
209	280	27	1
232	280	27	1
234	280	27	1
235	280	27	2
238	280	27	2
244	280	27	1
246	280	27	1
250	280	27	1
214	281	27	1
218	281	27	1
222	281	27	2
230	281	27	1
233	281	27	1
235	281	27	2
237	281	27	1
248	281	27	3
249	281	27	1
251	281	27	1
256	281	27	1
205	282	27	1
212	282	27	1
214	282	27	1
215	282	27	1
216	282	27	2
217	282	27	1
229	282	27	1
235	282	27	1
241	282	27	1
242	282	27	1
243	282	27	1
244	282	27	1
246	282	27	1
247	282	27	2
250	282	27	2
253	282	27	1
206	283	27	1
209	283	27	1
210	283	27	1
216	283	27	1
218	283	27	1
221	283	27	3
228	283	27	1
231	283	27	1
238	283	27	1
242	283	27	1
245	283	27	2
247	283	27	2
255	283	27	1
214	284	27	2
235	284	27	1
240	284	27	1
253	284	27	1
255	284	27	1
200	285	27	2
204	285	27	1
206	285	27	1
208	285	27	1
211	285	27	1
212	285	27	1
213	285	27	2
215	285	27	1
223	285	27	2
224	285	27	1
233	285	27	2
242	285	27	1
245	285	27	1
254	285	27	2
216	286	27	2
219	286	27	1
222	286	27	1
226	286	27	1
233	286	27	2
240	286	27	1
245	286	27	1
255	286	27	1
256	286	27	1
237	287	27	1
240	287	27	1
249	287	27	1
252	287	27	1
255	287	27	1
211	288	27	1
223	288	27	2
226	288	27	2
232	288	27	2
238	288	27	2
241	288	27	1
242	288	27	1
243	288	27	2
244	288	27	1
245	288	27	1
250	288	27	2
251	288	27	1
253	288	27	2
255	288	27	1
209	289	27	1
222	289	27	1
226	289	27	1
231	289	27	2
235	289	27	2
237	289	27	1
238	289	27	2
248	289	27	1
251	289	27	1
252	289	27	1
254	289	27	1
256	289	27	1
214	290	27	1
224	290	27	1
233	290	27	1
237	290	27	3
241	290	27	1
243	290	27	1
249	290	27	1
250	290	27	1
252	290	27	1
210	291	27	1
213	291	27	2
221	291	27	1
222	291	27	1
225	291	27	1
229	291	27	1
235	291	27	1
236	291	27	2
237	291	27	2
239	291	27	1
240	291	27	1
241	291	27	2
242	291	27	1
251	291	27	1
252	291	27	1
257	291	27	1
212	292	27	2
218	292	27	1
225	292	27	1
230	292	27	2
238	292	27	1
246	292	27	1
247	292	27	1
249	292	27	1
250	292	27	1
219	293	27	3
234	293	27	1
239	293	27	1
242	293	27	2
245	293	27	1
248	293	27	3
249	293	27	1
250	293	27	2
251	293	27	1
254	293	27	2
211	294	27	1
224	294	27	2
231	294	27	1
237	294	27	1
244	294	27	1
221	295	27	1
223	295	27	1
226	295	27	1
239	295	27	1
247	295	27	2
248	295	27	1
249	295	27	1
251	295	27	1
255	295	27	1
211	296	27	1
220	296	27	1
236	296	27	1
239	296	27	1
245	296	27	1
247	296	27	1
249	296	27	1
252	296	27	1
217	297	27	1
221	297	27	1
225	297	27	2
237	297	27	3
239	297	27	1
245	297	27	1
236	298	27	1
238	298	27	1
248	298	27	1
229	299	27	1
230	299	27	1
236	299	27	3
239	299	27	1
240	299	27	4
243	299	27	1
228	300	27	2
236	300	27	1
237	300	27	1
240	300	27	1
248	300	27	1
234	301	27	1
235	301	27	1
236	301	27	1
241	301	27	1
243	301	27	1
234	302	27	1
237	302	27	1
241	303	27	1
244	304	27	1
237	305	27	1
231	266	28	1
232	266	28	1
231	267	28	2
236	267	28	2
236	268	28	1
235	270	28	1
237	270	28	1
206	272	28	1
232	272	28	1
250	272	28	1
211	273	28	1
214	274	28	1
232	274	28	1
235	274	28	1
235	275	28	1
237	276	28	1
238	276	28	2
236	277	28	1
248	279	28	1
235	280	28	1
234	282	28	1
237	283	28	1
247	283	28	2
246	284	28	1
238	285	28	1
245	285	28	1
237	286	28	1
227	289	28	1
228	289	28	3
246	289	28	1
226	290	28	1
242	290	28	1
240	291	28	1
250	291	28	1
222	292	28	1
241	292	28	1
247	292	28	1
248	292	28	1
250	293	28	1
242	294	28	2
245	294	28	1
242	295	28	1
248	295	28	1
240	296	28	3
239	297	28	1
245	297	28	1
225	300	28	1
236	300	28	1
240	300	28	1
229	255	29	1
233	256	29	1
235	256	29	1
235	257	29	1
190	258	29	2
182	259	29	1
188	259	29	1
229	259	29	2
238	259	29	1
181	260	29	1
234	260	29	1
183	261	29	1
227	261	29	1
230	261	29	1
248	262	29	1
222	263	29	1
232	263	29	1
237	264	29	1
245	264	29	1
215	265	29	1
232	265	29	1
233	265	29	2
239	265	29	1
248	266	29	2
193	267	29	1
196	267	29	1
199	267	29	2
232	267	29	1
234	267	29	1
235	267	29	3
236	267	29	1
194	268	29	1
201	268	29	2
234	269	29	1
240	269	29	1
198	270	29	1
200	270	29	1
227	270	29	1
231	270	29	1
182	271	29	2
203	271	29	1
204	271	29	2
214	271	29	2
215	271	29	2
216	271	29	1
235	271	29	1
237	271	29	3
242	271	29	1
214	272	29	2
215	272	29	1
236	272	29	1
182	273	29	1
211	273	29	1
212	273	29	1
249	273	29	1
213	274	29	1
235	274	29	2
240	274	29	1
215	275	29	2
231	275	29	1
235	275	29	1
239	275	29	2
240	275	29	1
241	275	29	1
242	275	29	1
205	276	29	1
206	276	29	1
234	276	29	1
246	276	29	1
248	276	29	1
249	276	29	1
250	276	29	1
232	277	29	1
238	277	29	1
204	278	29	1
237	278	29	1
238	278	29	1
239	278	29	2
250	278	29	1
206	279	29	2
234	279	29	1
236	279	29	1
246	279	29	1
248	279	29	1
256	279	29	2
234	280	29	1
235	280	29	1
236	280	29	1
238	280	29	1
241	280	29	1
250	280	29	1
252	280	29	1
224	281	29	1
232	281	29	1
233	281	29	1
234	281	29	1
235	281	29	1
241	281	29	2
246	281	29	1
249	281	29	1
206	282	29	1
241	282	29	1
244	282	29	1
245	282	29	1
246	282	29	1
249	282	29	1
250	282	29	1
251	282	29	1
254	282	29	1
209	283	29	1
215	283	29	3
231	283	29	1
232	283	29	1
234	283	29	1
237	283	29	1
250	283	29	1
211	284	29	2
220	284	29	2
222	284	29	1
236	284	29	1
237	284	29	1
238	284	29	1
240	284	29	1
242	284	29	1
243	284	29	3
244	284	29	1
248	284	29	3
249	284	29	1
252	284	29	2
255	284	29	1
219	285	29	1
226	285	29	2
227	285	29	1
240	285	29	2
246	285	29	1
247	285	29	1
250	285	29	1
253	285	29	2
232	286	29	2
233	286	29	1
235	286	29	1
248	286	29	1
249	286	29	2
226	287	29	2
233	287	29	1
234	287	29	1
238	287	29	2
245	287	29	1
232	288	29	1
233	288	29	1
234	288	29	1
235	288	29	1
236	288	29	1
246	288	29	1
227	289	29	1
228	289	29	1
235	289	29	1
244	289	29	2
245	289	29	2
246	289	29	2
247	289	29	1
224	290	29	1
225	290	29	3
228	290	29	2
237	290	29	1
239	290	29	1
242	290	29	1
225	291	29	1
238	291	29	2
240	291	29	1
245	291	29	2
246	291	29	1
248	291	29	1
250	291	29	1
222	292	29	1
225	292	29	2
237	292	29	1
239	292	29	2
245	292	29	1
242	293	29	1
246	293	29	1
247	293	29	1
252	293	29	1
238	294	29	1
241	294	29	1
244	294	29	1
220	295	29	2
244	295	29	1
247	295	29	1
222	296	29	1
246	296	29	1
238	297	29	1
241	297	29	1
247	297	29	1
215	298	29	1
219	298	29	1
245	298	29	1
247	298	29	2
222	299	29	2
226	299	29	2
240	299	29	1
241	299	29	1
252	299	29	1
221	300	29	1
227	300	29	1
239	300	29	1
247	300	29	2
227	301	29	1
241	301	29	1
235	302	29	1
236	305	29	1
225	251	30	2
215	252	30	1
233	252	30	2
228	253	30	2
231	253	30	2
237	253	30	2
230	254	30	1
232	254	30	1
232	255	30	1
234	255	30	1
237	255	30	1
229	256	30	1
232	256	30	1
190	257	30	1
227	257	30	1
230	257	30	2
176	258	30	1
181	258	30	2
227	258	30	3
233	258	30	1
237	258	30	1
205	259	30	1
210	259	30	1
216	259	30	2
219	259	30	2
230	259	30	1
234	259	30	1
196	260	30	1
197	260	30	3
212	260	30	1
216	260	30	1
217	260	30	1
226	260	30	1
228	260	30	1
245	260	30	1
194	261	30	1
196	261	30	1
208	261	30	1
215	261	30	1
217	261	30	1
218	261	30	1
225	261	30	1
230	261	30	1
244	261	30	1
246	261	30	2
249	261	30	1
178	262	30	1
186	262	30	1
188	262	30	1
193	262	30	2
223	262	30	1
225	262	30	2
230	262	30	1
242	262	30	1
245	262	30	1
246	262	30	1
251	262	30	1
182	263	30	2
185	263	30	1
189	263	30	1
210	263	30	1
218	263	30	2
234	263	30	1
242	263	30	2
246	263	30	1
249	263	30	1
178	264	30	1
188	264	30	1
231	264	30	1
191	265	30	1
192	265	30	1
197	265	30	1
205	265	30	2
211	265	30	2
213	265	30	1
230	265	30	1
231	265	30	2
232	265	30	1
233	265	30	1
234	265	30	1
235	265	30	1
238	265	30	1
244	265	30	1
247	265	30	2
189	266	30	1
193	266	30	2
212	266	30	2
215	266	30	1
219	266	30	1
226	266	30	1
230	266	30	1
232	266	30	1
238	266	30	1
241	266	30	1
247	266	30	1
249	266	30	1
176	267	30	1
192	267	30	1
193	267	30	1
202	267	30	1
209	267	30	1
219	267	30	1
228	267	30	1
238	267	30	1
239	267	30	1
240	267	30	1
244	267	30	1
245	267	30	1
247	267	30	1
249	267	30	2
189	268	30	2
191	268	30	1
206	268	30	1
207	268	30	1
213	268	30	1
226	268	30	1
231	268	30	1
235	268	30	1
239	268	30	1
241	268	30	1
244	268	30	2
247	268	30	1
248	268	30	1
250	268	30	1
177	269	30	1
193	269	30	1
194	269	30	1
198	269	30	2
199	269	30	2
216	269	30	1
232	269	30	1
235	269	30	1
236	269	30	1
239	269	30	1
240	269	30	2
243	269	30	4
245	269	30	2
247	269	30	1
252	269	30	2
179	270	30	2
181	270	30	1
183	270	30	1
195	270	30	1
196	270	30	2
197	270	30	1
205	270	30	1
215	270	30	2
227	270	30	1
231	270	30	1
234	270	30	1
244	270	30	1
249	270	30	1
175	271	30	1
181	271	30	1
204	271	30	1
207	271	30	2
215	271	30	1
216	271	30	1
225	271	30	1
229	271	30	1
243	271	30	1
244	271	30	1
180	272	30	1
184	272	30	1
203	272	30	1
223	272	30	1
227	272	30	1
250	272	30	1
182	273	30	1
183	273	30	1
206	273	30	1
234	273	30	1
235	273	30	2
236	273	30	1
240	273	30	2
180	274	30	1
183	274	30	1
203	274	30	1
214	274	30	1
239	274	30	1
244	274	30	1
251	274	30	1
175	275	30	1
182	275	30	2
183	275	30	1
184	275	30	1
211	275	30	1
212	275	30	1
235	275	30	1
236	275	30	1
237	275	30	1
240	275	30	1
250	275	30	1
186	276	30	1
236	276	30	1
238	276	30	1
239	276	30	2
241	276	30	1
249	276	30	1
250	276	30	2
253	276	30	2
180	277	30	1
232	277	30	1
237	277	30	1
239	277	30	1
245	277	30	1
190	278	30	1
205	278	30	2
208	278	30	1
230	278	30	1
253	278	30	1
206	279	30	1
237	279	30	1
239	279	30	1
241	279	30	1
243	279	30	1
244	279	30	1
245	279	30	2
254	279	30	1
175	280	30	2
206	280	30	1
219	280	30	1
232	280	30	1
233	280	30	1
236	280	30	2
239	280	30	1
241	280	30	2
245	280	30	1
246	280	30	1
247	280	30	1
248	280	30	1
251	280	30	1
173	281	30	1
175	281	30	1
179	281	30	1
218	281	30	1
223	281	30	1
233	281	30	1
239	281	30	1
243	281	30	1
244	281	30	1
246	281	30	1
249	281	30	2
251	281	30	1
252	281	30	2
172	282	30	1
177	282	30	1
187	282	30	1
210	282	30	1
213	282	30	1
235	282	30	1
239	282	30	2
244	282	30	1
245	282	30	2
246	282	30	1
250	282	30	3
251	282	30	1
252	282	30	1
256	282	30	1
202	283	30	1
221	283	30	2
222	283	30	1
238	283	30	2
239	283	30	1
241	283	30	1
242	283	30	1
246	283	30	1
252	283	30	1
181	284	30	1
221	284	30	1
224	284	30	1
225	284	30	1
226	284	30	2
231	284	30	1
238	284	30	1
244	284	30	1
245	284	30	2
249	284	30	2
254	284	30	1
211	285	30	2
224	285	30	1
227	285	30	1
236	285	30	2
242	285	30	1
245	285.666666666667	31	2
248	285	30	1
252	285	30	1
256	285	30	1
180	286	30	1
205	286	30	1
206	286	30	4
219	286	30	1
225	286	30	3
229	286	30	1
231	286	30	1
234	286	30	2
235	286	30	3
239	286	30	1
245	286	30	1
251	286	30	1
226	287	30	1
231	287	30	1
234	287	30	1
241	287	30	2
244	287	30	1
251	287	30	1
252	287	30	1
255	287	30	1
199	288	30	1
223	288	30	1
225	288	30	1
232	288	30	1
235	288	30	3
238	288	30	1
243	288	30	1
244	288	30	1
248	288	30	1
250	288	30	1
199	289	30	1
201	289	30	1
226	289	30	1
230	289	30	1
231	289	30	1
234	289	30	1
235	289	30	2
238	289	30	1
220	290	30	2
233	290	30	2
236	290	30	1
239	290	30	1
241	290	30	2
242	290	30	1
250	290	30	1
253	290	30	1
222	291	30	2
226	291	30	2
232	291	30	1
235	291	30	1
237	291	30	1
238	291	30	1
239	291	30	1
241	291	30	2
248	291	30	1
258	291	30	1
199	292	30	1
213	292	30	1
227	292	30	1
228	292	30	1
230	292	30	1
232	292	30	4
235	292	30	2
238	292	30	1
243	292	30	3
248	292	30	1
249	292	30	1
251	292	30	1
257	292	30	2
221	293	30	1
222	293	30	1
225	293	30	2
227	293	30	2
234	293	30	1
236	293	30	2
243	293	30	1
245	293	30	1
246	293	30	1
250	293	30	1
253	293	30	1
220	294	30	1
229	294	30	1
230	294	30	1
231	294	30	1
241	294	30	1
243	294	30	1
246	294	30	1
249	294	30	1
251	294	30	1
252	294	30	1
258	294	30	1
220	295	30	1
224	295	30	1
225	295	30	3
226	295	30	1
227	295	30	1
229	295	30	1
251	295	30	1
186	296	30	1
228	296	30	1
233	296	30	1
235	296	30	1
226	297	30	1
237	297	30	1
239	297	30	1
246	297	30	1
250	297	30	1
252	297	30	1
215	298	30	1
221	298	30	1
231	298	30	1
239	298	30	2
240	298	30	1
245	298	30	2
247	298	30	1
249	298	30	1
252	298	30	1
216	299	30	2
221	299	30	1
225	299	30	1
229	299	30	1
236	299	30	1
241	299	30	1
242	299	30	2
248	299	30	1
250	299	30	1
227	300	30	1
230	300	30	1
231	300	30	2
232	300	30	2
233	300	30	2
236	300	30	1
241	300	30	1
242	300	30	2
223	301	30	2
230	301	30	2
237	301	30	1
239	301	30	2
240	301	30	2
242	301	30	1
243	301	30	1
247	301	30	1
248	301	30	1
221	302	30	1
242	302	30	1
247	302	30	1
217	303	30	1
225	303	30	1
239	303	30	1
240	303	30	1
243	303	30	1
246	303	30	1
233	304	30	2
234	304	30	1
240	304	30	1
236	305	30	1
238	305	30	1
242	305	30	1
236	306	30	1
226	249	31	1
226	250	31	1
227	250	31	1
235	250	31	1
229	252	31	1
225	253	31	2
233	253	31	1
237	253	31	1
229	254	31	1
195	255	31	1
215	255	31	1
235	255	31	1
236	255	31	1
237	255	31	1
238	255	31	1
207	256	31	1
202	257	31	2
218	257	31	1
229	257	31	1
230	257	31	1
232	257	31	1
239	257	31	1
240	257	31	1
188	258	31	2
215	258	31	2
230	258	31	1
233	258	31	2
240	258	31	1
188	259	31	1
206	259	31	1
209	259	31	1
218	259	31	1
219	259	31	1
231	259	31	1
232	259	31	1
235	259	31	1
237	259	31	1
239	259	31	1
242	259	31	1
186	260	31	1
216	260	31	1
218	260	31	1
221	260	31	1
224	260	31	1
231	260	31	1
235	260	31	1
237	260	31	1
238	260	31	1
239	260	31	1
241	260	31	1
242	260	31	2
245	260	31	1
208	261	31	1
210	261	31	1
211	261	31	1
213	261	31	1
225	261	31	1
228	261	31	3
231	261	31	2
239	261	31	1
243	261	31	1
246	261	31	1
186	262	31	1
207	262	31	1
210	262	31	1
216	262	31	1
219	262	31	1
221	262	31	2
227	262	31	2
235	262	31	2
236	262	31	1
238	262	31	1
240	262	31	1
246	262	31	1
248	262	31	2
188	263	31	1
194	263	31	2
197	263	31	1
211	263	31	1
217	263	31	1
220	263	31	1
221	263	31	1
222	263	31	1
233	263	31	1
234	263	31	1
236	263	31	1
245	263	31	1
178	264	31	1
185	264	31	2
187	264	31	1
214	264	31	1
215	264	31	1
220	264	31	1
224	264	31	1
226	264	31	1
240	264	31	2
248	264	31	1
184	265	31	1
186	265	31	1
213	265	31	1
214	265	31	1
216	265	31	1
223	265	31	1
229	265	31	1
231	265	31	1
245	265	31	1
249	265	31	1
250	265	31	1
186	266	31	1
187	266	31	1
189	266	31	1
191	266	31	2
193	266	31	1
198	266	31	1
212	266	31	1
213	266	31	1
217	266	31	1
243	266	31	1
244	266	31	3
245	266	31	1
246	266	31	1
248	266	31	1
186	267	31	1
192	267	31	1
195	267	31	2
223	267	31	1
228	267	31	1
230	267	31	1
235	267	31	2
236	267	31	1
242	267	31	1
244	267	31	1
247	267	31	1
183	268	31	2
188	268	31	3
195	268	31	1
197	268	31	1
203	268	31	1
205	268	31	1
210	268	31	1
219	268	31	1
220	268	31	1
224	268	31	1
232	268	31	1
238	268	31	1
241	268	31	1
242	268	31	1
188	269	31	1
194	269	31	1
198	269	31	1
232	269	31	1
238	269	31	1
247	269	31	1
248	269	31	1
249	269	31	1
250	269	31	2
252	269	31	1
173	270	31	1
178	270	31	1
180	270	31	1
183	270	31	1
185	270	31	1
196	270	31	1
198	270	31	2
201	270	31	1
217	270	31	1
237	270	31	1
239	270	31	1
244	270	31	2
247	270	31	1
248	270	31	1
171	271	31	1
172	271	31	1
175	271	31	1
177	271	31	2
182	271	31	1
203	271	31	1
217	271	31	1
226	271	31	1
232	271	31	1
233	271	31	1
237	271	31	1
239	271	31	1
240	271	31	2
244	271	31	1
246	271	31	1
247	271	31	2
176	272	31	1
183	272	31	1
203	272	31	1
205	272	31	1
210	272	31	1
213	272	31	2
216	272	31	2
225	272	31	3
227	272	31	2
234	272	31	1
235	272	31	1
239	272	31	1
240	272	31	1
241	272	31	1
243	272	31	1
249	272	31	1
250	272	31	1
254	272	31	1
183	273	31	1
184	273	31	1
215	273	31	1
234	273	31	1
236	273	31	1
239	273	31	1
249	273	31	1
250	273	31	1
175	274	31	1
182	274	31	1
185	274	31	1
204	274	31	2
210	274	31	1
225	274	31	1
237	274	31	1
182	275	31	1
184	275	31	1
205	275	31	1
239	275	31	1
241	275	31	1
181	276	31	1
184	276	31	2
198	276	31	1
236	276	31	1
239	276	31	1
246	276	31	1
252	276	31	2
235	277	31	1
237	277	31	1
239	277	31	1
244	277	31	1
247	277	31	2
174	278	31	1
177	278	31	1
178	278	31	1
180	278	31	1
204	278	31	1
242	278	31	1
247	278	31	1
206	279	31	1
207	279	31	2
208	279	31	2
219	279	31	1
234	279	31	3
237	279	31	1
244	279	31	1
246	279	31	1
253	279	31	2
176	280	31	1
181	280	31	2
220	280	31	1
232	280	31	2
235	280	31	1
238	280	31	1
241	280	31	1
248	280	31	1
251	280	31	1
184	281	31	1
206	281	31	1
210	281	31	1
223	281	31	2
228	281	31	1
234	281	31	1
236	281	31	1
250	281	31	1
179	282	31	1
219	282	31	1
223	282	31	3
231	282	31	1
234	282	31	1
235	282	31	1
239	282	31	1
240	282	31	1
244	282	31	1
248	282	31	1
249	282	31	1
250	282	31	2
252	282	31	1
256	282	31	1
176	283	31	1
181	283	31	2
209	283	31	1
219	283	31	2
224	283	31	1
231	283	31	1
232	283	31	1
235	283	31	1
239	283	31	1
240	283	31	1
246	283	31	1
252	283	31	1
253	283	31	1
176	284	31	1
179	284	31	1
180	284	31	1
182	284	31	1
206	284	31	1
220	284	31	1
223	284	31	1
224	284	31	1
235	284	31	1
244	284	31	1
249	284	31	1
250	284	31	1
256	284	31	1
177	285	31	1
179	285	31	1
219	285	31	1
222	285	31	1
229	285	31	1
231	285	31	1
234	285	31	2
243	285	31	1
247	285	31	2
253	285	31	1
204	286	31	1
218	286	31	1
219	286	31	1
224	286	31	1
227	286	31	1
237	286	31	2
238	286	31	1
244	286	31	1
246	286	31	1
249	286	31	1
220	287	31	1
221	287	31	1
223	287	31	1
227	287	31	2
231	287	31	1
237	287	31	1
250	287	31	1
251	287	31	1
252	287	31	1
223	288	31	1
225	288	31	2
228	288	31	1
230	288	31	2
236	288	31	1
244	288	31	1
245	288	31	1
247	288	31	2
251	288	31	1
253	288	31	1
200	289	31	2
221	289	31	1
225	289	31	1
227	289	31	1
228	289	31	1
234	289	31	1
235	289	31	1
237	289	31	1
240	289	31	2
242	289	31	1
244	289	31	1
252	289	31	1
230	290	31	1
231	290	31	1
234	290	31	1
237	290	31	1
239	290	31	1
243	290	31	2
247	290	31	2
198	291	31	1
199	291	31	1
222	291	31	1
231	291	31	1
241	291	31	1
244	291	31	1
255	291	31	1
199	292	31	1
227	292	31	1
231	292	31	2
235	292	31	1
236	292	31	1
242	292	31	1
243	292	31	1
247	292	31	1
256	292	31	1
198	293	31	1
228	293	31	1
232	293	31	2
233	293	31	3
234	293	31	1
236	293	31	2
237	293	31	1
238	293	31	2
239	293	31	1
241	294	32.8	1
246	293	31	1
247	293	31	1
251	293	31	1
221	294	31	1
225	294	31	1
230	294	31	2
233	294	31	1
235	294	31	1
240	294	31	1
242	294	31	1
