x	y	z	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
216.157603775171	275.673637444315	34.5586340221659	1
240	277	24	1
235	278	24	1
245	287	24	1
249	288	24	1
244	289	24	2
248	289	24	1
234	271	25	1
227	272	25	1
228	272	25	1
233	272	25	1
238	272	25	1
227	273	25	1
235	273	25	1
236	273	25	1
238	273	25	1
231	274	25	2
233	274	25	1
232.5	276.5	25.5	1
235	276	25	2
236	276	25	2
239	276	25	1
231	277	25	1
235	277	25	2
236	277	25	2
237	277	25	3
231	278	25	1
238	278	25	1
241	279	25	1
232	280	25	1
234	281	25	1
240	281	25	1
234	282	25	1
248	282	25	1
249	282	25	1
231	283	25	1
245	283	25	1
249	283	25	1
241	284	25	2
243	284	25	1
245	284	25	1
252	284	25	1
234	285	25	1
240	285	25	1
241	285	25	1
246	285	25	2
236	286	25	1
240	286	25	2
250	286	25	1
223	287	25	3
242	287	25	2
245	287	25	1
252	287	25	1
224	288	25	1
241	289	25	1
242	289	25	1
248.5	289.5	25.5	1
234	290	25	1
237	290	25	1
244	290	25	1
250	290	25	1
236	291	25	1
239	291	25	1
241	291	25	1
250	291	25	1
235	292	25	1
238	292	25	1
243	292	25	1
249	292	25	1
243	293	25	1
244	293	25	1
247	293	25	1
243	294	25	1
240	295	25	2
243	295	25	1
238	296	25	1
244	296	25	1
247	296	25	1
240	300	25	1
229	264	26	2
230	264	26	1
232	265	26	1
230	267	26	1
236	268	26	1
228	269	26	1
229	269	26	1
233	270	26	1
237	270	26	1
238	270	26	1
250	270	26	1
229	271	26	1
236	271	26	1
230	272	26	1
236	273	26	1
237	273	26	1
248	273	26	1
231	274	26	1
233	274	26	1
232	275	26	1
239	275	26	3
245	275	26	2
246	275	26	1
248	275	26	1
250	275	26	1
215	276	26	1
233	276	26	1
238	276	26	1
239	276	26	1
248	276	26	1
230	277	26	1
234	277	26	1
240	277	26	1
232	278	26	1
234	278	26	1
243	278	26	2
251	278	26	1
207	279	26	1
231	279	26	1
239	279	26	1
241	279	26	1
250	279	26	1
208	280	26	2
234	280	26	1
241	280	26	2
242	280	26	1
250	280	26	1
217	281	26	1
230	281	26	1
232	281	26	1
236	281	26	1
212	282	26	1
229	282	26	1
231	282	26	2
234	282	26	1
237	282	26	1
247	282	26	1
249	282	26	1
209	283	26	1
243	283	26	1
252	283	26	1
214	284	26	1
235	284	26	1
237	284	26	2
238	284	26	2
241	284	26	1
242	284	26	2
243	284	26	1
235	285	26	1
241	285	26	1
246	285	26	1
247	285	26	1
216	286	26	1
225	286	26	2
234	286	26	1
243	286	26	1
247	286	26	1
251	286	26	1
253	286	26	1
248	287	26	2
249	287	26	1
251	287	26	1
232	288	26	2
241	288	26	1
248	288	26	2
250	288	26	1
222	289	26	2
223	289	26	1
233	289	26	2
237	289	26	2
238	289	26	1
251	289	26	2
228	290	26	3
238	290	26	1
240	290	26	1
222	291	26	2
226	291	26	2
244	291	26	2
245	291	26	1
225	292	26	1
242	292	26	1
246	292	26	1
250	292	26	1
240	293	26	3
220	294	26	1
235	294	26	1
222	295	26	1
240	295	26	1
241	295	26	1
248	295	26	1
240	296	26	1
241	296	26	1
240	297	26	2
245	297	26	2
181	257	27	1
183	257	27	1
186	257	27	1
188	259	27	1
226	259	27	1
232	259	27	1
186	260	27	1
234	260	27	2
185	261	27	1
186	261	27	1
227	261	27	2
228	261	27	1
231	261	27	1
232	261	27	1
235	261	27	1
236	261	27	1
239	261	27	1
229	262	27	2
233	262	27	1
178	263	27	1
182	263	27	1
183	263	27	1
220	263	27	1
225	263	27	1
230	263	27	1
233	263	27	1
234	263	27	1
235	263	27	1
238	263	27	1
244	263	27	1
180	264	27	1
186	264	27	1
209	264	27	1
225	264	27	1
226	264	27	1
228	264	27	1
229	264	27	2
231	264	27	1
237	264	27	1
184	265	27	1
225	265	27	1
226	265	27	1
230	265	27	1
231	265	27	1
235	265	27	1
238	265	27	1
178	266	27	1
180	266	27	1
219	266	27	1
224	266	27	1
227	266	27	1
229	266	27	1
230	266	27	1
182	267	27	1
