x	y	z	ATF4 activates genes in response to endoplasmic reticulum  stress
235	256	29	1
235	257	29	1
228	258	29	1
230	259	29	1
234	260	29	3
187	261	29	1
230	261	29	2
231	261	29	1
229	262	29	1
248	262	29	1
231	263	29	1
234	263	29	1
245	263	29	1
216	264	29	1
224	264	29	4
226	264	29	1
231	264	29	1
232	264	29	1
237	264	29	1
238	264	29	1
245	264	29	1
248	264	29	1
181	265	29	1
232	265	29	1
233	265	29	1
235	265	29	3
239	265	29	1
249	265	29	1
178	266	29	1
197	266	29	1
229	266	29	1
230	266	29	1
232	266	29	2
236	266	29	1
248	266	29	1
194	267	29	1
196	267	29	1
197	267	29	1
199	267	29	2
226	267	29	2
231	267	29	1
232	267	29	1
234	267	29	1
237	267	29	3
241	267	29	1
249	267	29	1
194	268	29	1
201	268	29	1
217	268	29	1
231	268	29	1
234	268	29	1
238	268	29	2
244	268	29	1
250	268	29	1
180	269	29	2
193	269	29	1
204	269	29	1
232	269	29	1
234	269	29	2
249	269	29	1
178	270	29	1
196	270	29	1
200	270	29	2
232	270	29	1
237	270	29	2
173	271	29	1
182	271	29	1
214	271	29	1
215	271	29	1
216	271	29	1
233	271	29	1
235	271	29	1
238	271	29	2
241	271	29	1
211	272	29	1
213	272	29	1
214	272	29	1
215	272	29	1
224	272	29	1
239	272	29	1
241	272	29	1
245	272	29	1
182	273	29	1
207	273	29	1
236	273	29	1
249	273	29	1
232	274	29	1
233	274	29	1
234	274	29	1
250	274	29	1
215	275	29	2
232	275	29	1
236	275	29	1
238	275	29	2
240	275	29	1
241	275	29	2
245	275	29	1
205	276	29	2
234	276	29	1
241	276	29	1
246	276	29	2
248	276	29	1
249	276	29	1
250	276	29	1
236	277	29	1
237	277	29	3
240	277	29	1
208	278	29	2
236	278	29	2
237	278	29	1
238	278	29	1
239	278	29	1
244	278	29	3
250	278	29	2
206	279	29	1
236	279	29	2
245	279	29	2
248	279	29	2
252	279	29	1
254	279	29	1
256	279	29	2
205	280	29	2
233	280	29	1
236	280	29	1
241	280	29	1
246	280	29	1
252	280	29	1
254	280	29	1
214	281	29	1
224	281	29	1
238	281	29	1
245	281	29	1
249	281	29	1
250	281	29	1
245	282	29	2
249	282	29	2
251	282	29	1
254	282	29	1
209	283	29	1
215	283	29	1
232	283	29	1
234	283	29	2
237	283	29	1
241	283	29	1
245	283	29	1
247	283	29	1
248	283	29	2
249	283	29	1
233	284	29	1
234	284	29	2
236	284	29	1
237	284	29	1
240	284	29	1
241	284	29	1
242	284	29	1
244	284	29	1
252	284	29	1
255	284	29	1
256	284	29	2
226	285	29	3
227	285	29	1
234	285	29	1
239	285	29	1
243	285	29	1
247	285	29	1
211	286	29	1
233	286	29	2
235	286	29	1
240	286	29	2
241	286	29	1
247	286	29	4
249	286	29	1
252	286	29	1
226	287	29	1
231	287	29	1
234	287	29	1
236	287	29	1
241	287	29	1
247	287	29	1
249	287	29	3
224	288	29	1
226	288	29	2
228	288	29	2
232	288	29	1
234	288	29	2
236	288	29	3
240	288	29	1
246	288	29	2
249	288	29	1
253	288	29	2
227	289	29	1
234	289	29	1
235	289	29	1
243	289	29	1
244	289	29	1
247	289	29	1
254	289	29	1
222	290	29	2
226	290	29	1
227	290	29	1
230	290	29	1
225	291	29	2
241	291	29	1
246	291	29	1
250	291	29	2
237	292	29	2
239	292	29	1
242	292	29	1
249	292	29	1
250	292	29	1
257	292	29	2
222	293	29	1
223	293	29	1
225	293	29	1
227	293	29	1
237	293	29	2
242	293	29	3
238	294	29	1
240	294	29	3
242	294	29	1
243	294	29	1
244	294	29	1
248	294	29	1
220	295	29	1
241	295	29	1
245	295	29	1
247	295	29	1
222	296	29	1
239	296	29	2
249	296	29	1
253	296	29	2
238	297	29	2
241	297	29	3
242	297	29	2
243	297	29	1
246	297	29	1
247	297	29	1
219	298	29	1
224	298	29	3
237	298	29	1
238	298	29	1
239	298	29	1
242	298	29	1
245	298	29	1
226	299	29	1
241	299	29	1
226	300	29	2
227	300	29	1
236	300	29	1
237	300	29	1
239	300	29	1
221	301	29	1
223	301	29	3
227	301	29	1
230	301	29	1
236	301	29	3
238	301	29	1
224	302	29	2
235	302	29	1
240	303	29	1
229	250	30	1
225	251	30	2
215	252	30	1
233	252	30	1
215	254	30	1
230	254	30	2
232	254	30	1
233	254	30	2
235	254	30	2
229	255	30	1
232	255	30	2
234	255	30	2
204	256	30	1
229	256	30	2
236	256	30	1
183	257	30	1
190	257	30	1
215	257	30	1
227	257	30	1
228	257	30	1
239	257	30	2
181	258	30	1
186	258	30	1
215	258	30	1
227	258	30	1
231	258	30	1
238	258	30	2
239	258	30	2
175	259	30	2
183	259	30	1
189	259	30	3
206	259	30	1
209	259	30	2
214	259	30	2
216	259	30	1
219	259	30	1
220	259	30	1
227	259	30	1
228	259	30	1
230	259	30	1
231	259	30	1
232	259	30	1
234	259	30	1
237	259	30	1
239	259	30	1
241	259	30	1
190	260	30	1
196	260	30	3
197	260	30	1
206	260	30	1
217	260	30	2
225	260	30	1
227	260	30	2
238	260	30	2
239	260	30	1
245	260	30	1
188	261	30	1
194	261	30	1
196	261	30	1
208	261	30	1
211	261	30	1
212	261	30	1
215	261	30	1
216	261	30	1
217	261	30	2
218	261	30	2
224	261	30	1
225	261	30	1
232	261	30	1
238	261	30	1
239	261	30	1
244	261	30	1
246	261	30	1
178	262	30	1
179	262	30	1
187	262	30	1
188	262	30	1
193	262	30	2
194	262	30	1
209	262	30	1
218	262	30	2
219	262	30	1
220	262	30	1
221	262	30	2
222	262	30	2
223	262	30	1
225	262	30	1
226	262	30	1
227	262	30	1
230	262	30	1
242	262	30	2
245	262	30	1
246	262	30	2
248	262	30	1
179	263	30	2
186	263	30	3
197	263	30	2
216	263	30	1
219	263	30	2
226	263	30	1
227	263	30	1
230	263	30	1
232	263	30	1
234	263	30	3
242	263	30	1
246	263	30	1
247	263	30	1
248	263	30	1
178	264	30	3
188	264	30	1
195	264	30	2
222	264	30	1
226	264	30	2
227	264	30	1
229	264	30	1
230	264	30	2
232	264	30	1
233	264	30	3
245	264	30	1
246	264	30	3
192	265	30	1
196	265	30	2
200	265	30	1
205	265	30	1
212	265	30	1
213	265	30	1
214	265	30	1
216	265	30	2
228	265	30	3
229	265	30	2
231	265	30	1
236	265	30	2
238	265	30	1
239	265	30	1
242	265	30	3
244	265	30	2
246	265	30	2
248	265	30	1
184	266	30	1
188	266	30	1
189	266	30	2
195	266	30	1
197	266	30	2
211	266	30	1
212	266	30	1
213	266	30	1
215	266	30	1
226	266	30	2
228	266	30	1
231	266	30	1
232	266	30	2
238	266	30	1
239.5	266.5	30.5	1
240	266	30	2
249	266	30	1
176	267	30	2
182	267	30	3
183	267	30	1
189	267	30	1
191	267	30	1
194	267	30	1
198	267	30	2
199	267	30	2
209	267	30	1
237	267	30	1
239	267	30	3
240	267	30	1
245	267	30	1
247	267	30	1
249	267	30	1
190	268	30	1
195	268	30	1
206	268	30	1
207	268	30	1
213	268	30	1
214	268	30	1
216	268	30	2
217	268	30	1
223	268	30	1
228	268	30	2
230	268	30	1
231	268	30	2
235	268	30	2
240	268	30	1
244	268	30	1
245	268	30	1
246	268	30	2
248	268	30	1
250	268	30	1
172	269	30	1
177	269	30	2
191	269	30	1
193	269	30	1
197	269	30	1
198	269	30	2
199	269	30	1
204	269	30	2
214	269	30	1
215	269	30	1
222	269	30	1
233	269	30	1
235	269	30	1
238	269	30	1
242	269	30	2
243	269	30	2
244	269	30	1
245	269	30	1
247	269	30	2
248	269	30	1
252	269	30	1
178	270	30	1
179	270	30	1
181	270	30	1
183	270	30	1
187	270	30	3
194	270	30	1
195	270	30	1
197	270	30	1
198	270	30	1
200	270	30	2
201	270	30	1
207	270	30	2
214	270	30	1
216	270	30	2
217	270	30	1
227	270	30	2
232	270	30	3
234	270	30	1
244	270	30	1
245	270	30	1
249	270	30	3
250	270	30	1
176	271	30	1
185	271	30	1
188	271	30	1
193	271	30	2
194	271	30	2
198	271	30	1
199	271	30	1
200	271	30	2
201	271	30	1
204	271	30	1
206	271	30	2
207	271	30	1
211	271	30	1
212	271	30	1
215	271	30	1
216	271	30	1
229	271	30	3
234	271	30	1
243	271	30	1
244	271	30	1
249	271	30	1
179	272	30	1
182	272	30	1
185	272	30	1
206	272	30	2
227	272	30	2
233	272	30	2
239	272	30	2
240	272	30	1
242	272	30	1
244	272	30	2
245	272	30	1
247	272	30	2
183	273	30	1
203	273	30	1
204	273	30	1
206	273	30	2
208	273	30	2
211	273	30	1
213	273	30	2
214	273	30	2
227	273	30	1
231	273	30	1
233	273	30	2
235	273	30	2
239	273	30	1
240	273	30	1
181	274	30	2
185	274	30	2
208	274	30	1
209	274	30	1
214	274	30	1
229	274	30	1
234	274	30	1
236	274	30	2
238	274	30	1
239	274	30	2
241	274	30	1
247	274	30	2
175	275	30	1
183	275	30	3
184	275	30	1
185	275	30	1
211	275	30	1
215	275	30	4
233	275	30	1
235	275	30	2
236	275	30	2
237	275	30	2
239	275	30	2
244	275	30	1
249	275	30	1
251	275	30	2
186	276	30	3
207	276	30	1
232	276	30	1
235	276	30	1
238	276	30	2
239	276	30	2
240	276	30	1
246	276	30	2
174	277	30	1
180	277	30	1
205	277	30	1
206	277	30	4
208	277	30	3
235	277	30	2
239	277	30	1
245	277	30	1
247	277	30	1
249	277	30	1
203	278	30	1
204	278	30	2
206	278	30	1
226	278	30	1
230	278	30	1
239	278	30	3
248	278	30	2
249	278	30	1
250	278	30	1
253	278	30	2
206	279	30	3
207	279	30	3
219	279	30	2
234	279	30	1
236	279	30	2
240	279	30	1
244	279	30	1
246	279	30	1
250	279	30	1
251	279	30	1
252	279	30	1
254	279	30	1
175	280	30	1
176	280	30	1
178	280	30	1
206	280	30	1
226	280	30	1
232	280	30	1
235	280	30	1
238	280	30	1
239	280	30	1
245	280	30	1
246	280	30	1
247	280	30	2
251	280	30	1
173	281	30	1
179	281	30	1
181	281	30	1
214	281	30	1
217	281	30	1
218	281	30	2
223	281	30	1
234	281	30	1
235	281	30	2
237	281	30	1
239	281	30	1
245	281	30	1
249	281	30	1
251	281	30	1
254	281	30	1
172	282	30	1
177	282	30	1
182	282	30	1
210	282	30	3
213	282	30	1
220	282	30	1
221	282	30	1
222	282	30	1
223	282	30	2
232	282	30	1
234	282	30	2
235	282	30	1
237	282	30	1
240	282	30	1
241	282	30	1
245	282	30	2
251	282	30	1
252	282	30	1
253	282	30	2
254	282	30	1
256	282	30	1
202	283	30	1
209	283	30	3
219	283	30	1
234	283	30	2
236	283	30	1
239	283	30	3
240	283	30	1
241	283	30	2
242	283	30	2
246	283	30	1
248	283	30	1
252	283	30	1
180	284	30	1
221	284	30	1
224	284	30	1
225	284	30	2
226	284	30	1
231	284	30	2
233	284	30	2
236	284	30	1
238	284	30	1
240	284	30	1
241.666666666667	284.666666666667	31	1
242	284	30	1
243	284	30	1
249	284	30	2
251	284	30	2
256	284	30	1
206	285	30	1
223	285	30	2
226	285	30	1
