x	y	z	DNA Damage/Telomere Stress Induced Senescence
241	283	30	2
254	283	30	1
180	284	30	1
224	284	30	1
233	284	30	1
236	284	30	1
240	284	30	1
241.666666666667	284.666666666667	31	1
242	284	30	1
251	284	30	1
254	284	30	1
211	285	30	1
225	285	30	2
234	285	30	1
236	285	30	1
245	285.666666666667	31	1
224	286	30	1
226	286	30	1
228	286	30	1
229	286	30	1
234	286	30	1
240	286	30	2
241	286	30	1
243	286	30	1
256	286	30	1
257	286	30	1
226	287	30	1
228	287	30	2
237	287.5	30.5	1
244	287	30	1
246	287	30	2
255	287	30	1
228	288	30	2
229	288	30	1
241	288	30	1
243	288	30	1
244	288	30	1
245	288	30	1
253	288	30	1
184	289	30	1
201	289	30	1
223	289	30	1
224	289	30	1
226	289	30	1
228	289	30	1
233	289	30	1
243	289	30	1
245	289	30	1
220	290	30	1
198	291	30	1
222	291	30	1
227	291	30	1
238	291	30	1
249	291	30	1
199	292	30	1
224	292	30	1
227	292	30	1
232	292	30	1
237	292	30	1
243	292	30	1
220	293	30	1
227	293	30	1
231	293	30	2
239	293	30	1
246	293	30	1
249	294	30	1
250	294	30	2
218	295	30	1
220	295	30	1
226	295	30	2
250	295	30	1
252	295	30	1
256	295	30	1
186	296	30	1
222	296	30	1
233	296	30	1
234	296	30	1
220	297	30	1
237	297	30	1
238	297	30	1
241	297	30	1
243	297	30	1
248	297	30	1
220	298	30	1
222	298	30	1
224	298	30	1
242	298	30	1
247	298	30	1
248	298	30	1
251	298	30	2
227	299	30	1
247	299	30	1
218	300	30	1
226	300	30	1
233	300	30	1
240	300	30	1
246	300	30	2
247	300	30	1
251	300	30	1
226	301	30	1
235	301	30	1
242	301	30	2
246	301	30	1
223	302	30	1
238	302	30	1
240	303	30	1
243	303	30	1
223	305	30	1
227	250	31	1
215	251	31	1
229	251	31	1
216	252	31	1
229	252	31	1
232	253	31	1
238	253	31	1
193	254	31	1
191	255	31	1
215	255	31	1
229	255	31	1
237	255	31	1
214	257	31	1
227	258	31	1
235	258	31	2
219	259	31	1
230	259	31	1
232	259	31	1
242	259	31	1
212	260	31	1
216	260	31	1
221	260	31	1
235	260	31	1
246	260	31	2
188	261	31	3
213	261	31	1
216	261	31	1
225	261	31	1
228	261	31	1
239	261	31	1
243	261	31	1
244	261	31	1
216	262	31	1
222	262	31	1
223	262	31	1
235	262	31	1
238	262	31	1
249	262	31	1
188	263	31	1
194	263	31	1
215	263	31	1
223	263	31	1
234	263	31	1
236	263	31	2
240	263	31	1
245	263	31	1
185	264	31	1
210	264	31	1
215	264	31	1
217	264	31	1
224	264	31	1
231	264	31	1
246	264	31	1
184	265	31	1
234	265	31	2
240	265	31	1
243	265	31	1
249	265	31	1
198	266	31	1
219	266	31	1
221	266	31	1
236	266	31	1
241	266	31	1
248	266	31	1
251	266	31	1
177	267	31	1
227	267	31	2
230	267	31	1
231	267	31	2
232	267	31	1
237	267	31	1
246	267	31	1
247	267	31	1
195	268	31	1
203	268	31	1
210	268	31	1
213	268	31	1
220	268	31	1
242	268	31	1
245	268	31	1
183	269	31	1
199	269	31	1
252	269	31	1
173	270	31	2
180	270	31	1
183	270	31	1
186	270	31	1
194	270	31	1
196	270	31	1
198	270	31	1
231	270	31	1
239	270	31	1
244	270	31	1
171	271	31	1
176	271	31	2
198	271	31	1
212	271	31	1
224	271	31	1
231	271	31	1
176	272	31	1
183	272	31	3
206	272	31	1
216	272	31	1
226	272	31	1
230	272	31	1
235	272	31	1
239	272	31	1
240	272	31	2
241	272	31	1
243	272	31	1
176	273	31	1
181	273	31	1
183	273	31	1
207	273	31	1
249	273	31	1
185	274	31	1
236	274	31	1
239	274	31	1
241	274	31	1
248	274	31	1
231	275	31	2
236	275	31	1
237	275	31	1
238	275	31	1
239	275	31	1
243	275	31	1
226	276	31	2
234	276	31	1
239	276	31	1
174	277	31	1
205	277	31	1
209	277	31	2
233	277	31	1
237	277	31	1
239	277	31	4
249	277	31	1
178	278	31	1
204	278	31	1
207	278	31	1
208	278	31	1
236	278	31	1
238	278	31	1
245	278	31	1
208	279	31	1
245	279	31	1
254	279	31	1
181	280	31	1
237	280	31	1
238	280	31	1
241	280	31	1
246	280	31	1
248	280	31	1
249	280	31	1
251	280	31	1
176	281	31	1
206	281	31	1
224	281	31	1
235	281	31	1
237	281	31	1
241	281	31	1
250	281	31	1
219	282	31	1
234	282	31	1
249	282	31	1
179	283	31	1
208	283	31	1
209	283	31	1
239	283	31	1
243	283	31	2
244	283	31	1
252	283	31	1
212	284	31	1
219	284	31	1
220	284	31	1
237	284	31	1
241	284	31	1
218	285	31	1
240	285	31	1
248	285	31	1
251	285	31	1
255	285	31	1
256	285	31	1
221	286	31	1
231	286	31	1
238	286	31	1
246	286	31	1
249	286	31	1
219	287	31	1
227	287	31	1
234	287	31	2
237	287	31	2
239	287	31	1
240.5	288.5	31.5	1
241	288	31	1
244	288	31	1
251	288	31	1
200	289	31	1
232	289	31	1
240	289	31	1
250	289	31	1
200	290	31	1
221	290	31	1
234	290	31	1
235	290	31	1
237	290	31	2
240	290	31	1
250	290	31	1
197	291	31	1
227	291	31	1
244	291	31	1
257	292	31	1
233	293	31	1
234	293	31	1
239	293	31	1
241	294	32.8	1
243	293	31	1
246	293	31	1
248	293	31	1
198	294	31	1
202	294	31	1
221	294	31	1
222	294	31	1
228	294	31	1
233	294	31	1
235	294	31	2
237	294	31	1
252	294	31	1
231	295	31	1
234	295	31	1
240	295	31	1
243	295	31	1
247	295	31	1
249	295	31	1
257	295	31	1
188	296	31	1
234	296	31	1
235	296	31	1
236	296	31	1
243	296	31	1
253	296	31	1
223	297	31	1
225	297	31	2
239	297	31	1
242	297	31	1
237	298	31	2
240	298	31	1
253	298	31	2
229	299	31	1
218	300	31	2
223	300	31	1
230	300	31	1
236	300	31	1
237	300	31	1
241	300	31	1
216	301	31	1
229	301	31	1
234	301	31	1
243	301	31	1
246	301	31	1
231	302	31	1
236	302	31	1
223	303	31	1
237	303	31	2
244	303	31	1
238	304	31	1
234	305	31	1
215	251	32	1
226	252	32	1
227	252	32	1
214	253	32	2
224	253	32	1
227	253	32	1
231	253	32	1
240	253	32	1
216	254	32	1
227	254	32	1
230	254	32	1
218	255	32	1
219	255	32	1
224	255	32	1
215	256	32	1
234	256	32	2
236	256	32	1
242	256	32	1
218	257	32	1
228	257	32	1
238	257	32	1
240	257	32	1
192	258	32	1
216	258	32	2
220	258	32	1
240	258	32	1
188	259	32	1
191	259	32	1
192	259	32	1
214	259	32	1
217	259	32	1
222	259	32	1
243	259	32	1
244	259	32	1
218	260	32	1
221	260	32	1
