x	y	z	SLBP independent Processing of Histone Pre-mRNAs
216.157603775171	275.673637444315	34.5586340221659	1
235	278	24	1
248	286	24	1
251	287	24	1
247	289	24	1
249	289	24	1
227	273	25	1
232	274	25	1
236	275	25	1
234	276	25	1
236	276	25	1
237	276	25	2
231	277	25	1
247	277	25	1
236	278	25	1
231	279	25	1
233	280	25	1
231	281	25	1
231	282	25	1
233	282	25	1
240	282	25	1
245	282	25	1
231	283	25	1
232	283	25	1
235	283	25	1
243	283	25	1
235	284	25	3
237	284	25	1
243	284	25	2
249	284	25	2
232	285	25	1
241	285	25	1
243	285	25	1
232	286	25	1
233	286	25	1
235	286	25	1
254	286	25	1
246	287	25	1
236	289	25	1
250	289	25	1
252	289	25	1
225	290	25	1
244	290	25	1
234	291	25	1
236	291	25	1
238	291	25	1
242	291	25	1
250	291	25	1
237	292	25	1
243	292	25	1
239	293	25	1
243	293	25	1
246	293	25	1
247	293	25	1
240	294	25	1
242	294	25	1
245	295	25	1
242	296	25	1
244	296	25	1
247	296	25	2
243	299	25	1
230	264	26	1
215	265	26	1
235	267	26	1
235	268	26	1
236	268	26	1
237	270	26	1
236	271	26	1
234	272	26	1
231	273	26	1
236	273	26	1
237	273	26	1
249	273	26	1
233	274	26	1
233	275	26	1
207	276	26	1
239	276	26	1
231	277	26	1
234	277	26	1
237	277	26	1
239	277	26	1
239	278	26	2
240	278	26	1
239	279	26	1
236	280	26	1
244	281	26	1
212	282	26	1
231	282	26	1
240	282	26	2
243	283	26	1
253	283	26	1
212	284	26	1
232	284	26	1
235	284	26	1
245	284	26	1
252	284	26	1
234	285	26	1
240	285	26	1
245	285	26	1
247	285	26	1
255	285	26	1
235	286	26	2
237	286	26	1
242	286	26	1
249	286	26	1
251	286	26	1
254	286	26	1
232	287	26	1
238	287	26	1
239	287	26	1
249	287	26	1
251	287	26	1
253	287	26	1
235	288	26	1
243	288	26	1
238	289	26	2
242	289	26	1
248	289	26	1
251	289	26	1
242	290	26	1
250	290	26	1
236	291	26	1
242	291	26	2
227	292	26	1
245	292	26	1
250	292	26	1
253	293	26	2
220	294	26	1
243	294	26	1
246	294	26	1
234	295	26	1
243	295	26	1
240	296	26	1
242	298	26	1
246	298	26	1
236	299	26	2
241	299	26	1
184	256	27	1
184	258	27	1
184	259	27	1
185	259	27	1
228	259	27	1
228	260	27	1
234	260	27	1
183	261	27	1
187	261	27	2
239	261	27	1
227	262	27	1
239	262	27	1
178	263	27	1
215	263	27	1
233	263	27	1
235	263	27	1
239	263	27	1
175	264	27	1
219	264	27	1
230	264	27	1
248	264	27	1
225	265	27	1
226	265	27	1
237	265	27	1
201	266	27	1
215	266	27	1
219	266	27	2
221	266	27	1
226	266	27	1
230	266	27	1
239	266	27	1
228	267	27	1
235	267	27	1
240	267	27	1
179	268	27	1
197	268	27	1
219	268	27	1
222	268	27	1
226	268	27	1
227	268	27	1
230	268	27	2
233	268	27	2
236	268	27	1
247	268	27	1
248	268	27	1
182	269	27	1
240	269	27	2
252	269	27	1
179	270	27	1
215	270	27	2
216	270	27	1
217	270	27	1
221	270	27	1
232	270	27	1
243	270	27	1
216	271	27	2
231	271	27	1
232	271	27	1
236	271	27	1
181	272	27	1
203	272	27	1
207	272	27	1
225	272	27	1
228	272	27	1
229	272	27	1
231	272	27	1
235	272	27	1
236	272	27	1
207	273	27	1
210	273	27	2
215	273	27	1
224	273	27	1
232	273	27	1
238	273	27	1
207	274	27	1
226	274	27	1
232	274	27	1
235	274	27	1
185	275	27	1
211	275	27	1
214	275	27	1
218	275	27	1
240	275	27	1
245	275	27	2
246	275	27	2
206	276	27	1
207	276	27	1
208	276	27	1
209	276	27	3
212	276	27	1
220	276	27	1
222	276	27	1
238	276	27	1
250	276	27	1
213	277	27	1
218	277	27	1
227	277	27	1
231	277	27	1
238	277	27	1
243	277	27	1
248	277	27	1
249	277	27	1
252	277	27	1
209	278	27	1
213	278	27	1
214	278	27	1
227	278	27	1
249	278	27	1
230	279	27	1
234	279	27	1
238	279	27	1
239	279	27	1
243	279	27	1
249	279	27	1
250	279	27	1
205	280	27	1
234	280	27	2
235	280	27	1
240	280	27	1
242	280	27	1
250	280	27	2
251	280	27	1
207	281	27	1
209	281	27	1
234	281	27	2
238	281	27	1
254	281	27	1
257	281	27	1
210	282	27	1
227	282	27	1
237	282	27	1
246	282	27	1
247	282	27	1
248	282	27	1
254	282	27	1
210	283	27	1
218	283	27	1
235	283	27	1
238	283	27	1
243	283	27	1
245	283	27	1
248	283	27	1
253	283	27	1
206	284	27	1
209	284	27	1
214	284	27	1
236	284	27	1
237	284	27	1
241	284	27	1
243	284	27	1
251	284	27	1
212	285	27	1
223	285	27	1
245	285	27	1
247	285	27	1
250	285	27	1
209	286	27	1
222	286	27	1
236	286	27	1
241	286	27	1
245	286	27	2
251	286	27	1
210	287	27	1
221	287	27	1
227	287	27	1
236	287	27	1
239	287	27	1
240	287	27	1
247	287	27	1
250	287	27	1
255	287	27	3
225	288	27	1
229	288	27	1
233	288	27	1
237	288	27	1
240	288	27	1
203	289	27	1
223	289	27	2
225	289	27	1
227	289	27	1
233	289	27	1
234	289	27	1
238	289	27	1
239	289	27	1
241	289	27	1
246	289	27	1
249	289	27	1
256	289	27	1
214	290	27	1
231	290	27	2
232	290	27	1
235	290	27	1
252	290	27	1
213	291	27	1
225	291	27	1
230	291	27	1
233	291	27	1
246	291	27	1
250	291	27	1
211	292	27	1
219	292	27	1
247	292	27	1
221	293	27	1
222	293	27	2
226	293	27	1
234	293	27	1
239	293	27	1
242	293	27	3
256	293	27	1
211	294	27	1
245	294	27	1
250	294	27	1
253	294	27	1
219	295	27	1
241	295	27	1
243	295	27	1
246	295	27	1
252	295	27	1
238	296	27	1
247	296	27	1
225	297	27	3
224	298	27	1
241	298	27	1
243	298	27	2
245	298	27	1
230	299	27	1
239	299	27	1
242	299	27	1
252	299	27	1
228	300	27	1
236	300	27	1
237	300	27	1
241	300	27	2
242	300	27	1
244	300	27	1
243	301	27	1
245	302	27	1
241	303	27	1
238	304	27	1
244	304	27	1
232	264	28	1
234	267	28	1
238	268	28	1
235	270	28	1
240	271	28	1
206	272	28	1
236	272	28	1
235	273	28	1
214	274	28	1
234	274	28	1
235	275	28	1
237	279	28	1
248	279	28	1
235	280	28	1
239	280	28	1
250	281	28	2
235	282	28	1
247	283	28	1
254	284	28	1
238	285	28	1
248	286	28	1
245	287	28	1
245	288	28	1
242	290	28	1
241	291	28	1
240	292	28	1
245	292	28	1
250	292	28	2
249	294	28	1
240	296	28	1
245	297	28	1
233	256	29	1
181	258	29	1
190	258	29	1
233	258	29	1
229	259	29	1
230	259	29	2
187	261	29	1
220	262	29	1
248	262	29	1
231	263	29	1
245	263	29	1
233	265	29	1
238	265	29	1
195	266	29	1
197	266	29	1
229	266	29	1
230	266	29	1
192	267	29	1
232	267	29	1
235	267	29	1
201	268	29	1
236	268	29	1
237	268	29	1
238	268	29	1
250	268	29	1
180	269	29	1
232	269	29	1
235	269	29	1
237	269	29	2
249	269	29	1
215	270	29	1
230	270	29	1
234	270	29	1
235	270	29	1
237	270	29	1
215	271	29	1
238	271	29	1
234	272	29	1
241	272	29	1
212	273	29	1
206	274	29	1
242	275	29	1
206	276	29	1
238	276	29	1
237	277	29	1
250	277	29	1
251	277	29	1
235	278	29	2
236	278	29	1
239	278	29	1
245	279	29	1
248	279	29	1
256	279	29	1
205	280	29	1
237	280	29	3
249	280	29	2
254	280	29	1
208	281	29	1
232	281	29	1
241	281	29	1
212	282	29	1
241	282	29	1
242	282	29	1
244	282	29	2
233	283	29	1
234	283	29	1
238	283	29	1
241	283	29	1
248	283	29	2
250	283	29	1
211	284	29	1
220	284	29	1
222	284	29	1
234	284	29	2
250	284	29	1
252	284	29	1
239	285	29	1
250	285	29	1
233	286	29	1
235	286	29	1
243	286	29	1
252	286	29	1
226	287	29	1
231	287	29	3
234	287	29	1
238	287	29	1
226	288	29	1
228	288	29	1
233	288	29	1
240	288	29	1
241	288	29	1
242	288	29	1
240	289	29	2
246	289	29	1
247	289	29	1
227	290	29	2
249	291	29	1
250	291	29	1
251	291	29	1
225	292	29	1
227	292	29	1
237	292	29	1
238	292	29	1
243	292	29	1
257	292	29	1
227	293	29	2
246	293	29	1
247	293	29	1
248	293	29	2
238	294	29	1
241	294	29	1
243	294	29	1
244	294	29	1
243	295	29	1
240	297	29	1
245	297	29	1
237	298	29	1
245	298	29	2
237	299	29	1
225	300	29	1
236	300	29	1
237	300	29	1
247	301	29	1
237	304	29	1
215	252	30	1
231	253	30	1
231	254	30	1
235	256	30	1
228	257	30	3
240	257	30	3
226	258	30	1
195	259	30	1
216	259	30	1
219	259	30	1
222	259	30	2
196	260	30	1
216	260	30	1
225	260	30	1
239	260	30	1
198	261	30	1
209	261	30	2
212	261	30	1
227	261	30	2
229	261	30	1
249	261	30	1
178	262	30	1
193	262	30	1
209	262	30	1
216	262	30	1
223	262	30	1
225	262	30	1
227	262	30	1
230	262	30	1
248	262	30	1
249	262	30	1
210	263	30	1
227	263	30	1
230	263	30	1
229	264	30	1
233	264	30	2
240	264	30	1
213	265	30	2
217	265	30	1
233	265	30	1
184	266	30	2
189	266	30	1
194	266	30	1
219	266	30	2
231	266	30	1
176	267	30	1
183	267	30	1
191	267	30	1
202	267	30	1
219	267	30	1
225	267	30	1
229	267	30	2
245	267	30	1
247	267	30	1
188	268	30	1
194	268	30	1
195	268	30	1
214	268	30	1
239	268	30	1
240	268	30	1
241	268	30	1
248	268	30	1
249	268	30	1
178	269	30	1
198	269	30	1
214	269	30	1
216	269	30	1
250	269	30	1
178	270	30	1
195	270	30	1
207	270	30	1
215	270	30	1
233	270	30	1
235	270	30	1
244	270	30	1
249	270	30	1
181	271	30	1
188	271	30	1
199	271	30	1
207	271	30	1
208	271	30	1
212	271	30	1
239	271	30	2
243	271	30	1
223	272	30	1
238	272	30	1
244	272	30	1
211	273	30	1
240	273	30	1
180	274	30	1
181	274	30	1
208	274	30	1
211	274	30	1
236	274	30	1
241	274	30	2
244	274	30	1
175	275	30	1
184	275	30	1
237	275	30	1
244	275	30	1
251	275	30	1
205	276	30	1
246	276	30	1
249	276	30	1
253	276	30	1
174	277	30	1
206	277	30	1
232	277	30	2
175	278	30	1
204	278	30	2
248	278	30	3
221	279	30	1
246	279	30	2
247	279	30	2
251	279	30	1
175	280	30	1
206	280	30	1
238	280	30	1
247	280	30	1
217	281	30	1
223	281	30	1
234	281	30	1
252	281	30	1
174	282	30	1
187	282	30	1
210	282	30	1
232	282	30	2
241	282	30	1
219	283	30	1
238	283	30	1
248	283	30	1
249	283	30	1
251	283	30	1
219	284	30	1
256	284	30	1
258	284	30	2
227	285	30	1
237	285	30	1
246	285	30	1
180	286	30	1
219	286	30	1
245	286	30	1
255	286	30	1
257	286	30	1
207	287	30	1
220	287	30	1
226	287	30	1
228	287	30	2
237	287.5	30.5	2
252	287	30	1
199	288	30	1
238	288	30	1
243	289	30	2
250	289	30	1
235	290	30	1
241	290	30	1
248	290	30	1
250	290	30	1
237	291	30	1
239	291	30	1
241	291	30	1
242	291	30	1
244	291	30	1
248	291	30	1
255	291	30	1
198	292	30	1
224	292	30	1
235	292	30	1
237	292	30	1
249	292	30	1
257	292	30	1
221	293	30	1
221	294	30	1
229	294	30	1
231	294	30	1
241	294	30	1
245	294	30	1
249	294	30	1
251	294	30	1
252	294	30	1
253	294	30	3
229	295	30	1
243	295	30	1
253	295	30	1
255	295	30	2
220	296	30	1
222	296	30	1
226	296	30	1
237	296	30	1
243	296	30	1
246	296	30	1
227	297	30	1
240	297	30	1
241	297	30	1
248	297	30	1
227	298	30	1
229	298	30	1
230	298	30	1
232	298	30	1
231	299	30	1
240	299	30	1
241	299	30	1
225	300	30	2
227	300	30	1
230	300	30	1
231	300	30	1
236	300	30	2
237	300	30	1
246	300	30	2
225	301	30	1
239	301	30	1
241	301	30	1
244	301	30	1
249	301	30	1
251	301	30	1
226	302	30	1
236	302	30	1
239	302	30	1
217	303	30	1
225	303	30	1
238	303	30	1
243	303	30	1
233	304	30	1
238	304	30	1
242	305	30	1
226	249	31	1
226	250	31	2
217	253	31	1
225	253	31	1
233	253	31	1
226	254	31	1
231	254	31	1
235	254	31	1
238	254	31	1
191	255	31	1
238	255	31	1
207	256	31	1
239	256	31	2
214	257	31	1
238	257	31	1
239	257	31	1
216	258	31	2
227	258	31	1
228	258	31	1
233	258	31	2
235	258	31	1
219	259	31	1
239	259	31	1
209	260	31	1
216	260	31	1
244	260	31	1
246	260	31	1
187	261	31	1
193	261	31	1
225	261	31	1
228	261	31	1
234	261	31	1
237	261	31	1
243	261	31	1
207	262	31	1
210	262	31	1
211	262	31	1
242	262	31	1
187	263	31	1
188	263	31	1
197	263	31	1
198	263	31	1
220	263	31	1
226	263	31	2
232	263	31	1
244	263	31	1
184	264	31	1
194	264	31	1
197	264	31	1
214	264	31	1
217	264	31	1
222	264	31	1
227	264	31	1
239	264	31	1
245	264	31	1
248	264	31	1
223	265	31	1
232	265	31	1
240	265	31	1
189	266	31	1
213	266	31	1
215	266	31	1
217	266	31	1
232	266	31	1
233	266	31	1
236	266	31	1
243	266	31	1
244	266	31	1
247	266	31	1
176	267	31	1
177	267	31	1
219	267	31	1
224	267	31	2
230	267	31	2
242	267	31	1
184	268	31	2
205	268	31	1
231	268	31	1
244	268	31	1
194	269	31	1
198	269	31	1
201	269	31	1
213	269	31	1
231	269	31	1
235	269	31	1
178	270	31	1
183	270	31	1
185	270	31	1
194	270	31	1
196	270	31	1
207	270	31	1
231	270	31	1
234	270	31	1
237	270	31	1
242	270	31	1
247	270	31	1
203	271	31	1
225	271	31	1
226	271	31	1
232	271	31	1
235	271	31	1
251	271	31	1
204	272	31	1
206	272	31	1
218	272	31	1
230	272	31	1
236	272	31	2
237	272	31	2
238	272	31	1
240	272	31	1
243	272	31	1
248	272	31	1
176	273	31	1
234	273	31	1
242	273	31	1
180	274	31	1
203	274	31	1
248	274	31	1
250	274	31	2
205	275	31	1
211	275	31	1
184	276	31	1
234	276	31	1
238	276	31	1
234	277	31	1
244	277	31	1
206	278	31	1
237	278	31	1
238	278	31	1
245	278	31	1
237	279	31	1
175	280	31	1
217	280	31	1
247	280	31	1
179	281	31	1
181	281	31	1
234	281	31	1
240	281	31	1
241	281	31	1
251	281	31	1
173	282	31	2
240	282	31	1
244	282	31	2
248	282	31	1
176	283	31	1
184	283	31	1
231	283	31	1
235	283	31	1
236	283	31	1
252	283	31	1
253	283	31	1
175	284	31	2
206	284	31	1
209	284	31	1
241	284	31	1
250	284	31	1
206	285	31	1
220	285	31	1
224	285	31	1
231	285	31	1
244	285	31	1
247	285	31	1
178	286	31	1
221	286	31	1
225	286	31	1
227	286	31	1
237	286	31	1
240	286	31	1
244	286	31	1
219	287	31	1
231	287	31	1
234	287	31	1
241	287	31	1
252	287	31	1
253	287	31	1
256	287	31	1
186	288	31	1
221	288	31	1
223	288	31	1
245	288	31	1
253	288	31	1
221	289	31	1
226	289	31	2
238	289	31	1
243	289	31	1
252	289	31	1
234	290	31	1
237	290	31	1
250	290	31	1
198	291	31	1
223	291	31	1
230	291	31	1
240	291	31	1
244	291	31	1
248	291	31	1
249	291	31	1
199	292	31	1
201	292	31	1
235	292	31	1
243	292	31	1
247	292	31	1
252	292	31	1
253	292	31	1
257	292	31	1
233	293	31	2
246	293	31	1
248	293	31	1
209	294	31	1
220	294	31	1
224	294	31	1
227	294	31	1
228	294	31	1
230	294	31	1
240	294	31	1
221	295	31	1
232	295	31	1
241	295	31	1
244	295	31	1
200	296	31	1
225	296	31	1
243	296	31	1
248	296	31	1
221	297	31	2
225	297	31	1
226	297	31	1
227	297	31	1
235	297	31	1
239	297	31	1
242	297	31	1
243	297	31	1
255	297	31	1
196	298	31	1
226	298	31	2
229	298	31	1
232	298	31	2
239	298	31	1
250	298	31	1
236	299	31	1
226	300	31	1
249	300	31	1
250	300	31	2
225	301	31	2
226	301	31	1
230	301	31	1
236	301	31	1
242	301	31	1
246	301	31	1
223	302	31	1
224	302	31	1
231	302	31	1
243	302	31	1
244	302	31	1
224	303	31	1
232	303	31	1
238	304	31	2
224	305	31	1
233	306	31	1
224	307	31	1
226	250	32	1
215	251	32	1
227	252	32	1
215	253	32	1
223	253	32	1
240	253	32	1
223	254	32	1
227	254	32	1
230	254	32	1
232	254	32	1
214	255	32	2
221	255	32	1
234	255	32	1
235	255	32	1
237	255	32	1
238	255	32	1
229	256	32	1
234	256	32	1
237	256	32	2
210	257	32	2
232	257	32	1
207	258	32	1
214	258	32	1
218	258	32	1
228	258	32	1
240	258	32	1
241	258	32	1
240	259	32	1
245	259	32	2
203	260	32	1
214	260	32	1
221	260	32	1
222	260	32	1
234	260	32	1
238	260	32	1
244	260	32	1
248	260	32	1
219	261	32	1
229	261	32	1
244	261	32	1
216	262	32	2
217	262	32	1
244	262	32	1
245	262	32	2
248	262	32	1
184	263	32	1
208	263	32	1
211	263	32	1
213	263	32	1
222	263	32	2
250	263	32	1
251	263	32	1
194	264	32	1
200	264	32	2
202	264	32	1
216	264	32	1
232	264	32	1
236	264	32	2
238	264	32	1
244	264	32	1
187	265	32	1
188	265	32	2
189	265	32	1
192	265	32	1
194	265	32	1
206	265	32	1
213	265	32	1
215	265	32	1
233	265	32	1
238	265	32	1
243	265	32	3
244	265	32	1
249	265	32	1
188	266	32	1
189	266	32	1
213	266	32	2
216	266	32	1
224	266	32	1
239	266	32	1
251	266	32	1
192	267	32	4
205	267	32	1
208	267	32	1
221	267	32	2
229	267	32	2
194	268	32	1
198	268	32	1
216	268	32	1
219	268	32	1
224	268	32	1
238	268	32	1
245	268	32	1
246	268	32	1
176	269	32	1
193	269	32	1
196	269	32	1
204	269	32	1
209	269	32	1
223	269	32	1
232	269	32	1
249	269	32	1
252	269	32	2
214	270	32	1
243	270	32	1
176	271	32	1
180	271	32	1
206	271	32	2
210	271	32	2
213	271	32	1
215	271	32	1
216	271	32	1
244	271	32	1
249	271	32	1
177	272	32	1
186	272	32	1
208	272	32	1
209	272	32	1
230	272	32	1
239	272	32	1
245	272	32	1
