x	y	z	RIP-mediated NFkB activation via ZBP1
240	286	21	1
246	292	21	1
237	278	24	1
239	278	24	2
244	286	24	1
248	286	24	1
244	287	24	1
244	288	24	2
244	289	24	1
246	289	24	1
247	289	24	1
248	289	24	1
249	289	24	1
244	291	24	2
231	264	25	1
232	265	25	1
231	268	25	1
233	269	25	1
235	270	25	3
234	271	25	1
228	272	25	1
230	272	25	1
238	272	25	3
239	272	25	1
227	273	25	1
236	273	25	1
230	274	25	1
238	274	25	1
236	275	25	1
232.5	276.5	25.5	1
235	276	25	2
236	276	25	2
237	276	25	1
239	276	25	1
233	277	25	1
235	277	25	1
236	277	25	1
234	278	25	1
236	278	25	1
237	278	25	1
231	279	25	1
232	279	25	1
237	279	25	1
238	279	25	2
239	279	25	1
240	279	25	2
241	279	25	1
247	279	25	2
249	279	25	1
232	280	25	1
236	280	25	2
245	280	25	2
237	281	25	1
241	281	25	1
243	281	25	1
245	281	25	2
231	282	25	1
232	282	25	4
233	282	25	2
234	282	25	1
235	282	25	1
237	282	25	1
239	282	25	2
240	282	25	2
245	282	25	2
247	282	25	1
235	283	25	2
239	283	25	1
240	283	25	1
245	283	25	1
246	283	25	2
247	283	25	1
233	284	25	1
234	284	25	1
243	284	25	1
244	284	25	1
245	284	25	2
247	284	25	1
252	284	25	1
215	285	25	1
232	285	25	1
234	285	25	1
235	285	25	1
236	285	25	1
241	285	25	1
243	285	25	1
244	285	25	1
246	285	25	1
248	285	25	2
253	285	25	3
218	286	25	1
232	286	25	1
234	286	25	1
235	286	25	1
240	286	25	1
243	286	25	1
252	286	25	1
223	287	25	1
237	287	25	1
246	287	25	1
249	287	25	1
252	287	25	2
235	288	25	1
236	288	25	1
244	289	25	1
252	289	25	1
234	290	25	1
237	290	25	1
226	291	25	1
234	291	25	2
235	291	25	2
237	291	25	2
239	291	25	1
242	291	25	1
250	291	25	2
251	291	25	1
250	292	25	1
239	293	25	1
247	293	25	1
242	294	25	2
244	294	25	1
246	294	25	1
234	295	25	1
240	295	25	2
243	295	25	1
245	295	25	1
239	296	25	1
242	296	25	1
246	296	25	3
247	296	25	1
239	297	25	1
227	300	25	3
239	302	25	1
176	259	26	1
229	262	26	2
232	263	26	2
229	264	26	1
241	267	26	1
233	268	26	1
235	268	26	1
228	269	26	2
229	269	26	1
236	269	26	2
234	270	26	1
229	271	26	2
235	271	26	1
236	271	26	1
240	271	26	1
217	272	26	1
226	272	26	2
236	272	26	1
231	273	26	1
236	273	26	2
239	273	26	1
