x	y	z	Circadian Clock
216.157603775171	275.673637444315	34.5586340221659	1
239	272	24	2
240	277	24	1
232	278	24	2
235	278	24	1
239	278	24	1
241	279	24	1
245	284	24	2
246	284	24	1
239	287	24	1
244	287	24	1
245	287	24	3
246	287	24	1
251	287	24	3
243	288	24	2
245	288	24	1
249	288	24	1
248	289	24	2
244	290	24	2
231	264	25	1
235	270	25	1
238	270	25	1
234	271	25	1
230	272	25	3
233	272	25	2
238	272	25	1
239	272	25	1
236	273	25	2
238	273	25	1
230	274	25	3
234	274	25	1
238	274	25	1
238	275	25	1
232.5	276.5	25.5	2
237	276	25	2
240	276	25	2
231	277	25	2
232	277	25	1
235	277	25	2
236	277	25	1
237	277	25	1
232	278	25	1
236	278	25	1
238	278	25	1
232	279	25	1
233	279	25	2
234	279	25	1
235	279	25	2
236	279	25	2
237	279	25	2
238	279	25	2
240	279	25	2
247	279	25	1
249	279	25	2
232	280	25	2
233	280	25	2
234	280	25	1
236	280	25	1
239	280	25	1
245	280	25	1
235	281	25	1
241	281	25	3
243	281	25	1
249	281	25	1
214	282	25	2
232	282	25	2
235	282	25	1
237	282	25	1
240	282	25	1
245	282	25	1
247	282	25	1
231	283	25	2
232	283	25	1
233	283	25	1
234	283	25	2
235	283	25	1
236	283	25	3
237	283	25	1
239	283	25	1
241	283	25	1
245	283	25	1
246	283	25	2
249	283	25	1
233	284	25	1
234	284	25	1
241	284	25	1
242	284	25	1
243	284	25	2
245	284	25	4
247	284	25	2
250	284	25	1
252	284	25	3
234	285	25	2
235	285	25	1
237	285	25	1
238	285	25	1
239	285	25	1
241	285	25	1
243	285	25	1
250	285	25	1
218	286	25	1
232	286	25	1
234	286	25	2
236	286	25	1
242	286	25	2
243	286	25	1
250	286	25	2
252	286	25	2
254	286	25	1
242	287	25	2
245	287	25	1
246	287	25	3
249	287	25	1
251	287	25	1
235	288	25	1
236	288	25	1
237	288	25	3
239	288	25	3
251	288	25	1
226	289	25	1
234	289	25	1
238	289	25	4
242	289	25	2
248.5	289.5	25.5	1
250	289	25	1
225	290	25	1
235	290	25	1
236	290	25	2
237	290	25	2
240	290	25	4
243	290	25	1
246	290	25	1
249	290	25	2
226	291	25	1
235	291	25	1
236	291	25	1
237	291	25	1
238	291	25	1
