x	y	z	G alpha (i) signalling events
244	284	21	1
240	286	21	2
246	292	21	1
239	272	24	1
240	277	24	1
235	278	24	1
239	278	24	1
246	284	24	1
244	286	24	1
248	286	24	1
244	287	24	2
244	288	24	1
245	288	24	1
249	288	24	1
244	289	24	2
246	289	24	2
248	289	24	1
249	289	24	1
244	290	24	1
244	291	24	1
232	265	25	2
235	270	25	1
238	270	25	2
234	271	25	1
227	272	25	2
228	272	25	1
239	272	25	1
227	273	25	2
236	273	25	1
238	273	25	1
230	274	25	1
231	274	25	2
232	274	25	1
234	274	25	1
235	274	25	2
235	275	25	2
237	275	25	1
238	275	25	1
234	276	25	1
235	276	25	1
237	276	25	2
248	276	25	1
232	277	25	1
233	277	25	1
234	277	25	4
235	277	25	1
231	278	25	1
233	278	25	1
236	278	25	1
237	278	25	1
231	279	25	2
234	279	25	1
235	279	25	1
240	279	25	4
241	279	25	1
249	279	25	2
232	280	25	1
233	280	25	2
234	280	25	2
236	280	25	2
239	280	25	1
245	280	25	2
234	281	25	1
235	281	25	3
237	281	25	2
240	281	25	2
241	281	25	1
245	281	25	1
249	281	25	1
233	282	25	1
234	282	25	1
235	282	25	1
238	282	25	1
240	282	25	3
247	282	25	1
230	283	25	2
231	283	25	1
232	283	25	1
233	283	25	1
234	283	25	1
235	283	25	2
236	283	25	1
237	283	25	1
238	283	25	2
239	283	25	1
245	283	25	1
249	283	25	1
233	284	25	1
234	284	25	1
235	284	25	3
237	284	25	1
242	284	25	3
243	284	25	1
244	284	25	1
249	284	25	2
215	285	25	1
232	285	25	1
234	285	25	2
235	285	25	1
236	285	25	1
240	285	25	4
241	285	25	1
243	285	25	1
244	285	25	1
246	285	25	2
248	285	25	1
252	285	25	1
232	286	25	3
233	286	25	2
234	286	25	1
235	286	25	1
236	286	25	2
240	286	25	2
243	286	25	3
252	286	25	2
254	286	25	2
238	287	25	1
242	287	25	4
245	287	25	3
246	287	25	1
237	288	25	2
239	288	25	1
242	288	25	1
250	288	25	1
251	288	25	1
234	289	25	2
235	289	25	1
238	289	25	1
242	289	25	1
244	289	25	4
248.5	289.5	25.5	2
250	289	25	2
225	290	25	1
235	290	25	3
236	290	25	1
237	290	25	2
238	290	25	1
240	290	25	2
226	291	25	2
234	291	25	2
235	291	25	3
236	291	25	1
237	291	25	3
239	291	25	1
240	291	25	2
241	291	25	3
242	291	25	2
245	291	25	1
246	291	25	1
250	291	25	1
251	291	25	3
235	292	25	1
237	292	25	1
238	292	25	1
239	292	25	2
242	292	25	1
243	292	25	1
249	292	25	1
240	293	25	3
239	294	25	1
240	294	25	1
241	294	25	2
243	294	25	2
247	294	25	1
234	295	25	2
237	295	25	3
241	295	25	1
243	295	25	1
245	295	25	1
239	296	25	1
244	296	25	1
239	297	25	1
241	299	25	1
243	299	25	1
227	300	25	1
238	300	25	1
240	300	25	1
239	302	25	1
176	259	26	1
232	263	26	1
229	264	26	2
230	264	26	1
231	264	26	2
215	265	26	2
234	265	26	2
237	266	26	1
234	267	26	1
235	267	26	1
236	268	26	2
228	269	26	1
236	269	26	1
235	270	26	1
236	270	26	1
240	270	26	1
229	271	26	1
235	271	26	2
240	271	26	1
215	272	26	2
217	272	26	1
226	272	26	1
230	272	26	1
239	272	26	1
237	273	26	1
239	273	26	2
248	273	26	1
231	274	26	1
236	274	26	1
238	274	26	2
233	275	26	1
236	275	26	2
239	275	26	1
245	275	26	1
207	276	26	4
215	276	26	2
231	276	26	1
234	276	26	1
235	276	26	1
237	276	26	2
238	276	26	1
239	276	26	1
209	277	26	1
230	277	26	2
231	277	26	1
232	277	26	1
239	277	26	1
247	277	26	1
250	277	26	1
231	278	26	1
232	278	26	2
234	278	26	2
235	278	26	3
236	278	26	1
237	278	26	1
239	278	26	1
249	278	26	1
252	278	26	1
231	279	26	1
232	279	26	2
233	279	26	1
234	279	26	2
237	279	26	1
240	279	26	1
248	279	26	1
249	279	26	2
250	279	26	1
230	280	26	1
232	280	26	1
233	280	26	1
236	280	26	1
238	280	26	1
240	280	26	2
241	280	26	1
247	280	26	3
248	280	26	1
249	280	26	2
231	281	26	2
232	281	26	1
235	281	26	1
236	281	26	1
237	281	26	1
244	281	26	1
246	281	26	1
248	281	26	1
249	281	26	2
250	281	26	3
208	282	26	1
209	282	26	3
235	282	26	1
238	282	26	1
242	282	26	1
245	282	26	1
247	282	26	1
250	282	26	5
251	282	26	3
253	282	26	3
254	282	26	2
209	283	26	3
227	283	26	1
233	283	26	1
234	283	26	1
243	283	26	4
246	283	26	1
248	283	26	2
251	283	26	1
254	283	26	1
214	284	26	1
232	284	26	1
234	284	26	1
235	284	26	1
236	284	26	3
237	284	26	4
241	284	26	1
242	284	26	3
245	284	26	2
248	284	26	1
250	284	26	2
252	284	26	1
212	285	26	1
214	285	26	1
245	285	26	1
247	285	26	1
232	286	26	1
233	286	26	1
234	286	26	1
237	286	26	2
238	286	26	2
249	286	26	1
250	286	26	1
223	287	26	1
224	287	26	1
228	287	26	1
232	287	26	1
234	287	26	2
236	287	26	4
237	287	26	1
239	287	26	2
249	287	26	2
252	287	26	1
232	288	26	1
235	288	26	1
240	288	26	1
243	288	26	1
248	288	26	1
252	288	26	2
253	288	26	1
222	289	26	2
223	289	26	3
227	289	26	2
231	289	26	2
232	289	26	1
233	289	26	1
234	289	26	2
235	289	26	3
236	289	26	1
237	289	26	1
238	289	26	1
240	289	26	1
242	289	26	2
243	289	26	1
248	289	26	1
250	289	26	3
251	289	26	4
252	289	26	2
227	290	26	1
228	290	26	2
233	290	26	1
236	290	26	1
237	290	26	1
238	290	26	2
239	290	26	1
240	290	26	1
229	291	26	1
232	291	26	3
235	291	26	3
236	291	26	1
244	291	26	1
245	291	26	1
237	292	26	2
238	292	26	1
239	292	26	1
242	292	26	1
245	292	26	1
246	292	26	1
247	292	26	1
249	292	26	1
250	292	26	1
252	292	26	1
254	292	26	1
225	293	26	2
234	293	26	1
238	293	26	3
239	293	26	1
244	293	26	1
245	293	26	2
253	293	26	1
220	294	26	2
242	294	26	1
244	294	26	1
245	294	26	1
221	295	26	1
222	295	26	2
237	295	26	3
239	295	26	1
241	295	26	1
242	295	26	2
243	295	26	1
254	295	26	1
235	296	26	1
239	296	26	2
240	296	26	2
242	296	26	1
237	297	26	1
242	297	26	1
244	297	26	1
245	297	26	1
246	297	26	1
239	298	26	1
240	298	26	2
246	298	26	1
236	299	26	2
239	299	26	1
240	299	26	1
227	300	26	2
236	300	26	2
241	300	26	1
184	255	27	1
181	257	27	1
186	257	27	1
181	258	27	2
184	258	27	2
215	258	27	3
232	258	27	1
183	259	27	1
226	259	27	1
228	259	27	1
229	259	27	3
231	259	27	1
232	259	27	1
176	260	27	3
183	260	27	1
185	260	27	2
186	260	27	1
227	260	27	1
233	260	27	2
235	260	27	1
240	260	27	1
177	261	27	1
180	261	27	1
182	261	27	1
185	261	27	1
220	261	27	1
222	261	27	2
227	261	27	2
228	261	27	1
229	261	27	2
231	261	27	1
234	261	27	1
236	261	27	1
177	262	27	1
186	262	27	1
232	262	27	1
233	262	27	1
236	262	27	1
238	262	27	1
179	263	27	1
183	263	27	1
185	263	27	1
211	263	27	2
220	263	27	2
225	263	27	1
227	263	27	1
231	263	27	1
233	263	27	3
234	263	27	2
238	263	27	3
175	264	27	1
176	264	27	2
180	264	27	3
209	264	27	1
219	264	27	1
222	264	27	1
224	264	27	1
226	264	27	1
228	264	27	2
229	264	27	1
231	264	27	1
232	264	27	2
234	264	27	2
239	264	27	1
240	264	27	2
181	265	27	2
184	265	27	1
212	265	27	2
215	265	27	1
221	265	27	1
225	265	27	2
226	265	27	1
231	265	27	2
236	265	27	1
240	265	27	2
178	266	27	3
179	266	27	1
180	266	27	1
219	266	27	1
221	266	27	2
226	266	27	2
227	266	27	1
229	266	27	1
230	266	27	3
231	266	27	1
237	266	27	1
239	266	27	1
214	267	27	3
217	267	27	1
226	267	27	1
228	267	27	1
229	267	27	1
231	267	27	2
233	267	27	1
234	267	27	1
235	267	27	1
239	267	27	2
241	267	27	1
179	268	27	1
181	268	27	3
215	268	27	2
217	268	27	1
224	268	27	2
226	268	27	1
227	268	27	1
229	268	27	1
231	268	27	3
234	268	27	1
235	268	27	3
238	268	27	3
241	268	27	1
243	268	27	3
248	268	27	2
177	269	27	2
178	269	27	1
182	269	27	2
201	269	27	1
207	269	27	1
214	269	27	4
215	269	27	2
225	269	27	1
228	269	27	1
229	269	27	2
232	269	27	1
234	269	27	1
235	269	27	2
236	269	27	2
240	269	27	1
252	269	27	1
178	270	27	1
207	270	27	1
215	270	27	1
218	270	27	1
221	270	27	4
227	270	27	2
230	270	27	2
232	270	27	4
233	270	27	2
234	270	27	1
236	270	27	1
239	270	27	1
240	270	27	1
242	270	27	1
243	270	27	1
177	271	27	1
178	271	27	3
181	271	27	2
207	271	27	2
208	271	27	1
209	271	27	3
210	271	27	1
211	271	27	4
215	271	27	1
216	271	27	1
217	271	27	2
222	271	27	1
225	271	27	1
228	271	27	1
232	271	27	1
235	271	27	2
242	271	27	1
243	271	27	1
247	271	27	1
249	271	27	1
251	271	27	2
176	272	27	2
203	272	27	2
204	272	27	1
207	272	27	2
208	272	27	1
213	272	27	3
214	272	27	1
216	272	27	1
222	272	27	3
223	272	27	1
225	272	27	1
227	272	27	2
228	272	27	1
232	272	27	1
234	272	27	1
235	272	27	1
236	272	27	3
237	272	27	1
238	272	27	2
240	272	27	4
247	272	27	1
249	272	27	1
250	272	27	2
251	272	27	3
203	273	27	1
205	273	27	5
207	273	27	1
212	273	27	2
213	273	27	1
214	273	27	1
220	273	27	1
223	273	27	3
224	273	27	2
231	273	27	3
240	273	27	1
246	273	27	2
247	273	27	1
248	273	27	2
249	273	27	1
251	273	27	2
253	273	27	1
177	274	27	2
179	274	27	2
182	274	27	1
203	274	27	2
204	274	27	2
206	274	27	1
207	274	27	2
208	274	27	3
212	274	27	1
213	274	27	1
214	274	27	1
216	274	27	1
224	274	27	1
226	274	27	1
228	274	27	1
229	274	27	1
230	274	27	3
233	274	27	1
236	274	27	1
239	274	27	1
241	274	27	2
247	274	27	2
250	274	27	1
252	274	27	1
254	274	27	1
184	275	27	1
205	275	27	3
208	275	27	4
212	275	27	1
213	275	27	1
214	275	27	2
216	275	27	1
217	275	27	2
