x	y	z	Mitochondrial protein import
183.039773122643	289.659001437601	35.0807824929564	1
132	221	20	3
142	221	20	1
179	221	20	2
134	222	20	2
178	222	20	1
138	223	20	1
148	223	20	1
156	224	20	4
172	224	20	1
175	224	20	1
176	224	20	2
135	225	20	3
153	225	20	1
159	225	20	2
119	226	20	1
126	226	20	1
139	226	20	1
158	226	20	2
172	226	20	1
155	227	20	2
119	228	20	2
128	228	20	1
130	228	20	1
132	228	20	2
155	228	20	1
174	228	20	1
196	228	20	1
197	228	20	1
158	229	20	3
159	229	20	1
129	230	20	2
169	230	20	1
173	230	20	1
186	230	20	1
132	231	20	1
154	231	20	2
161	231	20	2
170	231	20	1
177	231	20	2
115	232	20	2
135	232	20	1
137	232	20	2
142	232	20	2
190	232	20	1
197	232	20	1
136	233	20	1
143	233	20	2
152	233	20	1
170	233	20	1
215	233	20	2
138	234	20	1
126	235	20	1
137	235	20	2
143	235	20	1
145	235	20	2
151	235	20	1
158	235	20	2
206	235	20	1
222	235	20	1
127	236	20	1
134	236	20	1
139	236	20	1
154	236	20	1
163	236	20	2
145	237	20	1
168	237	20	1
202	237	20	1
220	237	20	1
248	237	20	1
127	238	20	1
139	238	20	1
141	238	20	1
143	238	20	1
152	238	20	2
141	239	20	1
165	239	20	1
172	239	20	1
230	239	20	1
102	240	20	2
118	240	20	4
126	240	20	1
147	240	20	1
149	240	20	2
191	240	20	1
239	240	20	1
108	241	20	1
111	241	20	1
131	241	20	1
135	241	20	1
141	241	20	1
145	241	20	1
149	241	20	1
121	242	20	1
123	242	20	1
128	242	20	2
132	242	20	1
141	242	20	1
150	242	20	1
163	242	20	1
185	242	20	2
237	242	20	2
116	243	20	1
124	243	20	2
141	243	20	2
201	243	20	2
247	243	20	1
118	244	20	1
126	244	20	1
155	244	20	2
183	244	20	1
210	244	20	1
220	244	20	2
160	245	20	1
169	245	20	1
176	245	20	1
130	246	20	1
149	246	20	1
159	246	20	1
177	246	20	2
215	246	20	1
221	246	20	1
102	247	20	2
122	247	20	2
137	247	20	1
139	247	20	2
218	247	20	1
114	248	20	1
166	248	20	3
175	248	20	1
210	248	20	1
215	248	20	1
222	248	20	1
143	249	20	2
167	249	20	1
191	249	20	2
194	249	20	3
119	250	20	1
121	250	20	1
157	250	20	1
162	250	20	1
172	250	20	1
227	250	20	1
133	251	20	1
207	251	20	1
216	251	20	1
251	251	20	1
118	252	20	1
173	252	20	2
218	252	20	1
226	252	20	2
234	252	20	1
120	253	20	1
122	253	20	1
140	253	20	3
154	253	20	1
161	253	20	2
175	253	20	1
194	253	20	1
222	253	20	2
252	253	20	1
124	254	20	1
127	254	20	1
148	254	20	1
154	254	20	2
180	254	20	1
197	254	20	3
217	254	20	1
226	254	20	4
238	254	20	2
198	255	20	3
200	255	20	1
207	255	20	2
232	255	20	2
251	255	20	2
157	256	20	1
158	256	20	1
166	256	20	2
196	256	20	1
204	256	20	1
234	256	20	1
241	256	20	1
262	256	20	2
134	257	20	2
146	257	20	1
162	257	20	1
175	257	20	1
228	257	20	1
229	257	20	2
232	257	20	1
234	257	20	2
243	257	20	1
255	257	20	1
258	257	20	1
132	258	20	2
162	258	20	1
163	258	20	3
176	258	20	1
220	258	20	2
233	258	20	1
107	259	20	1
144	259	20	1
167	259	20	1
193	259	20	1
195	259	20	1
229	259	20	1
231	259	20	1
265	259	20	1
108	260	20	1
130	260	20	2
134	260	20	1
147	260	20	1
158	260	20	1
184	260	20	1
224	260	20	1
245	260	20	1
102	261	20	1
130	261	20	1
147	261	20	1
163	261	20	3
165	261	20	1
191	261	20	1
199	261	20	2
228	261	20	1
231	261	20	3
118	262	20	1
124	262	20	1
156	262	20	1
223	262	20	2
230	262	20	4
166	263	20	1
207	263	20	1
210	263	20	1
246	263	20	3
265	263	20	1
105	264	20	1
126	264	20	1
146	264	20	1
163	264	20	2
168	264	20	1
187	264	20	1
249	264	20	1
250	264	20	2
264	264	20	2
137	265	20	1
147	265	20	3
166	265	20	1
179	265	20	1
190	265	20	1
236	265	20	1
113	266	20	1
117	266	20	1
132	266	20	2
158	266	20	1
160	266	20	1
172	266	20	1
197	266	20	1
211	266	20	5
225	266	20	2
117	267	20	1
118	267	20	2
132	267	20	1
160	267	20	1
168	267	20	1
239	267	20	1
266	267	20	1
113	268	20	3
121	268	20	1
141	268	20	1
154	268	20	1
156	268	20	1
162	268	20	1
209	268	20	1
213	268	20	1
255	268	20	1
107	269	20	1
118	269	20	1
119	269	20	1
140	269	20	2
147	269	20	1
149	269	20	1
155	269	20	2
165	269	20	1
197	269	20	1
246	269	20	1
100	270	20	3
115	270	20	1
162	270	20	2
177	270	20	1
210	270	20	1
227	270	20	2
118	271	20	1
128	271	20	1
133	271	20	2
145	271	20	2
162	271	20	2
163	271	20	1
164	271	20	2
165	271	20	1
167	271	20	1
171	271	20	3
201	271	20	1
222	271	20	1
266	271	20	1
113	272	20	1
117	272	20	2
121	272	20	2
125	272	20	3
135	272	20	2
144	272	20	1
154	272	20	1
158	272	20	1
166	272	20	3
168	272	20	1
174	272	20	1
176	272	20	3
218	272	20	2
225	272	20	1
226	272	20	1
255	272	20	2
264	272	20	1
123	273	20	1
132	273	20	1
152	273	20	1
167	273	20	1
206	273	20	1
207	273	20	1
220	273	20	3
223	273	20	1
122	274	20	1
159	274	20	1
169	274	20	1
197	274	20	2
227	274	20	1
230	274	20	3
131	275	20	1
154	275	20	1
172	275	20	1
176	275	20	1
204	275	20	1
221	275	20	1
235	275	20	1
110	276	20	1
137	276	20	1
163	276	20	3
167	276	20	1
180	276	20	1
222	276	20	1
266	276	20	1
140	277	20	1
217	277	20	1
219	277	20	2
220	277	20	2
260	277	20	2
262	277	20	2
129	278	20	2
180	278	20	1
183	278	20	1
208	278	20	1
227	278	20	1
270	278	20	1
120	279	20	1
156	279	20	1
163	279	20	1
171	279	20	1
175	279	20	1
178	279	20	1
200	279	20	1
217	279	20	1
224	279	20	1
228	279	20	1
232	279	20	3
241	279	20	1
108	280	20	1
132	280	20	1
133	280	20	1
162	280	20	1
163	280	20	1
173	280	20	2
197	280	20	1
199	280	20	1
224	280	20	1
134	281	20	2
142	281	20	2
169	281	20	2
176	281	20	2
218	281	20	1
226	281	20	2
227	281	20	2
261	281	20	1
106	282	20	1
149	282	20	1
158	282	20	2
172	282	20	1
203	282	20	1
219	282	20	2
130	283	20	3
167	283	20	1
189	283	20	1
190	283	20	1
216	283	20	1
217	283	20	1
226	283	20	1
266	283	20	1
272	283	20	1
153	284	20	1
163	284	20	1
186	284	20	1
213	284	20	1
214	284	20	1
224	284	20	1
228	284	20	1
265	284	20	1
267	284	20	1
109	285	20	3
141	285	20	1
145	285	20	1
157	285	20	1
202	285	20	2
208	285	20	1
210	285	20	1
223	285	20	1
230	285	20	1
231	285	20	1
250	285	20	1
272	285	20	2
101	286	20	2
129	286	20	1
133	286	20	2
225	286	20	2
236	286	20	1
271	286	20	1
112	287	20	1
155	287	20	1
198	287	20	1
199	287	20	1
220	287	20	1
226	287	20	2
261	287	20	1
113	288	20	1
196	288	20	1
215	288	20	1
218	288	20	1
225	288	20	1
238	288	20	1
124	289	20	3
125	289	20	3
143	289	20	1
147	289	20	2
149	289	20	1
152	289	20	4
179	289	20	1
181	289	20	1
201	289	20	1
221	289	20	2
252	289	20	3
271	289	20	3
140	290	20	1
142	290	20	1
143	290	20	1
226	290	20	1
250	290	20	1
259	290	20	2
108	291	20	1
117	291	20	1
149	291	20	1
151	291	20	1
227	291	20	2
104	292	20	2
131	292	20	1
146	292	20	2
173	292	20	1
207	292	20	2
236	292	20	1
237	292	20	1
244	292	20	1
249	292	20	1
265	292	20	1
106	293	20	1
117	293	20	2
142	293	20	1
204	293	20	1
219	293	20	1
222	293	20	2
225	293	20	2
261	293	20	1
118	294	20	1
126	294	20	1
161	294	20	1
174	294	20	1
180	294	20	1
194	294	20	1
209	294	20	1
214	294	20	1
219	294	20	1
222	294	20	1
264	294	20	2
269	294	20	1
136	295	20	3
189	295	20	2
196	295	20	1
198	295	20	2
218	295	20	2
220	295	20	1
116	296	20	1
145	296	20	1
163	296	20	1
170	296	20	1
180	296	20	1
194	296	20	1
202	296	20	1
212	296	20	2
216	296	20	2
270	296	20	1
133	297	20	1
137	297	20	1
161	297	20	1
172	297	20	1
238	297	20	2
270	297	20	2
123	298	20	3
147	298	20	1
165	298	20	1
193	298	20	1
203	298	20	1
265	298	20	1
269	298	20	1
129	299	20	1
134	299	20	1
156	299	20	3
161	299	20	2
194	299	20	2
257	299	20	1
264	299	20	1
270	299	20	1
139	300	20	1
191	300	20	1
266	300	20	1
114	301	20	1
133	301	20	1
149	301	20	2
155	301	20	1
159	301	20	1
166	301	20	1
114	302	20	1
167	302	20	1
206	302	20	1
252	302	20	1
264	302	20	1
127	303	20	1
150	303	20	2
156	303	20	1
234	303	20	4
266	303	20	1
157	304	20	3
193	304	20	1
203	304	20	1
236	304	20	1
243	304	20	2
256	304	20	1
262	304	20	1
177	305	20	1
223	305	20	1
234	305	20	1
249	305	20	1
127	306	20	1
132	306	20	3
136	306	20	2
172	306	20	1
191	306	20	1
200	306	20	1
240	306	20	3
241	306	20	1
246	306	20	1
249	306	20	1
261	306	20	2
166	307	20	1
211	307	20	1
213	307	20	1
227	307	20	2
239	307	20	1
103	308	20	2
184	308	20	2
197	308	20	1
208	308	20	1
229	308	20	1
232	308	20	1
235	308	20	1
249	308	20	2
124	309	20	1
134	309	20	1
175	309	20	1
201	309	20	2
203	309	20	1
238	309	20	1
239	309	20	1
242	309	20	1
246	309	20	2
269	309	20	1
121	310	20	1
144	310	20	2
178	310	20	2
182	310	20	2
185	310	20	2
241	310	20	2
255	310	20	1
263	310	20	1
143	311	20	1
152	311	20	1
201	311	20	1
246	311	20	1
264	311	20	2
93	312	20	1
115	312	20	1
168	312	20	1
205	312	20	1
247	312	20	1
260	312	20	2
263	312	20	2
107	313	20	2
115	313	20	1
174	313	20	1
181	313	20	3
182	313	20	2
217	313	20	1
227	313	20	1
241	313	20	1
250	313	20	1
100	314	20	1
142	314	20	1
152	314	20	1
180	314	20	1
201	314	20	2
207	314	20	1
210	314	20	1
237	314	20	2
259	314	20	1
110	315	20	1
124	315	20	1
150	315	20	1
175	315	20	1
180	315	20	1
194	315	20	1
198	315	20	1
215	315	20	1
256	315	20	1
259	315	20	1
262	315	20	1
266	315	20	2
177	316	20	2
198	316	20	1
204	316	20	2
228	316	20	2
234	316	20	3
235	316	20	1
95	317	20	1
103	317	20	1
115	317	20	1
152	317	20	1
163	317	20	2
177	317	20	1
251	317	20	2
267	317	20	1
113	318	20	1
117	318	20	2
121	318	20	3
126	318	20	1
172	318	20	1
247	318	20	2
258	318	20	1
260	318	20	2
263	318	20	2
171	319	20	1
193	319	20	1
218	319	20	1
242	319	20	2
258	319	20	2
120	320	20	3
179	320	20	2
180	320	20	1
187	320	20	2
195	320	20	2
200	320	20	1
204	320	20	2
234	320	20	1
241	320	20	1
250	320	20	1
259	320	20	1
94	321	20	1
112	321	20	1
183	321	20	1
195	321	20	1
196	321	20	1
197	321	20	1
210	321	20	1
231	321	20	2
237	321	20	1
254	321	20	1
256	321	20	2
92	322	20	1
157	322	20	1
178	322	20	1
180	322	20	1
185	322	20	1
193	322	20	1
198	322	20	2
226	322	20	1
257	322	20	1
99	323	20	1
111	323	20	1
118	323	20	1
153	323	20	3
164	323	20	1
186	323	20	1
193	323	20	1
194	323	20	2
214	323	20	1
233	323	20	1
234	323	20	1
237	323	20	1
264	323	20	4
135	324	20	2
149	324	20	1
165	324	20	2
169	324	20	1
177	324	20	1
185	324	20	1
193	324	20	1
194	324	20	1
224	324	20	1
101	325	20	1
111	325	20	1
126	325	20	1
139	325	20	1
181	325	20	1
187	325	20	1
189	325	20	2
205	325	20	1
228	325	20	3
128	326	20	1
177	326	20	1
191	326	20	1
196	326	20	1
201	326	20	1
203	326	20	1
212	326	20	2
261	326	20	1
102	327	20	1
139	327	20	1
161	327	20	2
189	327	20	1
244	327	20	1
256	327	20	1
144	328	20	1
167	328	20	2
179	328	20	1
183	328	20	1
198	328	20	1
200	328	20	1
212	328	20	1
98	329	20	3
106	329	20	1
117	329	20	1
147	329	20	1
158	329	20	1
165	329	20	2
179	329	20	1
180	329	20	1
187	329	20	1
199	329	20	1
210	329	20	1
97	330	20	1
122	330	20	1
124	330	20	1
129	330	20	1
131	330	20	1
150	330	20	1
157	330	20	2
181	330	20	2
262	330	20	2
118	331	20	1
145	331	20	2
177	331	20	1
200	331	20	1
201	331	20	1
205	331	20	1
240	331	20	2
249	331	20	2
106	332	20	1
114	332	20	2
176	332	20	1
180	332	20	1
192	332	20	2
199	332	20	1
232	332	20	1
96	333	20	1
137	333	20	1
157	333	20	1
174	333	20	1
193	333	20	2
204	333	20	1
227	333	20	1
244	333	20	1
261	333	20	1
143	334	20	1
153	334	20	3
158	334	20	2
160	334	20	1
183	334	20	1
210	334	20	1
224	334	20	2
256	334	20	1
210	335	20	2
227	335	20	1
237	335	20	3
239	335	20	1
163	336	20	2
175	336	20	2
194	336	20	1
200	336	20	1
207	336	20	1
260	336	20	2
144	337	20	2
236	337	20	2
246	337	20	2
169	338	20	1
173	338	20	1
183	338	20	1
249	339	20	1
177	340	20	1
225	340	20	2
233	340	20	1
167	341	20	1
213	341	20	1
230	341	20	1
238	341	20	1
242	341	20	1
246	341	20	1
173	342	20	1
185	342	20	2
227	342	20	1
231	342	20	1
210	343	20	1
219	343	20	1
223	343	20	1
229	343	20	1
243	343	20	1
178	344	20	1
181	344	20	2
216	344	20	1
223	345	20	1
243	345	20	1
213	346	20	1
217	346	20	1
243	346	20	3
198	347	20	2
201	347	20	1
161	348	20	1
192	348	20	1
236	348	20	1
179	349	20	2
192	349	20	1
195	349	20	1
229	349	20	1
235	349	20	2
165	350	20	4
184	350	20	1
207	350	20	2
221	350	20	2
237	350	20	1
203	351	20	3
186	352	20	1
197	352	20	1
165	353	20	1
173	353	20	1
212	353	20	1
224	353	20	2
170	354	20	1
210	354	20	1
218	355	20	2
180	357	20	1
182	357	20	1
215	357	20	1
211	358	20	1
171	359	20	1
173	359	20	1
175	359	20	1
176	359	20	3
200	359	20	3
179	360	20	1
180	360	20	2
186	360	20	1
199	361	20	1
205	361	20	1
172	224	21	1
180	225	21	1
155	226	21	1
183	226	21	2
156	229	21	1
154	230	21	3
136	233	21	1
144	233	21	1
129	234	21	1
134	235	21	2
217	235	21	1
132	236	21	1
133	236	21	1
140	236	21	1
141	236	21	1
146	236	21	2
136	237	21	1
138	237	21	1
172	237	21	1
178	237	21	1
128	238	21	1
131	238	21	2
132	238	21	2
137	238	21	1
149	238	21	1
200	238	21	1
129	239	21	1
131	239	21	2
139	239	21	2
147	239	21	1
178	239	21	2
126	240	21	1
127	240	21	2
128	240	21	1
130	240	21	2
