x	y	z	Regulation of APC/C activators between G1/S and early anaphase
247	287	27	1
248	287	27	1
249	287	27	1
250	287	27	2
251	287	27	1
255	287	27	1
204	288	27	1
214	288	27	2
223	288	27	2
224	288	27	3
225	288	27	1
228	288	27	2
232	288	27	2
234	288	27	1
236	288	27	1
237	288	27	1
238	288	27	3
240	288	27	1
241	288	27	1
244	288	27	1
246	288	27	1
247	288	27	1
249	288	27	1
252	288	27	1
253	288	27	1
255	288	27	1
209	289	27	1
210	289	27	2
219	289	27	1
224	289	27	1
225	289	27	3
227	289	27	1
228	289	27	1
230	289	27	1
232	289	27	2
233	289	27	1
235	289	27	1
239	289	27	1
241	289	27	1
243	289	27	1
246	289	27	2
249	289	27	2
253	289	27	1
254	289	27	1
256	289	27	1
207	290	27	2
224	290	27	2
228	290	27	1
231	290	27	1
234	290	27	1
235	290	27	1
237	290	27	1
240	290	27	1
241	290	27	2
243	290	27	1
250	290	27	1
252	290	27	3
253	290	27	1
210	291	27	1
213	291	27	2
221	291	27	2
222	291	27	2
224	291	27	2
225	291	27	1
228	291	27	1
229	291	27	1
233	291	27	2
234	291	27	1
235	291	27	1
236	291	27	1
240	291	27	1
241	291	27	2
242	291	27	1
246	291	27	1
247	291	27	1
248	291	27	2
250	291	27	1
251	291	27	1
252	291	27	3
257	291	27	1
211	292	27	1
213	292	27	1
219	292	27	1
220	292	27	2
222	292	27	1
224	292	27	3
227	292	27	1
228	292	27	1
229	292	27	1
230	292	27	1
235	292	27	1
238	292	27	1
241	292	27	1
247	292	27	1
248	292	27	1
250	292	27	1
251	292	27	1
253	292	27	1
254	292	27	2
211	293	27	3
217	293	27	1
220	293	27	1
221	293	27	1
223	293	27	2
224	293	27	2
226	293	27	1
237	293	27	1
238	293	27	2
240	293	27	1
243	293	27	2
244	293	27	1
245	293	27	1
247	293	27	1
248	293	27	1
249	293	27	2
251	293	27	1
253	293	27	1
256	293	27	2
211	294	27	2
213	294	27	2
217	294	27	2
226	294	27	2
236	294	27	2
246	294	27	1
251	294	27	1
252	294	27	1
219	295	27	1
220	295	27	2
223	295	27	1
239	295	27	1
244	295	27	1
246	295	27	1
250	295	27	2
251	295	27	1
252	295	27	1
255	295	27	1
211	296	27	1
237	296	27	4
239	296	27	1
240	296	27	1
246	296	27	1
247	296	27	1
249	296	27	2
255	296	27	1
225	297	27	1
237	297	27	1
242	297	27	1
243	297	27	2
244	297	27	2
245	297	27	1
248	297	27	1
251	297	27	2
253	297	27	1
223	298	27	1
236	298	27	2
239	298	27	1
243	298	27	1
244	298	27	1
245	298	27	1
248	298	27	1
223	299	27	1
229	299	27	1
236	299	27	1
239	299	27	1
241	299	27	1
243	299	27	2
245	299	27	1
246	299	27	1
248	299	27	2
226	300	27	1
227	300	27	2
235	300	27	1
238	300	27	1
240	300	27	1
241	300	27	1
242	300	27	3
244	300	27	2
247	300	27	2
248	300	27	2
224	301	27	1
235	301	27	2
239	301	27	1
240	301	27	1
243	301	27	1
245	301	27	1
250	301	27	2
251	301	27	1
226	302	27	1
235	302	27	1
237	302	27	2
238	302	27	1
244	302	27	3
245	302	27	2
241	303	27	1
238	304	27	1
235	305	27	2
231	264	28	1
232	264	28	2
234	265	28	1
236	269	28	2
238	269	28	1
237	270	28	2
250	270	28	1
206	272	28	1
233	272	28	1
234	272	28	1
250	272	28	1
235	273	28	2
214	274	28	2
234	274	28	1
235	275	28	2
249	275	28	1
233	276	28	3
235	276	28	1
238	276	28	1
237	277	28	2
237	278	28	1
210	279	28	1
237	279	28	3
239	280	28	2
241	280	28	1
248	281	28	2
252	281	28	1
246	282	28	2
247	282	28	1
238	283	28	2
246	283	28	3
249	283	28	3
248	284	28	1
254	284	28	1
242	285	28	4
244	285	28	1
248	285	28	2
235	286	28	1
237	286	28	3
246	286	28	2
247	286	28	1
249	286	28	1
240	287	28	1
244	287	28	2
245	287	28	2
248	287	28	1
251	287	28	1
224	288	28	2
244	288	28	1
227	289	28	1
245	289	28	1
246	289	28	1
253	289	28	2
240	290	28	2
244	290	28	2
245	290	28	2
239	291	28	1
241	291	28	1
245	291	28	2
249	291	28	1
239	292	28	1
241	292	28	2
245	292	28	1
248	292	28	2
243	293	28	1
249	293	28	1
241	294	28	4
242	294	28	1
245	294	28	2
249	294	28	1
250	294	28	1
240	295	28	1
241	295	28	1
242	295	28	1
239	297	28	1
245	297	28	2
225	300	28	1
236	300	28	2
229	255	29	1
234	256	29	1
235	256	29	1
230	257	29	1
181	258	29	4
228	258	29	2
235	258	29	1
238	259	29	1
181	260	29	1
182	260	29	1
234	260	29	1
183	261	29	1
187	261	29	2
199	261	29	1
226	261	29	1
229	261	29	1
221	262	29	1
227	262	29	4
229	262	29	1
222	263	29	1
245	263	29	1
215	264	29	1
224	264	29	1
226	264	29	2
229	264	29	1
245	264	29	2
248	264	29	2
181	265	29	2
232	265	29	1
233	265	29	1
239	265	29	2
197	266	29	1
226	266	29	1
228	266	29	1
229	266	29	1
230	266	29	3
232	266	29	1
248	266	29	1
250	266	29	2
192	267	29	1
194	267	29	3
196	267	29	1
197	267	29	1
199	267	29	1
214	267	29	1
226	267	29	1
230	267	29	1
234	267	29	1
235	267	29	1
249	267	29	1
194	268	29	2
236	268	29	3
239	268	29	3
250	268	29	1
193	269	29	1
204	269	29	1
234	269	29	1
237	269	29	1
249	269	29	1
175	270	29	1
198	270	29	1
200	270	29	1
230	270	29	1
232	270	29	1
234	270	29	1
235	270	29	2
237	270	29	1
238	270	29	2
250	270	29	1
173	271	29	1
215	271	29	2
233	271	29	1
235	271	29	2
240	271	29	1
211	272	29	1
214	272	29	1
235	272	29	1
236	272	29	1
238	272	29	2
239	272	29	2
182	273	29	2
211	273	29	1
212	273	29	2
225	273	29	1
249	273	29	1
206	274	29	1
213	274	29	1
214	274	29	1
233	274	29	2
234	274	29	1
235	274	29	1
240	274	29	1
247	274	29	1
250	274	29	2
184	275	29	1
215	275	29	1
232	275	29	1
235	275	29	1
236	275	29	2
238	275	29	3
241	275	29	1
245	275	29	2
232	276	29	4
233	276	29	2
236	276	29	1
237	276	29	2
238	276	29	1
240	276	29	1
241	276	29	1
246	276	29	1
248	276	29	1
249	276	29	2
252	276	29	1
205	277	29	1
232	277	29	3
237	277	29	2
238	277	29	1
239	277	29	1
240	277	29	2
247	277	29	1
251	277	29	1
204	278	29	3
235	278	29	1
239	278	29	2
244	278	29	1
245	278	29	1
250	278	29	1
234	279	29	1
236	279	29	2
238	279	29	4
245	279	29	2
248	279	29	1
249	279	29	1
252	279	29	2
205	280	29	1
233	280	29	1
235	280	29	1
236	280	29	3
237	280	29	1
245	280	29	2
252	280	29	1
224	281	29	2
232	281	29	2
234	281	29	1
241	281	29	1
246	281	29	1
247	281	29	3
249	281	29	1
251	281	29	1
212	282	29	2
233	282	29	1
235	282	29	2
241	282	29	1
242	282	29	2
244	282	29	1
246	282	29	1
248	282	29	2
249	282	29	1
250	282	29	1
251	282	29	2
209	283	29	1
215	283	29	1
231	283	29	1
232	283	29	1
234	283	29	1
236	283	29	1
239	283	29	1
241	283	29	1
245	283	29	3
247	283	29	1
248	283	29	2
250	283	29	1
251	283	29	1
220	284	29	1
222	284	29	1
234	284	29	1
236	284	29	4
237	284	29	1
238	284	29	1
240	284	29	1
242	284	29	1
243	284	29	3
246	284	29	1
249	284	29	2
252	284	29	1
255	284	29	1
226	285	29	2
227	285	29	1
233	285	29	1
242	285	29	2
244	285	29	1
246	285	29	3
247	285	29	1
253	285	29	1
254	285	29	1
234	286	29	1
236	286	29	1
241	286	29	2
242	286	29	1
248	286	29	1
249	286	29	1
252	286	29	3
228	287	29	4
232	287	29	2
233	287	29	1
234	287	29	1
238	287	29	2
240	287	29	2
246	287	29	2
247	287	29	3
225	288	29	1
226	288	29	1
228	288	29	1
234	288	29	1
235	288	29	1
240	288	29	1
241	288	29	1
242	288	29	2
243	288	29	2
245	288	29	1
227	289	29	2
236	289	29	1
250	289	29	1
254	289	29	1
224	290	29	1
226	290	29	1
230	290	29	1
240	290	29	1
242	290	29	3
243	290	29	1
245	290	29	1
222	291	29	1
226	291	29	1
238	291	29	1
239	291	29	1
240	291	29	1
241	291	29	1
245	291	29	2
246	291	29	2
247	291	29	1
250	291	29	1
227	292	29	2
236	292	29	2
238	292	29	1
239	292	29	1
248	292	29	4
257	292	29	1
222	293	29	1
223	293	29	2
224	293	29	3
225	293	29	2
237	293	29	2
246	293	29	1
248	293	29	1
249	293	29	1
252	293	29	1
253	293	29	1
224	294	29	1
238	294	29	1
242	294	29	3
243	294	29	1
246	294	29	1
248	294	29	1
249	294	29	1
251	294	29	1
220	295	29	1
221	295	29	1
240	295	29	1
244	295	29	1
245	295	29	1
247	295	29	2
219	296	29	1
246	296	29	3
253	296	29	1
239	297	29	1
240	297	29	1
241	297	29	1
243	297	29	2
248	297	29	1
215	298	29	1
237	298	29	1
242	298	29	1
245	298	29	1
249	298	29	2
221	299	29	2
226	299	29	1
227	299	29	1
240	299	29	2
227	300	29	1
237	300	29	1
247	300	29	1
225	301	29	1
227	301	29	2
230	301	29	2
236	301	29	1
238	301	29	1
241	301	29	1
235	302	29	1
250	302	29	1
240	303	29	1
236	305	29	1
225	251	30	2
215	252	30	2
228	253	30	1
237	253	30	1
231	254	30	2
232	254	30	2
235	254	30	2
236	254	30	1
227	255	30	1
230	255	30	2
232	255	30	1
234	255	30	1
236	255	30	1
204	256	30	1
230	256	30	1
231	256	30	1
181	257	30	1
209	257	30	3
215	257	30	2
230	257	30	2
237	257	30	1
239	257	30	2
240	257	30	1
186	258	30	1
215	258	30	1
227	258	30	1
231	258	30	1
189	259	30	1
195	259	30	1
209	259	30	1
210	259	30	3
216	259	30	1
218	259	30	2
219	259	30	1
220	259	30	1
226	259	30	2
227	259	30	1
228	259	30	2
232	259	30	1
234	259	30	1
235	259	30	1
186	260	30	1
190	260	30	1
217	260	30	1
223	260	30	2
225	260	30	1
227	260	30	1
228	260	30	2
231	260	30	2
232	260	30	1
235	260	30	1
236	260	30	2
240	260	30	1
186	261	30	3
187	261	30	1
188	261	30	1
194	261	30	2
196	261	30	1
209	261	30	1
211	261	30	1
212	261	30	1
216	261	30	1
217	261	30	1
219	261	30	1
224	261	30	1
225	261	30	1
227	261	30	1
230	261	30	5
231	261	30	1
232	261	30	1
236	261	30	1
238	261	30	1
239	261	30	2
241	261	30	1
246	261	30	1
249	261	30	2
188	262	30	1
194	262	30	1
206	262	30	1
216	262	30	1
218	262	30	2
221	262	30	1
222	262	30	1
223	262	30	1
225	262	30	1
226	262	30	2
233	262	30	1
240	262	30	1
245	262	30	2
246	262	30	1
247	262	30	2
248	262	30	1
249	262	30	2
251	262	30	1
188	263	30	1
189	263	30	1
197	263	30	1
210	263	30	2
211	263	30	2
216	263	30	1
218	263	30	2
222	263	30	1
224	263	30	1
228	263	30	1
232	263	30	1
233	263	30	1
234	263	30	1
247	263	30	1
248	263	30	1
249	263	30	1
186	264	30	2
188	264	30	2
195	264	30	2
211	264	30	1
222	264	30	1
225	264	30	3
228	264	30	1
229	264	30	4
230	264	30	2
232	264	30	1
236	264	30	1
238	264	30	1
239	264	30	2
240	264	30	1
246	264	30	1
249	264	30	1
183	265	30	1
191	265	30	1
192	265	30	1
193	265	30	1
197	265	30	3
200	265	30	3
211	265	30	1
216	265	30	1
219	265	30	3
224	265	30	1
228	265	30	2
229	265	30	4
230	265	30	1
234	265	30	2
236	265	30	1
238	265	30	1
242	265	30	1
244	265	30	2
188	266	30	1
189	266	30	1
194	266	30	1
195	266	30	1
212	266	30	1
213	266	30	1
215	266	30	1
228	266	30	3
230	266	30	1
231	266	30	1
232	266	30	1
233	266	30	1
238	266	30	1
239.5	266.5	30.5	1
241	266	30	1
243	266	30	2
247	266	30	1
176	267	30	3
183	267	30	2
189	267	30	1
193	267	30	1
194	267	30	1
196	267	30	1
202	267	30	1
209	267	30	1
214	267	30	2
225	267	30	1
231	267	30	1
235	267	30	1
238	267	30	1
240	267	30	1
244	267	30	1
247	267	30	1
249	267	30	1
172	268	30	3
182	268	30	1
195	268	30	1
196	268	30	1
205	268	30	1
207	268	30	1
214	268	30	1
217	268	30	1
223	268	30	1
226	268	30	1
228	268	30	1
230	268	30	1
235	268	30	2
239	268	30	1
243	268	30	2
244	268	30	1
245	268	30	1
248	268	30	3
250	268	30	1
178	269	30	1
182	269	30	1
191	269	30	1
204	269	30	1
211	269	30	1
215	269	30	1
222	269	30	2
232	269	30	1
233	269	30	2
240	269	30	2
242	269	30	3
245	269	30	1
247	269	30	1
248	269	30	1
178	270	30	1
187	270	30	2
194	270	30	2
196	270	30	1
200	270	30	1
205	270	30	2
207	270	30	1
214	270	30	1
215	270	30	1
223	270	30	2
230	270	30	1
231	270	30	1
232	270	30	1
234	270	30	1
235	270	30	1
238	270	30	3
245	270	30	1
176	271	30	1
183	271	30	1
185	271	30	1
187	271	30	1
188	271	30	2
193	271	30	1
198	271	30	2
199	271	30	2
200	271	30	1
201	271	30	1
206	271	30	1
208	271	30	1
216	271	30	1
225	271	30	1
233	271	30	2
234	271	30	1
238	271	30	1
239	271	30	1
249	271	30	1
179	272	30	1
180	272	30	1
182	272	30	1
184	272	30	1
185	272	30	1
197	272	30	3
203	272	30	1
207	272	30	2
216	272	30	1
223	272	30	3
224	272	30	1
235	272	30	1
236	272	30	1
238	272	30	1
239	272	30	1
242	272	30	2
245	272	30	1
247	272	30	1
181	273	30	2
182	273	30	1
203	273	30	2
204	273	30	1
213	273	30	1
214	273	30	3
231	273	30	1
232	273	30	3
233	273	30	1
234	273	30	1
236	273	30	2
240	273	30	1
241	273	30	2
246	273	30	1
177	274	30	1
183	274	30	1
185	274	30	1
203	274	30	3
209	274	30	2
229	274	30	1
234	274	30	1
241	274	30	1
244	274	30	1
251	274	30	1
179	275	30	1
182	275	30	1
211	275	30	1
212	275	30	2
213	275	30	1
235	275	30	1
236	275	30	1
237	275	30	1
239	275	30	1
242	275	30	1
250	275	30	1
251	275	30	1
206	276	30	1
207	276	30	1
236	276	30	3
238	276	30	2
239	276	30	1
246	276	30	1
250	276	30	2
180	277	30	2
206	277	30	1
208	277	30	1
232	277	30	1
235	277	30	2
237	277	30	2
238	277	30	1
239	277	30	1
241	277	30	2
243	277	30	1
245	277	30	1
250	277	30	1
251	277	30	1
190	278	30	3
203	278	30	2
204	278	30	3
206	278	30	2
230	278	30	1
236	278	30	3
243	278	30	1
247	278	30	1
250	278	30	1
206	279	30	2
219	279	30	1
221	279	30	1
234	279	30	1
237	279	30	1
241	279	30	1
244	279	30	1
246	279	30	1
247	279	30	1
250	279	30	3
175	280	30	1
178	280	30	1
219	280	30	1
226	280	30	3
232	280	30	1
235	280	30	1
238	280	30	2
241	280	30	1
242	280	30	2
244	280	30	1
245	280	30	2
247	280	30	1
248	280	30	1
175	281	30	1
181	281	30	3
217	281	30	1
218	281	30	1
224	281	30	2
234	281	30	1
239	281	30	1
240	281	30	1
245	281	30	1
247	281	30	1
252	281	30	3
179	282	30	1
181	282	30	1
