x	y	z	Activation of BH3-only proteins
216.157603775171	275.673637444315	34.5586340221659	1
235	278	24	1
251	287	24	1
245	288	24	1
244	289	24	1
246	289	24	1
247	289	24	1
244	290	24	1
231	264	25	1
238	270	25	1
233	272	25	1
235	273	25	1
230	274	25	1
248	276	25	1
233	277	25	1
236	278	25	1
239	278	25	1
232	280	25	1
233	280	25	1
234	280	25	1
245	280	25	1
235	281	25	1
249	282	25	1
232	283	25	1
213	284	25	1
242	284	25	1
247	284	25	1
249	284	25	1
235	285	25	1
241	285	25	3
248	285	25	2
237	287	25	1
249	287	25	1
252	287	25	1
237	288	25	1
239	288	25	1
234	289	25	1
235	289	25	1
236	289	25	2
242	289	25	1
235	290	25	2
244	290	25	1
226	291	25	1
234	291	25	1
235	291	25	1
240	291	25	1
251	291	25	1
227	292	25	1
239	292	25	1
246	293	25	1
240	294	25	1
246	294	25	2
239	296	25	1
246	296	25	1
247	296	25	2
243	299	25	1
239	302	25	1
229	262	26	1
235	267	26	1
235	268	26	2
228	269	26	1
228	270	26	1
240	270	26	1
226	272	26	2
239	272	26	1
233	274	26	2
236	274	26	1
232	275	26	1
235	275	26	1
239	275	26	1
248	275	26	1
207	276	26	2
232	276	26	1
210	277	26	1
230	277	26	1
234	277	26	1
240	277	26	1
247	277	26	1
232	278	26	1
243	278	26	1
249	278	26	1
251	278	26	1
241	279	26	1
248	279	26	1
238	280	26	2
242	280	26	2
249	280	26	1
232	281	26	1
247	281	26	2
248	281	26	1
249	281	26	1
215	282	26	1
229	282	26	1
233	282	26	1
237	282	26	2
242	282	26	1
245	282	26	1
251	282	26	1
227	283	26	1
212	284	26	1
238	284	26	1
243	284	26	1
244	284	26	1
212	285	26	1
235	285	26	1
236	285	26	1
237	285	26	1
245	285	26	1
225	286	26	1
238	286	26	1
242	286	26	1
243	286	26	1
246	286	26	1
247	286	26	2
250	286	26	1
223	287	26	1
232	287	26	1
234	287	26	1
236	287	26	1
243	287	26	1
252	287	26	1
241	288	26	2
243	288	26	1
245	288	26	1
248	288	26	1
249	288	26	1
222	289	26	1
231	289	26	1
233	289	26	1
237	289	26	1
243	289	26	1
227	290	26	1
243	290	26	1
244	290	26	2
222	291	26	1
229	291	26	1
240	291	26	1
245	291	26	2
246	291	26	2
249	291	26	1
237	292	26	1
242	292	26	1
244	292	26	1
246	292	26	1
247	292	26	1
250	292	26	1
251	292	26	1
254	292	26	1
225	293	26	1
237	293	26	1
238	293	26	1
246	293	26	1
235	294	26	1
242	294	26	1
246	294	26	1
237	295	26	1
242	295	26	1
244	295	26	2
254	295	26	1
237	297	26	1
246	298	26	1
236	299	26	1
241	300	26	1
235	301	26	1
184	255	27	1
183	258	27	1
232	258	27	1
185	259	27	1
229	259	27	1
183	260	27	1
184	260	27	1
227	260	27	1
228	260	27	1
235	260	27	1
187	261	27	1
236	261	27	1
237	261	27	1
182	262	27	1
210	263	27	1
227	263	27	1
229	263	27	1
231	263	27	1
236	263	27	1
238	263	27	1
180	264	27	1
226	264	27	1
228	264	27	2
221	265	27	1
231	265	27	1
232	265	27	1
234	265	27	1
235	265	27	1
236	265	27	1
237	265	27	1
240	265	27	2
180	266	27	1
201	266	27	1
215	266	27	1
219	266	27	1
221	266	27	1
226	266	27	1
227	266	27	1
228	266	27	1
217	267	27	1
232	267	27	3
233	267	27	1
236	267	27	1
241	267	27	1
180	268	27	1
197	268	27	1
214	268	27	1
217	268	27	1
229	268	27	1
230	268	27	1
231	268	27	2
235	268	27	1
237	268	27	1
205	269	27	1
234	269	27	1
235	269	27	2
236	269	27	1
240	269	27	1
215	270	27	2
216	270	27	1
217	270	27	1
221	270	27	1
230	270	27	1
234	270	27	1
239	270	27	3
240	270	27	1
242	270	27	1
180	271	27	1
208	271	27	1
210	271	27	1
240	271	27	1
242	271	27	1
248	271	27	1
176	272	27	1
179	272	27	1
181	272	27	1
203	272	27	1
204	272	27	1
214	272	27	1
216	272	27	2
225	272	27	1
236	272	27	3
237	272	27	1
251	272	27	1
205	273	27	2
211	273	27	1
213	273	27	1
217	273	27	1
224	273	27	1
231	273	27	1
232	273	27	1
235	273	27	1
246	273	27	1
178	274	27	1
179	274	27	1
182	274	27	1
203	274	27	1
207	274	27	1
214	274	27	1
231	274	27	1
235	274	27	2
243	274	27	1
216	275	27	2
254	275	27	1
177	276	27	1
233	276	27	2
239	276	27	1
250	276	27	1
205	277	27	1
231	277	27	2
233	277	27	1
237	277	27	1
245	277	27	2
250	277	27	1
206	278	27	1
208	278	27	1
234	278	27	1
235	278	27	1
238	278	27	1
239	278	27	1
248	278	27	1
251	278	27	1
219	279	27	1
235	279	27	1
240	279	27	1
251	279	27	1
252	279	27	1
207	280	27	1
209	280	27	1
234	280	27	1
241	280	27	1
246	280	27	2
247	280	27	1
252	280	27	1
256	280	27	1
207	281	27	1
228	281	27	2
234	281	27	1
246	281	27	1
248	281	27	1
249	281	27	1
252	281	27	2
256	281	27	1
205	282	27	1
213	282	27	1
229	282	27	1
237	282	27	1
244	282	27	1
247	282	27	1
252	282	27	1
201	283	27	1
206	283	27	1
215	283	27	1
216	283	27	3
228	283	27	1
232	283	27	1
234	283	27	2
236	283	27	1
240	283	27	2
243	283	27	2
245	283	27	1
249	283	27	1
253	283	27	1
255	283	27	1
256	283	27	1
212	284	27	1
230	284	27	1
238	284	27	1
252	284	27	1
206	285	27	1
209	285	27	1
210	285	27	2
215	285	27	1
223	285	27	1
224	285	27	1
234	285	27	1
236	285	27	1
238	285	27	1
242	285	27	1
250	285	27	1
253	285	27	1
254	285	27	1
204	286	27	1
216	286	27	1
226	286	27	1
232	286	27	1
237	286	27	1
241	286	27	1
247	286	27	1
249	286	27	1
251	286	27	1
255	286	27	1
258	286	27	1
207	287	27	1
221	287	27	1
223	287	27	1
232	287	27	2
236	287	27	1
238	287	27	2
243	287	27	1
248	287	27	1
223	288	27	1
226	288	27	1
233	288	27	1
237	288	27	1
243	288	27	1
250	288	27	1
227	289	27	2
228	289	27	1
230	289	27	1
239	289	27	1
248	289	27	1
251	289	27	1
253	289	27	2
254	289	27	1
214	290	27	1
236	290	27	1
250	290	27	1
252	290	27	1
210	291	27	2
222	291	27	1
224	291	27	1
227	291	27	1
236	291	27	1
243	291	27	1
246	291	27	1
251	291	27	1
252	291	27	1
213	292	27	1
226	292	27	1
228	292	27	2
235	292	27	1
247	292	27	1
252	292	27	1
219	293	27	2
222	293	27	1
247	293	27	1
249	293	27	1
256	293	27	1
211	294	27	1
217	294	27	3
224	294	27	1
225	294	27	1
226	294	27	1
231	294	27	1
236	294	27	1
250	294	27	1
255	294	27	1
211	295	27	3
244	295	27	1
248	295	27	2
251	295	27	1
237	296	27	1
238	296	27	2
239	296	27	2
246	296	27	1
247	296	27	1
217	297	27	1
225	297	27	1
239	297	27	1
223	298	27	1
226	298	27	1
239	298	27	1
245	298	27	1
247	298	27	1
236	299	27	1
240	299	27	1
246	299	27	1
244	300	27	1
248	300	27	1
227	301	27	1
236	301	27	1
241	301	27	1
237	305	27	1
232	264	28	1
234	265	28	1
231	266	28	1
234	266	28	1
234	267	28	1
231	268	28	1
236	268	28	2
235	270	28	1
236	271	28	1
240	271	28	1
206	272	28	2
232	272	28	1
236	272	28	3
250	272	28	1
211	273	28	1
234	274	28	1
233	276	28	2
235	277	28	2
237	277	28	1
237	278	28	1
208	281	28	1
247	282	28	1
246	283	28	2
240	285	28	1
244	287	28	1
238	288	28	1
231	289	28	1
237	290	28	1
240	290	28	1
240	291	28	2
245	291	28	1
247	291	28	1
239	292	28	1
242	292	28	3
240	293	28	1
249	293	28	1
241	295	28	1
242	295	28	1
245	295	28	1
236	300	28	1
233	256	29	1
234	256	29	1
237	258	29	1
187	261	29	1
199	261	29	1
231	261	29	1
229	262	29	1
234	263	29	1
248	263	29	1
230	264	29	1
231	264	29	1
181	265	29	1
215	265	29	1
226	265	29	1
233	265	29	1
249	265	29	1
197	266	29	1
229	266	29	2
245	266	29	1
250	266	29	1
199	267	29	1
234	267	29	1
235	267	29	1
249	267	29	1
236	268	29	1
238	268	29	1
196	269	29	1
234	269	29	1
235	269	29	1
249	269	29	1
178	270	29	1
196	270	29	1
227	270	29	1
230	270	29	1
182	271	29	1
203	271	29	1
233	271	29	2
234	271	29	1
237	271	29	1
251	271	29	1
214	272	29	1
215	272	29	2
224	272	29	1
232	272	29	1
245	272	29	1
182	273	29	1
212	273	29	1
236	273	29	1
206	274	29	1
214	274	29	1
233	274	29	1
236	274	29	1
239	274	29	1
237	275	29	1
238	275	29	2
245	275	29	1
205	276	29	1
228	276	29	1
240	276	29	1
234	277	29	1
236	277	29	1
238	277	29	1
251	277	29	1
236	278	29	1
245	278	29	1
206	279	29	1
247	279	29	1
233	280	29	1
235	280	29	1
237	280	29	1
247	280	29	1
250	280	29	2
254	280	29	1
256	280	29	1
208	281	29	1
224	281	29	1
234	281	29	1
248	281	29	1
212	282	29	1
235	282	29	1
241	282	29	1
251	282	29	1
239	283	29	2
247	283	29	1
250	283	29	2
234	284	29	1
236	284	29	1
237	284	29	1
240	284	29	1
248	284	29	2
250	284	29	1
227	285	29	1
238	285	29	1
253	285	29	1
211	286	29	2
241	286	29	1
248	286	29	1
226	287	29	1
228	287	29	1
232	287	29	1
233	287	29	2
238	287	29	1
240	287	29	1
228	288	29	1
232	288	29	1
236	288	29	1
243	288	29	1
225	289	29	1
227	289	29	4
227	290	29	1
228	290	29	2
230	290	29	1
238	290	29	1
242	290	29	1
245	290	29	1
226	291	29	1
250	291	29	1
222	292	29	1
252	293	29	1
238	294	29	1
219	296	29	1
246	296	29	1
227	297	29	1
243	297	29	1
245	297	29	1
246	297	29	1
247	297	29	1
215	298	29	1
219	298	29	1
221	298	29	1
224	298	29	1
237	298	29	1
238	298	29	1
249	298	29	1
239	299	29	1
240	299	29	1
225	300	29	1
227	300	29	1
239	300	29	1
240	300	29	2
223	301	29	1
235	302	29	1
237	304	29	1
228	251	30	1
233	252	30	2
215	254	30	1
238	254	30	2
191	255	30	1
232	256	30	1
190	257	30	1
204	257	30	1
209	257	30	1
236	257	30	1
239	257	30	1
186	258	30	1
215	258	30	1
226	258	30	1
229	258	30	1
231	258	30	2
239	258	30	1
206	259	30	1
216	259	30	1
219	259	30	1
220	259	30	1
230	259	30	2
232	259	30	1
234	259	30	1
235	259	30	1
237	259	30	1
219	260	30	1
226	260	30	1
227	260	30	1
232	260	30	1
186	261	30	2
196	261	30	1
215	261	30	1
216	261	30	1
225	261	30	1
227	261	30	1
230	261	30	1
232	261	30	1
238	261	30	2
239	261	30	1
241	261	30	2
179	262	30	1
186	262	30	2
187	262	30	1
188	262	30	1
193	262	30	1
194	262	30	1
206	262	30	1
209	262	30	2
218	262	30	1
219	262	30	1
225	262	30	1
230	262	30	1
231	262	30	1
242	262	30	1
246	262	30	1
251	262	30	1
179	263	30	1
185	263	30	1
224	263	30	1
232	263	30	1
233	263	30	1
194	264	30	1
228	264	30	1
238	264	30	1
246	264	30	1
200	265	30	2
205	265	30	1
211	265	30	1
214	265	30	1
216	265	30	1
232	265	30	1
233	265	30	1
238	265	30	1
242	265	30	1
246	265	30	2
247	265	30	1
187	266	30	1
194	266	30	1
211	266	30	1
214	266	30	1
215	266	30	1
219	266	30	1
229	266	30	1
230	266	30	1
240	266	30	1
243	266	30	1
249	266	30	1
196	267	30	1
198	267	30	1
199	267	30	1
214	267	30	1
232	267	30	3
235	267	30	1
236	267	30	1
238	267	30	1
246	267	30	1
182	268	30	1
205	268	30	1
211	268	30	1
214	268	30	1
223	268	30	1
228	268	30	1
231	268	30	1
237	268	30	1
238	268	30	1
177	269	30	1
178	269	30	1
180	269	30	1
191	269	30	1
194	269	30	1
196	269	30	1
215	269	30	1
219	269	30	1
245	269	30	1
194	270	30	1
196	270	30	1
197	270	30	1
200	270	30	1
207	270	30	1
214	270	30	1
223	270	30	1
231	270	30	1
235	270	30	1
176	271	30	3
194	271	30	1
201	271	30	1
204	271	30	1
208	271	30	1
232	271	30	1
233	271	30	1
239	271	30	1
180	272	30	2
182	273	30	1
206	273	30	1
213	273	30	1
214	273	30	1
227	273	30	1
236	273	30	1
239	273	30	1
177	274	30	1
211	274	30	2
233	274	30	1
234	274	30	1
238	274	30	1
251	274	30	1
182	275	30	1
184	275	30	1
211	275	30	1
215	275	30	1
250	275	30	1
186	276	30	1
206	276	30	2
207	276	30	1
232	276	30	1
240	276	30	2
243	276	30	1
248	276	30	1
208	277	30	1
238	277	30	1
250	277	30	1
201	278	30	1
203	278	30	1
236	278	30	1
243	278	30	1
253	278	30	1
234	279	30	1
236	279	30	2
241	279	30	1
248	279	30	1
226	280	30	1
235	280	30	1
237	280	30	1
239	280	30	1
173	281	30	1
233	281	30	2
239	281	30	1
244	281	30	1
245	281	30	1
246	281	30	1
249	281	30	1
251	281	30	1
254	281	30	1
172	282	30	1
237	282	30	1
251	282	30	1
202	283	30	1
232	283	30	1
220	284	30	1
224	284	30	1
226	284	30	1
240	284	30	1
244	284	30	1
245	284	30	1
253	284	30	1
206	285	30	1
222.5	285.5	30.5	1
256	285	30	1
180	286	30	2
223	286	30	1
238	286	30	2
252	286	30	1
207	287	30	1
220	287	30	1
225	287	30	1
228	287	30	1
234	287	30	1
238.5	287.5	30.5	1
244	287	30	2
246	287	30	1
250	287	30	1
199	288	30	1
228	288	30	1
233	288	30	1
234	288	30	1
235	288	30	1
239	288	30	1
244	288	30	1
246	288	30	1
253	288	30	1
184	289	30	1
200	289	30	1
222	289	30	2
234	289	30	1
247	289	30	1
256	289	30	2
220	290	30	1
222	290	30	1
224	290	30	1
227	290	30	1
231	290	30	1
244	290	30	1
253	290	30	1
198	291	30	1
223	291	30	1
241	291	30	1
251	291	30	1
226	292	30	2
230	292	30	1
235	292	30	1
236	292	30	1
248	292	30	1
251	292	30	1
257	292	30	1
220	293	30	1
222	293	30	1
227	293	30	1
234	293	30	1
246	293	30	1
247	293	30	1
249	293	30	1
221	294	30	1
230	294	30	1
233	294	30	1
236	294	30	2
237	294	30	1
240	294	30	1
241	294	30	2
245	294	30	1
246	294	30	1
250	294	30	1
254	294	30	1
257	294	30	1
226	295	30	1
229	295	30	1
234	295	30	1
241	295	30	1
244	295	30	1
247	295	30	1
255	295	30	1
186	296	30	1
226	296	30	2
228	296	30	1
232	296	30	1
234	296	30	1
237	296	30	1
253	296	30	1
232	297	30	1
237	297	30	2
238	297	30	2
240	297	30	1
224	298	30	2
225	298	30	1
228	298	30	1
232	298	30	1
237	298	30	1
239	298	30	1
242	298	30	1
245	298	30	1
247	298	30	1
251	298	30	1
252	298	30	1
216	299	30	1
225	299	30	1
227	299	30	1
229	299	30	1
240	299	30	1
248	299	30	1
250	299	30	1
252	299	30	1
222	300	30	2
237	300	30	1
240	300	30	1
241	300	30	1
236	301	30	1
242	301	30	1
243	301	30	1
245	301	30	1
247	301	30	1
251	301	30	1
229	302	30	1
239	302	30	1
247	302	30	1
238	303	30	1
243	303	30	1
220	304	30	1
236	304	30	2
240	304	30	2
242	304	30	1
237	305	30	1
240	306	30	1
235	250	31	1
229	251	31	1
226	252	31	1
239	252	31	1
217	253	31	1
229	254	31	1
231	254	31	1
235	254	31	3
195	255	31	1
234	255	31	1
237	255	31	1
215	256	31	1
236	256	31	1
233	257	31	1
236	257	31	1
240	257	31	1
190	258	31	1
216	258	31	1
230	258	31	1
233	258	31	2
234	258	31	1
235	259	31	1
237	259	31	1
187	260	31	1
190	260	31	1
216	260	31	1
228	260	31	1
235	260	31	1
244	260	31	1
195	261	31	2
224	261	31	1
227	261	31	1
231	261	31	1
237	261	31	1
243	261	31	1
249	261	31	1
207	262	31	1
217	262	31	2
223	262	31	1
225	262	31	1
226	262	31	1
236	262	31	1
248	262	31	2
186	263	31	1
218	263	31	1
221	263	31	1
226	263	31	1
229	263	31	1
232	263	31	1
234	263	31	1
235	263	31	1
178	264	31	1
216	264	31	2
217	264	31	1
220	264	31	1
224	264	31	1
232	264	31	1
244	264	31	1
185	265	31	1
194	265	31	1
205	265	31	1
213	265	31	1
232	265	31	2
234	265	31	1
187	266	31	1
191	266	31	1
212	266	31	2
228	266	31	2
229	266	31	1
232	266	31	1
233	266	31	1
236	266	31	2
241	266	31	1
243	266	31	1
251	266	31	1
177	267	31	1
182	267	31	1
197	267	31	2
217	267	31	1
222	267	31	1
224	267	31	1
229	267	31	1
237	267	31	2
245	267	31	1
205	268	31	2
213	268	31	1
215	268	31	1
216	268	31	1
220	268	31	1
231	268	31	1
232	268	31	1
242	268	31	2
183	269	31	1
188	269	31	1
191	269	31	1
194	269	31	1
214	269	31	1
215	269	31	1
246	269	31	1
250	269	31	1
181	270	31	1
185	270	31	1
194	270	31	1
200	270	31	2
207	270	31	1
231	270	31	1
234	270	31	1
248	270	31	1
172	271	31	1
174	271	31	2
176	271	31	1
178	271	31	1
232	271	31	1
233	271	31	1
239	271	31	1
251	271	31	1
215	272	31	1
235	272	31	1
241	272	31	1
248	272	31	1
183	273	31	1
207	273	31	1
209	273	31	2
210	273	31	1
213	273	31	1
238	273	31	1
248	273	31	1
249	273	31	1
182	274	31	1
203	274	31	2
241	274	31	1
243	274	31	1
248	274	31	1
182	275	31	1
205	275	31	1
235	275	31	1
250	275	31	1
226	276	31	2
238	276	31	2
243	276	31	1
246	276	31	1
205	277	31	1
209	277	31	1
233	277	31	1
238	277	31	1
244	277	31	1
237	278	31	1
242	278	31	1
244	278	31	1
205	279	31	1
242	279	31	1
176	280	31	3
220	280	31	1
241	280	31	1
249	280	31	1
231	281	31	1
243	281	31	1
180	282	31	1
225	282	31	2
233	282	31	2
235	282	31	1
240	282	31	2
247	282	31	1
250	282	31	1
179	283	31	2
182	283	31	1
236	283	31	1
243	283	31	1
244	283	31	1
251	283	31	2
179	284	31	1
209	284	31	1
231	284	31	1
235	284	31	1
244	284	31	2
256	284	31	1
220	285	31	1
224	285	31	2
235	285	31	1
236	285	31	2
244	285	31	1
178	286	31	1
219	286	31	1
222	286	31	1
224	286	31	1
225	286	31	1
229	286	31	1
252	286	31	2
220	287	31	1
221	287	31	1
224	287	31	1
236	287	31	2
246	287	31	1
