x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
232	291	30	1
235	291	30	2
241	291	30	1
245	291	30	1
246	291	30	1
250	291	30	1
226	292	30	1
230	292	30	1
231	292	30	1
246	292	30	2
247	292	30	1
257	292	30	1
222	293	30	2
223	293	30	1
229	293	30	1
231	293	30	1
232	293	30	2
234	293	30	1
244	293	30	1
247	293	30	1
249	293	30	1
250	293	30	1
251	293	30	1
220	294	30	1
225	294	30	1
227	294	30	1
245	294	30	1
252	294	30	1
254	294	30	1
257	294	30	1
250	295	30	1
251	295	30	1
186	296	30	1
222	296	30	2
228	296	30	1
232	296	30	1
234	296	30	1
242	296	30	1
244	296	30	1
229	297	30	1
250	297	30	1
220	298	30	1
230	298	30	1
236	298	30	1
242	298	30	1
248	298	30	1
249	298	30	1
216	299	30	1
218	299	30	1
244	299	30	1
233	300	30	1
236	300	30	2
249	300	30	1
224	301	30	1
239	301	30	1
241	301	30	1
242	301	30	1
251	301	30	1
221	302	30	1
223	302	30	2
236	302	30	1
248	302	30	1
217	303	30	1
223	303	30	2
233	304	30	1
236	304	30	1
233	305	30	1
236	305	30	1
237	305	30	1
238	305	30	1
242	305	30	1
226	249	31	1
227	250	31	1
216	252	31	1
235	252	31	1
217	253	31	1
225	253	31	1
227	253	31	3
228	253	31	1
232	253	31	1
237	253	31	1
195	255	31	1
236	255	31	1
237	255	31	1
240	255	31	1
202	257	31	1
232	257	31	1
236	257	31	1
240	257	31	1
215	258	31	1
228	258	31	2
188	259	31	1
206	259	31	1
230	259	31	1
232	259	31	1
190	260	31	1
216	260	31	1
220	260	31	1
228	260	31	2
237	260	31	1
240	260	31	2
245	260	31	2
188	261	31	1
193	261	31	1
195	261	31	1
208	261	31	2
227	261	31	2
229	261	31	1
195	262	31	1
218	262	31	1
225	262	31	1
226	262	31	1
233	262	31	1
249	262	31	1
186	263	31	2
189	263	31	1
193	263	31	1
218	263	31	1
238	263	31	1
249	263	31	1
187	264	31	1
190	264	31	1
214	264	31	1
216	264	31	1
223	264	31	1
227	264	31	2
245	264	31	1
231	265	31	1
232	265	31	1
233	265	31	1
236	265	31	1
240	265	31	1
243	265	31	1
245	265	31	1
248	265	31	1
198	266	31	1
212	266	31	1
213	266	31	1
236	266	31	1
241	266	31	2
245	266	31	1
246	266	31	1
248	266	31	1
176	267	31	1
182	267	31	1
217	267	31	2
224	267	31	1
227	267	31	1
228	267	31	2
229	267	31	1
236	267	31	1
237	267	31	1
244	267	31	1
188	268	31	2
231	268	31	1
234	268	31	1
245	268	31	1
184	269	31	1
199	269	31	1
209	269	31	1
214	269	31	1
215	269	31	1
231	269	31	1
248	269	31	1
249	269	31	1
183	270	31	1
186	270	31	1
200	270	31	1
215	270	31	2
216	270	31	3
244	270	31	1
247	270	31	1
178	271	31	1
200	271	31	2
216	271	31	1
217	271	31	1
224	271	31	1
226	271	31	1
244	271	31	1
246	271	31	1
249	271	31	2
182	272	31	1
184	272	31	2
204	272	31	1
208	272	31	2
236	272	31	1
243	272	31	1
249	272	31	1
207	273	31	1
211	273	31	1
242	273	31	2
250	273	31	1
203	274	31	1
210	274	31	1
214	274	31	2
