x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
244	284	21	1
246	292	21	1
237	278	24	1
246	287	24	2
245	288	24	1
228	272	25	1
230	272	25	1
235	273	25	1
235	274	25	1
238	274	25	1
233	276	25	1
236	276	25	1
248	276	25	1
236	277	25	1
237	277	25	1
247	277	25	1
233	278	25	1
241	280	25	1
231	281	25	1
237	281	25	1
245	281	25	1
249	281	25	1
233	282	25	1
245	282	25	1
247	282	25	1
248	282	25	1
240	283	25	1
233	284	25	1
243	284	25	1
250	284	25	1
252	284	25	1
238	285	25	1
241	285	25	1
241	286	25	1
252	286	25	2
237	287	25	1
242	287	25	1
248.5	289.5	25.5	1
250	289	25	1
252	289	25	1
234	290	25	1
237	290	25	1
238	290	25	2
243	290	25	1
226	291	25	1
237	291	25	1
238	291	25	1
237	292	25	1
244	292	25	1
249	292	25	1
241	294	25	2
243	294	25	1
244	294	25	1
247	294	25	1
234	295	25	2
246	296	25	1
243	297	25	1
239	300	25	1
240	300	25	1
183	258	26	1
232	265	26	1
235	267	26	2
241	267	26	1
236	268	26	1
227	270	26	1
235	270	26	1
237	270	26	1
235	271	26	1
230	272	26	1
232	272	26	1
231	273	26	1
236	273	26	1
249	273	26	1
235	275	26	2
250	275	26	1
231	276	26	1
238	276	26	2
209	277	26	1
240	277	26	1
252	278	26	1
233	279	26	2
236	279	26	1
237	279	26	1
230	280	26	2
232	280	26	1
233	280	26	1
242	280	26	1
249	280	26	1
232	281	26	1
246	281	26	1
249	281	26	1
209	282	26	1
229	282	26	1
231	282	26	1
235	282	26	1
247	282	26	1
251	282	26	1
253	282	26	1
227	283	26	1
233	283	26	2
249	283	26	1
212	284	26	1
237	284	26	1
242	284	26	1
212	285	26	1
241	285	26	1
244	285	26	1
253	285	26	1
255	285	26	1
216	286	26	1
232	286	26	1
243	286	26	1
239	287	26	1
253	287	26	1
240	288	26	2
243	288	26	1
231	289	26	1
234	289	26	1
228	290	26	1
236	290	26	1
239	290	26	1
229	291	26	1
235	291	26	1
236	291	26	2
237	291	26	1
240	291	26	2
242	291	26	1
227	292	26	1
242	292	26	1
250	292	26	1
225	293	26	1
244	293	26	1
220	294	26	1
240	294	26	1
221	295	26	1
222	295	26	2
234	295	26	1
239	295	26	1
240	295	26	1
241	295	26	2
242	295	26	1
243	295	26	1
242	296	26	1
243	296	26	1
239	297	26	1
240	297	26	1
246	297	26	1
186	257	27	1
181	258	27	1
232	258	27	1
180	259	27	1
184	259	27	1
176	260	27	1
184	260	27	1
228	260	27	1
233	260	27	3
187	261	27	1
220	261	27	1
231	261	27	1
235	261	27	1
236	261	27	1
239	261	27	1
177	262	27	1
180	262	27	1
182	262	27	1
182	263	27	1
183	263	27	1
215	263	27	1
220	263	27	1
225	263	27	1
244	263	27	1
175	264	27	1
222	264	27	1
225	264	27	1
228	264	27	1
230	264	27	1
231	264	27	1
239	264	27	1
184	265	27	1
212	265	27	1
215	265	27	1
221	265	27	1
234	265	27	1
237	265	27	1
238	265	27	1
239	265	27	1
215	266	27	2
219	266	27	1
221	266	27	1
234	266	27	1
217	267	27	1
233	267	27	1
236	267	27	1
240	267	27	1
223	268	27	1
224	268	27	1
226	268	27	1
229	268	27	2
231	268	27	1
224	269	27	1
228	269	27	1
231	269	27	1
232	269	27	1
192	270	27	2
238	270	27	1
239	270	27	1
177	271	27	1
207	271	27	1
215	271	27	1
217	271	27	1
225	271	27	1
226	271	27	1
248	271	27	1
181	272	27	1
205	272	27	1
217	272	27	1
225	272	27	1
234	272	27	1
235	272	27	1
241	272	27	1
249	272	27	1
207	273	27	1
215	273	27	1
217	273	27	2
223	273	27	1
235	273	27	1
240	273	27	2
253	273	27	1
203	274	27	1
207	274	27	1
209	274	27	1
211	274	27	1
214	274	27	1
230	274	27	1
236	274	27	1
240	274	27	1
206	275	27	1
211	275	27	1
220	275	27	1
222	275	27	1
224	275	27	1
235	275	27	1
237	275	27	1
249	275	27	1
250	275	27	2
252	275	27	1
205	276	27	1
209	276	27	2
211	276	27	1
212	276	27	1
222	276	27	1
230	276	27	1
233	276	27	1
238	276	27	2
224	277	27	1
231	277	27	1
235	277	27	1
240	277	27	1
245	277	27	1
249	277	27	2
252	277	27	1
219	278	27	1
221	278	27	2
225	278	27	2
227	278	27	1
230	278	27	1
233	278	27	1
251	278	27	1
207	279	27	1
245	279	27	1
247	279	27	1
232	280	27	1
235	280	27	1
242	280	27	1
244	280	27	1
248	280	27	1
250	280	27	1
231	281	27	2
239	281	27	1
246	281	27	1
256	281	27	1
206	282	27	2
209	282	27	1
212	282	27	1
227	282	27	2
229	282	27	1
243	282	27	1
244	282	27	1
252	282	27	1
201	283	27	1
207	283	27	1
208	283	27	3
215	283	27	2
216	283	27	1
221	283	27	1
239	283	27	2
243	283	27	1
245	283	27	1
255	283	27	2
207	284	27	1
232	284	27	1
238	284	27	1
206	285	27	1
219	285	27	1
235	285	27	1
236	285	27	1
241	285	27	1
253	285	27	1
256	285	27	1
208	286	27	1
209	286	27	1
225	286	27	1
248	286	27	1
256	286	27	1
221	287	27	1
231	287	27	1
243	287	27	1
248	287	27	1
250	287	27	1
252	287	27	1
253	287	27	1
255	287	27	1
204	288	27	1
211	288	27	1
228	288	27	1
229	288	27	1
246	288	27	1
251	288	27	1
223	289	27	1
226	289	27	1
230	289	27	1
242	289	27	1
214	290	27	1
224	290	27	1
227	290	27	1
241	290	27	1
244	290	27	1
247	290	27	1
249	290	27	1
221	291	27	1
233	291	27	1
235	291	27	1
223	292	27	1
228	292	27	1
237	292	27	1
244	292	27	1
247	292	27	1
250	292	27	1
251	292	27	1
223	293	27	1
227	293	27	2
234	293	27	1
237	293	27	1
238	293	27	1
239	293	27	1
245	293	27	1
247	293	27	1
249	293	27	1
211	294	27	1
213	294	27	2
226	294	27	1
251	294	27	1
255	294	27	1
257	294	27	1
222	295	27	2
239	295	27	1
241	295	27	1
243	295	27	1
252	295	27	2
221	296	27	1
239	296	27	1
240	296	27	1
241	296	27	1
246	296	27	1
221	297	27	1
239	297	27	1
243	297	27	1
246	297	27	1
253	297	27	1
238	298	27	1
239	298	27	1
248	298	27	1
230	299	27	1
243	299	27	1
228	300	27	2
244	300	27	2
234	301	27	1
236	301	27	1
250	301	27	1
226	302	27	2
239	302	27	1
231	264	28	2
232	264	28	1
234	267	28	2
236	267	28	1
235	268	28	1
238	268	28	1
237	269	28	1
236	270	28	1
238	270	28	1
236	271	28	1
240	271	28	1
211	273	28	1
236	277	28	1
237	277	28	1
238	277	28	1
237	278	28	2
210	279	28	1
235	281	28	1
248	281	28	1
238	283	28	1
246	283	28	1
249	283	28	1
240	285	28	1
245	285	28	1
247	286	28	1
240	287	28	1
245	288	28	1
245	289	28	2
239	291	28	1
240	291	28	1
248	291	28	1
250	291	28	1
248	292	28	1
250	293	28	1
245	294	28	1
249	294	28	1
234	256	29	1
235	256	29	1
182	257	29	1
233	258	29	1
182	260	29	1
229	261	29	1
231	261	29	1
248	262	29	1
232	263	29	1
230	264	29	2
238	264	29	1
245	264	29	1
195	266	29	1
226	266	29	1
232	266	29	1
234	266	29	1
196	267	29	1
217	268	29	1
226	268	29	1
234	268	29	1
239	268	29	2
250	268	29	1
196	269	29	2
237	269	29	1
248	269	29	1
239	270	29	1
250	270	29	1
216	271	29	1
237	271	29	1
239	272	29	1
249	272	29	1
214	274	29	2
232	274	29	1
234	274	29	1
215	275	29	1
236	275	29	1
228	276	29	1
236	276	29	1
237	276	29	1
238	276	29	2
248	276	29	2
232	277	29	1
236	277	29	2
237	277	29	1
238	277	29	1
247	277	29	1
247	278	29	1
236	279	29	1
238	279	29	1
248	279	29	1
249	279	29	1
205	280	29	1
233	280	29	1
234	280	29	1
245	280	29	1
247	280	29	1
252	280	29	1
224	281	29	1
238	281	29	1
245	281	29	2
250	281	29	1
242	282	29	1
246	282	29	1
248	282	29	2
249	282	29	1
215	283	29	1
238	283	29	1
241	283	29	1
249	283	29	1
222	284	29	1
233	284	29	1
240	284	29	1
242	284	29	1
245	284	29	1
250	284	29	1
252	284	29	1
226	285	29	2
233	285	29	1
234	285	29	1
238	285	29	1
247	285	29	1
233	286	29	1
248	286	29	1
249	286	29	1
225	287	29	2
228	287	29	1
234	288	29	1
235	288	29	1
241	288	29	1
242	288	29	2
244	288	29	1
228	289	29	2
245	289	29	1
227	290	29	1
237	290	29	1
243	290	29	1
245	291	29	3
246	291	29	1
250	291	29	1
236	292	29	1
237	292	29	1
248	292	29	1
249	292	29	1
242	293	29	1
246	293	29	1
247	293	29	2
253	293	29	1
221	294	29	1
238	294	29	1
246	294	29	1
247	295	29	1
238	297	29	1
247	297	29	1
224	298	29	1
239	298	29	1
248	298	29	1
249	298	29	1
221	299	29	2
225	300	29	1
226	300	29	1
235	300	29	1
223	301	29	1
236	301	29	1
247	301	29	1
224	302	29	1
235	302	29	1
240	303	29	1
228	251	30	1
215	254	30	2
233	254	30	1
235	254	30	1
215	255	30	1
237	255	30	1
232	256	30	1
233	256	30	1
181	257	30	1
183	257	30	1
230	257	30	2
236	257	30	2
181	258	30	1
186	258	30	1
215	258	30	1
229	258	30	1
239	258	30	1
230	259	30	1
234	259	30	2
190	260	30	1
217	260	30	1
219	260	30	1
227	260	30	1
184	261	30	1
186	261	30	1
209	261	30	1
215	261	30	1
219	261	30	1
226	261	30	1
241	261	30	1
206	262	30	1
218	262	30	1
220	262	30	1
221	262	30	1
233	262	30	1
247	262	30	1
248	262	30	1
210	263	30	2
211	263	30	2
218	263	30	1
246	263	30	1
249	263	30	1
186	264	30	1
227	264	30	1
233	264	30	1
250	264	30	1
183	265	30	1
191	265	30	1
197	265	30	1
200	265	30	1
212	265	30	1
230	265	30	1
189	266	30	1
211	266	30	1
214	266	30	1
219	266	30	2
226	266	30	2
229	266	30	1
240	266	30	2
198	267	30	1
231	267	30	1
241	267	30	1
245	267	30	1
249	267	30	1
226	268	30	1
231	268	30	1
241	268	30	1
243	268	30	1
245	268	30	1
250	268	30	1
172	269	30	1
180	269	30	1
196	269	30	1
232	269	30	1
247	269	30	1
249	269	30	1
252	269	30	1
184	270	30	1
201	270	30	2
215	270	30	2
223	270	30	1
249	270	30	2
200	271	30	1
206	271	30	1
244	271	30	1
247	271	30	1
249	271	30	2
184	272	30	1
203	272	30	1
233	272	30	1
235	272	30	1
239	272	30	2
244	272	30	1
245	272	30	1
247	272	30	2
181	273	30	3
210	273	30	1
227	273	30	2
235	273	30	1
181	274	30	1
251	274	30	1
180	275	30	1
184	275	30	1
238	275	30	1
239	275	30	1
249	275	30	1
205	276	30	1
235	276	30	1
238	276	30	1
248	276	30	1
253	276	30	1
174	277	30	1
238	277	30	2
241	277	30	1
250	277	30	1
251	277	30	1
205	278	30	1
208	278	30	1
236	278	30	1
246	278	30	1
247	278	30	1
221	279	30	1
237	279	30	1
245	279	30	1
246	279	30	2
248	279	30	1
183	280	30	1
206	280	30	2
238	280	30	1
242	280	30	1
249	280	30	1
234	281	30	1
235	281	30	1
239	281	30	1
241	281	30	1
243	281	30	1
246	281	30	1
172	282	30	1
177	282	30	1
220	282	30	1
222	282	30	1
223	282	30	1
237	282	30	1
238	282	30	2
239	282	30	1
222	283	30	1
234	283	30	1
246	283	30	2
254	283	30	1
231	284	30	1
233	284	30	1
236	284	30	1
242	284	30	2
243	284	30	1
244	284	30	1
251	284	30	1
256	284	30	1
258	284	30	1
222.5	285.5	30.5	2
225	285	30	1
242	285	30	2
246	285	30	1
219	286	30	1
226	286	30	1
244	286	30	1
250	286	30	1
220	287	30	1
222	287	30	1
228	287	30	1
243	287	30	1
246	287	30	1
248	287	30	1
254	287	30	1
226	288	30	1
229	288	30	2
238	288	30	1
246	288	30	1
249	288	30	1
223	289	30	1
230	289	30	1
231	289	30	1
246	289	30	2
252	289	30	1
235	290	30	1
245	290	30	1
253	290	30	1
257	290	30	1
198	291	30	2
225	291	30	1
226	291	30	1
227	291	30	1
229	291	30	1
