x	y	z	The NLRP3 inflammasome
216.157603775171	275.673637444315	34.5586340221659	1
246	292	21	1
239	272	24	1
240	277	24	1
232	278	24	1
245	284	24	1
244	288	24	1
245	288	24	2
231	268	25	1
236	268	25	1
233	269	25	1
232	274	25	1
233	274	25	1
237	275	25	1
232.5	276.5	25.5	1
240	276	25	1
236	277	25	1
237	277	25	1
233	278	25	1
236	278	25	1
237	278	25	1
239	278	25	1
232	279	25	1
233	279	25	1
238	279	25	1
241	279	25	1
248	280	25	1
247	282	25	1
231	283	25	1
233	283	25	1
238	283	25	1
213	284	25	1
236	284	25	1
243	284	25	1
246	285	25	2
234	286	25	1
242	286	25	1
252	286	25	2
223	287	25	1
238	287	25	1
249	287	25	1
252	287	25	1
239	288	25	1
238	289	25	2
242	289	25	1
244	289	25	1
243	290	25	1
246	290	25	1
237	291	25	1
243	292	25	1
250	292	25	2
243	293	25	1
239	294	25	2
243	294	25	1
239	296	25	1
246	296	25	1
240	298	25	1
238	300	25	1
182	260	26	1
229	262	26	2
215	265	26	1
234	265	26	1
234	267	26	1
235	268	26	1
217	272	26	1
224	272	26	1
226	272	26	1
236	272	26	1
239	275	26	1
245	275	26	1
246	275	26	1
233	276	26	1
237	276	26	1
207	277	26	1
210	277	26	1
236	277	26	1
247	277	26	1
250	277	26	1
239	278	26	1
240	278	26	1
249	278	26	1
207	279	26	1
232	279	26	1
233	279	26	1
241	279	26	1
241	280	26	1
232	281	26	1
236	281	26	2
240	281	26	1
244	281	26	1
209	282	26	1
234	282	26	1
235	282	26	1
242	282	26	1
245	282	26	1
246	282	26	1
250	282	26	1
238	283	26	1
245	283	26	1
248	283	26	1
215	284	26	1
235	284	26	1
238	284	26	1
234	285	26	1
235	285	26	1
244	285	26	1
238	286	26	3
241	286	26	2
223	287	26	1
249	287	26	1
252	287	26	1
232	288	26	1
233	289	26	1
251	289	26	1
225	290	26	1
238	290	26	1
239	290	26	1
242	290	26	1
232	291	26	1
237	291	26	1
238	291	26	1
239	291	26	1
240	291	26	1
227	292	26	1
251	292	26	1
225	293	26	1
246	293	26	2
235	294	26	1
239	294	26	1
248	295	26	1
242	297	26	1
245	297	26	1
227	301	26	1
181	257	27	2
183	257	27	1
180	259	27	2
176	260	27	1
186	260	27	1
228	261	27	2
230	261	27	1
236	262	27	1
238	262	27	2
179	263	27	1
181	263	27	1
211	263	27	1
229	263	27	1
236	263	27	1
237	264	27	1
221	265	27	1
226	265	27	1
178	266	27	1
179	266	27	1
232	266	27	1
234	266	27	1
235	266	27	2
226	267	27	1
234	267	27	1
214	268	27	1
219	268	27	1
223	268	27	1
225	268	27	1
228	268	27	1
229	268	27	2
240	268	27	1
207	269	27	1
213	269	27	1
215	269	27	1
227	269	27	1
238	269	27	1
240	269	27	1
178	270	27	1
181	270	27	1
217	270	27	1
218	270	27	1
221	270	27	1
231	270	27	1
236	270	27	1
239	270	27	1
180	271	27	1
217	271	27	1
231	271	27	1
240	271	27	1
247	271	27	1
248	271	27	1
204	272	27	1
206	272	27	1
208	272	27	1
214	272	27	1
223	272	27	1
225	272	27	1
229	272	27	1
230	272	27	1
236	272	27	1
249	272	27	1
215	273	27	1
220	273	27	1
178	274	27	1
179	274	27	1
208	274	27	1
216	274	27	1
224	274	27	1
226	274	27	1
230	274	27	1
232	274	27	1
235	274	27	1
205	275	27	1
212	275	27	1
223	275	27	1
224	275	27	1
233	275	27	1
238	275	27	1
250	275	27	1
252	275	27	1
204	276	27	1
205	276	27	1
210	276	27	1
211	276	27	1
230	276	27	1
219	277	27	1
235	277	27	1
244	277	27	1
246	277	27	1
203	278	27	1
209	278	27	1
239	278	27	1
240	278	27	1
201	279	27	1
237	279	27	1
240	279	27	1
244	279	27	1
247	279	27	1
249	279	27	1
250	279	27	1
207	280	27	1
234	280	27	1
235	280	27	1
236	280	27	1
240	280	27	1
243	280	27	1
247	280	27	1
206	281	27	1
228	281	27	1
236	281	27	1
241	281	27	1
249	281	27	1
254	281	27	1
213	282	27	2
227	282	27	1
237	282	27	1
240	282	27	1
241	282	27	1
242	282	27	1
245	282	27	1
248	282	27	2
207	283	27	1
215	283	27	1
236	283	27	1
254	283	27	2
206	284	27	1
210	284	27	1
215	284	27	1
230	284	27	1
256	284	27	1
257	284	27	1
200	285	27	2
212	285	27	1
215	285	27	1
233	285	27	1
235	285	27	1
242	285	27	1
246	285	27	1
254	285	27	2
208	286	27	1
219	286	27	1
233	286	27	1
219	287	27	1
222	287	27	1
223	287	27	1
232	287	27	1
240	287	27	1
246	287	27	1
248	287	27	1
249	287	27	1
207	288	27	1
214	288	27	1
229	288	27	1
231	288	27	1
233	288	27	1
236	288	27	1
240	288	27	1
242	288	27	1
243	288	27	1
249	288	27	1
252	288	27	1
203	289	27	1
219	289	27	1
226	289	27	1
235	289	27	1
239	289	27	1
251	289	27	1
228	290	27	1
233	290	27	1
235	290	27	1
250	290	27	1
253	290	27	1
221	291	27	1
239	291	27	1
242	291	27	1
248	291	27	1
211	292	27	1
221	292	27	1
223	292	27	1
227	292	27	1
229	292	27	1
247	292	27	1
248	292	27	1
251	292	27	2
254	292	27	1
227	293	27	1
237	293	27	1
238	293	27	1
254	293	27	1
213	294	27	1
219	294	27	3
238	294	27	1
245	294	27	1
246	294	27	1
249	294	27	1
251	294	27	1
257	294	27	1
211	295	27	2
221	295	27	1
248	295	27	1
252	295	27	1
220	296	27	1
242	297	27	1
246	297	27	1
223	298	27	1
237	298	27	1
226	299	27	1
237	300	27	1
238	301	27	1
243	301	27	1
245	301	27	1
244	302	27	1
241	303	27	1
231	264	28	1
238	269	28	1
235	270	28	1
238	270	28	1
237	271	28	1
240	271	28	1
236	272	28	1
250	272	28	1
237	278	28	1
235	280	28	1
248	281	28	1
247	282	28	1
250	284	28	1
238	285	28	1
237	286	28	1
242	288	28	1
247	289	28	1
242	290	28	1
244	290	28	1
241	291	28	1
243	293	28	1
248	293	28	1
242	294	28	2
249	294	28	1
245	295	28	1
181	258	29	1
190	258	29	1
229	259	29	2
238	259	29	1
182	260	29	1
248	262	29	2
245	263	29	1
178	264	29	1
248	264	29	1
232	265	29	1
234	265	29	1
229	266	29	1
250	266	29	1
192	267	29	1
194	267	29	2
214	267	29	1
231	267	29	1
235	267	29	1
234	268	29	1
238	268	29	2
232	269	29	1
235	269	29	1
232	270	29	1
250	270	29	1
203	271	29	2
204	271	29	1
214	271	29	1
216	271	29	1
234	271	29	1
211	272	29	1
214	272	29	1
233	272	29	1
234	272	29	1
236	272	29	1
239	272	29	2
249	272	29	1
182	273	29	1
225	273	29	1
250	273	29	1
232	274	29	1
238	274	29	1
231	275	29	1
232	275	29	1
241	275	29	1
204	276	29	2
208	276	29	1
246	276	29	1
232	277	29	1
251	277	29	1
238	278	29	1
245	278	29	2
252	279	29	2
205	280	29	1
245	280	29	1
247	280	29	2
233	281	29	1
234	281	29	1
249	281	29	1
212	282	29	2
242	282	29	1
215	283	29	1
233	283	29	2
236	283	29	1
244	283	29	1
251	283	29	1
237	284	29	1
246	284	29	1
250	284	29	1
227	285	29	1
236	285	29	1
247	285	29	1
232	286	29	1
247	286	29	1
248	286	29	1
249	286	29	1
231	287	29	2
238	287	29	1
247	287	29	1
232	288	29	1
240	288	29	1
246	288	29	1
253	288	29	1
226	290	29	1
240	290	29	1
245	290	29	1
224	291	29	1
225	291	29	1
226	291	29	1
239	291	29	1
245	291	29	1
222	292	29	1
238	292	29	1
257	292	29	1
222	293	29	1
223	293	29	1
242	293	29	1
247	293	29	1
224	294	29	1
238	294	29	1
247	295	29	1
248	297	29	1
235	300	29	1
247	300	29	1
221	301	29	1
223	301	29	2
224	301	29	1
238	301	29	1
224	302	29	1
232	254	30	1
236	254	30	1
191	255	30	1
230	255	30	1
232	255	30	1
237	255	30	1
204	256	30	2
230	256	30	1
232	256	30	1
204	257	30	2
227	257	30	2
176	258	30	1
189	259	30	1
205	259	30	1
209	259	30	1
216	259	30	1
219	259	30	1
220	259	30	1
237	259	30	1
239	259	30	1
186	260	30	1
223	260	30	1
188	261	30	1
212	261	30	1
225	261	30	1
230	261	30	1
178	262	30	1
179	262	30	1
206	262	30	1
221	262	30	1
223	262	30	1
227	262	30	1
231	262	30	1
186	263	30	1
188	263	30	1
215	263	30	1
216	263	30	2
224	263	30	1
249	263	30	1
178	264	30	1
225	264	30	1
227	264	30	1
233	264	30	1
236	264	30	2
238	264	30	1
245	264	30	1
249	264	30	1
196	265	30	1
211	265	30	1
219	265	30	1
224	265	30	1
239	265	30	1
194	266	30	1
215	266	30	1
230	266	30	1
239.5	266.5	30.5	1
243	266	30	1
235	267	30	1
249	267	30	2
250	267	30	1
213	268	30	1
231	268	30	1
238	268	30	1
240	268	30	1
246	268	30	1
250	268	30	1
172	269	30	1
177	269	30	1
191	269	30	1
196	269	30	1
216	269	30	1
232	269	30	2
235	269	30	1
236	269	30	1
187	270	30	1
207	270	30	1
223	270	30	1
175	271	30	1
188	271	30	1
193	271	30	1
199	271	30	1
200	271	30	1
208	271	30	1
239	271	30	1
243	271	30	1
185	272	30	1
207	272	30	1
238	272	30	1
244	272	30	2
203	273	30	1
235	273	30	1
241	273	30	1
234	274	30	1
238	274	30	1
241	274	30	1
180	275	30	1
182	275	30	1
203	275	30	1
239	275	30	1
244	275	30	1
250	275	30	1
186	276	30	1
253	276	30	1
201	278	30	1
250	278	30	1
253	278	30	1
206	279	30	1
239	279	30	2
233	280	30	1
241	280	30	1
242	280	30	1
247	280	30	1
217	281	30	1
235	281	30	1
251	281	30	1
177	282	30	1
181	282	30	1
213	282	30	1
215	282	30	1
221	282	30	1
239	282	30	1
240	282	30	3
244	282	30	1
245	282	30	2
251	282	30	1
254	282	30	1
233	284	30	1
240	284	30	2
249	284	30	1
250	284	30	1
251	284	30	1
253	284	30	1
225	285	30	1
236	285	30	1
246	285	30	1
256	285	30	2
219	286	30	1
223	286	30	1
234	286	30	1
241	286	30	1
250	286	30	1
252	286	30	1
207	287	30	1
222	287	30	1
246	287	30	1
248	287	30	1
251	287	30	1
252	287	30	1
254	287	30	1
199	288	30	1
231	288	30	1
235	288	30	1
199	289	30	1
223	289	30	1
232	289	30	1
248	289	30	1
224	290	30	1
225	290	30	1
250	290	30	1
197	291	30	2
226	291	30	1
242	291	30	1
247	291	30	1
250	291	30	1
251	291	30	2
255	291	30	1
213	292	30	1
229	292	30	1
235	292	30	1
237	292	30	1
249	292	30	1
257	292	30	1
238	293	30	1
253	293	30	2
189	294	30	1
210	294	30	1
235	294	30	1
245	294	30	2
249	294	30	1
241	295	30	1
257	295	30	1
233	296	30	1
244	296	30	1
247	296	30	1
253	296	30	1
223	297	30	1
229	297	30	1
231	297	30	1
226	298	30	1
229	298	30	1
237	298	30	1
252	298	30	1
221	299	30	1
226	300	30	1
232	300	30	1
236	300	30	1
247	300	30	1
249	300	30	2
226	301	30	1
238	301	30	1
244	301	30	1
249	301	30	1
251	301	30	1
221	302	30	1
229	302	30	2
223	303	30	1
244	303	30	1
233	305	30	1
236	305	30	2
240	306	30	1
224	250	31	1
235	250	31	1
215	251	31	1
226	252	31	1
229	252	31	1
232	253	31	1
232	254	31	1
235	255	31	1
216	256	31	2
177	257	31	2
230	257	31	1
240	257	31	1
190	258	31	1
216	258	31	1
230	258	31	1
234	258	31	1
239	258	31	1
227	259	31	2
242	259	31	1
188	260	31	1
191	260	31	1
216	260	31	1
231	260	31	2
181	261	31	1
195	261	31	1
210	261	31	1
228	261	31	1
186	262	31	1
217	262	31	1
226	262	31	1
235	262	31	1
198	263	31	1
211	263	31	1
222	263	31	1
228	263	31	1
233	263	31	1
234	263	31	2
245	263	31	1
188	264	31	1
210	264	31	1
223	264	31	1
238	264	31	1
248	264	31	1
249	264	31	2
184	265	31	1
192	265	31	1
200	265	31	1
234	265	31	1
240	265	31	2
245	265	31	1
246	265	31	1
249	265	31	1
250	265	31	1
191	266	31	1
198	266	31	1
217	266	31	1
219	266	31	1
196	267	31	1
211	267	31	1
224	267	31	1
245	267	31	1
246	267	31	1
188	268	31	1
195	268	31	1
197	268	31	1
205	268	31	1
219	268	31	1
243	268	31	1
188	269	31	1
194	269	31	1
206	269	31	2
232	269	31	1
240	269	31	1
246	269	31	1
250	269	31	1
181	270	31	1
198	270	31	1
237	270	31	1
250	270	31	2
174	271	31	1
175	271	31	1
178	271	31	1
182	271	31	1
203	271	31	1
209	271	31	1
224	271	31	1
232	271	31	1
235	271	31	1
251	271	31	1
234	272	31	1
236	272	31	1
181	273	31	1
213	273	31	1
244	273	31	1
203	274	31	1
210	274	31	1
229	274	31	2
248	274	31	1
252	274	31	1
182	275	31	1
184	275	31	1
236	275	31	1
244	275	31	1
234	276	31	1
238	276	31	1
252	276	31	2
247	277	31	1
249	277	31	1
174	278	31	1
204	278	31	1
207	278	31	1
175	279	31	1
205	279	31	1
216	279	31	1
236	279	31	1
243	279	31	1
246	279	31	1
247	279	31	1
176	280	31	1
220	280	31	1
221	280	31	1
226	280	31	2
237	280	31	1
241	280	31	1
248	280	31	1
223	281	31	1
234	281	31	1
240	281	31	1
251	281	31	1
179	282	31	1
221	282	31	1
232	282	31	1
239	282	31	1
208	283	31	1
223	283	31	1
232	283	31	1
181	284	31	1
206	284	31	1
231	284	31	1
237	284	31	1
257	284	31	1
183	285	31	1
206	285	31	2
218	285	31	1
224	285	31	1
231	285	31	1
234	285	31	1
243	285	31	1
244	285	31	1
252	285	31	1
253	285	31	1
219	286	31	1
225	286	31	1
231	286	31	1
238	286	31	1
220	287	31	1
227	287	31	1
237	287	31	1
239	287	31	1
248	287	31	1
250	287	31	1
251	287	31	1
252	287	31	1
186	288	31	1
220	288	31	1
236	288	31	1
240.5	288.5	31.5	1
246	288	31	1
251	288	31	1
221	289	31	1
241	289	31	1
244	289	31	2
200	290	31	1
235	290	31	1
240	290	31	1
223	291	31	1
226	291	31	1
231	291	31	1
247	291	31	1
199	292	31	2
250	292	31	1
252	292	31	1
253	292	31	1
231	293	31	1
232	293	31	1
238	293	31	1
247	293	31	1
225	294	31	1
237	294	31	2
242	294	31	1
198	295	31	1
221	295	31	1
229	295	31	1
240	295	31	1
188	296	31	2
199	296	31	1
200	296	31	1
234	296	31	2
235	297	31	1
236	297	31	2
239	297	31	1
243	297	31	1
196	298	31	1
205	298	31	2
240	298	31	1
248	298	31	1
252	298	31	1
221	299	31	1
237	300	31	1
238	300	31	2
216	301	31	1
229	301	31	1
233	301	31	1
237	301	31	1
241	301	31	1
220	302	31	2
229	302	31	1
247	302	31	2
224	303	31	1
231	303	31	2
235	303	31	1
239	303	31	1
244	303	31	1
235	304	31	1
223	305	31	1
225	305	31	1
238	305	31	1
242	305	31	1
234	307	31	1
237	307	31	2
226	309	31	1
216	252	32	1
217	252	32	1
226	254	32	1
235	254	32	1
215	255	32	1
229	256	32	1
232	256	32	1
195	257	32	1
202	257	32	1
210	257	32	1
229	257	32	1
232	257	32	1
238	257	32	1
193	258	32	1
213	258	32	1
214	258	32	1
235	258	32	1
191	259	32	1
201	259	32	1
209	259	32	1
215	259	32	1
220	259	32	1
