x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
240	277	24	1
232	278	24	1
235	278	24	1
245	284	24	1
246	284	24	1
248	286	24	1
246	287	24	1
249	288	24	1
244	289	24	1
247	289	24	2
231	264	25	1
236	268	25	1
238	270	25	1
234	271	25	1
238	272	25	1
227	273	25	1
236	273	25	1
235	274	25	1
233	276	25	1
236	276	25	1
248	276	25	1
231	277	25	1
233	277	25	1
231	278	25	1
232	278	25	1
236	278	25	1
238	278	25	2
241	279	25	1
249	279	25	1
232	280	25	1
233	280	25	1
241	280	25	2
234	281	25	1
237	281	25	2
245	281	25	1
214	282	25	2
235	282	25	1
239	282	25	1
240	282	25	1
247	282	25	1
248	282	25	1
249	282	25	1
233	283	25	1
235	283	25	1
240	283	25	2
243	283	25	1
246	283	25	2
247	283	25	1
213	284	25	1
252	284	25	1
235	285	25	2
239	285	25	1
246	285	25	1
232	286	25	1
233	286	25	1
234	286	25	1
241	286	25	1
250	286	25	1
254	286	25	2
238	287	25	1
251	287	25	1
236	288	25	1
225	290	25	1
235	290	25	1
237	290	25	1
244	290	25	1
226	291	25	1
238	291	25	2
239	291	25	1
240	291	25	1
245	291	25	3
227	292	25	1
242	292	25	1
243	292	25	2
240	293	25	1
239	294	25	2
243	294	25	2
247	294	25	1
241	295	25	1
242	296	25	1
243	297	25	2
243	299	25	3
239	300	25	1
183	258	26	2
182	259	26	1
232	263	26	1
236	268	26	1
228	269	26	1
236	269	26	1
227	270	26	1
237	270	26	2
238	270	26	1
250	270	26	1
229	271	26	1
240	271	26	2
215	272	26	1
223	272	26	1
224	272	26	1
230	272	26	1
232	272	26	1
231	273	26	1
236	273	26	1
237	273	26	1
249	273	26	1
231	274	26	1
246	275	26	1
248	275	26	2
249	275	26	1
231	276	26	1
232	276	26	1
233	276	26	1
250	276	26	2
235	277	26	1
239	277	26	1
247	277	26	1
249	277	26	2
250	277	26	1
233	278	26	1
235	278	26	1
240	278	26	1
251	278	26	2
232	279	26	2
233	279	26	1
246	279	26	1
248	279	26	1
249	279	26	1
230	280	26	2
232	280	26	1
233	280	26	1
240	280	26	2
247	280	26	1
249	280	26	1
236	281	26	1
240	281	26	1
208	282	26	1
209	282	26	1
212	282	26	1
231	282	26	1
246	282	26	1
250	282	26	1
246	283	26	1
248	283	26	1
254	283	26	1
233	284	26	1
234	284	26	2
237	284	26	2
241	284	26	2
242	284	26	1
248	284	26	1
214	285	26	1
232	285	26	1
241	285	26	1
246	285	26	1
252	285	26	2
254	285	26	1
255	285	26	1
216	286	26	1
237	286	26	1
238	286	26	1
246	286	26	1
247	286	26	1
249	286	26	1
252	286	26	1
253	286	26	1
224	287	26	1
234	287	26	1
236	287	26	2
239	287	26	1
247	287	26	1
249	287	26	1
251	287	26	1
252	287	26	2
236	288	26	1
243	288	26	2
248	288	26	1
227	289	26	1
234	289	26	1
238	289	26	1
242	289	26	1
239	290	26	1
240	290	26	1
242	290	26	1
243	290	26	1
229	291	26	1
235	291	26	1
238	291	26	1
240	291	26	2
245	291	26	1
246	291	26	1
250	291	26	1
226	292	26	1
227	292	26	1
245	292	26	1
250	292	26	1
252	292	26	1
225	293	26	1
237	293	26	1
238	293	26	2
246	293	26	1
237	294	26	1
239	294	26	1
243	294	26	1
246	294	26	2
249	294	26	1
243	295	26	1
239	296	26	1
239	297	26	1
240	297	26	1
236	299	26	2
236	300	26	1
241	300	26	1
232	258	27	2
183	259	27	1
228	259	27	1
183	260	27	1
227	260	27	1
233	260	27	1
237	260	27	3
180	261	27	2
183	261	27	1
187	261	27	1
222	261	27	1
239	261	27	1
177	262	27	1
232	262	27	1
239	262	27	1
175	263	27	1
210	263	27	1
234	263	27	1
235	263	27	2
176	264	27	2
180	264	27	1
228	264	27	1
230	264	27	1
237	264	27	1
248	264	27	1
184	265	27	1
226	265	27	1
236	265	27	1
237	265	27	3
238	265	27	1
240	265	27	1
228	266	27	2
229	266	27	1
232	266	27	1
214	267	27	3
215	267	27	1
217	267	27	1
229	267	27	1
230	267	27	1
233	267	27	1
234	267	27	2
240	267	27	2
249	267	27	2
250	267	27	1
213	268	27	1
214	268	27	1
222	268	27	1
225	268	27	2
230	268	27	2
231	268	27	1
235	268	27	2
177	269	27	2
179	269	27	1
180	269	27	1
205	269	27	1
211	269	27	1
213	269	27	1
224	269	27	1
227	269	27	1
239	269	27	1
178	270	27	1
192	270	27	1
197	270	27	1
207	270	27	1
216	270	27	1
221	270	27	2
227	270	27	1
231	270	27	1
238	270	27	1
239	270	27	2
242	270	27	1
244	270	27	2
250	270	27	1
178	271	27	1
207	271	27	2
208	271	27	1
209	271	27	1
217	271	27	1
222	271	27	1
225	271	27	1
230	271	27	1
249	271	27	1
179	272	27	1
206	272	27	2
208	272	27	1
216	272	27	1
228	272	27	1
229	272	27	1
236	272	27	1
238	272	27	1
206	273	27	1
214	273	27	1
220	273	27	1
223	273	27	1
231	273	27	1
234	273	27	1
237	273	27	1
247	273	27	1
251	273	27	1
211	274	27	1
182	275	27	1
184	275	27	2
185	275	27	1
