x	y	z	Interconversion of nucleotide di- and triphosphates
235	278	24	1
239	278	24	1
251	287	24	1
239	272	25	1
230	274	25	1
240	276	25	1
231	277	25	1
233	277	25	1
233	278	25	2
237	278	25	1
238	278	25	1
234	280	25	1
248	280	25	1
231	282	25	1
235	282	25	1
247	282	25	1
230	283	25	1
235	283	25	1
240	283	25	1
247	283	25	1
244	284	25	1
239	285	25	1
246	285	25	1
243	286	25	1
236	288	25	1
238	289	25	1
241	289	25	1
244	289	25	1
235	290	25	1
236	291	25	1
241	291	25	1
246	291	25	1
235	292	25	1
239	293	25	1
243	293	25	2
243	294	25	1
247	294	25	1
237	295	25	1
241	295	25	1
245	295	25	1
242	296	25	1
182	260	26	1
241	267	26	1
240	270	26	1
236	272	26	1
233	275	26	1
249	275	26	2
232	276	26	1
235	277	26	1
236	277	26	1
231	278	26	1
252	278	26	1
247	281	26	1
209	282	26	1
233	282	26	1
235	282	26	1
233	283	26	1
234	283	26	1
243	283	26	1
245	283	26	1
252	284	26	1
212	285	26	1
236	285	26	1
234	286	26	1
249	286	26	1
253	286	26	1
251	287	26	1
248	288	26	1
242	289	26	1
235	291	26	1
239	294	26	1
240	294	26	1
221	295	26	1
242	295	26	1
236	297	26	1
237	297	26	1
244	297	26	1
245	297	26	2
236	299	26	1
241	299	26	1
235	260	27	1
237	261	27	1
238	262	27	1
227	263	27	2
233	263	27	1
239	263	27	1
186	264	27	1
189	265	27	1
225	265	27	1
232	265	27	1
234	265	27	1
215	267	27	1
229	267	27	1
233	267	27	1
213	268	27	1
227	268	27	1
236	268	27	1
238	268	27	1
227	269	27	1
228	269	27	1
232	269	27	1
233	269	27	1
234	269	27	1
235	269	27	1
236	269	27	1
252	269	27	1
197	270	27	1
228	270	27	1
230	270	27	1
243	270	27	1
177	271	27	1
178	271	27	1
181	271	27	1
209	271	27	1
213	272	27	1
225	272	27	1
229	272	27	2
236	272	27	1
223	273	27	1
232	273	27	1
211	274	27	1
228	274	27	1
235	274	27	1
239	274	27	1
240	274	27	1
230	275	27	2
209	276	27	1
214	276	27	1
217	276	27	1
220	276	27	1
222	276	27	1
232	276	27	1
211	277	27	1
212	277	27	1
252	277	27	1
203	278	27	1
241	279	27	1
210	280	27	1
232	280	27	1
234	280	27	1
231	281	27	1
246	281	27	1
237	282	27	1
245	282	27	1
232	283	27	1
245	283	27	1
235	284	27	1
254	284	27	1
224	285	27	1
216	286	27	1
224	286	27	1
225	286	27	1
234	286	27	1
207	287	27	1
246	287	27	1
240	288	27	1
242	288	27	1
203	289	27	1
224	289	27	2
234	289	27	1
246	289	27	1
219	290	27	2
222	290	27	1
213	291	27	1
228	291	27	1
246	291	27	1
224	292	27	1
225	292	27	1
248	292	27	1
225	293	27	1
217	294	27	1
219	295	27	1
247	295	27	1
237	297	27	1
226	298	27	1
239	298	27	1
247	298	27	1
239	299	27	1
248	299	27	1
249	299	27	1
237	300	27	1
241	300	27	1
240	301	27	1
235	304	27	1
231	267	28	1
235	270	28	1
237	276	28	2
249	282	28	1
239	285	28	1
244	287	28	1
226	290	28	1
242	290	28	1
248	292	28	1
240	293	28	1
241	294	28	1
235	256	29	1
233	258	29	1
194	267	29	1
197	267	29	2
232	267	29	1
236	267	29	1
235	269	29	1
215	270	29	1
235	271	29	1
211	272	29	1
213	272	29	1
224	272	29	1
251	272	29	1
182	273	29	1
236	273	29	1
232	274	29	1
238	274	29	1
206	275	29	1
228	276	29	1
234	276	29	1
240	276	29	1
239	277	29	1
235	278	29	1
247	278	29	1
234	279	29	1
224	281	29	1
251	281	29	1
244	283	29	1
251	283	29	1
232	284	29	1
235	284	29	1
227	285	29	1
236	285	29	1
238	285	29	1
243	285	29	1
211	286	29	1
242	286	29	1
228	287	29	1
245	287	29	1
226	288	29	1
236	288	29	1
237	290	29	1
225	293	29	1
248	294	29	1
247	295	29	1
246	296	29	1
245	297	29	1
227	299	29	1
237	299	29	1
237	300	29	1
225	301	29	1
237	304	29	1
232	253	30	1
233	254	30	1
230	255	30	1
232	255	30	1
229	256	30	1
228	257	30	1
232	260	30	1
235	260	30	1
239	260	30	1
245	260	30	1
239	261	30	1
179	262	30	1
226	262	30	1
231	262	30	1
182	263	30	1
211	263	30	1
216	263	30	1
249	263	30	1
186	264	30	1
248	265	30	1
187	266	30	1
195	266	30	1
215	266	30	2
193	267	30	1
196	267	30	1
202	267	30	1
209	267	30	1
225	267	30	1
194	268	30	1
213	268	30	1
216	268	30	1
223	268	30	1
246	268	30	1
247	268	30	1
252	269	30	1
196	270	30	1
198	270	30	2
205	270	30	1
207	270	30	1
217	270	30	1
233	271	30	1
182	272	30	1
207	272	30	1
206	273	30	1
208	274	30	1
179	275	30	1
183	275	30	1
184	275	30	1
211	275	30	1
235	275	30	2
237	275	30	1
233	276	30	1
239	276	30	1
236	279	30	2
252	279	30	1
219	280	30	1
235	280	30	1
241	280	30	1
247	280	30	1
248	280	30	1
239	281	30	1
177	282	30	1
246	282	30	1
252	282	30	2
221	283	30	1
241	283	30	1
257	283	30	1
231	284	30	1
256	284	30	1
227	285	30	1
229	285	30	1
248	285	30	1
256	285	30	1
205	286	30	1
239	286	30	1
250	287	30	1
254	287	30	1
199	288	30	1
232	288	30	1
237	288	30	1
200	289	30	1
221	289	30	1
243	289	30	1
240	290	30	1
222	291	30	1
237	291	30	1
238	291	30	1
251	291	30	1
232	292	30	1
224	293	30	1
239	293	30	1
250	293	30	1
227	294	30	1
231	294	30	1
235	294	30	1
241	294	30	1
250	294	30	1
254	295	30	1
257	295	30	1
237	296	30	2
221	298	30	1
229	298	30	1
231	298	30	2
233	298	30	1
236	298	30	1
252	298	30	1
231	299	30	1
236	299	30	1
241	299	30	1
223	300	30	1
223	302	30	1
231	302	30	1
237	302	30	1
247	302	30	1
237	303	30	1
240	303	30	1
244	303	30	1
246	303	30	1
233	305	30	1
237	305	30	1
235	252	31	1
239	252	31	1
215	255	31	1
216	256	31	1
215	257	31	1
188	259	31	1
218	260	31	1
188	261	31	1
208	261	31	1
211	261	31	1
216	261	31	1
236	262	31	1
186	263	31	1
193	263	31	1
227	263	31	1
236	263	31	1
215	264	31	1
239	264	31	1
194	265	31	2
214	265	31	1
213	266	31	1
246	266	31	1
182	267	31	1
228	267	31	1
247	267	31	1
248	267	31	1
232	268	31	1
243	268	31	1
188	269	31	1
191	269	31	1
194	269	31	1
232	269	31	1
242	269	31	1
247	269	31	1
248	269	31	1
180	270	31	1
185	270	31	1
196	270	31	1
200	270	31	1
174	271	31	1
177	271	31	1
204	271	31	1
210	271	31	1
231	271	31	1
183	272	31	1
213	272	31	1
239	272	31	1
243	272	31	1
248	272	31	1
209	273	31	1
210	273	31	1
246	273	31	1
232	274	31	2
237	274	31	1
241	274	31	1
250	274	31	2
237	276	31	1
238	276	31	1
249	277	31	1
208	279	31	1
176	280	31	1
221	280	31	1
248	280	31	1
251	281	31	1
254	281	31	1
173	282	31	1
235	282	31	1
184	283	31	1
235	283	31	1
209	284	31	1
249	284	31	2
218	285	31	1
238	285.5	31.5	1
244	285	31	1
251	285	31	1
227	286	31	1
252	286	31	1
225	288	31	1
240	289	31	1
242	289	31	1
246	289	31	1
200	290	31	1
225	290	31	1
226	290	31	1
254	291	31	1
238	292	31	1
235	293	31	1
236	293	31	1
221	295	31	1
235	295	31	1
223	297	31	1
228	298	31	1
242	298	31	1
245	298	31	1
253	298	31	1
230	299	31	1
232	299	31	1
233	299	31	1
232	300	31	1
221	301	31	1
226	301	31	1
228	301	31	1
223	307	31	1
226	309	31	1
213	258	32	1
214	258	32	1
240	258	32	1
216	259	32	1
222	259	32	1
234	259	32	1
216	260	32	1
238	260	32	1
244	260	32	1
246	260	32	1
222	261	32	1
203	262	32	1
216	262	32	1
198	263	32	1
235	263	32	1
241	263	32	1
245	263	32	1
203	265	32	1
217	265	32	1
226	265	32	1
248	266	32	1
194	267	32	1
216	267	32	1
225	267	32	1
212	268	32	1
247	268	32	1
182	269	32	1
186	269	32	1
173	270	32	1
210	270	32	1
227	270	32	1
232	270	32	1
241	270	32	1
249	270	32	1
211	271	32	1
214	271	32	1
228	271	32	1
239	271	32	1
244	271	32	1
250	271	32	1
173	272	32	1
198	272	32	1
207	272	32	1
210	272	32	1
227	272	32	1
250	272	32	1
241	273	32	1
243	273	32	1
245	273	32	1
250	273	32	1
172	274	32	1
181	274	32	1
238	274	32	1
213	275	32	1
184	276	32	2
238	276	32	1
237	278	32	1
207	279	32	1
245	279	32	1
219	280	32	1
179	281	32	1
186	281	32	1
211	281	32	1
219	281	32	1
239	281	32	1
245	281	32	1
254	281	32	1
223	282	32	1
181	284	32	1
184	284	32	1
221	284	32	1
176	285	32	1
177	285	32	1
208	285	32	1
220	285	32	1
222	285	32	1
234	285	32	1
218	286	32	1
221	286	32	1
234	286	32	1
247	286	32	1
221	287	32	1
250	288	32	1
247	290	32	1
241	291	32	1
245	291	32	1
198	292	32	1
224	292	32	1
228	292	32	1
233	292	32	1
234	292	32	1
252	292	32	1
257	292	32	1
216	293	32	1
224	293	32	2
227	293	32	1
248	293	32	1
256	293	32	1
227	294	32	1
244	294	32	1
241	295	32	1
245	295	32	1
247	295	32	1
229	296	32	1
238	298	32	1
250	298	32	1
253	298	32	1
228	299	32	1
243	299	32	1
247	299	32	1
225	300	32	1
236	300	32	1
240	300	32	1
210	301	32	1
223	301	32	1
232	301	32	1
236	301	32	1
240	301	32	1
245	304	32	1
221	305	32	1
235	307	32	1
223	308	32	1
229	308	32	1
236	308	32	1
225	309	32	1
230	313	32	1
235	313	32	2
226	251	33	1
222	253	33	1
237	253	33	1
217	254	33	1
231	254	33	1
217	255	33	1
221	256	33	1
217	257	33	1
222	257	33	1
227	257	33	1
237	257	33	1
239	257	33	1
216	258	33	1
219	258	33	1
235	258	33	1
215	259	33	1
216	259	33	1
227	259	33	1
237	259	33	1
215	260	33	1
224	260	33	1
230	260	33	1
233	260	33	1
237	260	33	1
208	261	33	1
225	261	33	1
228	261	33	1
229	261	33	1
226	262	33	1
250	262	33	1
185	263	33	1
247	263	33	1
249	263	33	1
220	264	33	1
226	264	33	1
238	264	33	1
242	264	33	1
188	265	33	1
191	265	33	1
225	265	33	1
244	265	33	1
204	266	33	1
246	266	33	1
220	267	33	1
245	267	33	1
247	267	33	1
192	268	33	1
193	268	33	1
196	268	33	1
215	268	33	1
235	268	33	1
240	268	33	1
243	268	33	1
191	269	33	1
192	269	33	1
212	269	33	1
241	269	33	1
215	270	33	1
240	270	33	1
242	270	33	1
239	271	33	1
203	272	33	1
215	272	33	1
217	272	33	1
239	272	33	1
242	272	33	1
196	273	33	1
202	273	33	1
209	273	33	1
226	273	33	1
253	273	33	1
185	274	33	1
209	274	33	1
235	274	33	1
237	274	33	1
227	275	33	1
246	275	33	1
250	275	33	1
214	276	33	1
215	276	33	1
243	276	33	1
224	277	33	1
246	277	33	1
176	278	33	1
191	278	33	1
211	278	33	1
223	278	33	1
235	278	33	1
222	279	33	1
174	280	33	1
206	280	33	1
250	280	33	1
251	280	33	1
180	281	33	1
204	281	33	1
178	282	33	1
185	282	33	1
224	282	33	1
229	282	33	1
234	282	33	1
229	283	33	1
207	284	33	1
209	284	33	1
220	284	33	1
221	284	33	1
242	284	33	1
206	285	33	1
224	285	33	1
227	285	33	1
243	285	33	1
248	285	33	1
254	285	33	1
209	286	33	1
229	286	33	1
236	286	33	1
242	286	33	1
233	287	33	1
234	287	33	1
219	288	33	1
223	288	33	1
241.5	289.5	33.5	1
230	290	33	1
186	291	33	1
229	291	33	1
248	291	33	1
183	292	33	1
229	292	33	1
228	293	33	1
241	293	33	1
243	293	33	1
252	293	33	1
177	294	33	1
227	294	33	1
243	294	33	1
251	294	33	2
225	295	33	1
231	295	33	1
180	296	33	1
198	296	33	1
230	296	33	1
236	296	33	1
202	297	33	1
241	297	33	1
235	298	33	1
243	298	33	1
246	298	33	1
248	298	33	1
227	299	33	1
234	299	33	1
236	299	33	1
241	299	33	1
228	300	33	1
245	301	33	1
237	302	33	1
243	302	33	1
209	304	33	1
220	304	33	1
231	304	33	1
234	305	33	1
235	305	33	1
223	306	33	1
235	306	33	1
221	307	33	1
222	307	33	1
223	307	33	1
242	308	33	1
239	310	33	1
228	311	33	1
228	312	33	1
223	313	33	1
233	313	33	1
230	315	33	1
229	251	34	1
227	254	34	1
221	255	34	1
216	257	34	1
222	258	34	1
223	258	34	1
224	258	34	2
242	260	34	2
229	261	34	1
190	262	34	1
193	262	34	1
219	262	34	1
224	262	34	1
247	262	34	1
185	263	34	1
224	263	34	1
238	263	34	1
240	263	34	1
187	264	34	1
193	264	34	1
200	264	34	1
237	264	34	1
247	264	34	1
204	265	34	1
209	265	34	1
221	265	34	1
222	265	34	1
232	265	34	1
249	265	34	1
178	266	34	1
240	266	34	1
183	267	34	1
197	267	34	1
209	267	34	1
210	267	34	1
231	267	34	1
247	267	34	1
189	268	34	1
187	269	34	1
216	269	34	1
239	269	34	1
242	269	34	1
184	270	34	1
188	270	34	3
189	270	34	1
199	270	34	1
216	270	34	1
221	270	34	1
249	270	34	1
213	271	34	1
217	271	34	1
220	271	34	1
250	271	34	1
176	272	34	1
180	272	34	1
211	272	34	1
214	272	34	1
235	272	34	1
238	272	34	1
170	273	34	1
185	273	34	1
212	273	34	1
219	273	34	1
241	273	34	1
180	274	34	1
209	274	34	1
217	274	34	1
234	274	34	1
189	275	34	1
215	275	34	1
246	275	34	1
210	276	34	1
242	276	34	1
189	277	34	1
234	277	34	2
244	277	34	1
186	278	34	1
201	278	34	1
226	278	34	1
237	279	34	1
238	279	34	1
244	279	34	1
181	280	34	1
224	280	34	1
235	280	34	1
191	281	34	1
207	281	34	1
179	282	34	1
181	282	34	1
224	282	34	1
235	283	34	1
212	284	34	1
215	284	34	2
233	284	34	1
185	285	34	1
204	285	34	1
229	285	34	1
207	286	34	1
222	286	34	1
228	286	34	1
227	287	34	1
228	287	34	1
243	287	34	1
251	287	34	1
186	288	34	1
201	288	34	1
205	288	34	1
222	288	34	1
226	288	34	1
239	288	34	1
246	288	34	1
253	288	34	1
200	289	34	1
203	289	34	1
242	289	34	1
182	290	34	1
197	290	34	1
200	291	34	1
239	291	34	1
255	291	34	1
200	292	34	1
201	292	34	1
222	292	34	1
229	293	34	1
237	293	34	1
177	294	34	1
220	294	34	1
179	295	34	1
196	295	34	1
233	295	34	1
228	296	34	1
199	297	34	1
225	297	34	1
233	297	34	1
239	297	34	1
242	297	34	1
247	297	34	1
197	298	34	1
203	298	34	1
233	298	34	1
241	298	34	1
246	298	34	1
241	299	34	1
228	300	34	1
236	300	34	1
244	301	34	1
227	303	34	1
231	303	34	1
237	303	34	1
239	303	34	1
226	304	34	1
227	304	34	1
226	305	34	1
240	305	34	1
225	306	34	1
242	306	34	1
230	307	34	1
241	307	34	1
234	309	34	1
235	309	34	1
222	310	34	1
234	310	34	1
233	311	34	1
225	312	34	1
225	313	34	1
228	314	34	1
233	315	34	2
225	251	35	1
191	257	35	1
215	257	35	1
218	259	35	1
220	259	35	1
191	260	35	1
228	260	35	1
235	261	35	1
224	262	35	1
228	262	35	1
189	263	35	1
208	263	35	1
211	263	35	1
230	263	35	1
235	263	35	1
219	264	35	1
231	264	35	1
187	265	35	1
211	265	35	1
213	265	35	1
219	265	35	1
249	265	35	1
186	266	35	2
214	266	35	1
219	266	35	1
226	266	35	2
238	266	35	1
243	267	35	1
193	268	35	1
220	268	35	1
238	268	35	2
176	269	35	1
202	269	35	1
187	270	35	2
236	270	35	1
237	270	35	1
173	271	35	1
178	271	35	1
210	271	35	1
214	271	35	1
228	271	35	1
178	272	35	1
192	272	35	1
205	272	35	1
207	272	35	1
208	272	35	1
239	272	35	1
178	273	35	1
182	273	35	1
209	273	35	1
216	273	35	2
245	273	35	1
190	274	35	1
210	274	35	1
244	274	35	1
189	275	35	1
203	275	35	1
210	275	35	1
240	275	35	1
245	275	35	1
178	276	35	1
203	276	35	1
243	276	35	1
175	277	35	1
176	277	35	1
211	277	35	1
218	277	35	1
171	278	35	1
174	278	35	1
203	278	35	1
210	278	35	1
215	278	35	1
210	279	35	1
217	279	35	1
236	279	35	1
211	280	35	1
217	280	35	1
205	281	35	1
210	281	35	1
221	281	35	1
244	281	35	1
190	282	35	1
208	282	35	1
210	282	35	1
221	283	35	1
233	283	35	1
187	284	35	2
200	284	35	1
207	284	35	1
209	284	35	1
212	284	35	1
216	284	35	1
218	284	35	1
236	284	35	1
249	284	35	1
187	285	35	1
248	285	35	1
181	286	35	1
207	286	35	1
185	288	35	1
189	288	35	1
201	288	35	1
222	288	35	1
230	288	35	1
184	289	35	1
200	289	35	1
220	289	35	1
185	290	35	1
206	290	35	1
235	290	35	1
241	290	35	1
242	290	35	1
198	291	35	1
200	291	35	1
174	292	35	1
183	292	35	1
186	292	35	1
221	292	35	1
243	292	35	1
234	294	35	1
224	295	35	1
231	295	35	1
240	295	35	1
181	296	35	1
222	297	35	1
226	297	35	1
242	297	35	1
198	298	35	1
220	298	35	1
221	298	35	1
222	298	35	1
239	300	35	1
229	302	35	1
240	304	35	1
236	305	35	1
229	306	35	1
242	307	35	1
231	308	35	1
232	308	35	1
237	309	35	1
230	310	35	1
232	310	35	1
235	310	35	1
234	311	35	1
240	311	35	1
230	313	35	1
232	314	35	2
236	314	35	1
237	314	35	1
210	316	35	1
238	316	35	1
235	317	35	1
240	317	35	1
236	318	35	2
228	253	36	1
225	257	36	1
219	259	36	1
226	260	36	1
217	261	36	1
224	261	36	1
229	261	36	1
219	262	36	1
238	262	36	1
244	262	36	2
219	263	36	1
214	264	36	1
220	264	36	1
238	264	36	1
194	265	36	1
216	265	36	1
245	265	36	1
211	266	36	1
186	267	36	1
229	267	36	1
232	267	36	1
249	267	36	1
211	269	36	2
222	269	36	1
225	269	36	1
237	269	36	1
172	270	36	1
191	270	36	1
203	270	36	1
216	270	36	1
246	270	36	1
216	271	36	1
217	271	36	1
238	271	36	1
181	272	36	1
203	272	36	1
186	273	36	1
190	273	36	1
191	273	36	1
204	273	36	1
211	273	36	1
178	274	36	1
236	274	36	1
239	274	36	1
181	276	36	1
207	276	36	1
211	276	36	2
240	276	36	1
205	277	36	1
202	278	36	1
204	278	36	1
192	279	36	1
204	279	36	1
223	279	36	1
174	280	36	1
208	280	36	1
173	281	36	1
207	281	36	2
191	282	36	1
209	282	36	1
213	282	36	1
202	283	36	1
204	283	36	1
215	283	36	1
226	283	36	1
231	283	36	1
239	283	36	1
176	284	36	1
209	284	36	1
215	284	36	1
231	284	36	1
221	285	36	1
200	286	36	1
238	286	36	1
185	287	36	2
200	287	36	1
201	287	36	1
205	287	36	2
238	287	36	1
239	287	36	1
186	288	36	1
234	288	36	1
245	288	36	1
195	289	36	1
201	289	36	1
187	290	36	1
222	290	36	1
233	290	36	1
234	290	36	1
237	290	36	1
203	291	36	1
204	291	36	1
187	292	36	1
242	292	36	1
188	293	36	1
232	293	36	1
199	294	36	1
228	294	36	1
232	294	36	1
238	294	36	1
207	295	36	1
223	295	36	1
232	295	36	2
235	295	36	1
239	295	36	1
200	296	36	1
205	296	36	1
239	296	36	2
245	296	36	1
196	299	36	1
238	299	36	1
229	300	36	1
226	301	36	1
229	302	36	1
232	302	36	1
225	309	36	1
228	309	36	1
226	310	36	1
234	310	36	1
220	311	36	1
226	311	36	1
232	311	36	1
244	312	36	1
216	313	36	1
235	313	36	1
232	314	36	2
236	315	36	1
232	317	36	1
238	317	36	1
229	262	37	1
211	264	37	1
232	265	37	1
212	266	37	1
214	267	37	1
219	267	37	1
218	269	37	1
210	270	37	1
212	275	37	1
215	278	37	1
216	279	37	1
189	281	37	1
210	281	37	1
208	282	37	1
201	283	37	1
201	285	37	1
187	286	37	1
216	286	37	1
230	286	37	1
187	287	37	2
248	287	37	1
241	288	37	1
201	289	37	1
236	289	37	1
237	289	37	1
195	290	37	1
204	290	37	1
206	290	37	1
203	291	37	1
225	293	37	1
202	294	37	1
204	294	37	1
229	295	37	1
231	295	37	1
243	295	37	1
215	296	37	2
237	296	37	2
241	296	37	1
244	296	37	1
235	297	37	1
239	297	37	1
232	299	37	1
241	299	37	1
244	299	37	1
233	300	37	1
226	302	37	1
233	302	37	1
229	305	37	1
224	306	37	1
240	306	37	1
243	307	37	1
239	309	37	1
242	309	37	1
229	310	37	1
228	311	37	1
230	312	37	1
231	312	37	1
242	312	37	1
212	313	37	1
230	313	37	1
236	315	37	1
237	317	37	1
236	318	37	1
211	271	38	1
193	272	38	1
201	273	38	1
214	273	38	1
213	274	38	1
217	274	38	1
215	275	38	1
211	276	38	1
194	277	38	1
221	278	38	1
194	279	38	1
190	281	38	1
193	281	38	1
210	281	38	1
215	284	38	1
222	284	38	1
192	285	38	1
202	285	38	1
215	285	38	1
232	285	38	1
216	286	38	1
187	288	38	1
189	288	38	1
193	288	38	1
203	289	38	1
206	290	38	1
191	291	38	1
214	291	38	1
232	291	38	1
189	292	38	2
194	292	38	1
236	292	38	1
229	293	38	1
217	294	38	1
233	295	38	1
240	295	38	1
237	296	38	1
226	297	38	1
