x	y	z	Cristae formation
132	221	20	1
142	221	20	1
127	222	20	1
134	222	20	1
178	222	20	1
134	224	20	1
144	224	20	1
175	224	20	1
176	224	20	1
141	225	20	1
157	225	20	1
176	225	20	2
126	226	20	1
158	226	20	2
172	226	20	3
155	227	20	4
160	227	20	1
112	228	20	1
132	228	20	3
151	228	20	4
158	228	20	2
197	228	20	1
112	229	20	1
115	229	20	1
118	229	20	2
126	229	20	1
153	229	20	3
158	229	20	2
127	230	20	1
157	230	20	1
169	230	20	2
186	230	20	1
190	230	20	1
204	230	20	2
154	231	20	1
160	231	20	1
170	231	20	1
177	231	20	1
199	231	20	1
115	232	20	1
137	232	20	1
146	232	20	1
197	232	20	1
130	233	20	1
136	233	20	1
143	233	20	1
169	233	20	2
214	233	20	1
215	233	20	2
114	234	20	2
213	234	20	3
135	235	20	1
141	235	20	1
143	235	20	1
206	235	20	2
220	235	20	1
222	235	20	2
134	236	20	1
146	236	20	2
154	236	20	1
163	236	20	2
215	236	20	2
133	237	20	1
137	237	20	2
145	237	20	1
165	237	20	1
168	237	20	1
220	237	20	1
222	237	20	1
232	237	20	1
117	238	20	1
139	238	20	1
143	238	20	1
145	238	20	3
213	238	20	1
139	239	20	2
142	239	20	1
144	239	20	2
165	239	20	1
230	239	20	1
102	240	20	2
131	240	20	2
147	240	20	1
149	240	20	2
152	240	20	1
160	240	20	1
191	240	20	1
214	240	20	1
216	240	20	3
108	241	20	3
111	241	20	1
139	241	20	1
149	241	20	3
120	242	20	1
121	242	20	1
130	242	20	2
132	242	20	1
136	242	20	1
141	242	20	1
185	242	20	3
237	242	20	2
116	243	20	2
132	243	20	1
173	243	20	1
201	243	20	2
240	243	20	1
118	244	20	2
123	244	20	1
126	244	20	1
154	244	20	1
183	244	20	2
188	244	20	2
214	244	20	2
242	244	20	1
111	245	20	1
160	245	20	1
182	245	20	3
241	245	20	3
117	246	20	1
177	246	20	2
237	246	20	1
240	246	20	2
246	246	20	1
252	246	20	1
102	247	20	2
137	247	20	2
248	247	20	3
109	248	20	1
114	248	20	1
141	248	20	1
163	248	20	1
190	248	20	2
215	248	20	1
222	248	20	1
102	249	20	1
151	249	20	2
167	249	20	2
169	249	20	1
194	249	20	1
215	249	20	3
155	250	20	1
172	250	20	1
175	250	20	4
260	250	20	2
175	251	20	1
207	251	20	1
220	251	20	2
223	251	20	1
251	251	20	1
118	252	20	1
122	252	20	1
207	252	20	3
218	252	20	2
139	253	20	2
154	253	20	1
161	253	20	1
222	253	20	1
252	253	20	2
148	254	20	2
154	254	20	2
180	254	20	1
197	254	20	3
217	254	20	1
226	254	20	1
228	254	20	1
243	254	20	1
