x	y	z	Pyruvate metabolism
240	277	24	1
245	288	24	1
230	272	25	1
234	274	25	1
238	275	25	1
231	281	25	1
249	283	25	1
237	285	25	1
246	285	25	1
226	291	25	1
243	294	25	1
235	268	26	1
232	277	26	1
231	278	26	1
237	282	26	1
237	286	26	1
248	286	26	1
252	286	26	1
253	286	26	1
224	287	26	1
235	288	26	1
227	289	26	1
225	292	26	1
246	297	26	1
227	301	26	1
234	260	27	1
222	261	27	1
231	264	27	1
240	264	27	1
215	265	27	1
221	265	27	1
225	265	27	1
197	268	27	1
244	270	27	1
217	272	27	1
241	272	27	1
239	274	27	1
217	276	27	1
233	278	27	1
248	278	27	1
242	280	27	1
248	282	27	1
240	283	27	1
236	285	27	1
254	285	27	1
242	289	27	1
249	289	27	1
247	292	27	1
254	292	27	1
218	293	27	1
250	293	27	1
256	293	27	1
239	297	27	1
235	298	27	1
235	268	28	1
238	269	28	1
246	283	28	1
237	290	28	1
250	270	29	1
238	273	29	1
224	281	29	1
220	284	29	1
232	284	29	1
239	285	29	1
234	286	29	1
230	290	29	1
224	291	29	1
245	292	29	1
248	293	29	1
222	296	29	1
223	296	29	1
246	296	29	1
229	256	30	1
209	259	30	1
222	259	30	1
225	260	30	1
245	260	30	1
194	262	30	1
210	263	30	1
194	264	30	1
245	264	30	1
233	265	30	2
219	269	30	1
238	269	30	1
247	269	30	1
197	270	30	1
185	272	30	1
203	272	30	1
246	273	30	1
251	274	30	1
248	276	30	1
221	279	30	1
235	280	30	1
237	280	30	1
249	280	30	1
181	281	30	1
241	282	30	1
248	283	30	1
250	283	30	1
235	286	30	1
244	286	30	1
228	287	30	1
228	288	30	1
245	288	30	1
224	292	30	1
241	292	30	2
249	294	30	1
234	295	30	1
224	298	30	1
246	303	30	1
215	251	31	1
235	252	31	1
242	260	31	1
231	261	31	1
211	262	31	1
215	263	31	1
248	264	31	1
242	267	31	1
181	273	31	1
203	274	31	1
237	274	31	1
240	276	31	1
244	276	31	1
249	277	31	1
204	278	31	1
239	281	31	1
224	284	31	1
224	285	31	1
234	285	31	1
178	286	31	1
219	286	31	1
238	286	31	1
230	288	31	1
231	295	31	1
238	298	31	1
227	300	31	1
231	303	31	1
237	307	31	1
182	260	32	1
186	261	32	1
237	261	32	1
212	263	32	1
212	264	32	1
189	265	32	1
195	265	32	1
217	265	32	1
194	266	32	1
218	266	32	1
232	266	32	1
234	266	32	1
216	267	32	1
219	267	32	1
240	267	32	1
252	267	32	1
189	268	32	1
228	269	32	1
240	269	32	1
180	270	32	1
176	271	32	1
240	271	32	1
225	272	32	1
244	274	32	1
214	275	32	1
178	279	32	1
181	279	32	1
239	279	32	1
255	279	32	1
180	280	32	1
233	282	32	1
178	283	32	1
237	283	32	1
225	285	32	1
220	288	32	1
235	289	32	1
249	292	32	1
199	294	32	1
237	294	32	1
228	296	32	1
233	298	32	1
197	300	32	1
248	301	32	1
245	302	32	1
237	305	32	1
235	308	32	1
217	254	33	1
235	259	33	1
194	263	33	1
192	264	33	1
208	265	33	1
222	266	33	1
242	266	33	1
194	267	33	1
210	268	33	1
190	271	33	1
215	271	33	1
201	273	33	1
205	274	33	1
211	275	33	1
250	275	33	1
215	276	33	1
187	277	33	1
216	277	33	1
237	278	33	1
239	278	33	1
238	282	33	1
236	283	33	1
175	284	33	1
221	284	33	1
240	285	33	1
253	285	33	1
254	285	33	1
225	286	33	1
185	287	33	1
246	292	33	1
237	293	33	1
240	293	33	1
242	296	33	1
195	297	33	1
240	297	33	1
229	299	33	1
232	304	33	1
242	308	33	1
225	253	34	1
222	258	34	1
233	258	34	1
219	260	34	1
222	261	34	1
235	262	34	1
234	263	34	1
251	263	34	1
187	264	34	1
235	264	34	1
218	265	34	1
220	265	34	1
217	266	34	1
235	266	34	1
173	268	34	1
188	268	34	1
222	268	34	1
220	269	34	1
212	271	34	1
248	272	34	1
188	273	34	1
201	273	34	1
239	273	34	1
232	276	34	1
240	276	34	1
209	279	34	1
237	279	34	1
175	280	34	1
246	280	34	1
212	282	34	1
192	283	34	1
210	283	34	1
245	283	34	1
247	283	34	1
243	284	34	1
177	286	34	1
203	288	34	1
247	288	34	1
223	289	34	1
228	289	34	1
185	290	34	1
222	290	34	1
235	291	34	1
233	292	34	1
217	294	34	1
236	296	34	1
204	297	34	1
237	298	34	1
246	300	34	1
227	303	34	1
222	308	34	1
224	308	34	1
224	309	34	1
225	309	34	1
221	310	34	1
233	310	34	1
238	310	34	1
240	310	34	1
228	311	34	1
227	315	34	1
229	253	35	1
223	254	35	1
241	257	35	1
235	258	35	1
217	259	35	1
238	259	35	1
223	260	35	1
235	260	35	1
237	260	35	1
212	261	35	1
226	261	35	1
235	261	35	2
189	263	35	1
218	263	35	1
225	263	35	1
224	264	35	1
231	264	35	1
237	264	35	1
207	265	35	1
196	267	35	1
197	269	35	1
238	269	35	1
188	270	35	1
227	270	35	1
235	270	35	1
174	272	35	1
208	272	35	1
181	273	35	1
184	273	35	1
235	273	35	1
219	275	35	1
240	275	35	1
245	275	35	1
209	276	35	1
230	276	35	1
187	278	35	1
202	278	35	1
224	280	35	1
227	282	35	1
181	283	35	1
205	283	35	1
206	285	35	1
191	286	35	1
233	286	35	1
203	287	35	1
176	289	35	1
197	290	35	1
174	292	35	1
198	292	35	1
182	293	35	1
218	294	35	1
237	294	35	1
199	296	35	1
200	297	35	1
241	298	35	1
200	299	35	1
228	301	35	1
199	302	35	1
231	302	35	1
244	302	35	1
232	303	35	1
195	305	35	1
225	305	35	1
242	305	35	1
237	312	35	1
232	313	35	1
241	313	35	1
226	258	36	1
232	258	36	1
217	264	36	1
194	265	36	1
231	266	36	1
235	266	36	1
243	266	36	1
240	267	36	1
188	268	36	1
241	268	36	1
211	274	36	1
211	275	36	1
211	276	36	1
212	276	36	1
189	277	36	1
223	280	36	1
232	280	36	1
206	284	36	1
208	285	36	1
205	286	36	1
206	289	36	1
233	290	36	1
232	292	36	1
240	295	36	1
227	297	36	1
226	301	36	1
235	306	36	1
223	308	36	1
231	313	36	1
242	314	36	1
228	258	37	1
235	260	37	1
224	262	37	1
214	263	37	1
224	264	37	1
189	268	37	1
237	269	37	1
196	270	37	1
217	277	37	1
206	279	37	1
241	285	37	1
236	289	37	1
204	290	37	1
233	291	37	1
244	297	37	1
220	277	38	1
208	280	38	1
211	286	38	1
219	289	38	1
202	291	38	1
220	292	38	1
205	293	38	1
237	299	38	1
240	300	38	1
230	301	38	1
233	303	38	1
221	310	38	1
229	310	38	1
232	310	38	1
229	312	38	1
222	313	38	1
244	315	38	1
214	275	39	1
219	282	39	1
205	286	39	1
190	289	39	1
217	289	39	1
221	292	39	1
232	292	39	1
236	292	39	1
209	293	39	1
212	295	39	1
233	301	39	1
228	302	39	1
235	318	39	1
231	322	39	1
214	293	40	1
229	293	40	1
230	301	40	1
237	302	40	1
226	309	40	1
219	312	40	1
220	312	40	1
217	313	40	1
221	313	40	1
239	315	40	1
227	317	40	1
232	319	40	1
193	280	41	1
230	300	41	1
224	308	41	1
223	313	41	1
218	318	41	1
223	312	42	1
221	315	42	1
220	318	42	1
246	318	42	1
234	310	43	1
240	313	43	1
230	316	43	1
229	313	44	1
226	320	44	1
183.039773122643	289.659001437601	35.0807824929564	1
132	221	20	1
142	221	20	2
134	222	20	1
178	222	20	2
175	223	20	1
