x	y	z	CREB1 phosphorylation through the activation of Adenylate Cyclase
216.157603775171	275.673637444315	34.5586340221659	1
239	272	24	1
235	278	24	1
244	286	24	1
246	287	24	2
243	288	24	1
249	289	24	1
233	269	25	1
238	272	25	2
236	273	25	2
238	274	25	1
235	275	25	1
235	276	25	1
240	276	25	1
248	276	25	1
234	277	25	1
235	277	25	1
237	277	25	1
233	278	25	1
238	278	25	1
235	279	25	1
239	279	25	1
247	279	25	1
232	280	25	1
233	280	25	1
234	280	25	1
245	280	25	1
231	281	25	1
234	281	25	1
240	281	25	1
248	281	25	1
231	282	25	1
232	282	25	1
234	282	25	1
237	282	25	2
238	282	25	1
240	282	25	1
247	282	25	1
248	282	25	1
249	282	25	1
231	283	25	1
233	283	25	2
235	283	25	1
240	283	25	2
243	283	25	1
233	284	25	1
237	284	25	1
245	284	25	1
247	284	25	1
252	284	25	2
237	285	25	1
244	285	25	1
253	285	25	1
234	286	25	1
235	286	25	1
250	286	25	1
237	287	25	1
246	287	25	1
235	289	25	1
236	289	25	1
242	289	25	1
244	289	25	1
234	290	25	1
235	290	25	1
237	290	25	2
235	291	25	2
237	291	25	1
241	291	25	1
251	291	25	1
237	292	25	1
244	292	25	2
250	292	25	2
240	293	25	1
243	293	25	1
246	293	25	1
243	294	25	1
247	294	25	2
237	295	25	2
244	296	25	1
247	296	25	1
239	297	25	2
239	302	25	1
176	259	26	1
182	259	26	1
232	263	26	1
231	264	26	2
232	265	26	1
230	267	26	1
237	269	26	1
233	270	26	1
235	270	26	2
238	270	26	1
224	272	26	1
226	272	26	1
230	272	26	1
234	272	26	1
233	274	26	1
207	276	26	1
215	276	26	1
231	276	26	1
233	276	26	1
234	276	26	1
237	276	26	1
209	277	26	2
231	277	26	1
232	277	26	1
237	277	26	1
239	277	26	2
250	277	26	1
231	278	26	1
232	278	26	1
240	278	26	2
207	279	26	1
231	279	26	1
236	280	26	1
248	280	26	1
230	281	26	2
234	281	26	1
236	281	26	1
246	281	26	2
209	282	26	1
238	282	26	1
242	282	26	1
245	282	26	2
246	282	26	2
254	282	26	1
209	283	26	2
231	283	26	1
233	283	26	1
234	283	26	1
243	283	26	1
251	283	26	2
252	283	26	1
254	283	26	1
214	284	26	1
215	284	26	2
236	284	26	1
241	284	26	1
244	284	26	1
250	284	26	1
212	285	26	1
237	285	26	1
244	285	26	1
252	285	26	1
254	285	26	1
255	285	26	1
225	286	26	1
241	286	26	1
243	286	26	1
246	286	26	2
248	286	26	1
252	286	26	1
228	287	26	1
232	287	26	1
234	287	26	1
249	287	26	1
250	287	26	1
252	287	26	1
240	288	26	1
248	288	26	1
250	288	26	1
223	289	26	1
232	289	26	1
240	289	26	1
251	289	26	1
233	290	26	1
236	290	26	1
237	290	26	1
226	291	26	1
229	291	26	2
240	291	26	1
227	292	26	1
237	292	26	2
238	292	26	1
239	292	26	1
240	292	26	1
246	292	26	1
252	292	26	1
254	292	26	2
234	293	26	1
236	293	26	1
222	295	26	1
243	295	26	1
243	296	26	1
244	296	26	1
237	297	26	1
242	297	26	1
235	298	26	1
239	298	26	1
241	299	26	1
243	299	26	1
241	300	26	1
227	301	26	1
184	255	27	1
184	256	27	1
183	258	27	2
184	258	27	1
215	258	27	1
232	258	27	1
184	259	27	1
185	259	27	1
228	259	27	1
232	259	27	1
183	260	27	1
181	261	27	1
231	261	27	1
232	261	27	1
234	261	27	1
235	261	27	1
180	262	27	2
229	262	27	2
238	262	27	1
184	263	27	1
185	263	27	2
210	263	27	1
225	263	27	1
227	263	27	1
230	263	27	1
231	263	27	1
180	264	27	1
219	264	27	1
224	264	27	1
226	264	27	2
231	264	27	1
234	264	27	1
248	264	27	1
184	265	27	1
230	265	27	1
234	265	27	1
215	266	27	1
217	266	27	1
226	266	27	1
231	266	27	1
233	266	27	1
234	266	27	1
235	266	27	1
237	266	27	1
182	267	27	1
226	267	27	1
232	267	27	1
239	267	27	1
180	268	27	1
207	268	27	1
217	268	27	1
226	268	27	2
231	268	27	1
232	268	27	1
240	268	27	1
243	268	27	1
182	269	27	1
205	269	27	1
211	269	27	1
224	269	27	1
227	269	27	1
229	269	27	1
237	269	27	1
252	269	27	1
207	270	27	1
216	270	27	1
236	270	27	1
237	270	27	1
238	270	27	1
242	270	27	1
243	270	27	1
182	271	27	1
215	271	27	1
222	271	27	1
226	271	27	2
231	271	27	1
237	271	27	2
179	272	27	1
213	272	27	2
214	272	27	1
217	272	27	2
223	272	27	1
227	272	27	1
229	272	27	1
230	272	27	1
231	272	27	3
232	272	27	1
239	272	27	1
250	272	27	1
183	273	27	1
207	273	27	2
210	273	27	2
211	273	27	2
213	273	27	1
220	273	27	1
224	273	27	1
229	273	27	1
232	273	27	1
234	273	27	2
238	273	27	3
178	274	27	1
179	274	27	1
209	274	27	1
214	274	27	1
224	274	27	1
231	274	27	1
235	274	27	1
