x	y	z	DNA Replication
244	284	21	1
240	286	21	2
239	278	24	1
241	279	24	1
246	284	24	2
244	286	24	1
248	286	24	2
251	287	24	2
248	289	24	1
244	290	24	1
231	264	25	1
232	265	25	1
235	270	25	2
228	272	25	1
230	272	25	1
238	272	25	1
239	272	25	2
227	273	25	2
235	273	25	1
236	273	25	1
230	274	25	1
232	274	25	3
235	274	25	1
235	275	25	1
236	275	25	1
237	275	25	1
232.5	276.5	25.5	1
235	276	25	1
237	276	25	2
239	276	25	1
240	276	25	1
231	277	25	2
232	277	25	1
234	277	25	1
235	277	25	1
231	278	25	1
232	278	25	3
233	278	25	1
234	278	25	1
236	278	25	1
237	278	25	4
231	279	25	1
232	279	25	1
233	279	25	1
235	279	25	1
236	279	25	1
239	279	25	2
241	279	25	1
249	279	25	1
234	280	25	1
236	280	25	1
241	280	25	1
245	280	25	1
231	281	25	1
235	281	25	1
237	281	25	2
240	281	25	1
243	281	25	2
214	282	25	1
235	282	25	1
239	282	25	1
230	283	25	3
231	283	25	1
232	283	25	1
233	283	25	4
234	283	25	1
236	283	25	2
239	283	25	1
240	283	25	1
241	283	25	1
243	283	25	1
247	283	25	1
249	283	25	1
234	284	25	1
235	284	25	2
236	284	25	1
237	284	25	2
252	284	25	3
215	285	25	1
237	285	25	1
238	285	25	2
241	285	25	1
253	285	25	2
218	286	25	1
232	286	25	1
241	286	25	2
242	286	25	2
245	286	25	1
223	287	25	1
237	287	25	1
242	287	25	3
245	287	25	2
246	287	25	1
251	287	25	2
236	288	25	1
250	288	25	1
226	289	25	2
237	289	25	4
241	289	25	1
242	289	25	1
244	289	25	1
248.5	289.5	25.5	1
236	290	25	1
237	290	25	1
240	290	25	1
244	290	25	1
250	290	25	2
226	291	25	1
234	291	25	1
236	291	25	1
242	291	25	2
245	291	25	1
250	291	25	1
243	292	25	1
244	292	25	1
249	292	25	1
243	293	25	1
246	293	25	2
239	294	25	1
240	294	25	1
242	294	25	3
247	294	25	2
234	295	25	2
237	295	25	2
243	295	25	2
245	295	25	1
238	296	25	1
246	296	25	1
239	297	25	1
243	297	25	1
239	300	25	2
239	302	25	1
182	260	26	1
229	262	26	3
229	264	26	1
230	264	26	1
215	265	26	4
232	265	26	1
230	267	26	1
235	267	26	1
235	268	26	1
236	268	26	3
228	269	26	1
227	270	26	1
228	270	26	1
237	270	26	1
250	270	26	2
229	271	26	1
235	271	26	1
236	271	26	1
215	272	26	1
226	272	26	1
234	272	26	1
231	273	26	3
248	273	26	1
249	273	26	1
233	274	26	1
236	274	26	1
238	274	26	1
233	275	26	1
235	275	26	1
245	275	26	1
250	275	26	2
207	276	26	1
215	276	26	1
233	276	26	1
244	276	26	1
248	276	26	2
250	276	26	2
207	277	26	1
209	277	26	1
210	277	26	3
213	277	26	2
230	277	26	1
232	277	26	1
236	277	26	1
249	277	26	1
250	277	26	1
231	278	26	2
236	278	26	1
237	278	26	1
249	278	26	2
252	278	26	1
232	279	26	1
236	279	26	1
248	279	26	1
208	280	26	1
230	280	26	1
232	280	26	1
238	280	26	1
240	280	26	1
247	280	26	1
249	280	26	1
234	281	26	2
235	281	26	2
236	281	26	1
237	281	26	1
239	281	26	1
244	281	26	1
246	281	26	1
208	282	26	2
209	282	26	1
235	282	26	1
238	282	26	2
240	282	26	1
245	282	26	1
249	282	26	1
251	282	26	1
227	283	26	1
231	283	26	1
233	283	26	2
234	283	26	2
238	283	26	1
241	283	26	1
249	283	26	1
251	283	26	1
253	283	26	1
215	284	26	1
233	284	26	1
234	284	26	1
235	284	26	2
237	284	26	1
238	284	26	1
242	284	26	1
243	284	26	1
244	284	26	1
248	284	26	1
211	285	26	1
214	285	26	1
244	285	26	2
246	285	26	1
247	285	26	1
252	285	26	1
254	285	26	3
216	286	26	1
232	286	26	2
236	286	26	1
237	286	26	1
238	286	26	1
241	286	26	1
242	286	26	1
243	286	26	2
246	286	26	1
223	287	26	1
228	287	26	1
232	287	26	2
239	287	26	1
250	287	26	1
251	287	26	3
245	288	26	2
252	288	26	2
253	288	26	2
235	289	26	1
238	289	26	1
242	289	26	1
243	289	26	2
225	290	26	2
228	290	26	1
236	290	26	2
238	290	26	1
242	290	26	1
250	290	26	1
226	291	26	1
232	291	26	2
235	291	26	1
239	291	26	3
242	291	26	1
245	291	26	1
246	291	26	1
227	292	26	2
239	292	26	1
242	292	26	1
245	292	26	1
246	292	26	2
247	292	26	1
250	292	26	2
225	293	26	1
234	293	26	1
236	293	26	1
240	293	26	2
244	293	26	1
245	293	26	2
220	294	26	1
235	294	26	1
241	294	26	1
244	294	26	1
245	294	26	2
246	294	26	1
221	295	26	1
234	295	26	2
239	295	26	1
240	295	26	1
242	295	26	2
244	295	26	1
235	296	26	1
239	296	26	1
240	296	26	1
241	296	26	1
243	296	26	2
244	296	26	1
239	297	26	1
240	297	26	1
244	297	26	2
235	298	26	2
239	298	26	1
236	299	26	1
239	299	26	1
240	299	26	6
243	299	26	1
241	300	26	1
184	255	27	1
181	257	27	1
184	258	27	1
232	258	27	2
184	259	27	1
228	259	27	2
231	259	27	1
232	259	27	1
184	260	27	1
240	260	27	1
186	261	27	1
222	261	27	1
230	261	27	1
231	261	27	1
235	261	27	1
237	261	27	1
180	262	27	2
186	262	27	2
229	262	27	1
233	262	27	1
236	262	27	1
238	262	27	1
178	263	27	1
183	263	27	1
184	263	27	2
210	263	27	1
215	263	27	1
225	263	27	1
229	263	27	1
232	263	27	1
233	263	27	1
238	263	27	2
239	263	27	1
175	264	27	1
222	264	27	1
225	264	27	2
226	264	27	2
229	264	27	1
231	264	27	1
239	264	27	2
240	264	27	1
248	264	27	1
181	265	27	1
212	265	27	1
221	265	27	1
225	265	27	1
231	265	27	1
232	265	27	2
234	265	27	1
235	265	27	1
236	265	27	1
240	265	27	1
178	266	27	1
180	266	27	1
215	266	27	2
216	266	27	1
217	266	27	1
219	266	27	2
224	266	27	1
226	266	27	1
229	266	27	1
231	266	27	1
233	266	27	1
234	266	27	1
235	266	27	1
215	267	27	2
217	267	27	1
226	267	27	1
228	267	27	1
231	267	27	1
232	267	27	1
233	267	27	1
235	267	27	1
239	267	27	1
240	267	27	1
249	267	27	2
250	267	27	1
181	268	27	1
207	268	27	1
213	268	27	2
214	268	27	1
215	268	27	1
216	268	27	2
224	268	27	1
227	268	27	1
228	268	27	1
232	268	27	1
235	268	27	1
236	268	27	1
241	268	27	1
243	268	27	1
248	268	27	1
178	269	27	1
179	269	27	1
211	269	27	3
215	269	27	1
218	269	27	1
233	269	27	2
235	269	27	1
237	269	27	1
239	269	27	1
240	269	27	1
243	269	27	1
178	270	27	1
179	270	27	1
197	270	27	1
215	270	27	1
218	270	27	1
230	270	27	1
236	270	27	1
237	270	27	2
240	270	27	1
244	270	27	3
248	270	27	1
250	270	27	1
180	271	27	1
181	271	27	2
182	271	27	1
209	271	27	1
210	271	27	1
211	271	27	1
216	271	27	1
217	271	27	1
225	271	27	1
233	271	27	1
235	271	27	1
236	271	27	2
237	271	27	1
239	271	27	1
240	271	27	1
242	271	27	2
243	271	27	1
248	271	27	1
176	272	27	1
179	272	27	1
203	272	27	2
205	272	27	1
207	272	27	1
208	272	27	1
216	272	27	2
220	272	27	2
223	272	27	1
225	272	27	2
228	272	27	1
230	272	27	1
232	272	27	1
237	272	27	1
239	272	27	1
240	272	27	1
241	272	27	1
250	272	27	1
203	273	27	1
210	273	27	1
212	273	27	1
213	273	27	1
215	273	27	1
217	273	27	1
220	273	27	2
224	273	27	2
227	273	27	1
229	273	27	1
232	273	27	1
235	273	27	1
247	273	27	1
249	273	27	1
213	274	27	2
216	274	27	2
233	274	27	1
239	274	27	2
247	274	27	1
250	274	27	1
254	274	27	3
184	275	27	1
185	275	27	1
205	275	27	1
206	275	27	2
211	275	27	1
212	275	27	1
213	275	27	1
216	275	27	1
220	275	27	1
222	275	27	1
230	275	27	2
235	275	27	2
236	275	27	2
240	275	27	1
254	275	27	2
177	276	27	1
204	276	27	1
206	276	27	1
207	276	27	1
213	276	27	1
219	276	27	2
222	276	27	2
232	276	27	2
233	276	27	2
234	276	27	2
239	276	27	1
240	276	27	1
244	276	27	1
246	276	27	2
247	276	27	1
250	276	27	1
207	277	27	2
210	277	27	1
215	277	27	1
227	277	27	1
233	277	27	1
236	277	27	1
237	277	27	1
240	277	27	1
243	277	27	2
244	277	27	1
252	277	27	2
206	278	27	1
209	278	27	1
210	278	27	1
211	278	27	1
232	278	27	1
233	278	27	1
235	278	27	2
244	278	27	1
246	278	27	1
249	278	27	1
250	278	27	1
252	278	27	1
201	279	27	2
207	279	27	2
234	279	27	1
235	279	27	2
237	279	27	1
239	279	27	1
242	279	27	2
244	279	27	2
245	279	27	1
247	279	27	1
248	279	27	1
250	279	27	1
205	280	27	1
207	280	27	1
236	280	27	1
240	280	27	1
241	280	27	1
242	280	27	1
248	280	27	1
250	280	27	2
209	281	27	2
214	281	27	2
217	281	27	1
229	281	27	1
230	281	27	1
233	281	27	2
238	281	27	1
240	281	27	1
241	281	27	1
245	281	27	1
246	281	27	2
249	281	27	1
257	281	27	2
212	282	27	1
213	282	27	1
217	282	27	1
227	282	27	2
229	282	27	1
235	282	27	3
238	282	27	1
242	282	27	2
247	282	27	2
248	282	27	1
250	282	27	4
208	283	27	1
209	283	27	1
231	283	27	2
235	283	27	1
238	283	27	1
239	283	27	1
240	283	27	1
241	283	27	1
245	283	27	1
249	283	27	1
255	283	27	2
205	284	27	1
206	284	27	2
207	284	27	1
208	284	27	2
210	284	27	1
214	284	27	2
230	284	27	1
236	284	27	2
240	284	27	1
249	284	27	2
250	284	27	2
251	284	27	1
252	284	27	1
199	285	27	2
206	285	27	1
208	285	27	2
210	285	27	2
215	285	27	1
219	285	27	1
220	285	27	1
237	285	27	1
238	285	27	1
242	285	27	2
246	285	27	1
249	285	27	1
250	285	27	2
254	285	27	1
256	285	27	1
206	286	27	2
207	286	27	2
208	286	27	1
212	286	27	1
219	286	27	1
224	286	27	1
226	286	27	1
233	286	27	1
237	286	27	1
241	286	27	1
244	286	27	1
245	286	27	1
246	286	27	1
247	286	27	1
251	286	27	1
252	286	27	2
254	286	27	2
258	286	27	1
207	287	27	1
210	287	27	1
219	287	27	1
221	287	27	1
222	287	27	1
228	287	27	1
237	287	27	2
