Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
2521,obj2522-val39671,39671,0,246.0,291.0,29.0,246.0,291.0,29.0,246,291,29,246,291,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2522,obj2523-val39672,39672,0,247.0,291.0,29.0,247.0,291.0,29.0,247,291,29,247,291,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2523,obj2524-val39673,39673,0,248.0,291.0,29.0,248.0,291.0,29.0,248,291,29,248,291,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2524,obj2525-val39674,39674,0,249.0,291.0,29.0,249.0,291.0,29.0,249,291,29,249,291,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2525,obj2526-val39675,39675,0,250.0,291.0,29.0,250.0,291.0,29.0,250,291,29,250,291,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2526,obj2527-val39676,39676,0,251.0,291.0,29.0,251.0,291.0,29.0,251,291,29,251,291,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2527,obj2528-val39677,39677,0,222.0,292.0,29.0,222.0,292.0,29.0,222,292,29,222,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2528,obj2529-val39678,39678,0,225.0,292.0,29.0,225.0,292.0,29.0,225,292,29,225,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2529,obj2530-val39679,39679,0,227.0,292.0,29.0,227.0,292.0,29.0,227,292,29,227,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2530,obj2531-val39680,39680,0,236.0,292.0,29.0,236.0,292.0,29.0,236,292,29,236,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2531,obj2532-val39681,39681,0,237.0,292.0,29.0,237.0,292.0,29.0,237,292,29,237,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2532,obj2533-val39682,39682,0,238.0,292.0,29.0,238.0,292.0,29.0,238,292,29,238,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2533,obj2534-val39683,39683,0,239.0,292.0,29.0,239.0,292.0,29.0,239,292,29,239,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2534,obj2535-val39684,39684,0,241.0,292.0,29.0,241.0,292.0,29.0,241,292,29,241,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2535,obj2536-val39685,39685,0,242.0,292.0,29.0,242.0,292.0,29.0,242,292,29,242,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2536,obj2537-val39686,39686,0,243.0,292.0,29.0,243.0,292.0,29.0,243,292,29,243,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2537,obj2538-val39687,39687,0,245.0,292.0,29.0,245.0,292.0,29.0,245,292,29,245,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2538,obj2539-val39688,39688,0,247.0,292.0,29.0,247.0,292.0,29.0,247,292,29,247,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2539,obj2540-val39689,39689,0,248.0,292.0,29.0,248.0,292.0,29.0,248,292,29,248,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2540,obj2541-val39690,39690,0,249.0,292.0,29.0,249.0,292.0,29.0,249,292,29,249,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2541,obj2542-val39691,39691,0,250.0,292.0,29.0,250.0,292.0,29.0,250,292,29,250,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2542,obj2543-val39692,39692,0,257.0,292.0,29.0,257.0,292.0,29.0,257,292,29,257,292,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2543,obj2544-val39693,39693,0,222.0,293.0,29.0,222.0,293.0,29.0,222,293,29,222,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2544,obj2545-val39694,39694,0,223.0,293.0,29.0,223.0,293.0,29.0,223,293,29,223,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2545,obj2546-val39695,39695,0,224.0,293.0,29.0,224.0,293.0,29.0,224,293,29,224,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2546,obj2547-val39696,39696,0,225.0,293.0,29.0,225.0,293.0,29.0,225,293,29,225,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2547,obj2548-val39697,39697,0,227.0,293.0,29.0,227.0,293.0,29.0,227,293,29,227,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2548,obj2549-val39698,39698,0,237.0,293.0,29.0,237.0,293.0,29.0,237,293,29,237,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2549,obj2550-val39699,39699,0,239.0,293.0,29.0,239.0,293.0,29.0,239,293,29,239,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2550,obj2551-val39700,39700,0,242.0,293.0,29.0,242.0,293.0,29.0,242,293,29,242,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2551,obj2552-val39701,39701,0,246.0,293.0,29.0,246.0,293.0,29.0,246,293,29,246,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2552,obj2553-val39702,39702,0,247.0,293.0,29.0,247.0,293.0,29.0,247,293,29,247,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2553,obj2554-val39703,39703,0,248.0,293.0,29.0,248.0,293.0,29.0,248,293,29,248,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2554,obj2555-val39704,39704,0,249.0,293.0,29.0,249.0,293.0,29.0,249,293,29,249,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2555,obj2556-val39705,39705,0,252.0,293.0,29.0,252.0,293.0,29.0,252,293,29,252,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2556,obj2557-val39706,39706,0,253.0,293.0,29.0,253.0,293.0,29.0,253,293,29,253,293,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2557,obj2558-val39707,39707,0,221.0,294.0,29.0,221.0,294.0,29.0,221,294,29,221,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2558,obj2559-val39708,39708,0,224.0,294.0,29.0,224.0,294.0,29.0,224,294,29,224,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2559,obj2560-val39709,39709,0,236.0,294.0,29.0,236.0,294.0,29.0,236,294,29,236,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2560,obj2561-val39710,39710,0,238.0,294.0,29.0,238.0,294.0,29.0,238,294,29,238,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2561,obj2562-val39711,39711,0,240.0,294.0,29.0,240.0,294.0,29.0,240,294,29,240,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2562,obj2563-val39712,39712,0,241.0,294.0,29.0,241.0,294.0,29.0,241,294,29,241,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2563,obj2564-val39713,39713,0,242.0,294.0,29.0,242.0,294.0,29.0,242,294,29,242,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2564,obj2565-val39714,39714,0,243.0,294.0,29.0,243.0,294.0,29.0,243,294,29,243,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2565,obj2566-val39715,39715,0,244.0,294.0,29.0,244.0,294.0,29.0,244,294,29,244,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2566,obj2567-val39716,39716,0,245.0,294.0,29.0,245.0,294.0,29.0,245,294,29,245,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2567,obj2568-val39717,39717,0,246.0,294.0,29.0,246.0,294.0,29.0,246,294,29,246,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2568,obj2569-val39718,39718,0,248.0,294.0,29.0,248.0,294.0,29.0,248,294,29,248,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2569,obj2570-val39719,39719,0,249.0,294.0,29.0,249.0,294.0,29.0,249,294,29,249,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2570,obj2571-val39720,39720,0,251.0,294.0,29.0,251.0,294.0,29.0,251,294,29,251,294,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2571,obj2572-val39721,39721,0,220.0,295.0,29.0,220.0,295.0,29.0,220,295,29,220,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2572,obj2573-val39722,39722,0,221.0,295.0,29.0,221.0,295.0,29.0,221,295,29,221,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2573,obj2574-val39723,39723,0,223.0,295.0,29.0,223.0,295.0,29.0,223,295,29,223,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2574,obj2575-val39724,39724,0,240.0,295.0,29.0,240.0,295.0,29.0,240,295,29,240,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2575,obj2576-val39725,39725,0,241.0,295.0,29.0,241.0,295.0,29.0,241,295,29,241,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2576,obj2577-val39726,39726,0,243.0,295.0,29.0,243.0,295.0,29.0,243,295,29,243,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2577,obj2578-val39727,39727,0,244.0,295.0,29.0,244.0,295.0,29.0,244,295,29,244,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2578,obj2579-val39728,39728,0,245.0,295.0,29.0,245.0,295.0,29.0,245,295,29,245,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2579,obj2580-val39729,39729,0,247.0,295.0,29.0,247.0,295.0,29.0,247,295,29,247,295,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2580,obj2581-val39730,39730,0,219.0,296.0,29.0,219.0,296.0,29.0,219,296,29,219,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2581,obj2582-val39731,39731,0,222.0,296.0,29.0,222.0,296.0,29.0,222,296,29,222,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2582,obj2583-val39732,39732,0,223.0,296.0,29.0,223.0,296.0,29.0,223,296,29,223,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2583,obj2584-val39733,39733,0,239.0,296.0,29.0,239.0,296.0,29.0,239,296,29,239,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2584,obj2585-val39734,39734,0,246.0,296.0,29.0,246.0,296.0,29.0,246,296,29,246,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2585,obj2586-val39735,39735,0,249.0,296.0,29.0,249.0,296.0,29.0,249,296,29,249,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2586,obj2587-val39736,39736,0,252.0,296.0,29.0,252.0,296.0,29.0,252,296,29,252,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2587,obj2588-val39737,39737,0,253.0,296.0,29.0,253.0,296.0,29.0,253,296,29,253,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2588,obj2589-val39738,39738,0,255.0,296.0,29.0,255.0,296.0,29.0,255,296,29,255,296,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2589,obj2590-val39739,39739,0,227.0,297.0,29.0,227.0,297.0,29.0,227,297,29,227,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2590,obj2591-val39740,39740,0,238.0,297.0,29.0,238.0,297.0,29.0,238,297,29,238,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2591,obj2592-val39741,39741,0,239.0,297.0,29.0,239.0,297.0,29.0,239,297,29,239,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2592,obj2593-val39742,39742,0,240.0,297.0,29.0,240.0,297.0,29.0,240,297,29,240,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2593,obj2594-val39743,39743,0,241.0,297.0,29.0,241.0,297.0,29.0,241,297,29,241,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2594,obj2595-val39744,39744,0,242.0,297.0,29.0,242.0,297.0,29.0,242,297,29,242,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2595,obj2596-val39745,39745,0,243.0,297.0,29.0,243.0,297.0,29.0,243,297,29,243,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2596,obj2597-val39746,39746,0,245.0,297.0,29.0,245.0,297.0,29.0,245,297,29,245,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2597,obj2598-val39747,39747,0,246.0,297.0,29.0,246.0,297.0,29.0,246,297,29,246,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2598,obj2599-val39748,39748,0,247.0,297.0,29.0,247.0,297.0,29.0,247,297,29,247,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2599,obj2600-val39749,39749,0,248.0,297.0,29.0,248.0,297.0,29.0,248,297,29,248,297,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2600,obj2601-val39750,39750,0,215.0,298.0,29.0,215.0,298.0,29.0,215,298,29,215,298,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2601,obj2602-val39751,39751,0,219.0,298.0,29.0,219.0,298.0,29.0,219,298,29,219,298,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
2602,obj2603-val39752,39752,0,221.0,298.0,29.0,221.0,298.0,29.0,221,298,29,221,298,29,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
