x	y	z	SLBP independent Processing of Histone Pre-mRNAs
244	287	24	1
247	289	24	1
244	290	24	1
244	291	24	1
238	270	25	1
234	280	25	1
243	286	25	1
242	287	25	1
234	289	25	1
252	289	25	1
237	290	25	1
236	291	25	1
238	300	25	1
224	272	26	1
207	279	26	1
244	281	26	1
229	282	26	1
236	284	26	1
238	284	26	1
250	285	26	1
241	288	26	1
249	288	26	1
232	289	26	1
238	290	26	1
229	291	26	1
242	292	26	1
247	292	26	1
239	294	26	1
246	294	26	1
241	295	26	1
242	295	26	1
241	296	26	1
232	258	27	1
234	266	27	1
179	268	27	1
224	268	27	1
177	269	27	1
201	269	27	1
213	269	27	1
242	270	27	1
228	271	27	1
217	273	27	1
237	273	27	1
246	273	27	1
212	274	27	1
250	274	27	1
210	276	27	1
234	276	27	2
245	277	27	1
234	279	27	1
238	279	27	1
246	279	27	1
250	279	27	1
201	283	27	1
207	283	27	1
242	283	27	1
238	284	27	1
242	285	27	1
226	286	27	1
226	288	27	2
249	288	27	1
210	289	27	1
222	289	27	1
246	289	27	1
207	290	27	1
221	290	27	1
233	291	27	1
239	291	27	1
242	291	27	1
221	292	27	1
230	292	27	1
246	292	27	1
248	294	27	1
241	295	27	1
244	295	27	1
244	296	27	1
242	299	27	1
238	300	27	1
234	301	27	1
237	305	27	1
231	266	28	1
235	274	28	1
210	281	28	1
240	285	28	1
245	287	28	1
247	289	28	1
237	290	28	1
239	291	28	1
250	292	28	1
235	256	29	1
234	260	29	1
178	264	29	1
234	270	29	1
216	271	29	1
234	277	29	1
247	279	29	1
248	279	29	1
246	280	29	1
251	280	29	1
248	281	29	1
250	282	29	1
241	283	29	1
236	287	29	1
240	287	29	1
234	288	29	1
253	288	29	1
239	291	29	1
241	291	29	1
245	292	29	1
248	293	29	1
253	293	29	1
243	294	29	1
239	296	29	1
241	297	29	1
215	298	29	1
224	298	29	1
238	298	29	1
215	252	30	1
233	254	30	1
238	254	30	1
232	255	30	1
184	260	30	1
186	261	30	1
226	261	30	1
230	262	30	1
185	263	30	1
239	264	30	1
189	266	30	1
191	267	30	1
209	267	30	1
244	268	30	1
193	269	30	1
179	270	30	1
194	270	30	2
230	270	30	1
182	272	30	1
206	272	30	1
233	275	30	1
245	277	30	1
241	281	30	1
242	281	30	1
205	283	30	1
257	283	30	1
241.666666666667	284.666666666667	31	1
243	284	30	1
227	285	30	1
223	286	30	1
248	287	30	1
225	288	30	1
235	288	30	1
244	288	30	1
247	289	30	1
240	290	30	1
226	291	30	1
227	291	30	1
203	292	30	1
229	293	30	1
243	294	30	1
252	294	30	1
254	294	30	1
197	295	30	1
226	295	30	1
227	295	30	1
231	297	30	1
240	297	30	1
241	298	30	1
221	299	30	1
231	299	30	1
248	300	30	1
225	301	30	1
238	303	30	1
239	256	31	1
235	260	31	1
241	260	31	1
193	261	31	1
246	261	31	1
211	263	31	1
226	263	31	1
178	264	31	1
218	264	31	1
236	265	31	1
228	266	31	1
229	267	31	1
247	267	31	1
213	268	31	1
250	270	31	1
199	272	31	1
206	272	31	1
232	272	31	1
243	275	31	1
177	278	31	1
180	279	31	1
184	281	31	1
220	281	31	1
244	281	31	1
231	282	31	1
232	282	31	1
232	283	31	1
175	284	31	1
219	284	31	1
236	285	31	1
224	286	31	1
241	287	31	1
223	288	31	1
228	288	31	1
254	289	31	1
246	292	31	1
223	293	31	1
225	293	31	1
209	294	31	1
221	294	31	1
196	298	31	1
236	300	31	1
245	303	31	1
237	305	31	1
240	305	31	1
223	306	31	1
237	307	31	1
240	257	32	1
229	259	32	1
210	260	32	1
244	260	32	1
228	261	32	1
203	262	32	1
223	264	32	1
232	264	32	1
191	265	32	1
234	265	32	1
203	266	32	1
239	266	32	1
