x	y	z	Processing of Capped Intronless Pre-mRNA
246	292	21	1
244	286	24	1
248	286	24	1
251	287	24	1
244	288	24	1
245	288	24	1
249	288	24	1
247	289	24	1
249	289	24	1
244	290	24	1
244	291	24	1
231	264	25	1
232	265	25	1
235	270	25	1
228	272	25	1
235	273	25	1
231	274	25	1
235	274	25	1
235	275	25	2
236	275	25	1
237	275	25	1
233	276	25	2
235	276	25	1
239	276	25	1
231	277	25	1
232	278	25	1
236	278	25	1
237	278	25	2
239	278	25	1
232	279	25	1
235	279	25	2
237	279	25	1
249	279	25	1
241	280	25	1
245	280	25	1
248	280	25	1
234	281	25	1
240	281	25	2
245	281	25	1
233	282	25	1
239	282	25	1
248	282	25	1
231	283	25	1
233	283	25	1
234	283	25	1
245	283	25	1
247	283	25	1
213	284	25	1
233	284	25	1
242	284	25	1
252	284	25	1
232	285	25	1
240	285	25	1
241	285	25	1
243	285	25	1
246	285	25	1
253	285	25	1
218	286	25	1
232	286	25	1
236	286	25	1
245	286	25	2
252	286	25	2
237	287	25	1
246	287	25	1
224	288	25	1
242	288	25	1
226	289	25	1
234	289	25	1
238	289	25	1
241	289	25	1
248.5	289.5	25.5	2
225	290	25	1
234	290	25	2
238	290	25	1
237	291	25	1
239	291	25	2
246	291	25	1
251	291	25	2
239	292	25	1
249	292	25	1
241	294	25	1
247	294	25	1
240	295	25	1
241	295	25	1
245	295	25	1
241	299	25	1
243	299	25	1
227	300	25	1
238	300	25	1
182	260	26	1
229	262	26	1
232	263	26	1
230	264	26	1
231	264	26	1
215	265	26	1
237	266	26	1
235	267	26	1
235	268	26	1
228	269	26	1
233	270	26	1
235	270	26	1
237	270	26	1
229	271	26	1
226	272	26	1
232	272	26	3
248	273	26	1
236	274	26	1
235	275	26	1
249	275	26	1
207	276	26	1
235	276	26	1
237	276	26	2
239	276	26	2
244	276	26	1
250	276	26	1
230	277	26	1
235	277	26	2
236	277	26	1
233	278	26	1
236	278	26	2
239	278	26	1
243	278	26	1
251	278	26	1
233	279	26	1
234	279	26	1
236	279	26	1
239	279	26	2
248	279	26	1
230	280	26	1
233	280	26	1
234	280	26	2
238	280	26	1
240	280	26	1
248	280	26	1
249	280	26	1
250	280	26	1
217	281	26	1
231	281	26	2
239	281	26	1
250	281	26	1
208	282	26	1
209	282	26	3
215	282	26	1
231	282	26	2
235	282	26	1
240	282	26	1
242	282	26	1
251	282	26	1
209	283	26	2
227	283	26	1
231	283	26	1
238	283	26	1
243	283	26	2
246	283	26	1
248	283	26	1
251	283	26	1
214	284	26	2
235	284	26	1
236	284	26	1
237	284	26	2
238	284	26	1
242	284	26	1
243	284	26	1
246	284	26	2
252	285	26	1
225	286	26	1
234	286	26	1
235	286	26	1
254	286	26	1
234	287	26	1
236	287	26	1
238	287	26	1
239	287	26	1
250	288	26	1
223	289	26	1
232	289	26	1
234	289	26	1
235	289	26	1
236	289	26	1
237	289	26	1
238	289	26	2
252	289	26	1
227	290	26	1
228	290	26	1
236	290	26	2
240	290	26	1
244	290	26	1
222	291	26	1
236	291	26	1
237	291	26	1
245	291	26	1
249	291	26	1
225	292	26	1
237	292	26	1
238	292	26	2
240	292	26	1
249	292	26	1
250	292	26	1
252	292	26	1
244	293	26	1
237	294	26	1
240	294	26	1
242	294	26	1
241	295	26	1
235	296	26	1
240	296	26	1
236	297	26	1
236	298	26	1
240	298	26	1
236	299	26	1
239	299	26	1
243	299	26	1
225	300	26	1
227	301	26	2
182	255	27	1
232	258	27	1
180	259	27	2
185	259	27	1
229	259	27	1
184	260	27	1
186	260	27	1
228	260	27	1
234	260	27	1
237	260	27	2
220	261	27	1
227	261	27	1
234	261	27	1
239	261	27	1
177	262	27	1
227	262	27	2
238	262	27	1
175	263	27	1
179	263	27	1
182	263	27	1
183	263	27	1
185	263	27	1
232	263	27	2
236	263	27	1
238	263	27	1
239	263	27	1
186	264	27	1
222	264	27	1
228	264	27	1
230	264	27	1
231	264	27	1
232	264	27	1
212	265	27	1
230	265	27	1
234	265	27	1
238	265	27	1
240	265	27	1
221	266	27	1
224	266	27	1
239	266	27	1
182	267	27	2
228	267	27	1
230	267	27	1
232	267	27	2
239	267	27	1
241	267	27	1
207	268	27	1
213	268	27	1
217	268	27	1
219	268	27	1
222	268	27	2
224	268	27	1
227	268	27	1
228	268	27	1
230	268	27	1
232	268	27	1
233	268	27	1
237	268	27	1
238	268	27	1
240	268	27	1
248	268	27	1
177	269	27	1
201	269	27	1
214	269	27	2
224	269	27	1
231	269	27	1
234	269	27	1
239	269	27	1
215	270	27	1
217	270	27	1
218	270	27	2
231	270	27	2
232	270	27	1
248	270	27	1
250	270	27	2
180	271	27	1
181	271	27	1
208	271	27	1
210	271	27	1
215	271	27	1
222	271	27	1
228	271	27	1
230	271	27	3
234	271	27	1
238	271	27	2
247	271	27	1
251	271	27	1
176	272	27	1
179	272	27	1
181	272	27	1
203	272	27	1
205	272	27	2
213	272	27	1
214	272	27	1
222	272	27	1
229	272	27	1
234	272	27	1
235	272	27	1
238	272	27	2
240	272	27	1
251	272	27	1
203	273	27	1
205	273	27	1
206	273	27	2
211	273	27	1
212	273	27	1
231	273	27	2
248	273	27	1
251	273	27	1
178	274	27	1
216	274	27	2
230	274	27	1
235	274	27	1
236	274	27	1
237	274	27	1
240	274	27	1
247	274	27	1
250	274	27	1
185	275	27	2
214	275	27	1
218	275	27	1
223	275	27	1
224	275	27	1
230	275	27	1
232	275	27	1
233	275	27	1
238	275	27	1
240	275	27	2
244	275	27	1
204	276	27	1
206	276	27	3
212	276	27	1
214	276	27	1
222	276	27	1
233	276	27	1
240	276	27	1
211	277	27	1
218	277	27	1
224	277	27	2
231	277	27	1
233	277	27	2
235	277	27	1
239	277	27	1
246	277	27	1
248	277	27	1
249	277	27	1
221	278	27	1
224	278	27	1
229	278	27	1
230	278	27	1
233	278	27	2
234	278	27	1
238	278	27	2
240	278	27	1
246	278	27	1
252	278	27	1
207	279	27	1
208	279	27	1
219	279	27	1
230	279	27	1
234	279	27	1
238	279	27	1
239	279	27	2
242	279	27	1
243	279	27	2
244	279	27	1
245	279	27	1
246	279	27	1
205	280	27	1
207	280	27	1
208	280	27	1
235	280	27	1
241	280	27	1
247	280	27	1
252	280	27	1
207	281	27	1
209	281	27	1
210	281	27	1
228	281	27	1
229	281	27	1
236	281	27	1
243	281	27	2
248	281	27	2
254	281	27	1
256	281	27	3
233	282	27	1
246	282	27	1
248	282	27	1
249	282	27	1
253	282	27	1
254	282	27	1
206	283	27	2
227	283	27	1
208	284	27	2
210	284	27	1
214	284	27	1
215	284	27	1
230	284	27	1
238	284	27	1
241	284	27	1
199	285	27	1
200	285	27	1
204	285	27	1
208	285	27	1
219	285	27	1
237	285	27	1
238	285	27	1
206	286	27	1
207	286	27	1
208	286	27	1
214	286	27	1
216	286	27	1
218	286	27	1
236	286	27	1
237	286	27	2
241	286	27	1
246	286	27	1
247	286	27	1
248	286	27	4
252	286	27	1
219	287	27	2
231	287	27	1
232	287	27	1
241	287	27	2
250	287	27	1
214	288	27	1
225	288	27	1
235	288	27	1
242	288	27	2
247	288	27	1
255	288	27	1
203	289	27	1
228	289	27	1
230	289	27	1
232	289	27	1
234	289	27	1
235	289	27	1
236	289	27	1
239	289	27	1
240	289	27	1
246	289	27	1
219	290	27	1
224	290	27	1
227	290	27	1
231	290	27	1
233	290	27	1
235	290	27	1
244	290	27	1
246	290	27	1
252	290	27	1
210	291	27	1
211	291	27	1
221	291	27	1
222	291	27	1
224	291	27	3
228	291	27	1
235	291	27	1
236	291	27	1
239	291	27	1
248	291	27	1
249	291	27	1
257	291	27	1
211	292	27	1
213	292	27	1
219	292	27	1
223	292	27	1
229	292	27	1
230	292	27	1
235	292	27	1
246	292	27	1
249	292	27	1
251	292	27	1
254	292	27	1
219	293	27	1
220	293	27	1
221	293	27	1
222	293	27	2
238	293	27	1
240	293	27	2
242	293	27	1
245	293	27	2
248	293	27	1
253	293	27	1
256	293	27	1
211	294	27	2
213	294	27	1
235	294	27	1
236	294	27	1
237	294	27	1
244	294	27	1
248	294	27	1
252	294	27	1
254	294	27	1
211	295	27	2
219	295	27	1
220	295	27	2
241	295	27	1
243	295	27	1
247	295	27	1
248	295	27	1
249	295	27	1
252	295	27	1
237	296	27	1
238	296	27	1
239	296	27	2
220	297	27	2
221	297	27	2
237	297	27	1
238	297	27	1
239	297	27	2
240	297	27	1
251	297	27	2
226	298	27	1
235	298	27	1
236	298	27	2
238	298	27	2
241	298	27	1
244	298	27	1
245	298	27	1
215	299	27	1
237	299	27	1
241	299	27	1
242	299	27	1
243	299	27	2
249	299	27	1
227	300	27	1
241	300	27	1
242	300	27	1
244	300	27	2
248	300	27	1
224	301	27	1
234	301	27	1
241	301	27	1
250	301	27	1
251	301	27	1
234	302	27	1
235	302	27	1
237	302	27	1
235	304	27	1
230	262	28	1
232	264	28	1
231	266	28	1
235	266	28	1
236	268	28	1
237	268	28	2
236	269	28	1
235	270	28	1
237	270	28	1
238	270	28	1
236	272	28	1
235	273	28	2
214	274	28	1
235	275	28	2
233	276	28	1
234	276	28	1
238	276	28	1
236	277	28	1
237	278	28	1
210	279	28	2
237	279	28	1
239	280	28	1
208	281	28	1
210	281	28	1
248	281	28	1
247	282	28	1
249	282	28	1
251	282	28	2
247	283	28	1
246	284	28	1
248	284	28	3
239	285	28	1
244	285	28	1
245	285	28	1
232	286	28	2
248	286	28	1
240	287	28	1
246	287	28	1
248	287	28	1
224	288	28	1
238	288	28	1
242	288	28	1
244	288	28	1
248	289	28	1
249	289	28	1
226	290	28	1
237	290	28	3
226	291	28	1
239	291	28	1
250	291	28	1
247	292	28	2
250	292	28	1
250	293	28	1
242	294	28	1
245	294	28	1
240	295	28	1
248	295	28	1
240	299	28	2
225	300	28	1
240	300	28	1
234	256	29	1
235	256	29	1
230	257	29	1
235	257	29	1
182	259	29	1
183	261	29	1
187	261	29	1
226	261	29	2
230	261	29	1
220	262	29	1
227	262	29	1
229	262	29	1
248	262	29	2
245	263	29	2
224	264	29	1
229	264	29	1
230	264	29	1
231	264	29	1
232	265	29	1
233	265	29	1
235	265	29	1
249	265	29	2
226	266	29	1
237	266	29	1
245	266	29	1
250	266	29	1
196	267	29	1
197	267	29	1
199	267	29	1
226	267	29	1
231	267	29	1
232	267	29	1
235	267	29	1
237	267	29	1
194	268	29	1
238	268	29	1
239	268	29	1
250	268	29	1
180	269	29	1
193	269	29	1
196	269	29	2
232	269	29	1
237	269	29	2
198	270	29	1
200	270	29	1
238	270	29	1
239	270	29	1
250	270	29	1
214	271	29	1
234	271	29	1
237	271	29	2
240	271	29	1
249	271	29	2
224	272	29	1
235	272	29	2
236	272	29	1
245	272	29	1
249	272	29	1
236	273	29	1
180	274	29	1
233	274	29	1
206	275	29	1
215	275	29	1
240	275	29	1
206	276	29	1
208	276	29	1
228	276	29	1
234	276	29	1
248	276	29	2
250	276	29	1
252	276	29	1
205	277	29	1
237	277	29	1
239	277	29	2
240	277	29	1
235	278	29	1
247	278	29	1
234	279	29	1
245	279	29	1
252	279	29	1
234	280	29	1
235	280	29	1
245	280	29	2
252	280	29	1
208	281	29	1
214	281	29	1
245	281	29	1
246	281	29	1
249	281	29	1
212	282	29	1
213	282	29	1
242	282	29	1
248	282	29	2
250	282	29	1
254	282	29	2
209	283	29	1
232	283	29	1
233	283	29	1
239	283	29	1
245	283	29	1
246	283	29	2
248	283	29	1
233	284	29	2
240	284	29	1
243	284	29	1
252	284	29	1
255	284	29	1
239	285	29	1
242	285	29	1
246	285	29	1
248	285	29	2
254	285	29	2
233	286	29	1
240	286	29	1
241	286	29	1
242	286	29	1
247	286	29	1
226	287	29	1
240	287	29	1
245	287	29	1
246	287	29	1
226	288	29	1
232	288	29	1
234	288	29	1
244	288	29	1
246	288	29	1
249	288	29	1
224	289	29	1
225	289	29	1
236	289	29	2
240	289	29	1
244	289	29	1
222	290	29	1
224	290	29	1
230	290	29	1
222	291	29	1
225	291	29	1
245	291	29	1
246	291	29	1
242	292	29	1
247	292	29	1
222	293	29	1
224	293	29	1
225	293	29	2
237	293	29	1
248	293	29	1
253	293	29	1
221	294	29	1
242	294	29	1
245	294	29	1
248	294	29	1
240	295	29	1
243	295	29	2
244	295	29	1
245	295	29	2
242	297	29	2
219	298	29	1
226	298	29	1
245	298	29	1
227	299	29	1
241	299	29	1
252	299	29	1
225	300	29	2
226	300	29	1
221	301	29	1
224	301	29	1
240	303	29	1
237	304	29	1
229	250	30	1
228	251	30	1
228	253	30	1
231	253	30	1
237	253	30	1
215	254	30	3
235	254	30	1
234	255	30	1
237	255	30	1
230	256	30	1
233	256	30	2
235	256	30	1
181	257	30	1
190	257	30	1
215	257	30	1
227	257	30	1
230	257	30	1
236	257	30	2
175	258	30	1
215	258	30	1
227	258	30	1
228	258	30	1
239	258	30	1
183	259	30	2
214	259	30	1
220	259	30	1
222	259	30	1
226	259	30	1
228	259	30	1
230	259	30	1
231	259	30	2
232	259	30	1
234	259	30	1
235	259	30	1
241	259	30	1
196	260	30	1
206	260	30	1
219	260	30	1
225	260	30	1
232	260	30	1
235	260	30	1
236	260	30	1
237	260	30	2
184	261	30	1
196	261	30	1
198	261	30	1
211	261	30	1
212	261	30	1
215	261	30	1
226	261	30	1
231	261	30	1
246	261	30	1
187	262	30	1
193	262	30	1
194	262	30	1
216	262	30	1
218	262	30	1
223	262	30	1
226	262	30	1
227	262	30	1
245	262	30	1
247	262	30	1
249	262	30	1
197	263	30	1
218	263	30	1
224	263	30	1
230	263	30	1
233	263	30	1
240	263	30	2
247	263	30	1
186	264	30	1
195	264	30	1
211	264	30	1
225	264	30	3
226	264	30	1
230	264	30	1
232	264	30	1
236	264	30	1
238	264	30	2
196	265	30	2
208	265	30	1
211	265	30	1
214	265	30	2
216	265	30	2
224	265	30	2
229	265	30	1
230	265	30	1
235	265	30	2
238	265	30	1
239	265	30	1
246	265	30	1
187	266	30	1
188	266	30	3
189	266	30	1
197	266	30	1
213	266	30	3
226	266	30	1
228	266	30	1
230	266	30	1
231	266	30	1
233	266	30	1
238	266	30	1
241	266	30	1
243	266	30	1
176	267	30	1
182	267	30	1
189	267	30	2
196	267	30	1
231	267	30	2
232	267	30	1
235	267	30	1
241	267	30	2
