x	y	z	Vitamin B5 (pantothenate) metabolism
132	221	20	1
179	221	20	1
127	222	20	1
142	222	20	1
178	222	20	1
148	223	20	2
175	223	20	2
115	224	20	1
175	224	20	2
135	225	20	1
157	225	20	1
176	225	20	3
115	226	20	2
126	226	20	2
139	226	20	1
155	227	20	1
178	227	20	1
112	228	20	2
130	228	20	1
132	228	20	1
158	228	20	3
197	228	20	1
126	229	20	1
159	229	20	1
160	229	20	1
127	230	20	2
129	230	20	1
157	230	20	2
169	230	20	2
190	230	20	1
204	230	20	3
132	231	20	2
149	231	20	1
135	232	20	1
190	232	20	2
136	233	20	1
143	233	20	1
144	233	20	2
165	233	20	2
169	233	20	1
170	233	20	1
206	233	20	1
214	233	20	1
130	234	20	3
132	234	20	1
154	234	20	1
213	234	20	1
215	234	20	1
126	235	20	2
141	235	20	2
151	235	20	1
218	235	20	1
220	235	20	1
222	235	20	2
146	236	20	1
159	236	20	2
163	236	20	1
215	236	20	1
133	237	20	1
137	237	20	1
146	237	20	1
147	237	20	1
148	237	20	2
165	237	20	1
202	237	20	2
204	237	20	2
220	237	20	1
126	238	20	2
145	238	20	1
152	238	20	1
128	239	20	1
139	239	20	1
144	239	20	1
230	239	20	1
131	240	20	3
149	240	20	1
214	240	20	1
216	240	20	2
239	240	20	1
108	241	20	2
126	241	20	2
129	241	20	1
135	241	20	1
139	241	20	1
145	241	20	1
149	241	20	3
237	241	20	3
121	242	20	1
128	242	20	2
130	242	20	1
137	242	20	1
141	242	20	1
148	242	20	1
183	242	20	1
207	242	20	1
140	243	20	3
181	243	20	1
213	243	20	1
240	243	20	1
118	244	20	4
123	244	20	1
155	244	20	1
162	244	20	1
242	244	20	1
108	245	20	1
111	245	20	3
137	245	20	1
169	245	20	2
176	245	20	2
182	245	20	1
214	245	20	2
226	245	20	2
241	245	20	1
117	246	20	1
122	246	20	1
126	246	20	2
130	246	20	2
149	246	20	1
237	246	20	1
240	246	20	2
102	247	20	2
133	247	20	1
140	247	20	1
163	247	20	1
218	247	20	2
248	247	20	2
114	248	20	1
163	248	20	1
