x	y	z	NoRC negatively regulates rRNA expression
176	284	31	1
179	284	31	1
182	284	31	1
237	284	31	2
248	284	31	1
249	284	31	1
250	284	31	1
254	284	31	1
257	284	31	1
218	285	31	1
226	285	31	1
234	285	31	1
236	285	31	1
238	285.5	31.5	1
240	285	31	1
243	285	31	1
244	285	31	1
253	285	31	1
256	285	31	1
180	286	31	1
221	286	31	1
222	286	31	1
227	286	31	1
240	286	31	2
246	286	31	1
249	286	31	1
190	287	31	1
219	287	31	1
223	287	31	1
227	287	31	1
228	287	31	2
229	287	31	2
236	287	31	1
238	287	31	1
243	287	31	3
246	287	31	2
248	287	31	1
251	287	31	1
253	287	31	1
187	288	31	1
223	288	31	1
228	288	31	1
233	288	31	2
234	288	31	1
240.5	288.5	31.5	1
246	288	31	1
247	288	31	1
221	289	31	2
227	289	31	1
244	289	31	1
250	289	31	1
227	290	31	1
239	290	31	1
240	290	31	1
241	290	31	1
243	290	31	2
246	290	31	1
247	290	31	1
199	291	31	2
204	291	31	1
222	291	31	1
235	291	31	1
237	291	31	1
240	291	31	2
245	291	31	1
249	291	31	1
254	291	31	1
198	292	31	1
201	292	31	1
222	292	31	1
227	292	31	1
236	292	31	3
242	292	31	1
246	292	31	1
247	292	31	1
250	292	31	1
252	292	31	1
254	292	31	1
256	292	31	1
222	293	31	2
228	293	31	1
229	293	31	1
231	293	31	2
232	293	31	1
233	293	31	3
234	293	31	1
238	293	31	3
202	294	31	1
220	294	31	1
228	294	31	2
230	294	31	1
232	294	31	1
233	294	31	1
235	294	31	2
237	294	31	1
242	294	31	1
250	294	31	1
251	294	31	2
252	294	31	1
253	294	31	1
220	295	31	1
222	295	31	1
225	295	31	1
226	295	31	1
228	295	31	1
232	295	31	3
233	295	31	1
241	295	31	1
243	295	31	1
247	295	31	2
248	295	31	1
250	295	31	1
197	296	31	2
222	296	31	2
224	296	31	2
225	296	31	2
242	296	31	2
248	296	31	1
250	296	31	2
254	296	31	2
195	297	31	1
224	297	31	1
225	297	31	1
227	297	31	1
230	297	31	1
246	297	31	1
248	297	31	1
223	298	31	1
226	298	31	1
237	298	31	1
238	298	31	2
239	298	31	1
247	298	31	2
249	298	31	1
251	298	31	1
224	299	31	1
230	299	31	1
232	299	31	1
243	299	31	1
247	299	31	1
251	299	31	2
224	300	31	1
226	300	31	1
228	300	31	2
235	300	31	1
247	300	31	1
248	300	31	2
250	300	31	1
216	301	31	2
234	301	31	1
237	301	31	1
242	301	31	1
246	301	31	1
248	301	31	2
220	302	31	1
222	302	31	1
224	302	31	1
231	302	31	1
232	302	31	1
242	302	31	2
243	302	31	1
244	302	31	1
247	302	31	1
248	302	31	1
232	303	31	2
233	303	31	1
235	303	31	1
239	303	31	1
243	303	31	2
232	304	31	1
237	304	31	1
244	304	31	1
234	305	31	1
236	305	31	2
237	305	31	2
238	305	31	1
240	305	31	1
223	306	31	1
236	306	31	1
234	307	31	1
223	308	31	1
225	308	31	1
226	309	31	1
226	250	32	1
231	250	32	1
215	251	32	1
226	251	32	1
217	252	32	1
227	252	32	1
235	252	32	1
214	253	32	1
215	253	32	1
223	253	32	1
225	253	32	2
229	253	32	2
232	253	32	1
237	253	32	1
240	253	32	1
215	254	32	1
230	254	32	2
235	254	32	1
236	254	32	1
238	254	32	1
239	254	32	1
188	255	32	1
221	255	32	1
224	255	32	1
226	255	32	1
227	255	32	1
230	255	32	1
234	255	32	1
235	255	32	1
236	255	32	2
215	256	32	1
216	256	32	1
227	256	32	1
229	256	32	1
192	257	32	1
202	257	32	1
203	257	32	1
218	257	32	1
229	257	32	2
238	257	32	1
192	258	32	1
193	258	32	1
220	258	32	2
233	258	32	1
235	258	32	1
193	259	32	2
216	259	32	2
217	259	32	1
219	259	32	1
220	259	32	1
229	259	32	2
230	259	32	1
231	259	32	1
237	259	32	1
245	259	32	1
247	259	32	1
182	260	32	1
210	260	32	1
211	260	32	1
221	260	32	3
222	260	32	2
230	260	32	1
234	260	32	1
235	260	32	2
240	260	32	1
242	260	32	1
248	260	32	1
194	261	32	1
217	261	32	1
218	261	32	1
222	261	32	1
225	261	32	1
229	261	32	1
237	261	32	1
189	262	32	2
197	262	32	1
207	262	32	1
209	262	32	1
210	262	32	1
217	262	32	1
221	262.666666666667	33	2
228	262	32	1
231	262	32	1
233	262	32	1
235	262	32	1
236	262	32	1
242	262	32	1
246	262	32	2
249	262	32	1
200	263	32	2
208	263	32	1
212	263	32	2
213	263	32	1
215	263	32	1
221	263	32	1
222	263	32	1
225	263	32	1
230	263	32	1
235	263	32	1
236	263	32	1
247	263	32	1
251	263	32	1
193	264	32	2
194	264	32	4
200	264	32	1
202	264	32	1
210	264	32	2
212	264	32	3
215	264	32	1
216	264	32	1
231	264	32	1
238	264	32	1
240	264	32	1
246	264	32	1
185	265	32	1
188	265	32	1
189	265	32	2
192	265	32	1
195	265	32	1
198	265	32	1
206	265	32	2
212	265	32	1
215	265	32	1
216	265	32	1
217	265	32	2
222	265	32	1
224	265	32	1
231	265	32	1
233	265	32	1
235	265	32	2
239	265	32	1
251	265	32	1
189	266	32	2
213	266	32	2
218	266	32	2
222	266	32	1
224	266	32	1
236	266	32	1
241	266	32	1
245	266	32	1
247	266	32	1
252	266	32	1
182	267	32	1
183	267	32	1
188	267	32	1
191	267	32	1
192	267	32	1
196	267	32	1
205	267	32	1
211	267	32	1
214	267	32	1
221	267	32	1
225	267	32	3
233	267	32	1
239	267	32	1
240	267	32	1
246	267	32	3
249	267	32	2
252	267	32	1
183	268	32	1
186	268	32	1
188	268	32	1
198	268	32	1
212	268	32	1
213	268	32	1
215	268	32	1
216	268	32	1
224	268	32	1
231	268	32	1
238	268	32	1
239	268	32	1
243	268	32	1
248	268	32	1
186	269	32	1
194	269	32	1
196	269	32	1
215	269	32	1
218	269	32	2
223	269	32	1
240	269	32	1
241	269	32	1
242	269	32	1
243	269	32	1
244	269	32	1
246	269	32	1
251	269	32	1
173	270	32	1
180	270	32	1
187	270	32	1
195	270	32	1
197	270	32	1
201	270	32	1
207	270	32	1
232	270	32	2
243	270	32	1
244	270	32	1
247	270	32	1
175	271	32	2
177	271	32	1
180	271	32	1
183	271	32	1
184	271	32	1
211	271	32	1
212	271	32	1
231	271	32	1
233	271	32	3
237	271	32	1
250	271	32	1
175	272	32	2
176	272	32	3
177	272	32	1
181	272	32	2
183	272	32	1
184	272	32	1
200	272	32	2
201	272	32	1
203	272	32	1
206	272	32	1
208	272	32	1
212	272	32	1
213	272	32	2
225	272	32	1
226	272	32	1
230	272	32	1
238	272	32	1
240	272	32	1
241	272	32	1
244	272	32	1
245	272	32	2
252	272	32	1
206	273	32	1
208	273	32	1
209	273	32	1
210	273	32	1
211	273	32	1
212	273	32	2
213	273	32	1
234	273	32	3
238	273	32	1
239	273	32	1
246	273	32	2
249	273	32	1
172	274	32	1
173	274	32	1
183	274	32	1
184	274	32	1
205	274	32	1
233	274	32	2
236	274	32	1
240	274	32	2
241	274	32	1
243	274	32	1
181	275	32	1
203	275	32	1
208	275	32	1
211	275	32	1
226	275	32	1
235	275	32	1
247	275	32	1
175	276	32	1
203	276	32	1
205	276	32	2
206	276	32	1
215	276	32	1
234	276	32	1
236	276	32	1
238	276	32	1
246	276	32	1
205	277	32	1
224	277	32	2
232	277	32	1
236	277	32	1
238	277	32	2
243	277	32	1
244	277	32	1
247	277	32	1
206	278	32	2
238	278	32	2
239	278	32	2
246	278	32	1
249	278	32	1
175	279	32	1
177	279	32	1
178	279	32	1
181	279	32	2
219	279	32	1
220	279	32	1
234	279	32	1
241	279	32	1
255	279	32	1
175	280	32	1
178	280	32	2
180	280	32	1
189	280	32	1
205	280	32	2
221	280	32	3
222	280	32	1
237	280	32	1
239	280	32	1
246	280	32	1
249	280	32	2
175	281	32	1
176	281	32	1
181	281	32	1
186	281	32	2
210	281	32	1
220	281	32	1
222	281	32	1
226	281	32	2
233	281	32	1
234	281	32	1
237	281	32	3
250	281	32	1
252	281	32	1
254	281	32	1
173	282	32	3
179	282	32	1
182	282	32	2
187	282	32	1
218	282	32	1
220	282	32	1
224	282	32	1
227	282	32	1
233	282	32	2
244	282	32	1
245	282	32	1
246	282	32	1
247	282	32	1
249	282	32	1
173	283	32	1
176	283	32	1
183	283	32	2
223	283	32	1
237	283	32	2
238	283	32	1
242	283	32	1
248	283	32	1
251	283	32	1
181	284	32	1
186	284	32	2
205	284	32	1
206	284	32	1
208	284	32	1
209	284	32	1
220	284	32	1
225	284	32	3
229	284	32	1
240	284	32	1
244	284	32	1
248	284	32	1
251	284	32	1
254	284	32	1
176	285	32	1
206	285	32	2
215	285	32	1
219	285	32	1
220	285	32	1
221	285	32	2
223	285	32	1
232	285	32	1
233	285	32	1
235	285	32	1
236	285	32	1
237	285	32	1
240	285	32	1
243	285	32	1
246	285	32	1
253	285	32	1
255	285	32	1
183	286	32	1
209	286	32	1
222	286	32	1
227	286	32	1
243	286	32	1
247	286	32	1
250	286	32	1
256	286	32	1
187	287	32	1
221	287	32	1
222	287	32	1
228	287	32	2
231	287	32	1
234	287	32	1
240	287	32	3
241	287	32	1
244	287	32	1
246	287	32	1
247	287	32	1
222	288	32	2
226	288	32	1
227	288	32	1
231	288	32	1
232	288	32	1
236	288	32	1
237	288	32	1
200	289	32	1
222	289	32	1
224	289	32	2
226	289	32	1
227	289	32	1
229	289	32	1
233	289	32	1
235	289	32	1
238	289	32	1
239	289	32	2
247	289	32	2
185	290	32	1
187	290	32	1
206	290	32	1
221	290	32	2
226	290	32	1
229	290	32	1
233	290	32	1
234	290	32	2
241	290	32	2
243	290	32	1
244	290	32	1
247	290	32	2
250	290	32	3
252	290	32	1
186	291	32	1
198	291	32	1
222	291	32	1
226	291	32	1
239	291	32	1
241	291	32	1
242	291	32	1
244	291	32	1
250	291	32	1
254	291	32	1
255	291	32	1
188	292	32	1
198	292	32	1
201	292	32	1
203	292	32	2
228	292	32	1
229	292	32	1
234	292	32	1
238	292	32	2
242	292	32	1
243	292	32	3
251	292	32	1
252	292	32	1
254	292	32	2
255	292	32	1
256	292	32	1
179	293	32	2
198	293	32	1
216	293	32	1
228	293	32	2
232	293	32	1
233	293	32	2
236	293	32	1
244	293	32	1
247	293	32	1
248	293	32	1
251	293	32	2
256	293	32	1
198	294	32	2
199	294	32	2
202	294	32	3
204	294	32	1
223	294	32	1
224	294	32	1
225	294	32	2
227	294	32	1
230	294	32	1
236	294	32	1
237	294	32	1
242	294	32	1
246	294	32	1
251	294	32	2
252	294	32	4
192	295	32	1
200	295	32	2
223	295	32	1
226	295	32	1
227	295	32	2
231	295	32	2
232	295	32	1
239	295	32	2
248	295	32	1
249	295	32	1
251	295	32	1
218	296	32	1
225	296	32	1
226	296	32	1
229	296	32	1
233	296	32	1
234	296	32	1
237	296	32	1
241	296	32	2
250	296	32	3
183	297	32	2
198	297	32	1
219	297	32	1
225	297	32	2
227	297	32	1
230	297	32	1
236	297	32	2
237	297	32	2
241	297	32	1
243	297	32	1
244	297	32	1
246	297	32	2
250	297	32	1
251	297	32	1
252	297	32	1
198	298	32	1
202	298	32	1
220	298	32	1
223	298	32	4
228	298	32	1
232	298	32	1
237	298	32	1
238	298	32	1
241	298	32	1
252	298	32	2
253	298	32	1
226	299	32	1
228	299	32	1
231	299	32	1
233	299	32	1
235	299	32	2
236	299	32	1
241	299	32	1
243	299	32	1
248	299	32	1
185	300	32	1
197	300	32	1
232	300	32	2
240	300	32	1
244	300	32	1
247	300	32	2
196	301	32	1
210	301	32	1
223	301	32	3
237	301	32	2
239	301	32	1
240	301	32	1
245	301	32	2
246	301	32	1
249	301	32	1
223	302	32	1
224	302	32	1
231	302	32	1
233	302	32	3
234	302	32	1
236	302	32	2
239	302	32	2
242	302	32	1
245	302	32	2
229	303	32	1
242	303	32	1
230	304	32	2
233	304	32	1
244	304	32	2
226	305	32	1
235	305	32	1
224	306	32	1
242	306	32	1
206	307	32	1
226	307	32	1
237	307	32	1
220	308	32	1
225	308	32	1
224	309	32	1
227	309	32	2
235	309	32	2
225	310	32	2
229	310	32	2
233	310	32	1
232	312	32	1
232	249	33	2
226	252	33	2
227	252	33	2
229	252	33	1
231	252	33	1
225	253	33	2
229	253	33	1
231	253	33	1
232	253	33	1
241	253	33	1
193	254	33	1
217	254	33	1
225	254	33	2
231	254	33	1
220	255	33	1
224	255	33	1
231	255	33	1
235	255	33	1
237	255	33	1
215	256	33	1
221	256	33	3
225	256	33	1
240	256	33	1
214	257	33	2
217	257	33	1
219	257	33	1
220	257	33	1
222	257	33	1
224	257	33	1
227	257	33	2
230	257	33	1
237	257	33	2
239	257	33	2
215	258	33	1
220	258	33	1
223	258	33	1
243	258	33	2
194	259	33	1
201	259	33	2
211	259	33	1
217	259	33	1
228	259	33	1
232	259	33	1
235	259	33	1
239	259	33	2
229	260	33	1
236	260	33	2
238	260	33	1
240	260	33	2
241	260	33	1
243	260	33	1
182	261	33	1
193	261	33	1
218	261	33	1
220	261	33	4
222	261	33	1
224	261	33	1
226	261	33	2
229	261	33	1
235	261	33	1
237	261	33	1
238	261	33	1
240	261	33	1
244	261	33	1
245	261	33	1
247	261	33	1
192	262	33	2
196	262	33	1
215	262	33	1
226	262	33	1
227	262	33	1
229	262	33	1
233	262	33	2
242	262	33	1
243	262	33	1
246	262	33	1
248	262	33	1
249	262	33	1
185	263	33	1
191	263	33	2
193	263	33	1
203	263	33	2
213	263	33	2
214	263	33	1
215	263	33	1
219	263	33	1
220	263	33	1
222	263	33	1
231	263	33	2
242	263	33	1
248	263	33	2
249	263	33	2
185	264	33	1
187	264	33	1
190	264	33	2
192	264	33	2
211	264	33	1
214	264	33	2
216	264	33	1
217	264	33	1
221	264	33	2
228	264	33	1
229	264	33	1
233	264	33	1
235	264	33	1
246	264	33	1
188	265	33	1
195	265	33	1
202	265	33	1
207	265	33	1
210	265	33	1
217	265	33	1
218	265	33	1
221	265	33	1
223	265	33	1
224	265	33	2
225	265	33	1
229	265	33	1
237	265	33	1
244	265	33	2
247	265	33	2
185	266	33	1
188	266	33	1
191	266	33	2
193	266	33	1
208	266	33	2
211	266	33	1
214	266	33	1
218	266	33	2
219	266	33	1
222	266	33	1
228	266	33	2
230	266	33	2
241	266	33	2
246	266	33	1
247	266	33	1
249	266	33	1
250	266	33	2
193	267	33	1
196	267	33	1
197	267	33	1
202	267	33	1
210	267	33	1
220	267	33	1
225	267	33	1
235	267	33	1
246	267	33	1
248	267	33	1
252	267	33	1
188	268	33	1
192	268	33	1
193	268	33	2
206	268	33	1
207	268	33	1
208	268	33	1
209	268	33	1
214	268	33	1
215	268	33	1
220	268	33	1
225	268	33	1
232	268	33	1
250	268	33	2
185	269	33	1
191	269	33	2
192	269	33	1
195	269	33	1
196	269	33	1
212	269	33	1
216	269	33	1
224	269	33	2
232	269	33	1
233	269	33	1
241	269	33	1
244	269	33	1
245	269	33	1
174	270	33	1
179	270	33	1
183	270	33	2
187	270	33	1
198	270	33	2
207	270	33	2
210	270	33	1
215	270	33	1
233	270	33	2
240	270	33	1
241	270	33	2
249	270	33	1
252	270	33	1
173	271	33	2
177	271	33	2
180	271	33	2
181	271	33	1
182	271	33	2
185	271	33	1
190	271	33	1
209	271	33	1
211	271	33	1
214	271	33	2
240	271	33	1
241	271	33	2
245	271	33	1
246	271	33	2
248	271	33	1
175	272	33	1
177	272	33	1
178	272	33	1
180	272	33	2
182	272	33	1
186	272	33	2
201	272	33	1
208	272	33	1
210	272	33	2
213	272	33	1
240	272	33	1
242	272	33	1
244	272	33	1
246	272	33	2
247	272	33	1
249	272	33	1
250	272	33	2
251	272	33	1
176	273	33	2
181	273	33	1
183	273	33	2
189	273	33	1
202	273	33	1
209	273	33	2
210	273	33	3
215	273	33	3
216	273	33	1
226	273	33	1
227	273	33	1
230	273	33	1
235	273	33	1
243	273	33	1
174	274	33	2
176	274	33	1
181	274	33	1
182	274	33	1
186	274	33	2
193	274	33	1
203	274	33	1
204	274	33	1
206	274	33	2
209	274	33	1
211	274	33	1
226	274	33	1
227	274	33	2
235	274	33	2
240	274	33	1
243	274	33	1
250	274	33	1
183	275	33	1
185	275	33	1
202	275	33	1
206	275	33	1
207	275	33	1
209	275	33	1
213	275	33	1
215	275	33	1
227	275	33	1
186	276	33	2
205	276	33	1
206	276	33	2
207	276	33	1
214	276	33	1
215	276	33	2
235	276	33	1
239	276	33	1
243	276	33	1
244	276	33	1
173	277	33	1
183	277	33	2
187	277	33	2
205	277	33	1
208	277	33	1
215	277	33	1
216	277	33	1
224	277	33	1
236	277	33	1
242	277	33	1
243	277	33	1
244	277	33	2
245	277	33	1
247	277	33	1
174	278	33	1
177	278	33	2
178	278	33	1
191	278	33	1
211	278	33	1
235	278	33	1
238	278	33	1
243	278	33	1
168	279	33	1
175	279	33	1
208	279	33	2
222	279	33	1
231	279	33	1
234	279	33	1
244	279	33	2
245	279	33	2
174	280	33	2
191	280	33	1
203	280	33	1
208	280	33	1
210	280	33	1
224	280	33	1
225	280	33	1
247	280	33	1
251	280	33	2
173	281	33	1
175	281	33	1
176	281	33	2
204	281	33	1
206	281	33	1
207	281	33	1
222	281	33	2
223	281	33	2
224	281	33	1
230	281	33	1
232	281	33	1
234	281	33	1
241	281	33	1
175	282	33	1
178	282	33	1
185	282	33	1
190	282	33	1
205	282	33	1
207	282	33	1
211	282	33	1
218	282	33	3
230	282	33	4
231	282	33	1
232	282	33	1
235	282	33	1
237	282	33	1
243	282	33	1
244	282	33	1
250	282	33	1
252	282	33	3
174	283	33	2
179	283	33	1
183	283	33	1
189	283	33	1
204	283	33	1
206	283	33	1
225	283	33	1
229	283	33	1
232	283	33	1
233	283	33	1
241	283	33	1
249	283	33	1
184	284	33	1
187	284	33	1
205	284	33	1
207	284	33	1
219	284	33	1
226	284	33	1
233	284	33	1
241	284	33	2
246	284	33	1
247	284	33	1
249	284	33	1
178	285	33	1
202	285	33	1
206	285	33	1
221	285	33	1
224	285	33	1
230	285	33	1
234	285	33	1
237.5	285.5	33.5	1
240	285	33	2
242	285	33	1
243	285	33	2
245	285	33	1
246	285	33	2
248	285	33	1
188	286	33	1
201	286	33	1
204	286	33	1
211	286	33	1
220	286	33	2
223	286	33	1
228	286	33	1
230	286	33	1
235	286	33	1
237	286	33	2
243	286	33	1
246	286	33	1
248	286	33	2
249	286	33	1
252	286	33	1
179	287	33	2
199	287	33	1
219	287	33	1
220	287	33	1
223	287	33	1
226	287	33	1
228	287	33	1
230	287	33	1
234	287	33	1
244	287	33	3
245	287	33	2
246	287	33	1
251	287	33	1
187	288	33	2
202	288	33	1
220	288	33	2
233	288	33	1
236	288	33	1
244	288	33	1
247	288	33	1
249	288	33	2
250	288	33	1
184	289	33	1
202	289	33	1
222	289	33	1
223	289	33	2
224	289	33	1
235	289	33	1
245	289	33	1
249	289	33	1
253	289	33	1
185	290	33	1
199	290	33	1
202	290	33	2
223	290	33	1
238	290	33	1
239	290	33	1
241	290	33	2
243	290	33	1
250	290	33	1
199	291	33	3
200	291	33	1
201	291	33	1
222	291	33	1
229	291	33	2
234	291	33	1
241	291	33	2
242	291	33	2
200	292	33	2
201	292	33	1
221	292	33	1
246	292	33	2
247	292	33	2
253	292	33	1
256	292	33	1
188	293	33	1
197	293	33	2
220	293	33	1
223	293	33	1
225	293	33	1
230	293	33	1
237	293	33	1
239	293	33	1
240	293	33	1
241	293	33	1
243	293	33	1
247	293	33	1
251	293	33	1
252	293	33	1
213	294	33	1
239	294	33	1
251	294	33	2
182	295	33	1
220	295	33	1
225	295	33	1
232	295	33	1
235	295	33	1
237	295	33	1
248	295	33	2
195	296	33	2
230	296	33	2
235	296	33	1
197	297	33	1
198	297	33	1
202	297	33	1
226	297	33	1
227	297	33	1
236	297	33	1
242	297	33	2
245	297	33	1
246	297	33	2
195	298	33	1
196	298	33	2
220	298	33	1
228	298	33	1
234	298	33	1
236	298	33	1
196	299	33	1
198	299	33	1
201	299	33	1
223	299	33	2
229	299	33	1
232	299	33	1
235	299	33	1
236	299	33	1
241	299	33	1
243	299	33	1
246	299	33	2
197	300	33	2
230	300	33	1
236	300	33	2
238	300	33	2
244	300	33	1
237	301	33	1
239	301	33	2
240	301	33	2
249	301	33	1
209	302	33	1
223	302	33	1
225	302	33	1
228	302	33	1
230	302	33	1
232	302	33	2
233	302	33	1
236	302	33	1
243	302	33	1
244	302	33	1
207	303	33	1
222	303	33	1
225	303	33	1
232	303	33	1
236	303	33	1
237	303	33	1
240	303	33	1
241	303	33	1
206	304	33	1
220	304	33	1
223	304	33	1
227	304	33	2
231	304	33	1
232	304	33	1
233	304	33	1
235	304	33	1
242	304	33	1
207	305	33	1
222	305	33	2
225	305	33	1
233	305	33	1
234	305	33	1
238	305	33	1
240	305	33	1
223	306	33	1
224	306	33	2
230	306	33	1
238	306	33	1
201	307	33	1
221	307	33	2
227	307	33	1
233	307	33	1
234	307	33	1
235	307	33	1
217	308	33	1
220	308	33	1
221	308	33	1
223	308	33	2
239	308	33	1
221	309	33	2
222	309	33	1
226	309	33	1
229	309	33	1
233	309	33	1
237	309	33	1
224	310	33	1
226	310	33	2
227	310	33	1
228	310	33	1
231	310	33	2
233	310	33	1
228	311	33	1
230	311	33	1
233	311	33	2
234	311	33	1
236	311	33	1
228	312	33	1
231	312	33	3
232	312	33	1
225	313	33	1
228	313	33	1
229	313	33	1
230	313	33	2
233	313	33	1
235	313	33	1
237	313	33	2
230	314	33	2
232	314	33	1
235	314	33	2
230	318	33	1
226	252	34	1
228	252	34	3
226	253	34	2
232	253	34	2
217	254	34	1
227	254	34	1
235	254	34	2
223	255	34	1
225	255	34	1
226	255	34	1
230	255	34	1
226	256	34	2
227	256	34	1
233	256	34	1
237	256	34	1
241	256	34	1
243	256	34	1
216	257	34	1
221	257	34	1
223	257	34	1
225	257	34	1
235	257	34	1
237	257	34	1
242	257	34	1
201	258	34	1
219	258	34	1
223	258	34	3
226	258	34	1
232	258	34	2
233	258	34	1
234	258	34	3
237	258	34	1
239	258	34	1
242	258	34	1
209	259	34	2
211	259	34	1
216	259	34	2
218	259	34	1
223	259	34	2
227	259	34	1
229	259	34	1
230	259	34	1
234	259	34	1
237	259	34	1
238	259	34	1
215	260	34	1
218	260	34	1
223	260	34	2
224	260	34	2
226	260	34	1
228	260	34	1
229	260	34	1
238	260	34	1
244	260	34	2
188	261	34	1
190	261	34	1
214	261	34	2
217	261	34	1
219	261	34	1
220	261	34	1
221	261	34	1
222	261	34	1
223	261	34	1
225	261	34	1
226	261	34	1
229	261	34	2
230	261	34	1
231	261	34	1
232	261	34	2
240	261	34	1
242	261	34	2
244	261	34	1
192	262	34	2
193	262	34	1
194	262	34	1
211	262	34	1
216	262	34	1
223	262	34	1
226	262	34	1
228	262	34	1
230	262	34	4
233	262	34	1
234	262	34	1
238	262	34	1
242	262	34	1
244	262	34	1
245	262	34	1
188	263	34	1
192	263	34	1
207	263	34	1
220	263	34	2
225	263	34	1
231	263	34	2
234	263	34	1
235	263	34	1
240	263	34	1
244	263	34	1
248	263	34	1
249	263	34	1
250	263	34	1
252	263	34	2
187	264	34	1
191	264	34	1
193	264	34	2
194	264	34	1
202	264	34	1
205	264	34	1
206	264	34	1
212	264	34	1
213	264	34	1
217	264	34	2
222	264	34	2
223	264	34	2
224	264	34	1
227	264	34	2
228	264	34	1
229	264	34	1
232	264	34	2
234	264	34	1
243	264	34	2
244	264	34	1
247	264	34	1
187	265	34	1
194	265	34	2
218	265	34	3
220	265	34	1
221	265	34	1
229	265	34	1
230	265	34	1
231	265	34	1
232	265	34	1
243	265	34	1
248	265	34	1
184	266	34	1
186	266	34	2
193	266	34	1
194	266	34	1
196	266	34	2
204	266	34	1
210	266	34	2
214	266	34	2
217	266	34	1
221	266	34	3
228	266	34	1
233	266	34	1
235	266	34	2
240	266	34	2
242	266	34	1
244	266	34	1
246	266	34	1
252	266	34	1
182	267	34	1
183	267	34	2
188	267	34	1
189	267	34	1
192	267	34	1
194	267	34	1
197	267	34	3
209	267	34	1
210	267	34	1
211	267	34	3
214	267	34	1
221	267	34	2
224	267	34	1
225	267	34	3
228	267	34	2
230	267	34	1
231	267	34	2
232	267	34	1
235	267	34	1
243	267	34	1
245	267	34	1
246	267	34	1
247	267	34	1
248	267	34	1
249	267	34	1
173	268	34	1
188	268	34	1
191	268	34	1
195	268	34	2
208	268	34	1
218	268	34	1
231	268	34	1
233	268	34	2
240	268	34	1
245	268	34	1
250	268	34	1
252	268	34	1
171	269	34	2
182	269	34	2
183	269	34	1
193	269	34	2
194	269	34	1
198	269	34	2
204	269	34	1
208	269	34	1
219	269	34	1
220	269	34	1
232	269	34	1
234	269	34	1
236	269	34	1
239	269	34	2
241	269	34	1
242	269	34	1
243	269	34	2
245	269	34	3
248	269	34	4
252	269	34	1
183	270	34	1
186	270	34	2
194	270	34	1
196	270	34	1
197	270	34	1
201	270	34	1
215	270	34	1
221	270	34	1
223	270	34	1
240	270	34	1
243	270	34	2
244	270	34	1
246	270	34	1
249	270	34	1
251	270	34	1
172	271	34	2
175	271	34	1
178	271	34	2
179	271	34	1
181	271	34	1
182	271	34	1
186	271	34	1
201	271	34	1
210	271	34	2
211	271	34	2
212	271	34	3
213	271	34	1
216	271	34	1
218	271	34	2
221	271	34	1
230	271	34	1
231	271	34	1
234	271	34	1
239	271	34	1
242	271	34	2
173	272	34	1
180	272	34	1
182	272	34	1
183	272	34	1
184	272	34	1
185	272	34	2
198	272	34	1
205	272	34	2
206	272	34	1
211	272	34	1
214	272	34	5
227	272	34	1
228	272	34	1
230	272	34	2
232	272	34	1
235	272	34	2
236	272	34	1
239	272	34	1
241	272	34	1
245	272	34	1
247	272	34	1
248	272	34	3
182	273	34	1
184	273	34	2
197	273	34	1
201	273	34	1
218	273	34	1
219	273	34	1
233	273	34	1
241	273	34	1
245	273	34	2
170	274	34	1
176	274	34	1
178	274	34	1
186	274	34	1
204	274	34	1
206	274	34	2
212	274	34	1
226	274	34	1
229	274	34	2
232	274	34	2
238	274	34	1
241	274	34	1
176	275	34	1
183	275	34	1
227	275	34	2
235	275	34	1
237	275	34	1
239	275	34	1
240	275	34	1
175	276	34	1
177	276	34	2
206	276	34	1
207	276	34	1
209	276	34	1
233	276	34	1
236	276	34	2
237	276	34	1
242	276	34	1
244	276	34	1
250	276	34	2
189	277	34	1
202	277	34	1
204	277	34	1
206	277	34	1
209	277	34	1
211	277	34	1
213	277	34	1
215	277	34	1
234	277	34	1
235	277	34	1
241	277	34	1
244	277	34	1
176	278	34	2
201	278	34	1
203	278	34	1
204	278	34	1
208	278	34	1
209	278	34	2
210	278	34	1
214	278	34	2
226	278	34	1
231	278	34	2
244	278	34	1
174	279	34	2
175	279	34	2
177	279	34	1
179	279	34	1
181	279	34	3
214	279	34	1
215	279	34	1
217	279	34	1
232	279	34	1
245	279	34	2
246	279	34	1
248	279	34	2
173	280	34	2
174	280	34	1
175	280	34	1
188	280	34	1
193	280	34	2
205	280	34	1
208	280	34	1
209	280	34	1
210	280	34	1
212	280	34	1
221	280	34	1
233	280	34	1
234	280	34	1
235	280	34	1
238	280	34	1
239	280	34	1
242	280	34	2
189	281	34	3
191	281	34	2
205	281	34	1
208	281	34	2
213	281	34	1
221	281	34	1
228	281	34	1
229	281	34	1
241	281	34	2
181	282	34	1
188	282	34	2
189	282	34	1
206	282	34	1
212	282	34	3
214	282	34	1
215	282	34	1
222	282	34	1
240	282	34	1
245	282	34	1
247	282	34	1
176	283	34	1
181	283	34	1
211	283	34	1
237	283	34	2
245	283	34	1
250	283	34	2
253	283	34	4
176	284	34	1
186	284	34	1
203	284	34	1
206	284	34	2
210	284	34	3
211	284	34	1
214	284	34	1
215	284	34	1
224	284	34	1
227	284	34	2
231	284	34	2
236	284	34	1
176	285	34	3
177	285	34	3
202	285	34	1
203	285	34	1
