x	y	z	Activation of BH3-only proteins
235	278	24	1
244	286	24	1
244	287	24	1
246	287	24	1
243	288	24	1
249	288	24	1
247	289	24	1
233	269	25	1
238	270	25	1
234	271	25	1
228	272	25	1
230	272	25	1
238	274	25	1
235	276	25	1
239	276	25	1
240	276	25	1
238	278	25	1
231	279	25	1
233	279	25	1
234	279	25	1
240	279	25	1
232	280	25	1
237	281	25	1
240	281	25	3
243	281	25	1
214	282	25	1
232	282	25	1
237	282	25	1
238	282	25	1
240	282	25	1
247	282	25	1
248	282	25	1
230	283	25	1
231	283	25	1
237	283	25	1
240	283	25	1
245	283	25	1
246	283	25	2
237	284	25	1
244	284	25	1
247	284	25	1
250	284	25	1
215	285	25	1
239	285	25	1
240	285	25	1
248	285	25	1
250	285	25	1
243	286	25	1
245	286	25	1
250	286	25	1
254	286	25	1
237	287	25	2
238	287	25	1
251	287	25	2
224	288	25	2
250	288	25	1
234	289	25	1
235	289	25	1
236	290	25	1
244	290	25	1
234	291	25	1
236	291	25	1
238	291	25	2
242	291	25	1
246	291	25	1
227	292	25	1
235	292	25	1
242	292	25	1
250	292	25	2
239	293	25	1
240	293	25	1
243	293	25	1
244	293	25	2
240	294	25	1
242	294	25	1
243	294	25	1
244	294	25	2
247	294	25	2
244	296	25	1
239	297	25	1
243	299	25	1
238	300	25	1
239	300	25	2
240	300	25	2
239	302	25	1
182	259	26	1
182	260	26	2
231	264	26	1
230	267	26	1
241	267	26	1
235	268	26	1
229	269	26	2
236	269	26	1
227	270	26	1
228	270	26	1
233	270	26	1
240	270	26	1
235	271	26	1
230	272	26	2
236	272	26	1
239	272	26	1
237	273	26	1
248	273	26	1
233	274	26	1
238	274	26	1
236	275	26	1
237	275	26	1
215	276	26	2
231	276	26	1
233	276	26	1
237	276	26	2
238	276	26	4
244	276	26	1
250	276	26	1
209	277	26	1
213	277	26	2
234	277	26	1
249	277	26	1
234	278	26	1
237	278	26	2
249	278	26	1
207	279	26	1
232	279	26	1
248	279	26	2
250	279	26	1
238	280	26	1
242	280	26	1
247	280	26	1
231	281	26	1
234	281	26	1
239	281	26	1
240	281	26	1
250	281	26	1
208	282	26	1
212	282	26	1
215	282	26	1
229	282	26	1
231	282	26	1
253	282	26	2
227	283	26	1
233	283	26	2
245	283	26	1
246	283	26	1
251	283	26	2
254	283	26	1
236	284	26	2
237	284	26	1
241	284	26	1
245	284	26	1
252	284	26	1
235	285	26	2
236	285	26	1
246	285	26	1
253	285	26	1
254	285	26	1
232	286	26	1
233	286	26	1
243	286	26	1
246	286	26	1
250	286	26	1
252	286	26	1
224	287	26	1
238	287	26	1
239	287	26	1
250	287	26	1
232	288	26	1
236	288	26	2
240	288	26	1
241	288	26	1
243	288	26	1
248	288	26	1
252	288	26	1
232	289	26	3
237	289	26	1
252	289	26	1
228	290	26	1
237	290	26	1
242	290	26	1
243	290	26	1
250	290	26	2
226	291	26	1
229	291	26	1
236	291	26	1
239	291	26	2
240	291	26	2
245	291	26	1
226	292	26	1
227	292	26	2
237	292	26	1
242	292	26	1
244	292	26	1
245	292	26	1
247	292	26	1
252	292	26	2
238	293	26	2
244	293	26	1
246	293	26	2
235	294	26	1
240	294	26	1
243	294	26	1
246	294	26	1
243	295	26	1
244	295	26	1
245	295	26	1
237	297	26	1
245	297	26	1
246	297	26	1
240	298	26	1
242	298	26	2
227	301	26	1
186	257	27	1
183	258	27	1
215	258	27	1
232	258	27	4
180	259	27	3
184	259	27	1
226	259	27	1
232	259	27	1
227	260	27	2
228	260	27	1
233	260	27	1
234	260	27	1
182	261	27	2
184	261	27	1
185	261	27	1
187	261	27	1
220	261	27	1
231	261	27	1
235	261	27	1
186	262	27	1
227	262	27	1
233	262	27	1
178	263	27	1
179	263	27	1
182	263	27	1
210	263	27	1
220	263	27	1
225	263	27	1
227	263	27	1
230	263	27	1
232	263	27	1
239	263	27	1
176	264	27	1
180	264	27	1
186	264	27	2
219	264	27	1
225	264	27	1
230	264	27	1
231	264	27	1
232	264	27	1
238	264	27	1
215	265	27	1
221	265	27	1
238	265	27	1
178	266	27	2
216	266	27	1
217	266	27	1
219	266	27	1
226	266	27	1
233	266	27	1
237	266	27	1
217	267	27	1
226	267	27	1
231	267	27	1
232	267	27	1
235	267	27	1
249	267	27	1
180	268	27	1
