x	y	z	Interleukin-12 family signaling
244	284	21	2
246	292	21	1
239	272	24	1
232	278	24	1
245	287	24	1
246	287	24	1
246	289	24	1
249	289	24	1
227	272	25	2
230	272	25	1
238	272	25	1
233	274	25	2
236	275	25	1
238	275	25	1
234	276	25	1
248	276	25	1
235	277	25	1
238	278	25	1
234	279	25	1
236	279	25	1
237	279	25	1
240	279	25	1
249	279	25	1
232	280	25	1
248	280	25	1
237	281	25	3
241	281	25	1
249	281	25	1
231	282	25	1
232	282	25	1
233	282	25	1
234	282	25	2
235	282	25	2
239	282	25	1
245	282	25	2
230	283	25	1
235	283	25	1
237	283	25	1
239	283	25	1
246	283	25	1
213	284	25	1
237	284	25	1
244	284	25	1
252	284	25	1
235	285	25	1
237	285	25	1
241	285	25	1
243	285	25	1
246	285	25	1
250	285	25	1
250	286	25	1
252	286	25	1
249	287	25	1
252	287	25	1
224	288	25	1
235	288	25	1
250	288	25	1
226	289	25	1
238	289	25	2
242	289	25	1
248.5	289.5	25.5	1
235	290	25	1
237	290	25	1
238	290	25	1
249	290	25	1
241	291	25	1
250	291	25	1
227	292	25	1
238	292	25	1
241	294	25	1
243	295	25	1
242	296	25	1
246	296	25	1
247	296	25	1
239	297	25	1
240	298	25	1
243	299	25	1
239	300	25	2
239	302	25	1
215	265	26	1
230	267	26	1
234	267	26	1
241	267	26	1
236	268	26	1
228	269	26	1
228	270	26	1
233	270	26	1
235	271	26	1
236	271	26	1
240	271	26	1
224	272	26	1
226	272	26	2
231	273	26	1
236	273	26	2
248	273	26	1
233	274	26	1
236	274	26	1
238	274	26	1
237	275	26	1
246	275	26	1
207	276	26	1
215	276	26	2
239	276	26	1
248	276	26	1
207	277	26	1
235	277	26	1
239	277	26	2
240	277	26	1
250	277	26	1
231	278	26	1
239	278	26	1
240	278	26	1
252	278	26	1
233	279	26	1
240	279	26	1
250	279	26	1
208	280	26	2
238	280	26	1
249	280	26	1
240	281	26	1
244	281	26	2
246	281	26	1
248	281	26	1
249	281	26	2
231	282	26	2
233	282	26	2
237	282	26	1
245	282	26	2
253	282	26	2
231	283	26	2
234	283	26	1
249	283	26	1
251	283	26	1
234	284	26	2
235	284	26	1
237	284	26	1
235	285	26	1
236	285	26	1
240	285	26	2
244	285	26	1
253	285	26	1
225	286	26	1
238	286	26	1
241	286	26	1
243	286	26	1
246	286	26	1
251	286	26	1
254	286	26	2
224	287	26	1
232	287	26	1
239	287	26	1
251	287	26	1
253	287	26	4
253	288	26	1
222	289	26	2
232	289	26	1
233	289	26	1
235	289	26	1
248	289	26	1
237	290	26	1
239	290	26	1
240	290	26	1
222	291	26	1
226	291	26	1
235	291	26	2
236	291	26	1
239	291	26	1
244	291	26	1
249	291	26	1
250	291	26	1
238	292	26	1
245	292	26	1
247	292	26	1
234	293	26	1
238	293	26	1
235	294	26	1
239	294	26	1
240	294	26	1
246	294	26	1
249	294	26	1
239	295	26	2
240	295	26	1
254	295	26	1
239	296	26	1
240	297	26	1
242	297	26	1
245	297	26	1
246	297	26	1
236	298	26	1
236	299	26	1
243	299	26	1
182	255	27	1
184	255	27	1
184	258	27	1
228	259	27	1
232	259	27	1
176	260	27	1
181	260	27	1
183	260	27	1
184	260	27	1
186	260	27	1
240	260	27	1
177	261	27	2
181	261	27	1
185	261	27	1
186	261	27	1
227	261	27	1
232	261	27	1
235	261	27	1
236	261	27	2
177	262	27	2
184	262	27	1
186	262	27	1
182	263	27	1
185	263	27	3
210	263	27	2
229	263	27	1
176	264	27	1
219	264	27	1
226	264	27	1
231	264	27	2
238	264	27	1
181	265	27	1
234	265	27	1
238	265	27	1
178	266	27	1
201	266	27	1
219	266	27	1
224	266	27	1
226	266	27	1
228	266	27	2
233	266	27	1
234	266	27	2
235	266	27	1
179	267	27	1
233	267	27	1
234	267	27	1
240	267	27	1
241	267	27	1
249	267	27	2
179	268	27	1
180	268	27	2
197	268	27	1
223	268	27	2
227	268	27	1
228	268	27	1
230	268	27	1
233	268	27	1
235	268	27	1
238	268	27	1
240	268	27	1
243	268	27	1
248	268	27	1
179	269	27	1
201	269	27	1
211	269	27	1
218	269	27	1
224	269	27	1
225	269	27	1
232	269	27	1
233	269	27	1
234	269	27	2
238	269	27	2
181	270	27	1
207	270	27	1
226	270	27	2
228	270	27	1
230	270	27	1
236	270	27	1
238	270	27	1
243	270	27	1
182	271	27	2
210	271	27	1
222	271	27	1
230	271	27	1
233	271	27	1
234	271	27	1
236	271	27	1
237	271	27	1
239	271	27	1
249	271	27	2
176	272	27	2
203	272	27	1
