x	y	z	Activation of gene expression by SREBF (SREBP)
208	281	29	1
214	281	29	2
224	281	29	2
232	281	29	1
234	281	29	1
238	281	29	1
246	281	29	1
248	281	29	1
250	281	29	1
233	282	29	1
235	282	29	1
245	282	29	1
250	282	29	1
254	282	29	1
232	283	29	1
245	283	29	1
249	283	29	1
211	284	29	1
220	284	29	1
233	284	29	1
234	284	29	1
237	284	29	2
241	284	29	1
255	284	29	1
227	285	29	1
238	285	29	1
240	285	29	1
241	285	29	1
244	285	29	2
246	285	29	1
254	285	29	1
240	286	29	1
248	286	29	1
225	287	29	1
228	287	29	2
234	287	29	1
236	287	29	1
245	287	29	1
247	287	29	1
226	288	29	2
228	288	29	1
242	288	29	2
244	288	29	2
246	288	29	3
224	289	29	2
228	289	29	1
237	289	29	1
245	289	29	2
250	289	29	1
225	290	29	1
226	290	29	1
230	290	29	1
242	290	29	1
245	290	29	1
225	291	29	1
241	291	29	1
250	291	29	1
251	291	29	1
222	292	29	1
236	292	29	1
245	292	29	1
247	292	29	1
249	292	29	1
257	292	29	1
224	293	29	1
225	293	29	1
227	293	29	1
247	293	29	1
248	293	29	1
249	293	29	2
224	294	29	2
238	294	29	2
242	294	29	1
246	294	29	1
248	294	29	1
249	294	29	1
251	294	29	1
220	295	29	1
241	295	29	1
245	295	29	1
219	296	29	1
253	296	29	1
227	297	29	2
239	297	29	1
243	297	29	2
226	298	29	1
239	298	29	1
242	298	29	1
245	298	29	1
221	299	29	3
222	299	29	2
226	299	29	1
239	299	29	1
240	299	29	1
221	300	29	1
223	301	29	1
227	301	29	2
238	301	29	2
247	301	29	1
235	302	29	1
228	251	30	2
215	254	30	1
235	254	30	2
227	255	30	1
229	255	30	1
230	255	30	1
232	255	30	1
236	255	30	1
204	256	30	1
230	256	30	1
231	256	30	1
209	257	30	1
229	257	30	1
181	258	30	1
186	258	30	1
203	258	30	1
215	258	30	1
226	258	30	1
228	258	30	1
231	258	30	1
237	258	30	1
189	259	30	2
210	259	30	1
216	259	30	1
222	259	30	2
224	259	30	1
229	259	30	1
232	259	30	1
234	259	30	1
237	259	30	1
190	260	30	1
196	260	30	1
225	260	30	1
226	260	30	1
237	260	30	1
238	260	30	1
240	260	30	1
208	261	30	1
212	261	30	1
216	261	30	1
225	261	30	1
227	261	30	2
231	261	30	1
178	262	30	1
219	262	30	1
225	262	30	1
226	262	30	2
230	262	30	1
240	262	30	1
242	262	30	1
248	262	30	1
182	263	30	1
185	263	30	1
189	263	30	2
193	263	30	1
197	263	30	1
222	263	30	1
227	263	30	1
228	263	30	1
242	263	30	1
178	264	30	2
222	264	30	1
228	264	30	1
236	264	30	1
238	264	30	1
241	264	30	1
245	264	30	1
249	264	30	1
191	265	30	1
208	265	30	1
216	265	30	1
231	265	30	1
236	265	30	1
239	265	30	1
246	265	30	2
193	266	30	1
211	266	30	1
212	266	30	1
215	266	30	1
228	266	30	1
239.5	266.5	30.5	1
240	266	30	2
249	266	30	1
183	267	30	2
189	267	30	1
194	267	30	1
196	267	30	1
208	267	30	1
225	267	30	1
229	267	30	1
231	267	30	1
238	267	30	1
244	267	30	1
246	267	30	2
182	268	30	1
216	268	30	1
217	268	30	1
226	268	30	3
228	268	30	1
230	268	30	1
231	268	30	1
239	268	30	3
241	268	30	1
250	268	30	1
182	269	30	3
194	269	30	1
198	269	30	2
232	269	30	1
236	269	30	1
238	269	30	1
248	269	30	2
249	269	30	1
183	270	30	1
187	270	30	1
201	270	30	2
207	270	30	1
223	270	30	1
227	270	30	1
249	270	30	1
181	271	30	1
183	271	30	1
188	271	30	1
193	271	30	1
194	271	30	1
207	271	30	1
216	271	30	1
225	271	30	1
229	271	30	1
239	271	30	1
244	271	30	1
179	272	30	1
203	272	30	1
206	272	30	1
207	272	30	1
216	272	30	1
223	272	30	2
236	272	30	2
245	272	30	1
183	273	30	1
204	273	30	1
206	273	30	1
211	273	30	2
214	273	30	1
227	273	30	1
231	273	30	1
232	273	30	1
177	274	30	1
180	274	30	1
183	274	30	1
185	274	30	1
209	274	30	1
212	274	30	1
229	274	30	1
236	274	30	1
239	274	30	1
175	275	30	1
179	275	30	1
184	275	30	1
185	275	30	1
211	275	30	1
212	275	30	1
213	275	30	1
237	275	30	2
238	275	30	2
240	275	30	1
250	275	30	1
251	275	30	1
205	276	30	1
207	276	30	1
243	276	30	1
250	276	30	1
206	277	30	1
208	277	30	1
237	277	30	1
249	277	30	1
201	278	30	1
205	278	30	1
235	278	30	2
236	278	30	3
237	278	30	1
246	278	30	1
247	278	30	1
248	278	30	1
221	279	30	1
235	279	30	1
241	279	30	1
243	279	30	1
251	279	30	1
175	280	30	1
206	280	30	1
233	280	30	2
236	280	30	1
238	280	30	1
241	280	30	1
181	281	30	1
217	281	30	1
233	281	30	1
234	281	30	1
240	281	30	2
243	281	30	3
245	281	30	1
247	281	30	1
181	282	30	1
187	282	30	1
220	282	30	1
232	282	30	1
233	282	30	1
238	282	30	1
241	282	30	1
245	282	30	1
246	282	30	1
250	282	30	1
252	282	30	1
179	283	30	1
215	283	30	1
220	283	30	1
221	283	30	1
232	283	30	2
234	283	30	2
244	283	30	1
252	283	30	2
173	284	30	1
219	284	30	1
220	284	30	1
225	284	30	1
226	284	30	1
236	284	30	1
238	284	30	2
241.666666666667	284.666666666667	31	1
249	284	30	1
252	284	30	3
253	284	30	2
258	284	30	1
220	285	30	1
223	285	30	1
227	285	30	1
232	285	30	1
236	285	30	1
242	285	30	1
254	285	30	2
256	285	30	1
206	286	30	1
227	286	30	1
238	286	30	1
252	286	30	2
255	286	30	1
219	287	30	1
220	287	30	1
224	287	30	1
226	287	30	1
237	287.5	30.5	1
241	287	30	1
248	287	30	1
250	287	30	1
251	287	30	2
225	288	30	1
226	288	30	2
228	288	30	1
235	288	30	2
238	288	30	1
239	288	30	1
249	288	30	2
221	289	30	1
223	289	30	1
230	289	30	1
231	289	30	1
232	289	30	1
233	289	30	1
234	289	30	1
239	289	30	1
247	289	30	1
256	289	30	1
224	290	30	1
231	290	30	1
250	290	30	1
198	291	30	1
226	291	30	1
234	291	30	1
242	291	30	1
244	291	30	1
246	291	30	1
247	291	30	1
248	291	30	1
258	291	30	1
194	292	30	1
220	292	30	2
226	292	30	1
231	292	30	1
237	292	30	1
245	292	30	1
251	292	30	1
223	293	30	2
225	293	30	1
227	293	30	1
231	293	30	1
236	293	30	1
244	293	30	1
245	293	30	2
221	294	30	1
225	294	30	1
227	294	30	1
229	294	30	1
230	294	30	1
233	294	30	1
237	294	30	1
243	294	30	1
244	294	30	1
249	294	30	1
252	294	30	1
253	294	30	1
258	294	30	1
197	295	30	1
218	295	30	2
221	295	30	2
224	295	30	1
227	295	30	1
228	295	30	1
241	295	30	1
243	295	30	1
244	295	30	1
247	295	30	1
250	295	30	1
253	295	30	1
257	295	30	1
186	296	30	1
228	296	30	2
232	296	30	1
237	296	30	1
241	296	30	1
246	296	30	1
247	296	30	1
220	297	30	1
221	297	30	1
227	297	30	1
232	297	30	1
239	297	30	1
240	297	30	1
241	297	30	1
243	297	30	2
244	297	30	1
221	298	30	1
222	298	30	1
228	298	30	1
229	298	30	1
230	298	30	1
239	298	30	3
242	298	30	1
245	298	30	1
246	298	30	1
224	299	30	1
236	299	30	2
242	299	30	1
248	299	30	1
218	300	30	1
226	300	30	1
230	300	30	1
244	300	30	1
247	300	30	1
251	300	30	1
237	301	30	2
239	301	30	1
241	301	30	1
244	301	30	1
251	301	30	1
239	302	30	1
242	302	30	1
225	303	30	1
234	304	30	1
238	304	30	1
236	305	30	1
240	305	30	1
236	306	30	1
227	250	31	2
235	251	31	1
229	252	31	1
193	253	31	1
229	254	31	1
232	254	31	1
238	254	31	1
234	255	31	1
238	255	31	2
216	256	31	1
236	256	31	1
239	256	31	1
214	257	31	1
230	257	31	1
190	258	31	1
205	258	31	1
215	258	31	1
216	258	31	1
228	258	31	1
230	258	31	2
231	258	31	1
237	258	31	2
240	258	31	1
209	259	31	1
230	259	31	1
235	259	31	1
242	259	31	1
190	260	31	1
218	260	31	1
220	260	31	1
235	260	31	1
240	260	31	1
241	260	31	1
242	260	31	1
245	260	31	2
246	260	31	1
188	261	31	1
216	261	31	1
217	261	31	1
229	261	31	1
235	261	31	1
245	261	31	1
246	261	31	2
249	261	31	1
195	262	31	1
211	262	31	2
218	262	31	1
225	262	31	1
227	262	31	2
229	262	31	1
230	262	31	1
238	262	31	1
240	262	31	1
242	262	31	1
189	263	31	1
193	263	31	1
218	263	31	1
219	263	31	1
226	263	31	2
228	263	31	1
232	263	31	1
240	263	31	1
248	263	31	2
178	264	31	1
214	264	31	1
221	264	31	2
222	264	31	1
224	264	31	1
231	264	31	1
232	264	31	1
234	264	31	1
237	264	31	1
238	264	31	2
239	264	31	1
184	265	31	1
214	265	31	2
226	265	31	1
233	265	31	1
234	265	31	1
236	265	31	1
239	265	31	1
240	265	31	2
248	265	31	1
249	265	31	1
186	266	31	1
215	266	31	1
217	266	31	2
221	266	31	1
244	266	31	1
247	266	31	2
194	267	31	1
199	267	31	1
211	267	31	1
216	267	31	2
219	267	31	1
223	267	31	1
227	267	31	1
228	267	31	2
229	267	31	1
231	267	31	1
232	267	31	1
233	267	31	1
235	267	31	1
236	267	31	1
238	267	31	1
241	267	31	2
248	267	31	1
188	268	31	1
193	268	31	1
195	268	31	1
197	268	31	1
210	268	31	1
215	268	31	1
216	268	31	1
218	268	31	1
222	268	31	1
234	268	31	1
240	268	31	1
245	268	31	1
183	269	31	2
210	269	31	2
230	269	31	2
232	269	31	1
235	269	31	1
238	269	31	1
240	269	31	1
243	269	31	1
247	269	31	1
248	269	31	2
249	269	31	1
252	269	31	1
183	270	31	1
185	270	31	1
186	270	31	1
196	270	31	1
200	270	31	1
215	270	31	1
216	270	31	1
217	270	31	1
234	270	31	2
240	270	31	2
242	270	31	1
244	270	31	1
248	270	31	1
249	270	31	1
172	271	31	1
182	271	31	1
184	271	31	1
213	271	31	1
217	271	31	1
224	271	31	1
226	271	31	1
233	271	31	1
238	271	31	1
245	271	31	1
246	271	31	1
249	271	31	1
204	272	31	1
205	272	31	1
211	272	31	1
227	272	31	2
232	272	31	1
234	272	31	3
236	272	31	1
240	272	31	1
254	272	31	2
184	273	31	2
207	273	31	1
210	273	31	1
212	273	31	1
175	274	31	1
185	274	31	1
203	274	31	1
226	274	31	1
243	274	31	3
244	274	31	1
247	274	31	1
252	274	31	1
205	275	31	1
236	275	31	1
237	275	31	1
198	276	31	1
205	276	31	1
226	276	31	1
236	276	31	2
237	276	31	2
239	276	31	1
204	277	31	1
205	277	31	1
234	277	31	1
236	277	31	1
237	277	31	1
244	277	31	2
245	277	31	1
177	278	31	2
180	278	31	1
203	278	31	1
204	278	31	2
205	278	31	1
208	278	31	1
246	278	31	1
219	279	31	2
235	279	31	1
237	279	31	1
242	279	31	1
243	279	31	1
246	279	31	1
175	280	31	1
181	280	31	1
205	280	31	1
217	280	31	1
221	280	31	1
226	280	31	1
235	280	31	1
236	280	31	2
238	280	31	1
246	280	31	1
250	280	31	1
251	280	31	1
184	281	31	1
210	281	31	1
220	281	31	1
223	281	31	2
243	281	31	1
250	281	31	1
178	282	31	1
179	282	31	2
223	282	31	1
225	282	31	1
232	282	31	1
233	282	31	2
239	282	31	1
244	282	31	1
245	282	31	2
247	282	31	1
248	282	31	1
252	282	31	1
209	283	31	1
224	283	31	1
231	283	31	2
234	283	31	2
236	283	31	1
240	283	31	1
241	283	31	1
252	283	31	1
253	283	31	1
179	284	31	1
181	284	31	1
206	284	31	1
219	284	31	1
220	284	31	1
224	284	31	1
236	284	31	1
237	284	31	1
241	284	31	1
243	284	31	1
224	285	31	1
229	285	31	1
236	285	31	2
250	285	31	1
251	285	31	1
256	285	31	1
180	286	31	1
229	286	31	1
190	287	31	1
219	287	31	1
228	287	31	1
229	287	31	1
231	287	31	1
237	287	31	1
240	287	31	1
241	287	31	1
246	287	31	1
256	287	31	1
225	288	31	1
230	288	31	1
242	288	31	1
244	288	31	1
246	288	31	1
253	288	31	1
221	289	31	2
222	289	31	1
228	289	31	1
231	289	31	1
232	289	31	1
237	289	31	1
247	289	31	1
252	289	31	1
222	290	31	1
227	290	31	1
237	290	31	1
243	290	31	2
246	290	31	2
200	291	31	1
228	291	31	1
229	291	31	1
231	291	31	1
240	291	31	1
245	291	31	1
248	291	31	2
249	291	31	1
232	292	31	2
238	292	31	1
246	292	31	1
250	292	31	1
251	292	31	1
253	292	31	2
222	293	31	1
225	293	31	1
228	293	31	1
235	293	31	1
239	293	31	1
241	294	32.8	1
242	293	31	1
209	294	31	1
220	294	31	2
224	294	31	1
226	294	31	1
232	294	31	1
240	294	31	1
241	294	31	2
242	294	31	2
244	294	31	1
246	294	31	2
221	295	31	1
234	295	31	2
240	295	31	1
242	295	31	2
243	295	31	1
247	295	31	1
248	295	31	1
249	295	31	1
252	295	31	2
188	296	31	1
215	296	31	1
229	296	31	1
231	296	31	1
234	296	31	1
235	296	31	2
246	296	31	2
247	296	31	1
252	296	31	1
195	297	31	1
224	297	31	1
242	297	31	2
243	297	31	1
248	297	31	1
237	298	31	1
240	298	31	1
245	298	31	1
252	298	31	1
253	298	31	1
229	299	31	1
236	299	31	1
240	299	31	1
246	299	31	1
247	299	31	1
248	299	31	1
228	300	31	1
241	300	31	1
228	301	31	1
230	301	31	1
232	301	31	1
233	301	31	2
241	301	31	2
243	301	31	1
249	301	31	1
224	302	31	1
229	302	31	1
235	302	31	1
240	302	31	1
243	302	31	1
247	302	31	1
224	303	31	1
232	303	31	2
234	303	31	1
247	303	31	1
244	304	31	1
225	305	31	1
235	305	31	1
224	307	31	1
234	307	31	1
225	308	31	1
226	309	31	1
227	251	32	1
228	251	32	2
216	252	32	1
226	252	32	2
231	252	32	1
215	253	32	1
224	253	32	1
227	253	32	1
216	254	32	1
223	254	32	1
228	254	32	1
230	254	32	1
232	254	32	1
236	254	32	1
215	255	32	1
217	255	32	4
218	255	32	1
219	255	32	1
224	255	32	1
226	255	32	2
234	255	32	2
237	255	32	1
216	256	32	1
219	256	32	2
237	256	32	1
242	256	32	2
193	257	32	1
195	257	32	1
208	257	32	1
210	257	32	1
218	257	32	1
219	257	32	1
221	257	32	1
228	257	32	3
230	257	32	1
232	257	32	1
214	258	32	2
216	258	32	1
228	258	32	1
230	258	32	1
240	258	32	1
241	258	32	1
246	258	32	1
192	259	32	1
201	259	32	1
207	259	32	1
209	259	32	1
214	259	32	1
222	259	32	2
228	259	32	2
230	259	32	1
243	259	32	2
182	260	32	1
192	260	32	1
216	260	32	2
228	260	32	1
237	260	32	1
246	260	32	1
248	260	32	1
212	261	32	1
218	261	32	2
219	261	32	1
225	261	32	1
226	261	32	1
244	261	32	1
186	262	32	1
189	262	32	1
197	262	32	1
198	262	32	2
203	262	32	1
210	262	32	1
221	262.666666666667	33	1
227	262	32	1
230	262	32	1
235	262	32	1
236	262	32	1
238	262	32	2
242	262	32	1
247	262	32	1
184	263	32	2
189	263	32	3
193	263	32	2
215	263	32	2
218	263	32	1
220	263	32	1
224	263	32	1
225	263	32	1
235	263	32	1
237	263	32	1
241	263	32	1
242	263	32	1
245	263	32	1
247	263	32	1
249	263	32	1
251	263	32	2
188	264	32	1
193	264	32	1
194	264	32	2
199	264	32	1
204	264	32	1
217	264	32	2
223	264	32	2
224	264	32	1
228	264	32	2
238	264	32	1
246	264	32	2
247	264	32	2
176	265	32	1
186	265	32	1
191	265	32	1
211	265	32	1
213	265	32	1
217	265	32	1
220	265	32	2
221	265	32	1
234	265	32	1
238	265	32	1
248	265	32	1
249	265	32	2
184	266	32	1
194	266	32	1
195	266	32	1
228	266	32	2
230	266	32	1
235	266	32	1
236	266	32	1
240	266	32	1
243	266	32	1
247	266	32	1
249	266	32	1
182	267	32	1
186	267	32	1
193	267	32	1
197	267	32	1
208	267	32	1
209	267	32	1
214	267	32	2
215	267	32	1
221	267	32	1
237	267	32	1
239	267	32	1
240	267	32	1
249	267	32	1
252	267	32	2
189	268	32	1
193	268	32	1
194	268	32	1
195	268	32	1
206	268	32	1
212	268	32	1
213	268	32	1
216	268	32	1
241	268	32	1
247	268	32	2
182	269	32	1
191	269	32	2
193	269	32	2
204	269	32	1
213	269	32	1
223	269	32	1
232	269	32	1
240	269	32	1
250	269	32	1
172	270	32	1
180	270	32	1
184	270	32	2
185	270	32	1
210	270	32	1
212	270	32	1
222	270	32	1
224	270	32	1
243	270	32	2
248	270	32	1
249	270	32	2
184	271	32	1
207	271	32	1
213	271	32	1
216	271	32	1
234	271	32	1
237	271	32	1
238	271	32	1
239	271	32	3
240	271	32	1
244	271	32	2
247	271	32	1
177	272	32	3
184	272	32	1
198	272	32	1
207	272	32	2
208	272	32	1
210	272	32	3
212	272	32	1
225	272	32	1
226	272	32	1
227	272	32	1
228	272	32	1
234	272	32	1
239	272	32	1
240	272	32	1
246	272	32	2
251	272	32	1
181	273	32	1
185	273	32	1
186	273	32	1
205	273	32	1
206	273	32	2
214	273	32	1
228	273	32	1
229	273	32	1
236	273	32	1
238	273	32	4
241	273	32	2
243	273	32	1
246	273	32	1
254	273	32	1
172	274	32	1
174	274	32	1
183	274	32	1
203	274	32	2
205	274	32	1
211	274	32	1
213	274	32	1
214	274	32	1
233	274	32	1
237	274	32	1
240	274	32	1
241	274	32	1
244	274	32	2
246	274	32	1
250	274	32	2
186	275	32	2
208	275	32	1
210	275	32	1
211	275	32	1
212	275	32	2
216	275	32	2
237	275	32	1
