x	y	z	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
239	272	24	1
239	278	24	1
246	287	24	2
244	289	24	2
249	289	24	1
231	264	25	1
232	265	25	1
238	272	25	1
238	273	25	2
236	275	25	1
238	275	25	1
232.5	276.5	25.5	1
232	277	25	2
233	277	25	1
233	278	25	2
236	278	25	1
231	279	25	1
233	279	25	1
235	279	25	1
233	280	25	1
233	282	25	2
239	282	25	2
232	283	25	1
233	283	25	1
236	283	25	1
237	283	25	1
243	283	25	1
246	283	25	1
235	284	25	2
241	284	25	1
245	284	25	2
234	285	25	1
236	285	25	2
241	285	25	1
250	285	25	1
252	285	25	1
218	286	25	2
241	286	25	1
243	286	25	1
223	287	25	1
237	287	25	1
238	287	25	1
242	287	25	1
236	288	25	1
237	288	25	1
250	288	25	1
226	289	25	1
234	289	25	1
237	289	25	1
248.5	289.5	25.5	2
234	290	25	1
235	291	25	1
245	291	25	1
242	292	25	1
246	293	25	1
240	295	25	1
247	296	25	1
240	298	25	1
243	299	25	1
231	264	26	1
215	265	26	1
228	269	26	1
229	269	26	1
237	269	26	1
228	270	26	1
233	270	26	1
229	271	26	1
236	272	26	1
231	273	26	1
232	275	26	1
207	276	26	1
238	276	26	1
213	277	26	1
230	277	26	1
232	277	26	1
239	278	26	1
232	279	26	1
246	279	26	1
250	279	26	1
250	280	26	1
230	281	26	2
209	282	26	1
212	282	26	1
235	282	26	1
238	282	26	1
247	282	26	1
251	282	26	1
239	283	26	2
246	283	26	1
251	283	26	1
215	284	26	1
232	284	26	1
235	284	26	1
238	284	26	1
212	285	26	1
214	285	26	1
245	285	26	1
255	285	26	1
225	286	26	1
234	286	26	1
236	286	26	1
247	286	26	1
252	286	26	1
239	287	26	1
243	287	26	1
235	288	26	1
222	289	26	1
227	289	26	1
231	289	26	1
233	289	26	1
236	289	26	1
238	289	26	1
242	289	26	1
252	289	26	1
225	290	26	1
228	290	26	1
239	290	26	1
244	290	26	1
226	291	26	2
237	291	26	1
226	292	26	1
251	292	26	2
252	292	26	2
239	293	26	1
245	293	26	1
240	294	26	1
242	294	26	1
241	295	26	2
242	295	26	2
245	295	26	1
237	297	26	1
244	297	26	1
245	297	26	1
246	297	26	1
242	298	26	1
235	301	26	1
181	258	27	1
183	258	27	1
184	258	27	1
185	259	27	1
235	260	27	1
177	261	27	3
184	261	27	1
184	262	27	1
236	262	27	1
181	263	27	1
182	263	27	1
225	263	27	1
230	263	27	1
236	263	27	2
209	264	27	1
219	264	27	1
222	264	27	1
225	264	27	2
230	264	27	2
234	264	27	1
237	264	27	1
248	264	27	1
184	265	27	2
189	265	27	1
234	265	27	1
237	265	27	1
239	265	27	1
180	266	27	1
227	266	27	1
228	266	27	1
234	266	27	1
239	266	27	2
182	267	27	1
215	267	27	1
228	267	27	1
230	267	27	1
236	267	27	1
197	268	27	1
234	268	27	1
235	269	27	1
238	269	27	1
243	269	27	1
184	270	27	1
197	270	27	1
207	270	27	1
215	270	27	1
218	270	27	1
226	270	27	2
227	270	27	1
230	270	27	1
236	270	27	1
238	270	27	1
244	270	27	1
209	271	27	1
210	271	27	1
211	271	27	1
236	271	27	1
238	271	27	1
239	271	27	1
249	271	27	1
179	272	27	1
206	272	27	1
207	272	27	1
213	272	27	1
230	272	27	1
234	272	27	1
251	272	27	1
183	273	27	1
217	273	27	2
223	273	27	2
231	273	27	1
182	274	27	1
207	274	27	2
229	274	27	1
233	274	27	1
237	274	27	1
240	274	27	1
243	274	27	1
250	274	27	1
211	275	27	2
228	275	27	1
230	275	27	1
233	275	27	1
237	275	27	1
244	275	27	1
247	275	27	1
252	275	27	2
254	275	27	1
204	276	27	1
205	276	27	1
206	276	27	1
207	276	27	1
211	276	27	1
215	276	27	1
233	276	27	1
245	276	27	2
247	276	27	1
252	276	27	1
213	277	27	1
236	277	27	1
229	278	27	1
230	278	27	1
239	278	27	1
240	278	27	2
251	278	27	1
252	278	27	1
231	279	27	1
232	279	27	1
241	279	27	1
246	279	27	1
247	279	27	1
251	279	27	1
257	279	27	1
205	280	27	1
206	280	27	1
209	280	27	1
248	280	27	1
251	280	27	1
207	281	27	1
230	281	27	1
231	281	27	1
236	281	27	1
238	281	27	1
241	281	27	1
244	281	27	1
254	281	27	1
256	281	27	1
206	282	27	1
209	282	27	1
238	282	27	1
246	282	27	1
247	282	27	1
249	282	27	1
250	282	27	1
208	283	27	1
234	283	27	1
209	284	27	1
236	284	27	1
255	284	27	1
256	284	27	1
208	285	27	1
211	285	27	1
236	285	27	1
237	285	27	1
239	285	27	1
247	285	27	1
253	285	27	1
256	285	27	1
208	286	27	2
224	286	27	1
234	286	27	1
235	286	27	1
245	286	27	2
252	286	27	1
258	286	27	1
207	287	27	2
210	287	27	1
251	287	27	2
253	287	27	3
231	288	27	1
234	288	27	1
243	288	27	1
245	288	27	2
250	288	27	1
222	289	27	1
225	289	27	1
228	289	27	1
236	289	27	1
238	289	27	2
242	289	27	1
221	290	27	1
222	290	27	1
226	290	27	1
227	290	27	1
239	290	27	1
240	290	27	1
241	290	27	1
244	290	27	1
249	290	27	1
251	290	27	1
252	290	27	1
225	291	27	1
228	291	27	1
238	291	27	1
239	291	27	1
240	291	27	1
243	291	27	1
246	291	27	1
252	291	27	1
211	292	27	1
219	292	27	1
224	292	27	1
248	292	27	1
249	292	27	1
250	292	27	1
251	292	27	1
252	292	27	2
253	292	27	1
220	293	27	1
227	293	27	2
247	293	27	1
224	294	27	1
235	294	27	2
236	294	27	1
246	294	27	1
248	294	27	1
252	294	27	1
226	295	27	1
239	295	27	1
243	295	27	1
250	295	27	1
251	295	27	1
239	296	27	1
240	296	27	1
246	296	27	2
255	296	27	1
236	297	27	1
245	297	27	1
253	297	27	1
223	298	27	1
226	298	27	1
236	298	27	1
238	298	27	1
239	298	27	1
241	298	27	1
230	299	27	1
237	299	27	1
242	299	27	1
246	299	27	1
247	299	27	1
231	300	27	1
239	300	27	2
241	300	27	1
227	301	27	1
237	301	27	1
239	301	27	1
240	301	27	1
243	301	27	1
250	301	27	1
237	304	27	1
243	304	27	1
235	305	27	1
231	264	28	1
232	264	28	1
231	266	28	1
232	266	28	1
237	269	28	1
237	270	28	1
236	271	28	1
235	274	28	1
235	275	28	1
234	276	28	1
235	277	28	1
235	280	28	1
208	281	28	1
246	282	28	1
251	282	28	1
248	284	28	1
239	285	28	1
246	289	28	1
237	290	28	1
240	290	28	1
239	291	28	1
249	291	28	2
250	291	28	1
248	293	28	1
249	293	28	1
249	294	28	2
240	295	28	1
239	297	28	1
236	300	28	1
235	256	29	1
190	258	29	1
235	258	29	1
199	261	29	1
229	261	29	1
229	262	29	2
248	263	29	1
230	264	29	1
234	265	29	1
238	265	29	1
236	266	29	2
237	266	29	1
192	267	29	1
199	267	29	1
230	267	29	1
235	267	29	1
241	267	29	1
226	268	29	1
231	268	29	1
235	268	29	1
236	268	29	1
239	268	29	1
244	268	29	1
204	269	29	1
234	269	29	1
175	270	29	2
196	270	29	1
198	270	29	1
200	270	29	1
250	270	29	1
242	271	29	2
211	272	29	1
215	272	29	1
224	272	29	1
235	272	29	1
249	273	29	2
180	274	29	1
206	275	29	1
232	275	29	1
236	275	29	2
237	275	29	1
245	275	29	1
228	276	29	1
233	276	29	1
241	276	29	1
248	276	29	1
232	277	29	1
234	277	29	1
238	277	29	1
239	277	29	1
250	277	29	1
237	278	29	1
247	279	29	2
248	279	29	1
249	279	29	1
256	279	29	1
205	280	29	1
238	280	29	2
245	280	29	1
249	280	29	1
250	280	29	3
237	281	29	1
212	282	29	1
244	282	29	1
254	282	29	1
231	283	29	1
232	283	29	1
233	283	29	1
237	283	29	1
251	283	29	1
211	284	29	1
233	284	29	1
235	284	29	1
246	284	29	2
250	284	29	1
226	285	29	1
227	285	29	1
239	285	29	1
242	285	29	3
246	285	29	1
254	285	29	1
211	286	29	1
248	286	29	1
252	286	29	1
234	287	29	1
236	287	29	2
245	287	29	1
228	288	29	1
236	288	29	1
240	288	29	1
244	288	29	2
245	288	29	1
249	288	29	1
224	289	29	1
234	289	29	1
245	289	29	1
246	289	29	1
250	289	29	1
247	290	29	1
224	291	29	1
225	291	29	1
239	291	29	1
222	292	29	1
236	292	29	1
238	292	29	2
241	292	29	1
247	292	29	1
257	292	29	1
222	293	29	2
237	293	29	1
249	293	29	1
243	294	29	1
245	294	29	1
222	296	29	1
223	296	29	1
249	296	29	1
238	297	29	1
243	297	29	1
237	298	29	1
221	300	29	1
225	300	29	1
223	301	29	1
227	301	29	1
237	304	29	1
215	252	30	1
232	253	30	1
237	253	30	1
215	254	30	1
230	254	30	1
236	254	30	1
191	255	30	3
229	255	30	1
232	255	30	1
204	256	30	1
229	256	30	1
231	256	30	1
204	257	30	1
230	257	30	1
237	257	30	1
203	258	30	2
206	259	30	2
216	259	30	1
220	259	30	1
229	259	30	1
230	259	30	1
186	260	30	1
197	260	30	1
206	260	30	1
212	260	30	1
225	260	30	1
232	260	30	2
240	260	30	1
245	260	30	1
186	261	30	1
194	261	30	1
198	261	30	1
199	261	30	1
217	261	30	1
224	261	30	2
230	261	30	1
241	261	30	1
244	261	30	1
179	262	30	1
188	262	30	1
193	262	30	1
225	262	30	1
230	262	30	1
231	262	30	1
245	262	30	1
248	262	30	1
189	263	30	1
216	263	30	1
224	263	30	1
228	263	30	1
230	263	30	1
232	263	30	1
247	263	30	1
186	264	30	1
188	264	30	1
194	264	30	1
225	264	30	1
227	264	30	1
230	264	30	1
192	265	30	1
205	265	30	1
213	265	30	2
228	265	30	2
236	265	30	2
248	265	30	1
189	266	30	2
241	266	30	1
182	267	30	1
214	267	30	1
236	267	30	1
240	267	30	1
250	267	30	1
189	268	30	1
205	268	30	2
207	268	30	1
239	268	30	1
245	268	30	1
246	268	30	1
248	268	30	1
250	268	30	1
178	269	30	1
180	269	30	1
196	269	30	1
204	269	30	1
232	269	30	1
240	269	30	1
248	269	30	1
178	270	30	1
197	270	30	1
201	270	30	1
216	270	30	1
232	270	30	1
233	270	30	1
234	270	30	1
244	270	30	1
245	270	30	1
198	271	30	1
207	271	30	1
229	271	30	1
206	272	30	1
245	272	30	1
203	273	30	1
210	273	30	1
231	273	30	1
233	273	30	2
236	273	30	1
240	273	30	2
241	273	30	1
181	274	30	1
183	274	30	1
208	274	30	1
209	274	30	1
212	274	30	1
236	274	30	1
251	274	30	1
180	275	30	1
183	275	30	2
185	275	30	2
212	275	30	1
238	275	30	1
240	275	30	1
242	275	30	1
250	275	30	1
232	276	30	1
240	276	30	2
241	276	30	1
239	277	30	1
241	277	30	3
247	277	30	1
203	278	30	1
205	278	30	1
206	278	30	1
230	278	30	2
237	278	30	1
246	278	30	1
253	278	30	1
237	279	30	1
245	279	30	1
176	280	30	1
183	280	30	1
206	280	30	1
248	280	30	1
249	280	30	2
179	281	30	1
181	281	30	1
234	281	30	1
172	282	30	1
177	282	30	1
182	282	30	1
215	282	30	2
223	282	30	1
235	282	30	2
237	282	30	1
245	282	30	1
253	282	30	3
205	283	30	1
223	283	30	1
238	283	30	1
240	283	30	1
241	283	30	1
242	283	30	1
181	284	30	1
219	284	30	1
240	284	30	1
252	284	30	1
256	284	30	1
222.5	285.5	30.5	3
229	285	30	1
251	285	30	1
254	285	30	1
255	285	30	1
256	285	30	1
180	286	30	1
227	286	30	1
234	286	30	1
241	286	30	1
244	286	30	1
220	287	30	1
224	287	30	1
231	287	30	1
234	287	30	1
237	287.5	30.5	2
251	287	30	1
252	287	30	1
229	288	30	2
247	288	30	1
253	288	30	1
230	289	30	1
232	289	30	1
240	289	30	1
250	289	30	1
231	290	30	1
233	290	30	1
242	290	30	1
245	290	30	1
197	291	30	1
198	291	30	1
223	291	30	1
248	291	30	1
258	291	30	2
223	292	30	1
224	292	30	1
228	292	30	1
235	292	30	1
243	292	30	1
246	292	30	1
248	292	30	1
219	293	30	2
220	293	30	1
221	293	30	1
222	293	30	1
232	293	30	1
239	293	30	2
240	293	30	1
241	293	30	2
245	293	30	1
251	293	30	1
189	294	30	1
229	294	30	1
237	294	30	1
251	294	30	1
253	294	30	2
197	295	30	1
225	295	30	1
228	295	30	1
234	295	30	1
241	295	30	1
243	295	30	1
222	296	30	1
226	296	30	1
235	296	30	1
237	296	30	1
244	296	30	1
227	297	30	1
245	297	30	1
228	298	30	1
241	298	30	1
246	298	30	1
247	298	30	1
251	298	30	1
231	299	30	1
242	299	30	1
246	299	30	1
247	299	30	1
226	300	30	2
227	300	30	1
228	300	30	1
242	300	30	1
247	300	30	1
248	300	30	1
249	300	30	1
223	301	30	1
227	301	30	1
230	301	30	1
237	301	30	1
240	302	30	1
237	303	30	1
244	303	30	1
246	303	30	1
220	304	30	1
233	304	30	1
238	304	30	1
233	305	30	1
236	306	30	2
226	250	31	1
229	251	31	1
235	251	31	1
235	252	31	1
232	253	31	1
233	253	31	1
238	253	31	1
240	255	31	1
236	256	31	1
239	256	31	1
202	257	31	1
237	257	31	1
238	257	31	1
205	258	31	1
231	258	31	1
233	258	31	2
209	259	31	1
218	259	31	1
235	259	31	1
237	259	31	1
212	260	31	1
220	260	31	1
237	260	31	1
240	260	31	1
181	261	31	2
217	261	31	1
222	262	31	1
227	262	31	1
229	262	31	1
236	262	31	1
242	262	31	1
246	262	31	1
187	263	31	1
188	263	31	1
193	263	31	1
194	263	31	1
200	263	31	1
219	263	31	1
227	263	31	1
244	263	31	1
185	264	31	1
194	264	31	1
195	264	31	1
197	264	31	1
210	264	31	2
214	264	31	1
215	264	31	1
221	264	31	1
222	264	31	1
227	264	31	1
245	264	31	1
248	264	31	1
194	265	31	1
196	265	31	1
213	265	31	1
226	265	31	1
189	266	31	1
197	266	31	1
221	266	31	1
248	266	31	1
197	267	31	1
199	267	31	1
231	267	31	1
233	267	31	2
242	267	31	1
198	268	31	1
225	268	31	1
232	268	31	1
194	269	31	1
199	269	31	1
209	269	31	1
230	269	31	1
178	270	31	1
200	270	31	1
217	270	31	1
237	270	31	1
174	271	31	1
176	271	31	1
182	271	31	1
185	271	31	1
203	271	31	1
209	271	31	1
217	271	31	1
237	271	31	1
245	271	31	1
249	271	31	1
203	272	31	1
225	272	31	1
238	272	31	1
249	272	31	1
250	272	31	1
251	272	31	1
181	273	31	1
183	273	31	1
234	273	31	1
236	273	31	1
242	273	31	1
244	273	31	1
179	274	31	1
185	274	31	1
203	274	31	1
205	274	31	1
211	274	31	2
213	274	31	1
225	274	31	1
229	274	31	1
233	274	31	1
184	275	31	2
205	275	31	1
238	275	31	1
239	275	31	1
226	276	31	1
233	276	31	1
237	276	31	2
241	276	31	2
246	276	31	1
205	277	31	1
209	277	31	1
203	278	31	2
247	278	31	1
249	278	31	1
178	279	31	1
207	279	31	1
237	279	31	1
238	279	31	1
243	279	31	1
244	279	31	1
245	279	31	1
175	280	31	1
217	280	31	1
232	280	31	2
247	280	31	1
249	280	31	1
210	281	31	2
222	281	31	1
224	281	31	1
228	281	31	1
234	281	31	1
237	281	31	1
241	281	31	1
243	281	31	2
179	282	31	1
180	282	31	1
231	282	31	1
244	282	31	1
247	282	31	1
252	282	31	1
219	283	31	1
239	283	31	1
220	284	31	2
223	284	31	1
238	284	31	1
239	284	31	1
244	284	31	1
248	284	31	1
225	285	31	1
226	285	31	2
229	285	31	1
236	285	31	1
243	285	31	2
248	285	31	1
255	285	31	1
218	286	31	1
237	286	31	2
240	286	31	1
246	286	31	1
187	287	31	1
223	287	31	1
224	287	31	1
227	287	31	1
236	287	31	1
241	287	31	1
252	287	31	1
220	288	31	1
221	288	31	1
185	289	31	1
224	289	31	1
227	289	31	2
234	289	31	3
238	289	31	1
240	289	31	1
241	289	31	1
244	289	31	1
221	290	31	1
230	290	31	1
231	290	31	1
242	290	31	1
250	290	31	1
199	291	31	1
227	291	31	1
230	291	31	2
237	291	31	1
247	291	31	1
254	291	31	1
197	292	31	1
232	292	31	1
250	292	31	1
257	292	31	1
221	293	31	1
228	293	31	1
230	293	31	2
237	293	31	1
246	293	31	2
247	293	31	1
202	294	31	1
228	294	31	1
241	294	31	1
244	294	31	2
253	294	31	1
198	295	31	1
223	295	31	1
240	295	31	1
241	295	31	1
249	295	31	2
228	296	31	1
245	296	31	1
248	296	31	1
252	296	31	1
254	296	31	1
223	297	31	1
225	297	31	1
227	297	31	1
235	297	31	1
196	298	31	1
240	298	31	1
242	298	31	1
250	298	31	1
221	299	31	1
232	299	31	1
236	299	31	1
237	299	31	1
228	300	31	1
231	300	31	1
235	300	31	1
237	300	31	2
238	300	31	2
246	300	31	1
224	301	31	1
232	301	31	2
234	301	31	1
241	301	31	1
222	302	31	1
236	302	31	2
248	302	31	1
223	303	31	1
234	303	31	1
237	303	31	1
241	303	31	2
235	304	31	1
225	305	31	1
238	305	31	1
223	306	31	1
231	306	31	2
225	308	31	1
231	252	32	1
235	252	32	2
193	253	32	1
216	253	32	1
217	253	32	2
224	253	32	1
227	253	32	1
229	253	32	1
240	253	32	2
225	254	32	1
226	254	32	1
239	254	32	1
216	255	32	1
226	255	32	1
227	255	32	3
234	256	32	1
195	257	32	1
203	257	32	1
208	257	32	1
230	257	32	1
232	257	32	1
182	258	32	1
216	258	32	1
230	258	32	1
232	258	32	1
239	258	32	1
241	258	32	1
188	259	32	1
209	259	32	1
215	259	32	2
222	259	32	1
227	259	32	1
228	259	32	1
234	259	32	1
242	259	32	1
247	259	32	1
220	260	32	1
228	260	32	1
239	260	32	1
243	260	32	1
246	260	32	1
194	261	32	1
212	261	32	2
220	261	32	1
228	261	32	1
242	261	32	1
196	262	32	1
218	262	32	1
221	262.666666666667	33	1
224	262	32	1
235	262	32	1
236	262	32	1
238	262	32	1
242	262	32	1
250	262	32	1
184	263	32	1
200	263	32	1
204	263	32	2
215	263	32	1
221	263	32	1
228	263	32	1
231	263	32	2
242	263	32	1
243	263	32	1
249	263	32	1
192	264	32	2
210	264	32	1
214	264	32	2
216	264	32	1
222	264	32	1
233	264	32	1
246	264	32	1
250	264	32	1
176	265	32	1
184	265	32	1
187	265	32	1
188	265	32	2
195	265	32	1
230	265	32	2
249	265	32	1
251	265	32	1
184	266	32	1
203	266	32	1
220	266	32	1
222	266	32	1
230	266	32	3
234	266	32	1
239	266	32	1
245	266	32	1
247	266	32	1
182	267	32	1
188	267	32	1
192	267	32	1
211	267	32	1
215	267	32	1
221	267	32	1
