x	y	z	Leading Strand Synthesis
216.157603775171	275.673637444315	34.5586340221659	1
240	286	21	2
239	272	24	1
244	287	24	1
246	287	24	1
249	288	24	1
247	289	24	1
249	289	24	1
239	272	25	2
227	273	25	1
235	273	25	1
234	276	25	1
233	277	25	1
237	277	25	1
234	278	25	1
236	278	25	1
231	279	25	1
238	279	25	1
249	279	25	1
234	280	25	1
236	280	25	1
245	280	25	1
237	281	25	1
241	281	25	1
214	282	25	2
247	282	25	2
236	283	25	1
239	283	25	1
241	283	25	1
245	283	25	1
236	284	25	1
237	284	25	1
241	284	25	1
243	284	25	2
249	284	25	1
215	285	25	1
232	285	25	1
234	285	25	1
241	285	25	1
236	286	25	1
242	287	25	1
249	287	25	2
224	288	25	1
242	288	25	2
226	289	25	1
248.5	289.5	25.5	1
236	290	25	1
237	290	25	1
249	290	25	1
242	291	25	1
251	291	25	1
237	292	25	1
238	292	25	1
244	294	25	1
246	294	25	1
247	294	25	1
241	295	25	1
243	295	25	1
242	296	25	1
243	297	25	1
229	262	26	1
232	265	26	1
234	265	26	1
235	267	26	1
236	268	26	1
229	269	26	1
238	270	26	1
235	271	26	1
226	272	26	1
232	272	26	2
237	276	26	1
244	276	26	1
230	277	26	1
235	278	26	1
240	278	26	1
207	279	26	1
234	279	26	1
246	279	26	1
242	280	26	1
248	281	26	1
249	281	26	2
245	282	26	1
247	282	26	1
231	283	26	1
233	283	26	1
245	283	26	1
212	284	26	1
232	284	26	1
248	284	26	1
250	284	26	1
252	284	26	1
232	285	26	1
235	285	26	1
241	285	26	1
252	285	26	2
225	286	26	1
241	286	26	1
251	286	26	1
223	287	26	1
228	287	26	2
232	287	26	1
243	287	26	1
236	288	26	1
240	288	26	2
248	288	26	1
250	289	26	1
251	289	26	1
238	290	26	1
226	291	26	1
229	291	26	1
237	291	26	1
242	291	26	1
227	292	26	2
237	292	26	1
238	292	26	1
239	292	26	1
244	292	26	1
246	292	26	1
250	292	26	1
225	293	26	1
239	293	26	1
244	293	26	1
245	293	26	1
220	294	26	1
242	294	26	1
246	294	26	1
222	295	26	1
242	295	26	1
235	296	26	1
239	296	26	1
240	296	26	1
242	296	26	1
243	296	26	1
246	297	26	1
235	298	26	1
243	299	26	1
182	255	27	1
184	255	27	1
181	258	27	1
215	258	27	1
184	259	27	1
228	259	27	1
229	259	27	1
184	260	27	1
186	260	27	1
187	261	27	1
220	261	27	1
228	261	27	1
237	261	27	1
186	262	27	1
238	262	27	1
175	263	27	1
211	263	27	1
215	263	27	1
231	263	27	1
231	264	27	1
234	264	27	1
240	264	27	1
248	264	27	1
234	265	27	1
179	266	27	1
221	266	27	1
224	266	27	1
226	266	27	1
234	266	27	1
232	267	27	1
233	267	27	1
180	268	27	1
197	268	27	1
213	268	27	1
219	268	27	1
225	268	27	1
227	268	27	1
238	268	27	1
177	269	27	1
180	269	27	1
207	269	27	1
211	269	27	1
215	269	27	1
218	269	27	2
237	269	27	1
242	269	27	1
252	269	27	1
192	270	27	1
233	270	27	1
234	270	27	1
239	270	27	1
242	270	27	2
177	271	27	1
180	271	27	1
210	271	27	1
217	271	27	1
231	271	27	1
240	271	27	1
250	271	27	1
204	272	27	1
214	272	27	1
231	272	27	1
232	272	27	1
241	272	27	1
250	272	27	1
205	273	27	1
212	273	27	2
213	273	27	1
220	273	27	1
232	273	27	1
234	273	27	1
246	273	27	1
247	273	27	1
253	273	27	1
178	274	27	1
206	274	27	1
224	274	27	1
231	274	27	1
182	275	27	1
224	275	27	1
233	275	27	1
250	275	27	1
252	275	27	1
177	276	27	1
211	276	27	1
214	276	27	1
219	276	27	1
222	276	27	1
238	276	27	1
205	277	27	1
215	277	27	2
227	277	27	1
232	277	27	1
243	277	27	1
249	277	27	1
210	278	27	1
224	278	27	1
238	278	27	1
244	278	27	1
245	278	27	1
210	279	27	1
219	279	27	1
234	279	27	1
236	279	27	1
239	279	27	1
240	279	27	1
244	279	27	1
246	279	27	1
204	280	27	1
207	280	27	1
214	280	27	1
242	280	27	2
244	280	27	1
245	280	27	1
249	280	27	1
250	280	27	1
252	280	27	1
210	281	27	1
234	281	27	1
241	281	27	1
243	281	27	1
245	281	27	1
251	281	27	1
252	281	27	2
256	281	27	1
212	282	27	1
213	282	27	1
214	282	27	1
236	282	27	1
237	282	27	2
243	282	27	1
244	282	27	1
245	282	27	1
247	282	27	1
210	283	27	1
240	283	27	1
213	284	27	1
236	284	27	1
250	284	27	2
199	285	27	1
208	285	27	1
209	285	27	1
220	285	27	1
223	285	27	1
228	285	27	1
249	285	27	1
204	286	27	1
245	286	27	1
251	286	27	1
255	286	27	1
210	287	27	1
219	287	27	1
221	287	27	1
228	287	27	1
233	287	27	1
234	287	27	1
240	287	27	1
246	287	27	1
223	288	27	1
224	288	27	1
231	288	27	1
237	288	27	1
246	288	27	1
247	288	27	1
236	289	27	1
239	289	27	1
240	289	27	1
243	289	27	1
246	289	27	1
230	290	27	2
233	290	27	1
246	290	27	2
247	290	27	1
252	290	27	1
221	291	27	1
224	291	27	1
227	291	27	1
233	291	27	1
238	291	27	1
246	291	27	1
227	292	27	2
248	292	27	1
252	292	27	1
218	293	27	1
219	293	27	1
238	293	27	1
249	293	27	1
231	294	27	1
237	294	27	1
245	294	27	1
252	294	27	1
257	294	27	1
211	295	27	1
218	295	27	1
221	295	27	1
223	295	27	1
251	295	27	1
252	295	27	1
246	296	27	1
255	296	27	2
217	297	27	1
221	297	27	1
242	297	27	1
252	297	27	1
221	298	27	1
235	298	27	1
239	298	27	1
243	298	27	1
229	299	27	1
237	299	27	1
246	299	27	1
247	299	27	1
226	300	27	1
227	300	27	2
228	300	27	2
236	300	27	1
237	300	27	1
242	300	27	1
244	300	27	1
227	301	27	1
235	301	27	1
250	301	27	1
234	302	27	1
237	304	27	1
244	304	27	1
232	264	28	1
235	270	28	1
240	271	28	3
206	272	28	1
214	274	28	1
233	276	28	1
237	277	28	1
235	280	28	1
247	282	28	1
238	283	28	1
248	284	28	1
240	285	28	1
242	285	28	1
237	286	28	1
247	286	28	1
249	286	28	1
244	287	28	1
224	288	28	1
245	288	28	1
231	289	28	1
249	289	28	1
222	292	28	1
240	292	28	1
241	292	28	1
249	294	28	1
251	294	28	1
240	296	28	2
239	297	28	2
245	297	28	1
236	300	28	1
233	256	29	1
233	258	29	1
234	258	29	1
188	259	29	1
238	259	29	1
181	260	29	1
226	261	29	1
229	261	29	1
227	262	29	1
248	264	29	1
178	266	29	1
195	266	29	1
237	266	29	1
250	266	29	2
193	267	29	1
194	268	29	1
235	268	29	1
196	269	29	1
235	269	29	1
230	270	29	1
238	270	29	1
250	270	29	1
229	271	29	1
241	271	29	1
242	271	29	1
249	271	29	1
214	272	29	1
235	272	29	1
238	272	29	1
225	273	29	1
238	273	29	1
250	273	29	1
206	274	29	1
184	275	29	2
231	275	29	1
236	275	29	1
206	276	29	2
228	276	29	2
240	276	29	1
241	276	29	1
246	276	29	1
249	276	29	1
251	277	29	1
237	278	29	1
244	278	29	1
247	278	29	2
206	279	29	1
234	279	29	1
249	279	29	1
252	279	29	1
256	279	29	1
238	280	29	1
246	280	29	1
254	280	29	1
237	281	29	1
206	282	29	1
231	283	29	1
238	283	29	1
239	283	29	1
246	283	29	1
248	283	29	1
249	283	29	1
233	284	29	1
236	284	29	1
237	284	29	1
241	284	29	1
244	284	29	1
245	284	29	1
226	285	29	1
227	285	29	1
233	285	29	1
243	285	29	1
246	285	29	1
247	285	29	1
243	286	29	1
228	287	29	1
238	287	29	1
225	288	29	1
243	288	29	1
249	288	29	2
253	288	29	1
224	289	29	1
225	289	29	1
240	289	29	1
243	289	29	1
250	289	29	1
222	290	29	1
227	290	29	1
242	290	29	2
247	290	29	1
226	291	29	1
239	291	29	1
246	291	29	1
249	291	29	1
222	292	29	1
227	292	29	1
223	293	29	1
246	293	29	1
240	294	29	2
249	294	29	1
247	295	29	1
252	296	29	1
255	296	29	1
227	297	29	1
245	297	29	2
247	298	29	2
