x	y	z	Mitochondrial protein import
183.039773122643	289.659001437601	35.0807824929564	2
132	221	20	1
142	221	20	1
134	222	20	2
176	222	20	1
178	222	20	1
138	223	20	1
175	223	20	2
115	224	20	2
133	224	20	1
144	224	20	2
155	224	20	1
167	224	20	1
135	225	20	1
153	225	20	1
157	225	20	2
159	225	20	2
162	225	20	1
176	225	20	1
119	226	20	1
126	226	20	1
139	226	20	1
156	226	20	1
155	227	20	4
160	227	20	1
178	227	20	1
189	227	20	1
112	228	20	2
119	228	20	3
128	228	20	1
130	228	20	1
151	228	20	2
174	228	20	1
179	228	20	1
197	228	20	2
112	229	20	1
118	229	20	2
126	229	20	2
153	229	20	1
158	229	20	3
159	229	20	1
157	230	20	1
173	230	20	1
186	230	20	2
190	230	20	1
204	230	20	3
113	231	20	3
160	231	20	1
161	231	20	3
177	231	20	2
115	232	20	2
137	232	20	1
142	232	20	1
146	232	20	1
197	232	20	4
130	233	20	1
136	233	20	2
143	233	20	1
144	233	20	1
152	233	20	2
169	233	20	1
170	233	20	1
206	233	20	2
214	233	20	2
215	233	20	1
114	234	20	1
130	234	20	1
154	234	20	1
204	234	20	1
213	234	20	2
215	234	20	2
126	235	20	1
135	235	20	1
136	235	20	1
137	235	20	1
206	235	20	2
218	235	20	3
220	235	20	1
222	235	20	1
127	236	20	3
134	236	20	2
139	236	20	1
141	236	20	1
154	236	20	1
163	236	20	1
129	237	20	1
133	237	20	1
135	237	20	1
137	237	20	3
140	237	20	1
146	237	20	1
147	237	20	2
148	237	20	1
151	237	20	2
154	237	20	1
165	237	20	1
169	237	20	1
202	237	20	1
204	237	20	1
220	237	20	1
232	237	20	1
117	238	20	1
139	238	20	1
143	238	20	1
145	238	20	1
158	238	20	2
168	238	20	1
192	238	20	3
141	239	20	1
142	239	20	2
144	239	20	1
151	239	20	1
160	239	20	1
165	239	20	1
183	239	20	1
215	239	20	2
230	239	20	1
102	240	20	3
126	240	20	1
131	240	20	1
132	240	20	1
149	240	20	2
152	240	20	1
191	240	20	1
216	240	20	2
108	241	20	3
126	241	20	2
129	241	20	3
131	241	20	2
135	241	20	1
138	241	20	2
139	241	20	1
167	241	20	1
237	241	20	1
121	242	20	1
123	242	20	1
128	242	20	1
130	242	20	1
132	242	20	2
137	242	20	1
163	242	20	1
185	242	20	1
207	242	20	1
214	242	20	3
124	243	20	1
140	243	20	2
141	243	20	1
173	243	20	1
181	243	20	2
247	243	20	1
118	244	20	1
123	244	20	1
126	244	20	3
134	244	20	1
135	244	20	1
145	244	20	1
155	244	20	1
162	244	20	2
183	244	20	2
213	244	20	1
220	244	20	3
121	245	20	3
137	245	20	1
169	245	20	3
176	245	20	1
182	245	20	1
183	245	20	2
214	245	20	1
241	245	20	1
126	246	20	2
149	246	20	1
215	246	20	1
221	246	20	2
237	246	20	1
240	246	20	1
246	246	20	1
252	246	20	1
102	247	20	1
133	247	20	1
137	247	20	1
140	247	20	1
163	247	20	1
218	247	20	2
235	247	20	1
109	248	20	2
114	248	20	1
158	248	20	2
166	248	20	2
190	248	20	2
210	248	20	2
215	248	20	1
222	248	20	1
230	248	20	1
102	249	20	2
138	249	20	1
143	249	20	1
145	249	20	1
151	249	20	2
167	249	20	1
169	249	20	1
191	249	20	1
215	249	20	1
218	249	20	1
113	250	20	2
119	250	20	1
131	250	20	1
172	250	20	1
175	250	20	2
225	250	20	1
260	250	20	1
101	251	20	1
133	251	20	2
207	251	20	1
216	251	20	1
220	251	20	2
223	251	20	3
251	251	20	1
175	252	20	1
207	252	20	1
212	252	20	1
218	252	20	2
120	253	20	1
122	253	20	2
139	253	20	1
140	253	20	1
154	253	20	1
175	253	20	1
194	253	20	2
222	253	20	2
231	253	20	1
154	254	20	3
161	254	20	2
180	254	20	1
223	254	20	2
226	254	20	1
238	254	20	1
244	254	20	3
248	254	20	2
143	255	20	1
198	255	20	2
207	255	20	2
214	255	20	1
246	255	20	2
251	255	20	1
110	256	20	1
128	256	20	1
145	256	20	1
158	256	20	1
172	256	20	2
196	256	20	2
205	256	20	2
241	256	20	1
134	257	20	1
146	257	20	1
159	257	20	1
170	257	20	2
171	257	20	2
197	257	20	2
198	257	20	2
228	257	20	3
230	257	20	1
232	257	20	1
234	257	20	2
243	257	20	1
251	257	20	1
255	257	20	1
258	257	20	2
265	257	20	2
128	258	20	1
172	258	20	3
175	258	20	4
176	258	20	2
231	258	20	2
233	258	20	2
107	259	20	1
136	259	20	1
144	259	20	1
145	259	20	1
166	259	20	2
167	259	20	1
193	259	20	2
195	259	20	1
197	259	20	1
203	259	20	1
232	259	20	1
250	259	20	2
252	259	20	1
265	259	20	2
108	260	20	2
127	260	20	1
130	260	20	2
134	260	20	2
200	260	20	1
224	260	20	1
130	261	20	1
140	261	20	1
142	261	20	1
165	261	20	3
199	261	20	1
207	261	20	1
228	261	20	2
231	261	20	2
118	262	20	1
124	262	20	1
144	262	20	1
150	262	20	1
152	262	20	3
225	262	20	2
142	263	20	2
163	263	20	1
166	263	20	1
191	263	20	2
229	263	20	1
246	263	20	3
146	264	20	1
187	264	20	1
220	264	20	1
249	264	20	1
264	264	20	1
124	265	20	1
137	265	20	3
147	265	20	1
162	265	20	2
163	265	20	1
190	265	20	1
218	265	20	1
232	265	20	1
113	266	20	1
117	266	20	2
118	266	20	2
126	266	20	1
155	266	20	2
170	266	20	2
172	266	20	2
179	266	20	1
197	266	20	1
211	266	20	2
231	266	20	2
251	266	20	1
117	267	20	1
118	267	20	1
132	267	20	1
239	267	20	2
262	267	20	1
266	267	20	1
109	268	20	1
113	268	20	1
121	268	20	1
145	268	20	1
146	268	20	1
162	268	20	1
167	268	20	2
209	268	20	2
212	268	20	2
213	268	20	1
216	268	20	1
255	268	20	2
107	269	20	2
112	269	20	1
130	269	20	1
132	269	20	1
140	269	20	2
147	269	20	1
149	269	20	2
151	269	20	1
155	269	20	1
167	269	20	1
173	269	20	1
212	269	20	2
214	269	20	2
257	269	20	1
100	270	20	3
115	270	20	1
117	270	20	1
118	270	20	2
125	270	20	1
147	270	20	1
155	270	20	1
156	270	20	2
162	270	20	1
165	270	20	1
210	270	20	1
217	270	20	1
224	270	20	1
226	270	20	1
261	270	20	1
118	271	20	1
119	271	20	4
133	271	20	1
145	271	20	1
152	271	20	1
159	271	20	1
163	271	20	2
164	271	20	1
167	271	20	3
171	271	20	1
173	271	20	7
225	271	20	1
266	271	20	1
268	271	20	1
107	272	20	1
113	272	20	3
115	272	20	1
120	272	20	1
121	272	20	2
125	272	20	1
144	272	20	1
154	272	20	2
156	272	20	1
162	272	20	3
166	272	20	1
169	272	20	2
170	272	20	1
174	272	20	1
175	272	20	1
176	272	20	1
181	272	20	2
218	272	20	1
260	272	20	1
117	273	20	1
132	273	20	2
149	273	20	1
165	273	20	2
178	273	20	1
206	273	20	1
207	273	20	2
211	273	20	2
223	273	20	1
139	274	20	1
159	274	20	2
165	274	20	2
167	274	20	1
169	274	20	1
170	274	20	1
185	274	20	2
226	274	20	1
227	274	20	1
229	274	20	2
230	274	20	1
131	275	20	1
147	275	20	1
148	275	20	1
154	275	20	1
169	275	20	1
174	275	20	1
200	275	20	2
204	275	20	1
226	275	20	2
235	275	20	1
236	275	20	2
268	275	20	2
110	276	20	1
122	276	20	1
130	276	20	1
136	276	20	1
137	276	20	1
142	276	20	1
155	276	20	1
157	276	20	2
158	276	20	3
162	276	20	1
163	276	20	2
167	276	20	1
174	276	20	2
231	276	20	2
266	276	20	1
111	277	20	1
154	277	20	2
177	277	20	2
189	277	20	1
211	277	20	1
219	277	20	1
220	277	20	1
226	277	20	2
227	277	20	2
249	277	20	1
260	277	20	1
129	278	20	2
152	278	20	2
160	278	20	1
164	278	20	3
168	278	20	2
170	278	20	1
176	278	20	1
180	278	20	1
227	278	20	3
256	278	20	3
269	278	20	1
270	278	20	1
120	279	20	2
150	279	20	3
175	279	20	1
177	279	20	1
178	279	20	1
186	279	20	2
217	279	20	1
218	279	20	2
222	279	20	1
224	279	20	4
225	279	20	1
232	279	20	1
234	279	20	2
241	279	20	1
269	279	20	1
132	280	20	2
133	280	20	1
162	280	20	2
172	280	20	1
173	280	20	1
175	280	20	3
176	280	20	3
199	280	20	1
147	281	20	1
166	281	20	1
168	281	20	2
169	281	20	1
218	281	20	1
222	281	20	2
226	281	20	1
261	281	20	3
116	282	20	3
149	282	20	1
152	282	20	2
172	282	20	2
219	282	20	1
269	282	20	1
276	282	20	2
167	283	20	1
170	283	20	1
173	283	20	2
179	283	20	2
189	283	20	2
203	283	20	2
216	283	20	2
217	283	20	3
226	283	20	1
186	284	20	1
213	284	20	1
214	284	20	3
223	284	20	1
224	284	20	1
119	285	20	2
139	285	20	1
141	285	20	3
157	285	20	1
171	285	20	1
202	285	20	1
210	285	20	4
223	285	20	1
230	285	20	1
250	285	20	1
129	286	20	1
151	286	20	1
164	286	20	1
213	286	20	1
218	286	20	1
225	286	20	1
271	286	20	1
129	287	20	1
146	287	20	2
205	287	20	3
220	287	20	2
221	287	20	1
224	287	20	1
268	287	20	1
136	288	20	2
169	288	20	2
170	288	20	1
196	288	20	2
215	288	20	1
218	288	20	2
224	288	20	2
238	288	20	1
124	289	20	2
149	289	20	3
179	289	20	2
181	289	20	3
201	289	20	1
217	289	20	1
271	289	20	3
140	290	20	1
142	290	20	1
161	290	20	1
214	290	20	5
224	290	20	2
259	290	20	1
271	290	20	1
108	291	20	1
151	291	20	1
163	291	20	1
227	291	20	2
104	292	20	1
112	292	20	1
129	292	20	1
140	292	20	2
173	292	20	1
189	292	20	2
195	292	20	1
199	292	20	1
207	292	20	2
213	292	20	2
242	292	20	1
244	292	20	2
249	292	20	1
265	292	20	1
268	292	20	1
106	293	20	1
117	293	20	3
133	293	20	1
161	293	20	1
165	293	20	2
219	293	20	2
222	293	20	2
225	293	20	1
258	293	20	3
261	293	20	1
118	294	20	1
141	294	20	4
174	294	20	1
194	294	20	1
209	294	20	1
220	294	20	1
264	294	20	2
269	294	20	1
116	295	20	1
