x	y	z	Cholesterol biosynthesis
240	277	24	1
232	278	24	1
239	278	24	1
244	288	24	1
231	268	25	1
230	272	25	1
233	272	25	1
236	275	25	1
239	276	25	1
240	276	25	1
234	277	25	2
236	278	25	1
239	278	25	1
234	279	25	1
235	279	25	1
233	280	25	1
234	281	25	1
243	281	25	1
234	282	25	1
233	283	25	1
235	284	25	1
245	284	25	1
252	284	25	1
215	285	25	1
232	285	25	1
240	285	25	2
244	285	25	1
253	285	25	2
218	286	25	1
240	286	25	1
245	287	25	1
242	289	25	2
248.5	289.5	25.5	1
252	289	25	1
235	290	25	1
236	290	25	1
238	290	25	1
234	291	25	1
243	292	25	1
239	293	25	1
243	293	25	1
240	294	25	2
242	294	25	1
243	299	25	1
227	300	25	1
239	300	25	1
183	258	26	1
234	267	26	1
241	267	26	1
235	268	26	1
236	268	26	1
228	269	26	1
237	269	26	2
235	270	26	1
238	270	26	1
235	271	26	1
224	272	26	1
230	272	26	1
234	272	26	2
248	273	26	1
237	275	26	1
245	275	26	1
249	275	26	1
235	276	26	1
244	276	26	2
207	277	26	1
232	277	26	2
233	279	26	1
236	279	26	2
239	279	26	1
241	279	26	1
250	279	26	1
208	280	26	1
230	280	26	1
235	281	26	1
244	281	26	1
209	282	26	1
231	282	26	1
233	282	26	1
254	282	26	1
209	283	26	2
252	283	26	1
214	284	26	1
232	284	26	1
237	284	26	1
238	284	26	1
241	284	26	1
245	284	26	1
211	285	26	1
236	285	26	1
237	285	26	1
246	285	26	1
253	285	26	1
232	286	26	1
234	286	26	1
243	286	26	1
250	286	26	1
251	286	26	1
254	286	26	1
236	287	26	1
243	287	26	1
247	287	26	1
248	287	26	1
252	287	26	2
235	288	26	2
250	288	26	1
223	289	26	1
231	289	26	1
236	289	26	1
242	289	26	1
248	289	26	1
225	290	26	1
233	290	26	1
237	290	26	1
238	290	26	1
239	290	26	2
246	291	26	1
226	292	26	1
237	292	26	1
246	292	26	2
251	292	26	1
252	292	26	1
236	293	26	1
245	293	26	1
253	293	26	1
239	294	26	1
244	294	26	1
222	295	26	1
234	295	26	1
248	295	26	1
241	296	26	1
243	296	26	1
237	297	26	1
242	297	26	1
236	298	26	1
239	299	26	1
182	255	27	1
186	257	27	1
184	258	27	1
215	258	27	2
228	259	27	1
176	260	27	1
184	260	27	1
222	261	27	1
227	261	27	1
230	261	27	2
233	262	27	1
239	262	27	1
183	263	27	1
215	263	27	1
234	263	27	1
236	263	27	2
244	263	27	1
226	264	27	1
237	264	27	1
240	264	27	2
181	265	27	1
231	265	27	1
235	265	27	1
237	265	27	1
179	266	27	1
201	266	27	1
231	266	27	2
217	267	27	1
228	267	27	1
236	267	27	1
197	268	27	1
236	268	27	1
179	269	27	1
227	269	27	1
215	270	27	1
228	270	27	1
236	270	27	1
238	270	27	1
180	271	27	1
182	271	27	1
248	271	27	1
251	271	27	1
205	272	27	1
207	272	27	1
213	272	27	1
223	272	27	1
229	272	27	1
238	272	27	1
207	273	27	1
212	273	27	2
238	273	27	2
178	274	27	1
179	274	27	1
207	274	27	1
213	274	27	3
226	274	27	1
236	274	27	2
239	274	27	1
241	274	27	2
250	274	27	1
182	275	27	1
184	275	27	1
206	275	27	1
220	275	27	1
235	275	27	1
246	275	27	1
247	275	27	1
205	276	27	1
207	276	27	1
239	276	27	1
210	277	27	1
220	277	27	1
245	277	27	1
203	278	27	1
229	278	27	1
231	278	27	1
210	279	27	1
219	279	27	1
220	279	27	1
231	279	27	1
234	279	27	1
238	279	27	1
241	279	27	1
243	279	27	1
204	280	27	1
206	280	27	1
214	280	27	1
240	280	27	1
245	280	27	1
206	281	27	1
215	281	27	1
240	281	27	1
206	282	27	1
227	282	27	1
231	282	27	1
237	282	27	1
207	283	27	1
210	283	27	1
215	283	27	1
249	283	27	1
253	283	27	1
205	284	27	1
207	284	27	1
251	284	27	2
213	285	27	1
219	285	27	1
228	285	27	1
233	285	27	1
234	285	27	1
235	285	27	1
237	285	27	1
245	285	27	1
247	285	27	1
253	285	27	2
254	285	27	2
256	285	27	1
206	286	27	1
219	286	27	1
240	286	27	1
241	286	27	1
255	286	27	1
232	287	27	1
236	287	27	1
239	287	27	1
249	287	27	1
253	287	27	1
231	288	27	2
234	288	27	1
241	288	27	1
243	288	27	1
245	288	27	1
246	288	27	1
247	288	27	1
252	288	27	2
203	289	27	1
230	289	27	1
246	289	27	1
214	290	27	1
236	290	27	1
241	290	27	1
252	290	27	1
253	290	27	1
221	291	27	1
228	291	27	1
238	291	27	1
240	291	27	1
243	291	27	1
247	291	27	1
237	292	27	1
248	292	27	1
252	292	27	1
234	293	27	1
238	293	27	1
219	294	27	1
225	294	27	1
231	294	27	1
238	294	27	1
251	294	27	1
219	295	27	1
220	295	27	1
239	295	27	1
249	295	27	2
251	295	27	1
252	295	27	2
211	296	27	1
221	296	27	1
237	296	27	1
247	296	27	1
236	297	27	2
238	297	27	1
238	298	27	1
247	298	27	1
223	299	27	1
230	299	27	1
239	299	27	1
227	300	27	1
236	300	27	1
237	300	27	1
224	301	27	1
235	301	27	1
239	301	27	1
