x	y	z	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
240	277	24	1
239	278	24	2
244	287	24	1
248	289	24	1
249	289	24	1
244	290	24	2
231	264	25	1
232	265	25	2
231	268	25	1
238	270	25	1
234	271	25	1
238	272	25	1
236	273	25	1
231	274	25	2
233	274	25	1
235	274	25	1
235	275	25	1
237	275	25	1
238	275	25	1
232.5	276.5	25.5	2
233	276	25	1
234	276	25	1
235	276	25	1
240	276	25	1
231	277	25	2
234	277	25	1
236	277	25	1
231	278	25	1
234	278	25	1
236	278	25	1
236	279	25	1
237	279	25	1
247	279	25	1
249	279	25	1
232	280	25	2
236	280	25	1
240	281	25	1
249	281	25	1
231	282	25	1
235	282	25	1
249	282	25	1
234	283	25	1
237	283	25	1
239	283	25	1
233	284	25	1
234	284	25	1
243	284	25	1
244	284	25	1
252	284	25	1
215	285	25	1
235	285	25	1
238	285	25	1
244	285	25	2
246	285	25	1
253	285	25	1
232	286	25	1
234	286	25	1
240	286	25	1
245	286	25	1
223	287	25	1
242	287	25	1
245	287	25	1
237	288	25	1
236	289	25	1
237	289	25	1
241	289	25	1
250	289	25	2
252	289	25	1
235	290	25	2
238	290	25	1
243	290	25	3
250	290	25	1
246	291	25	1
243	292	25	1
250	292	25	1
240	293	25	3
243	293	25	1
244	293	25	1
247	293	25	1
242	294	25	2
237	295	25	1
241	295	25	1
245	295	25	1
247	296	25	1
243	299	25	1
227	300	25	1
240	300	25	1
239	302	25	1
229	262	26	2
230	264	26	1
232	265	26	1
234	265	26	1
235	268	26	1
241	268	26	3
229	269	26	1
233	270	26	1
238	270	26	1
240	270	26	1
250	270	26	1
236	273	26	1
239	273	26	1
232	275	26	1
207	276	26	1
231	276	26	1
232	276	26	1
233	276	26	2
234	276	26	1
235	276	26	2
237	276	26	1
248	276	26	1
232	277	26	1
237	277	26	1
240	277	26	1
235	278	26	1
236	278	26	1
237	278	26	1
232	279	26	1
234	279	26	1
237	279	26	1
239	279	26	1
240	279	26	1
246	279	26	1
249	279	26	1
230	280	26	1
236	280	26	1
240	280	26	1
242	280	26	1
247	280	26	1
232	281	26	2
234	281	26	1
237	281	26	1
248	281	26	2
209	282	26	2
212	282	26	1
231	282	26	1
233	282	26	1
242	282	26	1
247	282	26	1
250	282	26	2
253	282	26	1
254	282	26	2
227	283	26	1
234	283	26	1
238	283	26	1
239	283	26	1
245	283	26	3
246	283	26	1
254	283	26	1
212	284	26	1
215	284	26	1
232	284	26	1
235	284	26	1
236	284	26	1
237	284	26	1
238	284	26	1
241	284	26	1
246	284	26	1
211	285	26	1
235	285	26	1
237	285	26	1
240	285	26	1
250	285	26	1
216	286	26	1
232	286	26	1
235	286	26	1
236	286	26	1
243	286	26	1
223	287	26	1
228	287	26	1
232	287	26	1
238	287	26	1
250	287	26	1
251	287	26	1
253	287	26	1
235	288	26	1
241	288	26	3
243	288	26	2
245	288	26	1
249	288	26	1
252	288	26	1
253	288	26	1
223	289	26	2
242	289	26	1
243	289	26	1
252	289	26	1
225	290	26	1
233	290	26	1
237	290	26	1
243	290	26	1
244	291	26	1
250	291	26	1
227	292	26	1
239	292	26	1
240	292	26	2
242	292	26	1
252	292	26	2
236	293	26	1
244	293	26	1
245	293	26	1
247	293	26	1
253	293	26	1
235	294	26	1
242	294	26	1
243	294	26	1
244	294	26	1
246	294	26	1
249	294	26	1
221	295	26	1
234	295	26	1
240	295	26	1
239	296	26	1
240	296	26	1
241	296	26	1
236	297	26	1
240	297	26	1
242	297	26	1
245	297	26	1
236	298	26	1
236	299	26	1
240	299	26	1
241	299	26	1
243	299	26	1
225	300	26	1
236	300	26	1
241	300	26	1
235	301	26	2
184	255	27	1
181	258	27	1
184	258	27	1
180	259	27	2
228	259	27	1
229	259	27	1
184	260	27	1
227	260	27	2
234	260	27	2
235	260	27	1
237	260	27	1
240	260	27	1
177	261	27	1
181	261	27	1
182	261	27	1
187	261	27	1
230	261	27	1
231	261	27	1
235	261	27	1
236	261	27	1
177	262	27	1
182	262	27	1
186	262	27	2
227	262	27	2
179	263	27	2
181	263	27	1
182	263	27	1
184	263	27	1
210	263	27	1
220	263	27	1
225	263	27	2
227	263	27	1
236	263	27	1
176	264	27	1
209	264	27	1
219	264	27	1
224	264	27	1
229	264	27	1
237	264	27	1
238	264	27	1
248	264	27	1
181	265	27	2
184	265	27	1
215	265	27	1
221	265	27	2
237	265	27	1
238	265	27	1
239	265	27	1
240	265	27	1
179	266	27	1
215	266	27	1
217	266	27	1
239	266	27	1
214	267	27	1
229	267	27	1
232	267	27	1
236	267	27	2
240	267	27	1
250	267	27	1
197	268	27	1
207	268	27	1
213	268	27	2
214	268	27	1
222	268	27	1
223	268	27	1
224	268	27	1
225	268	27	1
226	268	27	1
227	268	27	1
228	268	27	1
232	268	27	1
238	268	27	2
240	268	27	1
243	268	27	1
247	268	27	1
179	269	27	2
201	269	27	1
207	269	27	3
211	269	27	1
214	269	27	1
218	269	27	1
224	269	27	1
227	269	27	1
231	269	27	1
233	269	27	1
239	269	27	1
241	269	27	2
242	269	27	1
184	270	27	1
217	270	27	1
218	270	27	3
221	270	27	2
226	270	27	3
232	270	27	1
243	270	27	1
210	271	27	2
215	271	27	1
216	271	27	1
222	271	27	1
226	271	27	1
231	271	27	1
238	271	27	1
239	271	27	1
242	271	27	1
247	271	27	2
251	271	27	1
176	272	27	1
181	272	27	1
203	272	27	1
214	272	27	1
220	272	27	1
235	272	27	1
238	272	27	1
250	272	27	1
183	273	27	1
205	273	27	1
207	273	27	1
210	273	27	1
214	273	27	1
224	273	27	1
231	273	27	1
241	273	27	1
249	273	27	1
251	273	27	1
179	274	27	1
182	274	27	1
208	274	27	1
209	274	27	1
216	274	27	1
221	274	27	1
229	274	27	1
232	274	27	2
237	274	27	2
239	274	27	2
240	274	27	1
254	274	27	1
184	275	27	1
185	275	27	2
205	275	27	1
206	275	27	1
212	275	27	1
217	275	27	1
218	275	27	1
220	275	27	1
222	275	27	1
224	275	27	1
228	275	27	2
230	275	27	1
232	275	27	1
239	275	27	1
240	275	27	1
247	275	27	1
250	275	27	1
177	276	27	1
204	276	27	1
205	276	27	1
213	276	27	1
219	276	27	1
240	276	27	1
252	276	27	1
205	277	27	1
208	277	27	2
213	277	27	2
215	277	27	1
219	277	27	1
224	277	27	2
227	277	27	1
233	277	27	2
235	277	27	1
239	277	27	1
244	277	27	1
249	277	27	1
252	277	27	1
208	278	27	2
209	278	27	1
213	278	27	1
214	278	27	1
219	278	27	2
220	278	27	2
224	278	27	1
230	278	27	1
231	278	27	1
235	278	27	1
240	278	27	2
248	278	27	1
252	278	27	2
207	279	27	1
208	279	27	1
220	279	27	1
239	279	27	3
240	279	27	2
241	279	27	2
242	279	27	1
243	279	27	1
244	279	27	1
245	279	27	1
247	279	27	2
248	279	27	1
257	279	27	1
209	280	27	1
214	280	27	1
234	280	27	2
235	280	27	1
239	280	27	1
243	280	27	1
245	280	27	1
249	280	27	2
252	280	27	1
207	281	27	1
209	281	27	1
210	281	27	1
214	281	27	1
217	281	27	1
218	281	27	1
230	281	27	2
231	281	27	1
241	281	27	1
244	281	27	1
245	281	27	1
251	281	27	1
252	281	27	2
256	281	27	1
205	282	27	2
209	282	27	1
214	282	27	2
227	282	27	2
229	282	27	2
239	282	27	1
240	282	27	1
242	282	27	1
244	282	27	1
246	282	27	1
253	282	27	1
254	282	27	1
206	283	27	1
208	283	27	1
218	283	27	2
231	283	27	1
236	283	27	2
240	283	27	1
245	283	27	2
247	283	27	1
253	283	27	1
254	283	27	1
255	283	27	1
256	283	27	1
208	284	27	1
210	284	27	1
212	284	27	1
214	284	27	1
230	284	27	1
232	284	27	1
238	284	27	1
243	284	27	1
256	284	27	1
199	285	27	1
206	285	27	1
208	285	27	1
211	285	27	1
213	285	27	2
233	285	27	1
240	285	27	3
242	285	27	1
256	285	27	1
204	286	27	1
209	286	27	1
211	286	27	1
222	286	27	1
224	286	27	1
232	286	27	1
233	286	27	1
234	286	27	1
239	286	27	2
240	286	27	1
241	286	27	1
247	286	27	1
251	286	27	2
252	286	27	1
255	286	27	1
214	287	27	1
219	287	27	1
227	287	27	2
228	287	27	2
230	287	27	1
237	287	27	1
238	287	27	1
247	287	27	1
251	287	27	2
253	287	27	1
224	288	27	1
225	288	27	1
226	288	27	1
233	288	27	1
235	288	27	1
237	288	27	1
240	288	27	1
242	288	27	1
249	288	27	2
251	288	27	1
219	289	27	2
225	289	27	1
227	289	27	1
228	289	27	2
231	289	27	1
232	289	27	1
246	289	27	1
251	289	27	1
253	289	27	1
225	290	27	1
226	290	27	1
230	290	27	1
231	290	27	1
235	290	27	2
243	290	27	1
247	290	27	1
250	290	27	1
253	290	27	1
210	291	27	1
233	291	27	1
236	291	27	1
238	291	27	1
239	291	27	1
240	291	27	1
242	291	27	1
243	291	27	1
246	291	27	1
247	291	27	1
248	291	27	1
252	291	27	1
211	292	27	1
218	292	27	2
222	292	27	1
223	292	27	1
224	292	27	1
225	292	27	2
230	292	27	1
250	292	27	1
254	292	27	1
237	293	27	1
238	293	27	1
239	293	27	2
243	293	27	2
244	293	27	1
250	293	27	1
253	293	27	1
256	293	27	1
217	294	27	1
236	294	27	1
237	294	27	1
244	294	27	1
245	294	27	1
246	294	27	1
248	294	27	1
251	294	27	2
255	294	27	1
257	294	27	1
218	295	27	1
221	295	27	1
243	295	27	1
246	295	27	1
248	295	27	1
250	295	27	1
220	296	27	1
221	296	27	1
236	296	27	1
245	296	27	1
246	296	27	1
247	296	27	1
252	296	27	1
220	297	27	1
221	297	27	2
237	297	27	2
239	297	27	1
242	297	27	2
235	298	27	1
236	298	27	1
238	298	27	2
241	298	27	1
244	298	27	1
247	298	27	1
248	298	27	1
226	299	27	1
240	299	27	1
243	299	27	2
249	299	27	1
228	300	27	2
231	300	27	1
239	300	27	1
242	300	27	1
247	300	27	1
224	301	27	2
227	301	27	2
235	301	27	1
240	301	27	2
241	301	27	1
243	301	27	2
245	301	27	1
251	301	27	1
235	302	27	1
237	304	27	2
238	304	27	1
231	264	28	2
234	265	28	3
231	266	28	2
232	266	28	1
234	266	28	1
235	266	28	1
234	267	28	1
231	268	28	1
237	268	28	1
236	270	28	1
237	270	28	1
238	270	28	1
237	271	28	1
240	271	28	1
206	272	28	1
236	272	28	1
232	274	28	2
235	275	28	1
235	276	28	2
237	276	28	3
236	277	28	1
236	278	28	1
237	279	28	1
239	280	28	1
248	281	28	1
246	282	28	1
247	282	28	1
249	282	28	1
238	283	28	1
249	283	28	1
254	283	28	1
235	284	28	1
246	284	28	2
250	284	28	1
238	285	28	1
245	285	28	1
248	285	28	1
232	286	28	1
235	286	28	1
249	286	28	1
245	287	28	1
248	287	28	1
246	289	28	1
240	290	28	1
242	290	28	1
245	290	28	1
241	291	28	1
250	291	28	2
222	292	28	1
240	292	28	1
248	292	28	1
243	293	28	2
248	293	28	1
251	294	28	1
240	295	28	1
245	295	28	2
245	297	28	2
240	299	28	1
236	300	28	1
240	300	28	1
235	256	29	1
182	257	29	1
235	257	29	2
228	258	29	3
235	258	29	1
230	259	29	1
227	261	29	1
229	261	29	1
231	261	29	1
227	262	29	1
222	263	29	1
232	263	29	1
216	264	29	1
224	264	29	1
231	264	29	2
245	264	29	4
248	264	29	1
232	265	29	1
234	265	29	2
178	266	29	2
228	266	29	1
229	266	29	1
250	266	29	1
194	267	29	1
196	267	29	2
214	267	29	1
226	267	29	1
231	267	29	1
234	267	29	2
236	267	29	1
194	268	29	1
193	269	29	1
196	269	29	1
232	269	29	1
237	269	29	2
248	269	29	2
196	270	29	1
215	270	29	1
237	270	29	1
239	270	29	1
203	271	29	1
214	271	29	3
216	271	29	1
235	271	29	1
238	271	29	1
240	271	29	1
242	271	29	1
251	271	29	1
213	272	29	2
232	272	29	1
