x	y	z	Mitochondrial translation
183.039773122643	289.659001437601	35.0807824929564	1
132	221	20	1
123	222	20	1
134	222	20	2
142	222	20	1
176	222	20	1
178	222	20	1
115	224	20	1
144	224	20	2
156	224	20	1
172	224	20	2
176	224	20	2
135	225	20	2
153	225	20	3
159	225	20	1
162	225	20	1
176	225	20	1
119	226	20	2
126	226	20	1
158	226	20	3
155	227	20	1
160	227	20	1
128	228	20	1
155	228	20	1
157	228	20	1
196	228	20	1
197	228	20	1
112	229	20	1
158	229	20	1
127	230	20	1
157	230	20	2
173	230	20	1
186	230	20	1
190	230	20	2
204	230	20	1
113	231	20	2
116	231	20	2
149	231	20	1
154	231	20	5
170	231	20	2
137	232	20	1
146	232	20	1
152	233	20	1
165	233	20	4
206	233	20	1
215	233	20	1
114	234	20	1
135	234	20	2
138	234	20	2
154	234	20	2
213	234	20	1
215	234	20	1
129	235	20	1
137	235	20	1
143	235	20	1
151	235	20	1
158	235	20	1
216	235	20	2
139	236	20	1
141	236	20	1
146	236	20	1
163	236	20	1
215	236	20	1
133	237	20	1
135	237	20	1
146	237	20	1
151	237	20	1
154	237	20	1
165	237	20	3
168	237	20	1
173	237	20	2
202	237	20	1
204	237	20	2
220	237	20	1
222	237	20	1
232	237	20	1
248	237	20	1
117	238	20	1
126	238	20	1
139	238	20	3
140	238	20	2
141	238	20	1
158	238	20	1
139	239	20	2
144	239	20	1
151	239	20	1
160	239	20	1
215	239	20	3
230	239	20	1
102	240	20	3
126	240	20	1
132	240	20	3
146	240	20	2
147	240	20	1
149	240	20	1
152	240	20	1
191	240	20	2
214	240	20	1
216	240	20	2
231	240	20	1
239	240	20	1
108	241	20	2
111	241	20	1
122	241	20	1
127	241	20	1
135	241	20	1
138	241	20	2
141	241	20	1
146	241	20	1
237	241	20	1
120	242	20	1
123	242	20	1
128	242	20	1
130	242	20	1
132	242	20	2
137	242	20	2
141	242	20	2
148	242	20	1
163	242	20	1
183	242	20	1
185	242	20	1
207	242	20	3
124	243	20	2
140	243	20	3
173	243	20	1
118	244	20	1
126	244	20	1
145	244	20	2
154	244	20	2
155	244	20	1
162	244	20	2
183	244	20	1
188	244	20	1
207	244	20	2
210	244	20	2
220	244	20	1
242	244	20	1
108	245	20	2
111	245	20	1
160	245	20	2
169	245	20	1
176	245	20	1
241	245	20	1
117	246	20	1
130	246	20	1
149	246	20	1
215	246	20	1
221	246	20	1
240	246	20	2
246	246	20	1
133	247	20	1
140	247	20	3
163	247	20	2
218	247	20	1
109	248	20	5
141	248	20	1
158	248	20	2
166	248	20	1
175	248	20	2
190	248	20	3
215	248	20	1
230	248	20	2
102	249	20	2
138	249	20	3
145	249	20	1
151	249	20	2
167	249	20	1
169	249	20	1
191	249	20	1
215	249	20	1
218	249	20	4
101	250	20	2
113	250	20	1
119	250	20	1
121	250	20	2
131	250	20	1
155	250	20	1
157	250	20	3
172	250	20	3
175	250	20	1
225	250	20	2
227	250	20	1
175	251	20	2
216	251	20	1
218	251	20	1
161	252	20	1
175	252	20	1
207	252	20	2
212	252	20	1
218	252	20	1
226	252	20	1
122	253	20	1
140	253	20	1
222	253	20	1
231	253	20	1
252	253	20	1
124	254	20	2
127	254	20	2
148	254	20	1
180	254	20	3
183	254	20	3
217	254	20	1
223	254	20	1
226	254	20	1
243	254	20	1
244	254	20	1
121	255	20	1
143	255	20	1
149	255	20	1
197	255	20	1
246	255	20	1
251	255	20	3
110	256	20	2
128	256	20	2
157	256	20	2
161	256	20	2
166	256	20	3
198	256	20	2
227	256	20	2
234	256	20	1
241	256	20	2
124	257	20	3
134	257	20	1
146	257	20	1
171	257	20	1
175	257	20	1
177	257	20	1
198	257	20	1
162	258	20	1
232	258	20	1
233	258	20	3
107	259	20	1
136	259	20	3
144	259	20	1
145	259	20	1
166	259	20	1
193	259	20	1
201	259	20	3
229	259	20	1
231	259	20	2
232	259	20	2
265	259	20	1
127	260	20	2
147	260	20	2
157	260	20	2
184	260	20	1
245	260	20	1
112	261	20	2
130	261	20	2
147	261	20	1
165	261	20	2
191	261	20	2
215	261	20	1
226	261	20	2
231	261	20	2
118	262	20	2
124	262	20	1
223	262	20	3
225	262	20	3
230	262	20	2
254	262	20	2
166	263	20	2
229	263	20	2
259	263	20	1
265	263	20	1
105	264	20	3
126	264	20	2
163	264	20	1
168	264	20	1
187	264	20	2
220	264	20	1
249	264	20	1
250	264	20	1
124	265	20	1
162	265	20	3
163	265	20	3
176	265	20	2
179	265	20	1
218	265	20	2
232	265	20	2
236	265	20	1
113	266	20	1
120	266	20	1
126	266	20	1
129	266	20	2
132	266	20	1
136	266	20	2
158	266	20	3
160	266	20	1
172	266	20	1
197	266	20	1
225	266	20	1
116	267	20	1
168	267	20	1
239	267	20	2
109	268	20	1
113	268	20	1
121	268	20	2
141	268	20	3
145	268	20	1
146	268	20	3
151	268	20	2
156	268	20	1
157	268	20	3
162	268	20	1
212	268	20	1
213	268	20	1
216	268	20	1
107	269	20	2
112	269	20	1
118	269	20	1
119	269	20	1
140	269	20	1
147	269	20	2
151	269	20	1
165	269	20	1
167	269	20	2
173	269	20	1
212	269	20	1
246	269	20	3
257	269	20	4
100	270	20	1
125	270	20	1
147	270	20	1
156	270	20	2
162	270	20	3
165	270	20	1
166	270	20	1
210	270	20	2
217	270	20	1
227	270	20	1
118	271	20	2
119	271	20	2
