x	y	z	G alpha (i) signalling events
238	283	27	2
239	283	27	2
240	283	27	2
243	283	27	2
244	283	27	3
245	283	27	1
247	283	27	2
251	283	27	2
253	283	27	1
254	283	27	1
256	283	27	2
205	284	27	2
207	284	27	3
208	284	27	2
209	284	27	2
210	284	27	2
212	284	27	1
213	284	27	2
214	284	27	2
215	284	27	1
232	284	27	2
236	284	27	2
237	284	27	2
238	284	27	1
240	284	27	1
249	284	27	1
250	284	27	1
251	284	27	1
252	284	27	1
253	284	27	2
254	284	27	1
255	284	27	2
256	284	27	2
257	284	27	1
199	285	27	1
200	285	27	1
204	285	27	1
208	285	27	6
209	285	27	3
212	285	27	2
213	285	27	2
215	285	27	3
219	285	27	1
228	285	27	1
233	285	27	1
234	285	27	2
236	285	27	1
237	285	27	1
241	285	27	1
242	285	27	1
245	285	27	1
247	285	27	1
250	285	27	1
253	285	27	1
254	285	27	1
255	285	27	1
256	285	27	1
204	286	27	1
207	286	27	1
208	286	27	2
209	286	27	2
212	286	27	1
214	286	27	1
216	286	27	2
218	286	27	3
219	286	27	3
220	286	27	1
222	286	27	1
224	286	27	1
225	286	27	1
226	286	27	1
233	286	27	1
234	286	27	1
239	286	27	1
240	286	27	1
241	286	27	1
246	286	27	5
248	286	27	1
249	286	27	1
252	286	27	2
254	286	27	1
258	286	27	1
207	287	27	1
210	287	27	1
214	287	27	1
219	287	27	2
222	287	27	1
227	287	27	1
228	287	27	2
230	287	27	3
231	287	27	3
232	287	27	3
233	287	27	1
236	287	27	1
237	287	27	2
239	287	27	1
242	287	27	2
243	287	27	2
246	287	27	1
248	287	27	1
255	287	27	1
256	287	27	2
207	288	27	1
211	288	27	1
222	288	27	1
223	288	27	1
224	288	27	2
229	288	27	1
231	288	27	1
232	288	27	1
234	288	27	1
235	288	27	2
236	288	27	1
237	288	27	1
238	288	27	1
241	288	27	4
242	288	27	2
244	288	27	1
246	288	27	1
250	288	27	2
251	288	27	3
253	288	27	3
255	288	27	3
203	289	27	1
219	289	27	2
223	289	27	1
224	289	27	1
226	289	27	2
227	289	27	2
228	289	27	2
230	289	27	3
231	289	27	1
233	289	27	1
234	289	27	1
235	289	27	1
236	289	27	1
237	289	27	1
239	289	27	1
241	289	27	1
242	289	27	1
243	289	27	3
249	289	27	1
253	289	27	1
254	289	27	2
256	289	27	2
219	290	27	2
222	290	27	2
225	290	27	1
227	290	27	2
231	290	27	1
233	290	27	1
234	290	27	1
235	290	27	1
239	290	27	2
241	290	27	1
243	290	27	1
247	290	27	1
249	290	27	1
250	290	27	1
251	290	27	2
252	290	27	1
210	291	27	1
211	291	27	2
221	291	27	1
225	291	27	1
228	291	27	3
229	291	27	1
235	291	27	1
236	291	27	2
237	291	27	3
238	291	27	2
239	291	27	1
241	291	27	3
243	291	27	2
247	291	27	1
248	291	27	2
249	291	27	1
250	291	27	1
251	291	27	1
252	291	27	2
257	291	27	1
211	292	27	1
218	292	27	2
220	292	27	1
221	292	27	3
222	292	27	1
223	292	27	3
224	292	27	1
225	292	27	3
228	292	27	1
229	292	27	1
237	292	27	1
238	292	27	1
239	292	27	1
248	292	27	1
249	292	27	1
251	292	27	1
252	292	27	2
253	292	27	1
254	292	27	1
210	293	27	1
211	293	27	3
218	293	27	1
220	293	27	1
221	293	27	1
224	293	27	3
225	293	27	1
226	293	27	1
234	293	27	1
237	293	27	1
240	293	27	1
242	293	27	1
243	293	27	1
244	293	27	1
245	293	27	2
247	293	27	2
248	293	27	2
249	293	27	1
253	293	27	1
254	293	27	2
256	293	27	2
211	294	27	2
213	294	27	2
217	294	27	1
220	294	27	2
224	294	27	1
225	294	27	1
235	294	27	2
236	294	27	1
237	294	27	2
244	294	27	3
245	294	27	1
249	294	27	1
251	294	27	2
253	294	27	3
254	294	27	2
255	294	27	2
211	295	27	2
220	295	27	2
221	295	27	2
222	295	27	2
226	295	27	2
243	295	27	1
244	295	27	3
246	295	27	1
248	295	27	2
249	295	27	1
250	295	27	1
252	295	27	4
255	295	27	1
211	296	27	2
237	296	27	1
238	296	27	1
239	296	27	1
241	296	27	2
245	296	27	1
246	296	27	1
249	296	27	2
255	296	27	1
221	297	27	2
225	297	27	1
236	297	27	1
239	297	27	2
240	297	27	1
242	297	27	1
245	297	27	1
249	297	27	3
251	297	27	2
221	298	27	5
224	298	27	2
226	298	27	2
235	298	27	2
236	298	27	2
237	298	27	1
238	298	27	1
243	298	27	1
244	298	27	1
245	298	27	2
247	298	27	2
215	299	27	2
223	299	27	2
226	299	27	1
229	299	27	3
230	299	27	1
236	299	27	3
237	299	27	1
239	299	27	1
240	299	27	1
241	299	27	1
243	299	27	1
245	299	27	1
248	299	27	2
249	299	27	1
252	299	27	1
226	300	27	1
228	300	27	1
231	300	27	1
235	300	27	1
236	300	27	2
237	300	27	2
239	300	27	2
240	300	27	1
242	300	27	2
244	300	27	3
247	300	27	1
248	300	27	1
224	301	27	3
227	301	27	2
234	301	27	1
235	301	27	3
236	301	27	1
237	301	27	2
238	301	27	1
239	301	27	1
241	301	27	2
234	302	27	2
235	302	27	1
236	302	27	1
238	302	27	1
239	302	27	1
241	303	27	1
235	304	27	1
236	304	27	2
244	304	27	1
235	305	27	1
231	264	28	1
232	264	28	1
234	265	28	1
231	266	28	2
232	266	28	2
235	266	28	1
234	267	28	1
236	267	28	1
231	268	28	1
236	268	28	1
237	268	28	1
238	268	28	2
236	269	28	2
235	270	28	1
236	270	28	1
237	270	28	1
250	270	28	2
237	271	28	1
240	271	28	1
206	272	28	1
232	272	28	2
233	272	28	2
214	274	28	2
234	274	28	1
235	275	28	1
249	275	28	2
233	276	28	1
234	276	28	4
235	276	28	1
238	276	28	1
235	277	28	2
236	277	28	1
237	277	28	1
238	277	28	2
237	278	28	1
210	279	28	2
237	279	28	1
248	279	28	1
239	280	28	2
241	280	28	1
251	280	28	1
208	281	28	1
235	281	28	3
248	281	28	1
250	281	28	1
234	282	28	1
235	282	28	1
246	282	28	2
247	282	28	2
251	282	28	2
237	283	28	1
238	283	28	1
246	283	28	1
247	283	28	2
235	284	28	1
248	284	28	1
250	284	28	2
238	285	28	2
239	285	28	1
244	285	28	2
237	286	28	1
247	286	28	1
248	286	28	1
249	286	28	1
244	287	28	2
245	287	28	1
246	287	28	1
248	287	28	1
251	287	28	1
224	288	28	1
245	288	28	2
227	289	28	1
231	289	28	3
243	289	28	3
245	289	28	1
246	289	28	1
247	289	28	1
248	289	28	2
253	289	28	1
226	290	28	1
237	290	28	1
242	290	28	2
245	290	28	3
226	291	28	1
237	291	28	1
239	291	28	2
240	291	28	2
241	291	28	1
245	291	28	4
247	291	28	2
248	291	28	2
249	291	28	3
239	292	28	1
240	292	28	1
241	292	28	1
242	292	28	1
247	292	28	1
248	292	28	1
250	292	28	2
243	293	28	1
248	293	28	1
249	293	28	1
250	293	28	1
240	294	28	3
241	294	28	2
242	294	28	1
245	294	28	4
251	294	28	1
245	295	28	1
248	295	28	3
240	296	28	1
239	297	28	2
245	297	28	2
240	298	28	1
225	300	28	3
236	300	28	1
229	255	29	2
234	256	29	1
230	257	29	3
235	257	29	1
181	258	29	1
190	258	29	2
228	258	29	2
234	258	29	2
235	258	29	1
237	258	29	2
182	259	29	1
188	259	29	5
229	259	29	2
230	259	29	2
182	260	29	3
234	260	29	1
183	261	29	1
187	261	29	2
199	261	29	1
226	261	29	2
227	261	29	1
229	261	29	1
220	262	29	3
227	262	29	2
229	262	29	3
248	262	29	1
231	263	29	1
245	263	29	1
248	263	29	2
178	264	29	2
215	264	29	1
226	264	29	1
229	264	29	1
231	264	29	1
237	264	29	2
238	264	29	1
245	264	29	2
226	265	29	1
232	265	29	1
235	265	29	1
239	265	29	1
249	265	29	1
195	266	29	1
226	266	29	2
229	266	29	2
230	266	29	1
234	266	29	1
236	266	29	2
237	266	29	1
245	266	29	2
250	266	29	2
192	267	29	2
193	267	29	1
197	267	29	3
214	267	29	2
226	267	29	1
230	267	29	2
234	267	29	1
235	267	29	2
236	267	29	2
237	267	29	3
241	267	29	1
249	267	29	2
217	268	29	1
226	268	29	2
231	268	29	1
234	268	29	1
235	268	29	2
237	268	29	1
238	268	29	3
250	268	29	1
193	269	29	3
196	269	29	1
204	269	29	1
232	269	29	1
237	269	29	1
249	269	29	2
175	270	29	1
196	270	29	2
198	270	29	1
200	270	29	1
231	270	29	4
234	270	29	1
237	270	29	1
238	270	29	2
203	271	29	3
214	271	29	1
216	271	29	3
233	271	29	1
234	271	29	1
235	271	29	1
237	271	29	1
238	271	29	2
242	271	29	1
249	271	29	1
251	271	29	1
211	272	29	2
213	272	29	2
214	272	29	1
215	272	29	3
224	272	29	2
233	272	29	1
235	272	29	2
238	272	29	2
241	272	29	3
245	272	29	1
249	272	29	1
251	272	29	1
182	273	29	1
212	273	29	1
225	273	29	1
236	273	29	1
238	273	29	2
249	273	29	2
250	273	29	2
180	274	29	1
213	274	29	1
232	274	29	1
233	274	29	5
235	274	29	1
236	274	29	1
238	274	29	2
247	274	29	1
250	274	29	2
206	275	29	1
215	275	29	1
235	275	29	1
237	275	29	2
239	275	29	1
240	275	29	2
241	275	29	1
242	275	29	2
245	275	29	1
204	276	29	1
208	276	29	1
228	276	29	2
232	276	29	3
234	276	29	1
236	276	29	1
237	276	29	1
238	276	29	5
240	276	29	2
241	276	29	2
246	276	29	1
248	276	29	1
249	276	29	2
252	276	29	1
232	277	29	1
234	277	29	1
239	277	29	1
240	277	29	1
247	277	29	2
250	277	29	2
208	278	29	1
235	278	29	1
237	278	29	3
239	278	29	1
244	278	29	4
245	278	29	1
250	278	29	1
206	279	29	2
236	279	29	1
245	279	29	1
246	279	29	2
247	279	29	1
248	279	29	2
249	279	29	1
252	279	29	1
205	280	29	1
233	280	29	1
236	280	29	1
238	280	29	3
241	280	29	1
246	280	29	1
247	280	29	1
249	280	29	3
251	280	29	1
254	280	29	2
256	280	29	1
208	281	29	1
214	281	29	1
233	281	29	1
234	281	29	1
238	281	29	3
245	281	29	2
246	281	29	1
250	281	29	2
206	282	29	1
213	282	29	1
235	282	29	2
244	282	29	1
245	282	29	1
248	282	29	1
250	282	29	2
254	282	29	1
209	283	29	1
215	283	29	2
231	283	29	3
232	283	29	3
234	283	29	3
237	283	29	1
238	283	29	2
239	283	29	1
241	283	29	1
244	283	29	1
245	283	29	1
246	283	29	1
247	283	29	1
248	283	29	1
249	283	29	3
250	283	29	1
251	283	29	1
211	284	29	1
220	284	29	1
222	284	29	1
232	284	29	1
233	284	29	1
235	284	29	1
236	284	29	3
240	284	29	1
241	284	29	1
242	284	29	2
243	284	29	3
244	284	29	4
245	284	29	1
249	284	29	1
252	284	29	2
255	284	29	1
226	285	29	3
233	285	29	2
236	285	29	3
238	285	29	1
239	285	29	1
241	285	29	2
243	285	29	1
247	285	29	1
248	285	29	1
250	285	29	1
253	285	29	2
211	286	29	2
232	286	29	1
233	286	29	1
235	286	29	2
241	286	29	2
242	286	29	1
243	286	29	1
247	286	29	1
248	286	29	1
249	286	29	4
252	286	29	1
225	287	29	1
231	287	29	1
233	287	29	1
234	287	29	1
236	287	29	3
238	287	29	1
240	287	29	1
241	287	29	2
249	287	29	1
232	288	29	2
233	288	29	1
234	288	29	1
236	288	29	1
241	288	29	1
242	288	29	1
246	288	29	6
249	288	29	3
253	288	29	1
227	289	29	1
234	289	29	3
237	289	29	3
240	289	29	2
243	289	29	2
244	289	29	2
247	289	29	1
254	289	29	1
225	290	29	2
226	290	29	2
227	290	29	1
228	290	29	1
237	290	29	1
238	290	29	1
240	290	29	1
243	290	29	1
245	290	29	1
246	290	29	1
222	291	29	2
225	291	29	2
239	291	29	2
240	291	29	1
246	291	29	2
247	291	29	4
248	291	29	2
250	291	29	2
222	292	29	1
237	292	29	2
239	292	29	1
241	292	29	3
243	292	29	1
245	292	29	1
247	292	29	1
248	292	29	1
257	292	29	1
222	293	29	1
223	293	29	2
225	293	29	1
227	293	29	1
237	293	29	1
239	293	29	1
246	293	29	2
248	293	29	3
252	293	29	1
253	293	29	1
221	294	29	1
236	294	29	1
241	294	29	2
242	294	29	1
243	294	29	1
244	294	29	1
245	294	29	1
246	294	29	2
248	294	29	1
249	294	29	1
220	295	29	1
221	295	29	1
223	295	29	2
241	295	29	1
244	295	29	2
245	295	29	1
247	295	29	1
223	296	29	1
239	296	29	3
246	296	29	1
249	296	29	4
252	296	29	1
255	296	29	1
238	297	29	1
239	297	29	3
240	297	29	1
241	297	29	2
242	297	29	1
243	297	29	1
245	297	29	1
246	297	29	2
247	297	29	1
248	297	29	1
215	298	29	1
224	298	29	3
226	298	29	1
237	298	29	1
238	298	29	1
239	298	29	1
245	298	29	2
247	298	29	2
248	298	29	2
249	298	29	2
222	299	29	1
226	299	29	2
237	299	29	3
239	299	29	1
240	299	29	3
252	299	29	1
221	300	29	3
235	300	29	1
236	300	29	2
237	300	29	1
239	300	29	5
240	300	29	1
221	301	29	1
224	301	29	1
227	301	29	1
236	301	29	1
247	301	29	2
224	302	29	1
250	302	29	1
237	304	29	1
229	250	30	2
225	251	30	2
228	251	30	2
215	252	30	4
228	253	30	1
237	253	30	1
230	254	30	1
231	254	30	2
232	254	30	2
235	254	30	1
236	254	30	1
215	255	30	1
230	255	30	1
237	255	30	2
230	256	30	2
231	256	30	1
