x	y	z	DNA Damage/Telomere Stress Induced Senescence
244	284	21	1
240	286	21	2
246	292	21	1
232	278	24	3
235	278	24	1
237	278	24	2
241	279	24	1
245	284	24	1
244	286	24	3
239	287	24	3
244	287	24	2
245	287	24	1
246	287	24	2
251	287	24	1
249	288	24	1
244	289	24	2
246	289	24	1
247	289	24	3
248	289	24	2
231	264	25	1
232	265	25	2
236	268	25	1
233	269	25	2
238	270	25	1
227	272	25	1
230	272	25	1
233	272	25	1
238	272	25	1
239	272	25	1
227	273	25	1
235	273	25	3
238	273	25	1
230	274	25	2
232	274	25	2
234	274	25	2
235	274	25	1
238	274	25	1
236	275	25	1
237	275	25	3
232.5	276.5	25.5	3
233	276	25	1
234	276	25	1
235	276	25	1
236	276	25	1
239	276	25	1
240	276	25	1
248	276	25	2
233	277	25	3
235	277	25	1
236	277	25	2
237	277	25	1
247	277	25	2
231	278	25	1
232	278	25	2
234	278	25	2
236	278	25	1
238	278	25	1
239	278	25	4
231	279	25	1
232	279	25	1
233	279	25	2
234	279	25	2
235	279	25	2
236	279	25	1
238	279	25	1
239	279	25	2
240	279	25	1
247	279	25	2
249	279	25	2
232	280	25	1
233	280	25	3
234	280	25	1
239	280	25	1
245	280	25	1
248	280	25	1
234	281	25	2
235	281	25	1
243	281	25	2
245	281	25	2
249	281	25	2
214	282	25	2
232	282	25	1
233	282	25	1
234	282	25	2
235	282	25	1
237	282	25	1
239	282	25	2
240	282	25	4
247	282	25	1
248	282	25	2
249	282	25	1
230	283	25	2
231	283	25	1
232	283	25	3
233	283	25	2
234	283	25	1
235	283	25	1
236	283	25	3
237	283	25	4
238	283	25	1
240	283	25	1
241	283	25	1
243	283	25	3
246	283	25	2
247	283	25	1
249	283	25	1
213	284	25	2
233	284	25	1
234	284	25	2
236	284	25	2
237	284	25	1
243	284	25	1
249	284	25	4
252	284	25	2
215	285	25	2
234	285	25	2
235	285	25	1
236	285	25	2
238	285	25	2
239	285	25	3
241	285	25	1
243	285	25	2
244	285	25	1
250	285	25	2
218	286	25	3
232	286	25	1
233	286	25	2
236	286	25	2
242	286	25	2
250	286	25	1
252	286	25	1
223	287	25	1
237	287	25	1
242	287	25	4
245	287	25	2
246	287	25	1
249	287	25	1
251	287	25	1
252	287	25	1
224	288	25	4
236	288	25	1
237	288	25	1
251	288	25	1
235	289	25	1
236	289	25	2
237	289	25	1
238	289	25	3
242	289	25	1
244	289	25	1
248.5	289.5	25.5	2
250	289	25	2
252	289	25	2
235	290	25	1
236	290	25	3
237	290	25	1
238	290	25	1
240	290	25	1
246	290	25	2
249	290	25	1
234	291	25	5
236	291	25	1
237	291	25	3
238	291	25	3
239	291	25	3
240	291	25	1
242	291	25	2
245	291	25	1
246	291	25	1
250	291	25	2
251	291	25	3
235	292	25	2
238	292	25	1
239	292	25	2
242	292	25	1
243	292	25	1
244	292	25	1
249	292	25	4
250	292	25	4
240	293	25	1
244	293	25	2
246	293	25	2
247	293	25	1
239	294	25	2
240	294	25	1
241	294	25	3
242	294	25	1
247	294	25	1
234	295	25	3
241	295	25	1
243	295	25	1
242	296	25	1
244	296	25	1
247	296	25	1
243	297	25	2
243	299	25	1
227	300	25	2
238	300	25	1
239	300	25	1
239	302	25	1
176	259	26	1
182	260	26	1
229	262	26	3
229	264	26	1
230	264	26	1
231	264	26	1
234	265	26	4
237	266	26	1
230	267	26	1
234	267	26	4
235	267	26	2
241	267	26	1
233	268	26	1
235	268	26	4
241	268	26	1
228	269	26	1
229	269	26	1
228	270	26	1
235	270	26	1
236	270	26	3
237	270	26	1
238	270	26	1
250	270	26	1
235	271	26	1
236	271	26	1
215	272	26	2
217	272	26	4
224	272	26	1
226	272	26	1
230	272	26	1
232	272	26	1
236	272	26	2
239	272	26	1
231	273	26	1
236	273	26	4
237	273	26	2
239	273	26	1
248	273	26	4
249	273	26	2
233	274	26	2
236	274	26	2
238	274	26	1
232	275	26	2
233	275	26	2
235	275	26	1
236	275	26	1
237	275	26	1
239	275	26	1
248	275	26	2
249	275	26	2
250	275	26	3
207	276	26	1
215	276	26	1
231	276	26	3
232	276	26	1
234	276	26	1
239	276	26	1
244	276	26	1
250	276	26	1
207	277	26	2
209	277	26	1
210	277	26	2
213	277	26	3
231	277	26	1
234	277	26	2
235	277	26	2
236	277	26	1
237	277	26	2
239	277	26	3
240	277	26	1
247	277	26	2
249	277	26	1
250	277	26	3
231	278	26	1
233	278	26	1
234	278	26	2
235	278	26	1
236	278	26	1
237	278	26	1
239	278	26	1
249	278	26	2
251	278	26	1
252	278	26	3
232	279	26	2
234	279	26	1
237	279	26	2
240	279	26	1
246	279	26	2
248	279	26	1
249	279	26	2
250	279	26	1
208	280	26	1
230	280	26	1
232	280	26	2
241	280	26	2
242	280	26	1
248	280	26	1
249	280	26	1
250	280	26	2
231	281	26	1
234	281	26	1
236	281	26	2
239	281	26	3
240	281	26	2
247	281	26	2
249	281	26	1
250	281	26	1
209	282	26	2
212	282	26	1
229	282	26	1
231	282	26	1
233	282	26	2
235	282	26	2
237	282	26	1
238	282	26	1
242	282	26	2
246	282	26	2
247	282	26	1
250	282	26	2
251	282	26	2
253	282	26	1
254	282	26	2
209	283	26	1
227	283	26	2
231	283	26	1
234	283	26	1
239	283	26	2
241	283	26	1
243	283	26	3
245	283	26	2
246	283	26	1
251	283	26	1
253	283	26	4
254	283	26	2
212	284	26	3
214	284	26	1
232	284	26	1
234	284	26	1
237	284	26	1
238	284	26	1
241	284	26	2
243	284	26	2
244	284	26	2
248	284	26	2
252	284	26	1
211	285	26	2
234	285	26	2
235	285	26	1
240	285	26	3
241	285	26	1
244	285	26	1
245	285	26	1
246	285	26	3
247	285	26	1
250	285	26	1
252	285	26	2
253	285	26	1
255	285	26	1
216	286	26	1
232	286	26	3
233	286	26	4
236	286	26	1
237	286	26	2
238	286	26	3
240	286	26	2
242	286	26	1
243	286	26	2
247	286	26	1
248	286	26	1
249	286	26	3
250	286	26	2
251	286	26	2
253	286	26	1
223	287	26	2
228	287	26	1
234	287	26	1
236	287	26	1
237	287	26	1
238	287	26	2
243	287	26	1
247	287	26	3
248	287	26	1
249	287	26	1
250	287	26	4
251	287	26	2
236	288	26	1
240	288	26	1
241	288	26	1
249	288	26	1
250	288	26	1
252	288	26	1
253	288	26	1
222	289	26	3
223	289	26	1
227	289	26	1
232	289	26	1
235	289	26	3
236	289	26	2
237	289	26	1
238	289	26	1
240	289	26	2
242	289	26	1
243	289	26	2
252	289	26	2
225	290	26	4
228	290	26	1
233	290	26	1
237	290	26	2
239	290	26	2
240	290	26	2
242	290	26	1
244	290	26	1
250	290	26	1
222	291	26	1
235	291	26	1
236	291	26	1
239	291	26	1
242	291	26	1
244	291	26	1
245	291	26	2
225	292	26	2
226	292	26	1
237	292	26	1
238	292	26	1
239	292	26	2
240	292	26	1
242	292	26	1
244	292	26	2
247	292	26	1
251	292	26	1
252	292	26	3
254	292	26	2
225	293	26	1
234	293	26	2
237	293	26	3
240	293	26	1
244	293	26	4
245	293	26	2
247	293	26	2
253	293	26	1
220	294	26	3
237	294	26	1
240	294	26	3
242	294	26	2
245	294	26	2
246	294	26	1
249	294	26	2
222	295	26	3
237	295	26	1
239	295	26	1
240	295	26	1
241	295	26	2
243	295	26	2
248	295	26	1
254	295	26	1
239	296	26	2
240	296	26	2
241	296	26	1
242	296	26	1
243	296	26	2
244	296	26	1
237	297	26	1
240	297	26	1
242	297	26	1
244	297	26	1
245	297	26	3
246	297	26	3
235	298	26	3
236	298	26	1
239	298	26	1
240	298	26	1
242	298	26	2
236	299	26	1
240	299	26	1
225	300	26	2
227	300	26	1
236	300	26	1
241	300	26	2
235	301	26	2
184	255	27	1
186	257	27	1
181	258	27	2
183	258	27	1
184	258	27	2
215	258	27	2
232	258	27	4
180	259	27	1
183	259	27	1
184	259	27	1
185	259	27	1
229	259	27	1
231	259	27	1
232	259	27	1
176	260	27	3
183	260	27	1
184	260	27	2
185	260	27	2
186	260	27	2
226	260	27	2
227	260	27	1
233	260	27	2
234	260	27	3
235	260	27	3
180	261	27	1
182	261	27	1
183	261	27	1
185	261	27	1
186	261	27	4
187	261	27	2
222	261	27	1
229	261	27	1
230	261	27	3
231	261	27	2
232	261	27	1
234	261	27	1
235	261	27	2
236	261	27	1
237	261	27	1
177	262	27	3
180	262	27	1
182	262	27	1
184	262	27	1
229	262	27	1
233	262	27	1
236	262	27	3
178	263	27	2
179	263	27	4
181	263	27	1
182	263	27	2
183	263	27	2
184	263	27	1
211	263	27	1
215	263	27	1
225	263	27	3
227	263	27	1
229	263	27	2
230	263	27	1
231	263	27	1
232	263	27	1
234	263	27	1
235	263	27	1
236	263	27	1
238	263	27	1
186	264	27	4
209	264	27	1
219	264	27	1
225	264	27	3
226	264	27	4
229	264	27	1
234	264	27	1
238	264	27	1
239	264	27	2
248	264	27	2
181	265	27	2
184	265	27	3
189	265	27	1
221	265	27	1
225	265	27	2
226	265	27	1
230	265	27	2
231	265	27	1
232	265	27	1
233	265	27	2
234	265	27	1
236	265	27	1
237	265	27	1
238	265	27	2
239	265	27	1
240	265	27	1
201	266	27	4
215	266	27	1
216	266	27	2
217	266	27	3
219	266	27	2
221	266	27	1
226	266	27	1
227	266	27	1
230	266	27	1
231	266	27	2
234	266	27	1
235	266	27	2
237	266	27	3
239	266	27	1
179	267	27	1
182	267	27	1
214	267	27	2
215	267	27	1
217	267	27	1
226	267	27	1
228	267	27	2
229	267	27	1
231	267	27	2
232	267	27	1
233	267	27	1
234	267	27	1
235	267	27	2
236	267	27	1
239	267	27	3
240	267	27	1
249	267	27	2
179	268	27	1
181	268	27	1
207	268	27	1
213	268	27	1
214	268	27	1
215	268	27	1
217	268	27	2
219	268	27	2
223	268	27	1
224	268	27	2
225	268	27	1
226	268	27	1
227	268	27	1
229	268	27	1
230	268	27	1
231	268	27	4
232	268	27	2
233	268	27	1
234	268	27	2
235	268	27	1
238	268	27	3
241	268	27	1
243	268	27	1
177	269	27	1
178	269	27	3
179	269	27	2
180	269	27	2
182	269	27	2
205	269	27	2
211	269	27	4
213	269	27	1
215	269	27	2
218	269	27	1
224	269	27	1
225	269	27	1
227	269	27	2
228	269	27	3
229	269	27	1
231	269	27	2
233	269	27	1
234	269	27	1
235	269	27	2
236	269	27	3
