x	y	z	Detoxification of Reactive Oxygen Species
132	221	20	1
142	221	20	1
123	222	20	1
127	222	20	1
132	222	20	2
134	222	20	1
176	222	20	1
178	222	20	1
138	223	20	1
148	223	20	1
115	224	20	1
172	224	20	2
162	225	20	1
119	226	20	1
126	226	20	2
158	226	20	1
178	227	20	1
155	228	20	1
196	228	20	1
197	228	20	1
112	229	20	1
153	229	20	1
159	229	20	2
160	229	20	1
129	230	20	1
157	230	20	1
173	230	20	1
204	230	20	2
113	231	20	2
132	231	20	1
160	231	20	1
170	231	20	1
135	232	20	1
146	232	20	1
197	232	20	1
130	233	20	1
152	233	20	1
165	233	20	1
170	233	20	2
215	233	20	1
132	234	20	1
204	234	20	1
213	234	20	3
215	234	20	1
126	235	20	2
137	235	20	1
216	235	20	1
218	235	20	1
220	235	20	1
146	236	20	1
154	236	20	1
159	236	20	1
215	236	20	1
135	237	20	1
173	237	20	1
117	238	20	1
141	238	20	1
150	238	20	1
152	238	20	1
168	238	20	1
213	238	20	1
142	239	20	1
144	239	20	1
165	239	20	2
215	239	20	1
132	240	20	1
160	240	20	2
108	241	20	1
131	241	20	1
157	241	20	1
137	242	20	1
141	242	20	1
185	242	20	1
207	242	20	1
132	243	20	2
140	243	20	1
126	244	20	1
162	244	20	1
210	244	20	1
220	244	20	1
111	245	20	1
121	245	20	1
137	245	20	1
160	245	20	1
182	245	20	1
241	245	20	2
126	246	20	1
221	246	20	2
252	246	20	2
102	247	20	1
122	247	20	1
218	247	20	1
141	248	20	1
163	248	20	1
166	248	20	1
190	248	20	1
222	248	20	1
230	248	20	2
167	249	20	2
169	249	20	2
194	249	20	1
215	249	20	1
131	250	20	1
172	250	20	1
225	250	20	1
227	250	20	1
260	250	20	1
133	251	20	1
175	251	20	1
207	251	20	1
218	251	20	1
220	251	20	2
118	252	20	1
122	252	20	2
161	252	20	2
173	252	20	2
207	252	20	1
218	252	20	2
234	252	20	1
161	253	20	1
222	253	20	1
231	253	20	2
161	254	20	1
180	254	20	1
223	254	20	1
226	254	20	1
238	254	20	1
248	254	20	1
197	255	20	1
207	255	20	1
232	255	20	1
158	256	20	1
166	256	20	1
227	256	20	1
241	256	20	1
262	256	20	1
164	257	20	1
171	257	20	2
229	257	20	1
232	257	20	1
234	257	20	1
128	258	20	1
162	258	20	1
163	258	20	1
176	258	20	2
198	258	20	2
107	259	20	1
201	259	20	1
232	259	20	1
108	260	20	1
130	260	20	1
134	260	20	1
142	260	20	2
147	260	20	1
184	260	20	1
224	260	20	1
245	260	20	2
112	261	20	1
130	261	20	2
141	261	20	1
163	261	20	1
165	261	20	1
215	261	20	2
228	261	20	1
225	262	20	1
