x	y	z	Circadian Clock
247	268	27	1
248	268	27	1
178	269	27	1
179	269	27	1
215	269	27	1
218	269	27	1
224	269	27	1
227	269	27	2
229	269	27	1
238	269	27	1
240	269	27	1
242	269	27	1
243	269	27	2
179	270	27	3
181	270	27	1
197	270	27	2
207	270	27	1
215	270	27	1
216	270	27	1
218	270	27	1
221	270	27	1
226	270	27	1
230	270	27	1
236	270	27	1
237	270	27	1
238	270	27	2
239	270	27	1
244	270	27	1
248	270	27	1
250	270	27	2
207	271	27	1
223	271	27	1
226	271	27	2
233	271	27	2
237	271	27	1
238	271	27	1
239	271	27	1
240	271	27	1
242	271	27	1
247	271	27	1
251	271	27	1
179	272	27	1
181	272	27	1
204	272	27	1
205	272	27	1
206	272	27	1
208	272	27	1
214	272	27	1
215	272	27	1
216	272	27	1
220	272	27	1
222	272	27	1
235	272	27	1
237	272	27	1
241	272	27	1
249	272	27	1
250	272	27	2
183	273	27	1
203	273	27	1
206	273	27	1
212	273	27	2
214	273	27	2
224	273	27	1
229	273	27	2
232	273	27	1
237	273	27	1
238	273	27	1
249	273	27	4
251	273	27	1
177	274	27	1
182	274	27	1
203	274	27	1
204	274	27	1
206	274	27	1
208	274	27	1
209	274	27	1
212	274	27	1
214	274	27	3
216	274	27	1
221	274	27	1
224	274	27	1
227	274	27	1
228	274	27	2
231	274	27	1
232	274	27	3
233	274	27	1
235	274	27	1
239	274	27	1
247	274	27	1
182	275	27	1
184	275	27	1
205	275	27	1
208	275	27	1
211	275	27	3
213	275	27	1
216	275	27	1
218	275	27	1
223	275	27	2
233	275	27	1
242	275	27	1
244	275	27	1
247	275	27	1
250	275	27	1
177	276	27	3
204	276	27	1
205	276	27	1
207	276	27	1
208	276	27	1
210	276	27	1
211	276	27	1
212	276	27	2
213	276	27	1
215	276	27	1
217	276	27	2
234	276	27	2
238	276	27	2
247	276	27	1
250	276	27	1
205	277	27	1
220	277	27	1
224	277	27	1
227	277	27	1
231	277	27	1
232	277	27	2
239	277	27	1
245	277	27	1
249	277	27	1
252	277	27	1
213	278	27	1
219	278	27	1
220	278	27	1
224	278	27	2
225	278	27	2
227	278	27	1
229	278	27	1
230	278	27	1
232	278	27	1
234	278	27	1
235	278	27	1
239	278	27	3
246	278	27	1
248	278	27	1
249	278	27	2
201	279	27	1
207	279	27	1
208	279	27	1
230	279	27	2
234	279	27	1
235	279	27	2
236	279	27	1
238	279	27	1
240	279	27	2
241	279	27	2
247	279	27	3
257	279	27	1
207	280	27	2
208	280	27	1
214	280	27	1
232	280	27	1
239	280	27	2
240	280	27	1
245	280	27	1
247	280	27	1
252	280	27	2
218	281	27	1
228	281	27	1
229	281	27	1
235	281	27	2
239	281	27	1
244	281	27	1
249	281	27	1
252	281	27	1
256	281	27	2
206	282	27	1
209	282	27	1
210	282	27	1
213	282	27	1
214	282	27	2
227	282	27	2
233	282	27	1
236	282	27	1
237	282	27	1
239	282	27	1
241	282	27	1
246	282	27	1
248	282	27	3
253	282	27	1
206	283	27	1
207	283	27	2
208	283	27	1
209	283	27	1
210	283	27	1
227	283	27	1
228	283	27	1
235	283	27	1
240	283	27	1
243	283	27	1
245	283	27	1
253	283	27	1
254	283	27	1
205	284	27	1
207	284	27	1
214	284	27	1
215	284	27	1
230	284	27	1
232	284	27	1
235	284	27	1
236	284	27	1
237	284	27	1
240	284	27	3
241	284	27	1
250	284	27	1
251	284	27	2
255	284	27	1
256	284	27	1
206	285	27	1
208	285	27	1
210	285	27	1
211	285	27	1
233	285	27	1
234	285	27	1
236	285	27	1
237	285	27	2
240	285	27	1
249	285	27	2
207	286	27	3
209	286	27	2
214	286	27	1
216	286	27	1
219	286	27	1
220	286	27	1
225	286	27	1
234	286	27	2
235	286	27	1
237	286	27	1
241	286	27	1
245	286	27	1
246	286	27	1
248	286	27	1
258	286	27	1
214	287	27	1
219	287	27	1
221	287	27	1
222	287	27	2
223	287	27	1
228	287	27	1
233	287	27	1
234	287	27	1
237	287	27	1
238	287	27	1
240	287	27	1
242	287	27	1
247	287	27	1
252	287	27	3
255	287	27	2
207	288	27	1
224	288	27	1
225	288	27	1
228	288	27	2
229	288	27	2
235	288	27	1
242	288	27	1
243	288	27	2
244	288	27	1
245	288	27	1
246	288	27	1
247	288	27	1
250	288	27	1
251	288	27	1
252	288	27	1
255	288	27	2
210	289	27	1
222	289	27	1
227	289	27	1
232	289	27	1
235	289	27	1
236	289	27	1
237	289	27	3
240	289	27	1
249	289	27	1
253	289	27	1
254	289	27	2
207	290	27	1
219	290	27	2
224	290	27	1
227	290	27	1
228	290	27	1
231	290	27	1
236	290	27	1
240	290	27	1
241	290	27	1
246	290	27	1
252	290	27	1
253	290	27	1
211	291	27	1
225	291	27	1
227	291	27	3
230	291	27	1
233	291	27	1
234	291	27	2
236	291	27	1
237	291	27	2
242	291	27	1
247	291	27	1
248	291	27	1
250	291	27	1
257	291	27	2
211	292	27	1
212	292	27	2
213	292	27	1
219	292	27	3
222	292	27	1
225	292	27	2
226	292	27	1
234	292	27	1
235	292	27	1
237	292	27	1
238	292	27	1
241	292	27	1
210	293	27	2
211	293	27	1
217	293	27	1
218	293	27	1
219	293	27	1
221	293	27	2
222	293	27	1
223	293	27	1
226	293	27	2
229	293	27	3
239	293	27	1
245	293	27	1
249	293	27	2
253	293	27	1
217	294	27	1
220	294	27	2
235	294	27	1
237	294	27	3
248	294	27	1
249	294	27	3
250	294	27	1
252	294	27	1
221	295	27	1
226	295	27	1
239	295	27	1
241	295	27	1
252	295	27	2
220	296	27	1
236	296	27	1
240	296	27	2
245	296	27	1
246	296	27	1
249	296	27	2
252	296	27	1
237	297	27	1
238	297	27	1
240	297	27	1
246	297	27	2
248	297	27	1
252	297	27	1
221	298	27	2
236	298	27	1
237	298	27	1
241	298	27	1
245	298	27	1
247	298	27	4
215	299	27	1
223	299	27	1
229	299	27	1
237	299	27	1
239	299	27	1
240	299	27	1
249	299	27	1
226	300	27	1
235	300	27	2
238	300	27	1
234	301	27	1
235	301	27	1
238	301	27	2
241	301	27	1
250	301	27	1
251	301	27	1
226	302	27	1
234	302	27	1
236	302	27	1
237	302	27	1
238	302	27	1
244	302	27	1
235	304	27	1
237	304	27	1
238	304	27	1
243	304	27	3
235	305	27	5
234	265	28	1
235	266	28	2
231	268	28	1
236	269	28	1
238	269	28	1
237	270	28	1
250	270	28	2
236	271	28	1
206	272	28	1
232	272	28	1
234	272	28	2
250	272	28	2
211	273	28	4
235	273	28	1
234	274	28	4
235	274	28	1
249	275	28	3
234	276	28	1
238	276	28	1
235	277	28	1
236	277	28	1
237	277	28	2
238	277	28	2
235	280	28	1
239	280	28	3
250	281	28	1
234	282	28	1
249	282	28	1
238	283	28	2
246	284	28	2
248	284	28	1
250	284	28	2
238	285	28	2
242	285	28	1
245	285	28	1
235	286	28	1
247	286	28	1
249	286	28	1
240	287	28	1
244	287	28	2
246	287	28	1
224	288	28	1
244	288	28	3
227	289	28	1
228	289	28	1
245	289	28	1
246	289	28	2
253	289	28	2
226	291	28	2
237	291	28	2
247	291	28	1
248	291	28	1
249	291	28	2
250	291	28	1
240	292	28	2
241	292	28	1
243	293	28	1
249	293	28	1
250	294	28	2
251	294	28	1
241	295	28	2
245	295	28	1
248	295	28	2
239	297	28	1
245	297	28	1
240	298	28	1
225	300	28	1
229	255	29	1
233	256	29	2
235	256	29	1
235	257	29	2
233	258	29	1
235	258	29	1
230	259	29	1
234	260	29	2
240	260	29	1
227	261	29	1
230	261	29	1
248	262	29	3
231	263	29	1
234	263	29	1
215	264	29	3
226	264	29	1
232	264	29	1
248	264	29	1
215	265	29	2
226	265	29	1
233	265	29	1
234	265	29	1
238	265	29	1
178	266	29	1
197	266	29	1
226	266	29	1
236	266	29	1
237	266	29	1
245	266	29	2
248	266	29	1
250	266	29	1
193	267	29	1
196	267	29	2
214	267	29	2
231	267	29	1
235	267	29	2
236	267	29	1
241	267	29	1
249	267	29	1
194	268	29	1
231	268	29	1
234	268	29	1
235	268	29	1
237	268	29	1
239	268	29	1
250	268	29	1
180	269	29	1
232	269	29	1
237	269	29	1
240	269	29	2
249	269	29	1
200	270	29	1
215	270	29	1
227	270	29	2
230	270	29	1
231	270	29	1
238	270	29	1
239	270	29	1
203	271	29	1
216	271	29	1
229	271	29	1
235	271	29	1
240	271	29	1
249	271	29	1
251	271	29	1
214	272	29	1
232	272	29	1
235	272	29	1
236	272	29	1
238	272	29	2
241	272	29	1
245	272	29	1
251	272	29	1
182	273	29	1
211	273	29	1
212	273	29	1
225	273	29	1
236	273	29	1
238	273	29	1
180	274	29	2
213	274	29	1
232	274	29	2
233	274	29	1
234	274	29	1
240	274	29	5
232	275	29	2
236	275	29	2
237	275	29	1
238	275	29	2
242	275	29	1
245	275	29	2
204	276	29	1
206	276	29	2
228	276	29	1
234	276	29	1
236	276	29	1
237	276	29	1
240	276	29	1
250	276	29	3
252	276	29	1
236	277	29	3
238	277	29	2
240	277	29	1
247	277	29	1
250	277	29	1
251	277	29	2
204	278	29	1
208	278	29	1
236	278	29	1
239	278	29	1
244	278	29	2
245	278	29	1
250	278	29	1
206	279	29	1
249	279	29	2
252	279	29	1
205	280	29	1
237	280	29	1
241	280	29	1
245	280	29	2
246	280	29	1
247	280	29	1
250	280	29	1
251	280	29	1
252	280	29	1
208	281	29	1
214	281	29	2
237	281	29	1
241	281	29	2
243	281	29	2
248	281	29	1
250	281	29	1
251	281	29	1
206	282	29	2
235	282	29	1
244	282	29	2
248	282	29	2
249	282	29	2
250	282	29	3
251	282	29	1
209	283	29	1
215	283	29	1
232	283	29	2
233	283	29	1
234	283	29	1
236	283	29	4
237	283	29	1
244	283	29	2
247	283	29	1
248	283	29	1
250	283	29	1
220	284	29	1
222	284	29	2
235	284	29	1
237	284	29	1
238	284	29	1
240	284	29	1
241	284	29	1
242	284	29	1
245	284	29	1
246	284	29	1
250	284	29	1
256	284	29	1
219	285	29	1
226	285	29	1
234	285	29	1
236	285	29	1
239	285	29	1
241	285	29	1
246	285	29	2
247	285	29	1
248	285	29	1
250	285	29	1
253	285	29	2
232	286	29	1
233	286	29	1
234	286	29	2
240	286	29	1
241	286	29	2
242	286	29	2
247	286	29	1
249	286	29	1
252	286	29	1
225	287	29	2
232	287	29	1
236	287	29	1
240	287	29	2
244	287	29	1
249	287	29	1
224	288	29	1
232	288	29	1
233	288	29	1
234	288	29	2
235	288	29	2
236	288	29	1
240	288	29	1
241	288	29	1
242	288	29	1
246	288	29	2
224	289	29	1
235	289	29	1
243	289	29	1
254	289	29	1
222	290	29	1
225	290	29	1
226	290	29	1
228	290	29	2
230	290	29	1
238	290	29	1
239	290	29	1
240	290	29	1
242	290	29	1
243	290	29	1
246	290	29	1
225	291	29	1
226	291	29	1
240	291	29	1
250	291	29	1
251	291	29	1
237	292	29	2
238	292	29	1
241	292	29	1
242	292	29	1
243	292	29	1
250	292	29	1
257	292	29	2
224	293	29	2
239	293	29	2
246	293	29	2
247	293	29	1
224	294	29	1
236	294	29	1
243	294	29	1
244	294	29	2
245	294	29	1
246	294	29	2
243	295	29	3
247	295	29	1
222	296	29	1
223	296	29	1
246	296	29	1
252	296	29	1
227	297	29	1
239	297	29	1
242	297	29	2
243	297	29	1
246	297	29	1
247	297	29	1
248	297	29	1
219	298	29	1
221	298	29	1
237	298	29	1
239	298	29	1
248	298	29	1
226	299	29	1
227	299	29	2
237	299	29	1
239	299	29	1
240	299	29	1
227	300	29	2
235	300	29	2
239	300	29	2
240	300	29	2
221	301	29	1
224	301	29	1
230	301	29	1
247	301	29	1
224	302	29	1
250	302	29	1
237	304	29	1
236	305	29	1
229	250	30	1
228	251	30	1
231	253	30	1
232	253	30	1
215	254	30	1
231	254	30	1
232	254	30	1
235	254	30	1
230	256	30	1
232	256	30	1
235	256	30	1
236	256	30	1
192	257	30	1
203	257	30	1
209	257	30	3
227	257	30	2
230	257	30	1
236	257	30	1
240	257	30	1
181	258	30	1
227	258	30	1
237	258	30	1
239	258	30	1
189	259	30	1
195	259	30	1
205	259	30	1
209	259	30	1
218	259	30	1
219	259	30	3
226	259	30	1
237	259	30	1
238	259	30	1
241	259	30	2
184	260	30	2
186	260	30	1
190	260	30	1
196	260	30	2
206	260	30	1
212	260	30	1
219	260	30	1
223	260	30	1
225	260	30	1
227	260	30	1
228	260	30	3
231	260	30	2
238	260	30	2
240	260	30	2
186	261	30	1
194	261	30	1
198	261	30	1
209	261	30	1
212	261	30	1
215	261	30	2
218	261	30	1
224	261	30	1
225	261	30	1
226	261	30	2
227	261	30	1
229	261	30	1
232	261	30	1
236	261	30	1
238	261	30	1
244	261	30	1
188	262	30	1
193	262	30	1
216	262	30	2
218	262	30	1
221	262	30	1
226	262	30	1
231	262	30	1
240	262	30	1
242	262	30	1
246	262	30	1
251	262	30	1
186	263	30	1
188	263	30	2
215	263	30	1
216	263	30	3
222	263	30	1
232	263	30	1
233	263	30	2
234	263	30	1
240	263	30	1
246	263	30	2
222	264	30	2
228	264	30	1
233	264	30	1
241	264	30	1
245	264	30	1
250	264	30	1
183	265	30	1
191	265	30	1
192	265	30	2
193	265	30	1
196	265	30	1
200	265	30	1
208	265	30	1
213	265	30	1
219	265	30	1
230	265	30	1
232	265	30	1
233	265	30	1
234	265	30	3
235	265	30	2
238	265	30	4
239	265	30	3
187	266	30	2
188	266	30	2
193	266	30	1
194	266	30	2
195	266	30	1
197	266	30	1
211	266	30	1
212	266	30	1
229	266	30	1
230	266	30	1
232	266	30	2
233	266	30	1
239.5	266.5	30.5	1
241	266	30	1
247	266	30	1
249	266	30	1
183	267	30	1
191	267	30	1
192	267	30	1
194	267	30	1
199	267	30	1
209	267	30	1
214	267	30	1
219	267	30	1
231	267	30	1
235	267	30	1
237	267	30	1
238	267	30	3
240	267	30	2
245	267	30	2
248	267	30	2
250	267	30	1
189	268	30	1
205	268	30	1
214	268	30	1
228	268	30	1
230	268	30	2
237	268	30	1
239	268	30	3
241	268	30	1
243	268	30	1
246	268	30	2
247	268	30	1
248	268	30	1
177	269	30	1
178	269	30	1
180	269	30	1
191	269	30	2
215	269	30	1
232	269	30	1
235	269	30	1
239	269	30	1
244	269	30	1
245	269	30	1
247	269	30	1
249	269	30	1
250	269	30	2
183	270	30	1
184	270	30	1
186	270	30	1
194	270	30	2
196	270	30	1
198	270	30	1
200	270	30	1
214	270	30	2
215	270	30	3
216	270	30	1
217	270	30	1
230	270	30	1
231	270	30	1
232	270	30	2
238	270	30	1
244	270	30	2
175	271	30	1
176	271	30	2
181	271	30	2
183	271	30	1
185	271	30	3
187	271	30	1
206	271	30	3
208	271	30	1
215	271	30	3
225	271	30	1
234	271	30	2
238	271	30	1
249	271	30	3
179	272	30	1
184	272	30	1
207	272	30	2
223	272	30	2
224	272	30	1
227	272	30	3
233	272	30	1
238	272	30	1
239	272	30	1
240	272	30	2
242	272	30	1
245	272	30	1
247	272	30	1
250	272	30	2
181	273	30	1
182	273	30	1
204	273	30	1
214	273	30	1
231	273	30	2
233	273	30	1
236	273	30	2
240	273	30	1
246	273	30	2
177	274	30	1
181	274	30	1
183	274	30	1
185	274	30	1
203	274	30	1
208	274	30	1
214	274	30	2
236	274	30	2
238	274	30	2
241	274	30	1
244	274	30	1
247	274	30	1
251	274	30	1
180	275	30	1
182	275	30	2
183	275	30	1
203	275	30	2
212	275	30	2
215	275	30	1
233	275	30	1
235	275	30	1
236	275	30	2
237	275	30	1
239	275	30	1
244	275	30	1
249	275	30	1
206	276	30	2
207	276	30	1
235	276	30	1
240	276	30	1
241	276	30	1
243	276	30	1
248	276	30	1
249	276	30	3
253	276	30	1
174	277	30	1
180	277	30	2
208	277	30	1
235	277	30	1
237	277	30	2
251	277	30	2
175	278	30	1
226	278	30	1
230	278	30	2
235	278	30	1
239	278	30	1
243	278	30	1
246	278	30	1
249	278	30	1
237	279	30	1
240	279	30	1
241	279	30	1
246	279	30	1
248	279	30	1
250	279	30	1
252	279	30	2
219	280	30	2
237	280	30	1
238	280	30	1
241	280	30	1
245	280	30	1
247	280	30	1
248	280	30	1
173	281	30	1
175	281	30	1
179	281	30	2
181	281	30	1
214	281	30	1
217	281	30	1
223	281	30	1
237	281	30	1
242	281	30	1
243	281	30	1
245	281	30	1
246	281	30	1
247	281	30	2
249	281	30	1
251	281	30	1
252	281	30	1
172	282	30	1
174	282	30	1
181	282	30	1
182	282	30	2
215	282	30	1
220	282	30	1
221	282	30	1
229	282	30	1
232	282	30	1
233	282	30	3
235	282	30	1
239	282	30	1
252	282	30	2
254	282	30	1
202	283	30	1
219	283	30	1
220	283	30	1
221	283	30	2
234	283	30	2
241	283	30	2
244	283	30	1
246	283	30	2
248	283	30	2
249	283	30	1
252	283	30	1
173	284	30	2
180	284	30	3
219	284	30	2
225	284	30	1
231	284	30	1
233	284	30	1
236	284	30	1
238	284	30	1
240	284	30	1
241.666666666667	284.666666666667	31	1
250	284	30	2
253	284	30	1
256	284	30	1
206	285	30	1
223	285	30	1
225	285	30	2
226	285	30	1
227	285	30	3
233	285	30	1
234	285	30	1
245	285.666666666667	31	1
255	285	30	1
256	285	30	1
180	286	30	2
205	286	30	1
206	286	30	1
219	286	30	1
229	286	30	1
231	286	30	1
239	286	30	1
241	286	30	2
244	286	30	2
246	286	30	1
248	286	30	1
255	286	30	2
256	286	30	1
219	287	30	2
225	287	30	1
228	287	30	1
231	287	30	1
233	287	30	1
238.5	287.5	30.5	1
243	287	30	1
250	287	30	1
251	287	30	1
254	287	30	1
255	287	30	2
221	288	30	2
226	288	30	1
231	288	30	1
232	288	30	1
233	288	30	2
234	288	30	1
236	288	30	1
237	288	30	1
238	288	30	2
243	288	30	1
245	288	30	1
250	288	30	2
199	289	30	1
222	289	30	1
224	289	30	2
230	289	30	2
235	289	30	1
237	289	30	1
239	289	30	2
240	289	30	1
245	289	30	1
247	289	30	1
248	289	30	1
256	289	30	1
198	290	30	3
220	290	30	1
225	290	30	1
227	290	30	1
231	290	30	1
233	290	30	2
235	290	30	1
241	290	30	1
242	290	30	1
244	290	30	1
245	290	30	1
246	290	30	1
248	290	30	1
253	290	30	1
197	291	30	1
222	291	30	1
223	291	30	1
225	291	30	1
226	291	30	3
234	291	30	3
238	291	30	2
241	291	30	2
242	291	30	2
248	291	30	1
251	291	30	1
255	291	30	1
258	291	30	2
197	292	30	1
198	292	30	1
203	292	30	1
220	292	30	1
223	292	30	1
226	292	30	1
228	292	30	1
231	292	30	1
243	292	30	3
246	292	30	1
247	292	30	2
248	292	30	1
249	292	30	1
251	292	30	1
257	292	30	1
219	293	30	1
220	293	30	1
227	293	30	1
229	293	30	1
239	293	30	1
240	293	30	2
243	293	30	1
244	293	30	1
250	293	30	1
253	293	30	1
220	294	30	1
227	294	30	1
229	294	30	1
235	294	30	1
236	294	30	2
243	294	30	1
246	294	30	1
251	294	30	1
253	294	30	1
197	295	30	1
224	295	30	2
225	295	30	1
247	295	30	1
251	295	30	2
252	295	30	1
254	295	30	2
257	295	30	1
220	296	30	1
222	296	30	1
226	296	30	1
232	296	30	1
233	296	30	1
235	296	30	1
237	296	30	1
241	296	30	2
242	296	30	1
246	296	30	2
247	296	30	2
253	296	30	1
220	297	30	3
223	297	30	2
227	297	30	1
231	297	30	1
232	297	30	1
240	297	30	1
252	297	30	1
215	298	30	1
224	298	30	1
225	298	30	1
226	298	30	1
228	298	30	1
230	298	30	1
236	298	30	1
239	298	30	1
241	298	30	1
247	298	30	1
249	298	30	1
251	298	30	1
252	298	30	1
215	299	30	2
216	299	30	1
218	299	30	1
230	299	30	1
240	299	30	1
241	299	30	1
242	299	30	3
246	299	30	1
252	299	30	1
218	300	30	1
223	300	30	1
225	300	30	1
226	300	30	2
227	300	30	3
228	300	30	2
233	300	30	2
236	300	30	2
237	300	30	1
242	300	30	1
223	301	30	1
227	301	30	1
236	301	30	1
238	301	30	1
239	301	30	3
241	301	30	1
247	301	30	1
251	301	30	2
223	302	30	1
226	302	30	1
231	302	30	1
236	302	30	1
238	302	30	2
240	302	30	1
248	302	30	1
217	303	30	1
238	303	30	1
239	303	30	1
241	303	30	1
246	303	30	2
220	304	30	1
234	304	30	1
235	304	30	2
238	304	30	1
240	304	30	1
236	305	30	1
238	305	30	1
238	306	30	1
226	250	31	2
227	250	31	1
235	250	31	2
215	251	31	1
225	252	31	1
226	252	31	2
217	253	31	1
238	253	31	1
227	254	31	1
231	254	31	1
235	255	31	2
237	255	31	2
240	255	31	1
216	256	31	1
233	256	31	1
177	257	31	1
202	257	31	1
215	257	31	1
218	257	31	1
230	257	31	1
188	258	31	1
190	258	31	1
228	258	31	1
231	258	31	1
239	258	31	1
188	259	31	1
206	259	31	1
219	259	31	1
226	259	31	1
227	259	31	1
229	259	31	1
231	259	31	1
232	259	31	1
237	259	31	1
239	259	31	1
242	259	31	3
187	260	31	1
209	260	31	2
218	260	31	1
220	260	31	1
224	260	31	1
228	260	31	1
234	260	31	1
235	260	31	1
240	260	31	1
241	260	31	1
242	260	31	1
245	260	31	3
184	261	31	1
195	261	31	1
208	261	31	1
213	261	31	1
224	261	31	1
226	261	31	2
227	261	31	2
229	261	31	3
234	261	31	1
243	261	31	1
244	261	31	1
249	261	31	1
195	262	31	1
207	262	31	1
216	262	31	1
218	262	31	1
220	262	31	2
221	262	31	1
226	262	31	1
229	262	31	2
242	262	31	1
248	262	31	1
189	263	31	3
197	263	31	1
198	263	31	2
211	263	31	1
215	263	31	1
