x	y	z	CREB1 phosphorylation through the activation of Adenylate Cyclase
216.157603775171	275.673637444315	34.5586340221659	1
244	284	21	1
246	292	21	1
232	278	24	1
239	278	24	1
244	287	24	1
249	289	24	1
236	268	25	1
233	269	25	1
233	272	25	2
238	272	25	1
239	272	25	2
238	273	25	1
230	274	25	1
238	274	25	2
233	276	25	1
235	276	25	1
240	276	25	1
234	277	25	1
236	277	25	1
247	277	25	1
231	278	25	1
233	278	25	1
237	278	25	1
232	279	25	1
234	279	25	2
236	279	25	1
237	279	25	1
241	279	25	1
245	280	25	1
235	281	25	1
241	281	25	1
248	281	25	1
214	282	25	1
237	282	25	1
233	283	25	1
246	283	25	2
247	284	25	1
241	285	25	1
246	285	25	1
235	286	25	1
245	286	25	1
238	287	25	1
224	288	25	1
236	288	25	1
239	288	25	2
248.5	289.5	25.5	1
234	290	25	1
235	290	25	1
237	290	25	1
243	290	25	1
234	291	25	1
236	291	25	1
242	291	25	1
227	292	25	1
235	292	25	1
243	292	25	1
244	292	25	1
249	292	25	1
239	293	25	1
243	293	25	1
247	293	25	1
241	294	25	1
241	295	25	1
239	296	25	1
244	296	25	2
246	296	25	1
239	297	25	1
241	299	25	1
239	300	25	1
239	302	25	1
183	258	26	1
182	259	26	1
229	264	26	1
231	264	26	1
232	265	26	1
234	265	26	1
234	267	26	1
235	267	26	1
228	269	26	1
228	270	26	1
233	270	26	1
234	270	26	1
215	272	26	1
234	272	26	1
236	273	26	1
237	273	26	1
239	273	26	1
248	273	26	1
233	274	26	1
238	274	26	1
237	275	26	1
239	275	26	1
249	275	26	1
207	276	26	1
232	276	26	2
248	276	26	2
250	276	26	1
210	277	26	2
231	277	26	1
237	277	26	1
235	278	26	2
239	278	26	1
239	279	26	1
240	279	26	1
246	279	26	1
250	279	26	1
234	280	26	1
238	280	26	1
240	280	26	1
232	281	26	1
234	281	26	1
239	281	26	2
246	281	26	2
248	281	26	1
212	282	26	1
229	282	26	1
249	282	26	1
254	282	26	1
248	283	26	1
253	283	26	1
254	283	26	2
233	284	26	2
241	284	26	2
212	285	26	1
240	285	26	1
241	285	26	1
245	285	26	1
253	285	26	1
216	286	26	1
225	286	26	1
232	286	26	1
233	286	26	2
238	286	26	1
240	286	26	1
243	286	26	1
248	286	26	1
253	286	26	1
254	286	26	2
223	287	26	1
236	287	26	4
247	287	26	1
251	287	26	1
232	288	26	1
243	288	26	1
245	288	26	1
248	288	26	1
253	288	26	1
236	289	26	1
240	289	26	1
243	289	26	1
251	289	26	1
225	290	26	2
233	290	26	1
236	290	26	2
240	290	26	1
242	290	26	1
243	290	26	1
232	291	26	1
240	291	26	1
242	291	26	3
225	292	26	1
244	292	26	1
246	292	26	1
250	292	26	1
251	292	26	1
