x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
239	272	24	1
235	278	24	1
244	286	24	1
244	288	24	2
244	289	24	1
247	289	24	1
231	264	25	1
233	269	25	2
238	270	25	1
234	271	25	1
238	273	25	1
231	274	25	1
235	275	25	1
238	275	25	1
236	276	25	1
231	277	25	1
232	277	25	1
234	277	25	1
233	278	25	1
239	278	25	1
249	279	25	1
239	280	25	1
240	281	25	1
249	281	25	3
231	282	25	1
233	282	25	1
238	282	25	1
249	282	25	1
245	283	25	1
249	283	25	1
237	284	25	1
243	284	25	1
244	284	25	1
215	285	25	1
236	285	25	3
253	285	25	1
218	286	25	1
242	287	25	1
235	288	25	1
242	289	25	1
252	289	25	1
237	290	25	1
238	290	25	1
243	290	25	1
246	290	25	1
239	291	25	1
240	291	25	1
235	292	25	1
237	292	25	1
250	292	25	1
245	295	25	1
239	296	25	1
246	296	25	2
239	297	25	1
243	299	25	1
227	300	25	1
240	300	25	1
229	264	26	1
230	264	26	1
232	265	26	1
230	267	26	1
236	268	26	1
229	269	26	2
224	272	26	1
232	272	26	1
232	275	26	1
237	275	26	1
249	275	26	1
215	276	26	2
237	276	26	1
239	276	26	1
244	276	26	1
248	276	26	2
207	277	26	1
240	277	26	1
252	278	26	1
231	279	26	1
240	279	26	2
241	279	26	1
249	279	26	1
240	280	26	1
241	280	26	1
247	280	26	1
246	281	26	1
238	282	26	1
253	282	26	1
234	283	26	1
239	283	26	1
245	283	26	1
246	283	26	1
249	283	26	1
254	283	26	1
246	284	26	1
240	285	26	2
241	285	26	1
244	285	26	1
247	285	26	1
250	285	26	1
253	285	26	1
234	286	26	1
249	286	26	1
253	286	26	1
254	286	26	2
223	287	26	2
249	287	26	1
253	287	26	1
241	288	26	1
237	289	26	1
242	289	26	1
248	289	26	1
250	289	26	2
251	289	26	1
222	291	26	1
232	291	26	1
246	291	26	2
226	292	26	1
236	293	26	1
247	293	26	1
245	294	26	1
221	295	26	1
222	295	26	2
240	295	26	3
241	295	26	1
242	295	26	1
240	296	26	1
242	298	26	1
236	300	26	1
241	300	26	1
184	255	27	1
184	256	27	1
186	257	27	1
181	258	27	1
180	259	27	1
226	259	27	1
228	259	27	1
184	260	27	1
235	260	27	1
180	261	27	2
186	261	27	1
232	262	27	1
236	262	27	1
238	262	27	1
211	263	27	1
229	263	27	1
176	264	27	2
209	264	27	1
226	264	27	1
232	264	27	1
234	264	27	1
237	264	27	1
