x	y	z	CREB1 phosphorylation through the activation of Adenylate Cyclase
214	267	30	1
229	267	30	1
245	267	30	1
207	268	30	1
214	268	30	1
235	268	30	1
240	268	30	1
245	268	30	1
246	268	30	1
249	268	30	2
177	269	30	1
182	269	30	1
197	269	30	1
219	269	30	1
178	270	30	1
183	270	30	1
195	270	30	1
196	270	30	1
200	270	30	1
205	270	30	1
207	270	30	1
216	270	30	1
217	270	30	1
223	270	30	1
232	270	30	1
235	270	30	1
249	270	30	1
176	271	30	1
185	271	30	1
193	271	30	1
199	271	30	1
206	271	30	1
208	271	30	1
212	271	30	1
225	271	30	1
233	271	30	1
234	271	30	1
216	272	30	1
223	272	30	1
233	272	30	1
245	272	30	1
183	273	30	1
203	273	30	1
206	273	30	1
211	273	30	1
234	273	30	1
240	273	30	1
180	274	30	1
185	274	30	2
203	274	30	1
212	274	30	1
229	274	30	1
233	274	30	1
234	274	30	2
239	274	30	1
241	274	30	1
251	274	30	1
182	275	30	1
184	275	30	1
203	275	30	1
213	275	30	2
240	275	30	1
250	275	30	1
206	276	30	1
239	276	30	1
248	276	30	2
249	276	30	1
250	276	30	1
180	277	30	2
205	277	30	1
206	277	30	1
208	277	30	1
235	277	30	1
237	277	30	1
238	277	30	2
175	278	30	1
201	278	30	1
205	278	30	1
230	278	30	2
236	278	30	1
248	278	30	1
250	278	30	2
206	279	30	1
219	279	30	1
234	279	30	1
235	279	30	1
236	279	30	1
238	279	30	2
251	279	30	1
178	280	30	1
233	280	30	2
181	281	30	1
237	281	30	1
246	281	30	1
254	281	30	1
187	282	30	1
210	282	30	1
222	282	30	1
223	282	30	1
229	282	30	1
232	282	30	1
246	282	30	1
209	283	30	1
215	283	30	1
219	283	30	2
234	283	30	1
236	283	30	1
242	283	30	1
251	283	30	1
173	284	30	1
181	284	30	1
226	284	30	2
236	284	30	1
251	284	30	1
254	284	30	1
256	284	30	2
211	285	30	2
234	285	30	1
242	285	30	1
248	285	30	1
222	286	30	1
223	286	30	1
225	286	30	1
226	286	30	2
229	286	30	1
231	286	30	1
235	286	30	1
236	286	30	1
238	286	30	1
244	286	30	1
246	286	30	1
251	286	30	1
207	287	30	1
252	287	30	1
225	288	30	1
233	288	30	1
239	288	30	2
249	288	30	1
252	288	30	1
184	289	30	1
228	289	30	1
230	289	30	1
231	289	30	1
240	289	30	2
243	289	30	1
250	289	30	1
252	289	30	2
225	290	30	1
239	290	30	1
253	290	30	1
197	291	30	2
222	291	30	1
223	291	30	1
234	291	30	1
251	291	30	1
194	292	30	1
223	292	30	1
235	292	30	1
245	292	30	1
251	292	30	1
222	293	30	1
223	293	30	1
231	293	30	1
236	293	30	1
243	293	30	1
244	293	30	2
249	293	30	1
250	293	30	1
253	293	30	1
189	294	30	1
210	294	30	2
220	294	30	1
231	294	30	1
244	294	30	1
246	294	30	1
257	294	30	1
258	294	30	2
197	295	30	1
250	295	30	1
255	295	30	1
239	296	30	1
220	297	30	1
241	297	30	1
243	297	30	1
221	298	30	1
225	298	30	1
227	298	30	2
228	298	30	1
235	298	30	1
250	298	30	1
216	299	30	1
221	299	30	1
231	299	30	1
240	299	30	1
241	299	30	1
246	299	30	1
252	299	30	2
218	300	30	1
230	300	30	1
232	300	30	1
233	300	30	1
236	300	30	1
240	300	30	1
249	300	30	1
235	301	30	2
242	301	30	1
246	301	30	1
248	301	30	1
249	301	30	1
221	302	30	1
242	302	30	1
223	303	30	2
239	303	30	1
241	303	30	1
237	304	30	1
242	304	30	2
237	305	30	1
238	305	30	1
236	306	30	1
215	251	31	2
225	252	31	1
226	252	31	1
227	253	31	1
238	253	31	2
231	254	31	1
232	254	31	1
238	254	31	1
237	255	31	1
233	256	31	1
214	257	31	1
230	257	31	1
215	258	31	1
216	258	31	1
237	258	31	1
209	259	31	1
242	259	31	1
186	260	31	1
188	260	31	1
209	260	31	1
212	260	31	2
216	260	31	1
218	260	31	1
221	260	31	2
235	260	31	2
181	261	31	1
184	261	31	1
187	261	31	1
224	261	31	1
226	261	31	1
235	261	31	1
243	261	31	1
193	262	31	1
194	262	31	1
207	262	31	1
221	262	31	1
223	262	31	1
236	262	31	1
197	263	31	1
211	263	31	1
222	263	31	1
228	263	31	1
232	263	31	1
236	263	31	1
248	263	31	1
178	264	31	1
188	264	31	1
194	264	31	1
204	264	31	1
215	264	31	1
216	264	31	1
227	264	31	1
228	264	31	1
232	264	31	1
184	265	31	1
213	265	31	1
214	265	31	1
216	265	31	1
229	265	31	1
236	265	31	1
238	265	31	2
240	265	31	1
189	266	31	1
212	266	31	1
219	266	31	1
220	266	31	1
221	266	31	1
231	266	31	1
241	266	31	1
244	266	31	1
245	266	31	1
251	266	31	1
195	267	31	1
196	267	31	1
197	267	31	1
211	267	31	1
228	267	31	1
229	267	31	1
230	267	31	1
236	267	31	1
237	267	31	1
245	267	31	2
213	268	31	1
215	268	31	1
224	268	31	2
225	268	31	2
231	268	31	1
232	268	31	1
238	268	31	1
247	268	31	1
188	269	31	1
210	269	31	1
234	269	31	2
239	269	31	1
249	269	31	1
252	269	31	1
181	270	31	1
196	270	31	1
199	270	31	1
207	270	31	1
212	270	31	1
216	270	31	1
234	270	31	1
239	270	31	1
248	270	31	1
250	270	31	1
176	271	31	1
199	271	31	1
203	271	31	1
215	271	31	2
217	271	31	1
224	271	31	1
247	271	31	1
176	272	31	1
182	272	31	2
203	272	31	2
208	272	31	1
213	272	31	1
215	272	31	1
226	272	31	2
227	272	31	1
230	272	31	1
237	272	31	1
238	272	31	1
176	273	31	1
184	273	31	2
210	273	31	1
215	273	31	2
232	273	31	1
239	273	31	1
248	273	31	1
249	273	31	1
250	273	31	1
175	274	31	1
203	274	31	1
211	274	31	1
232	274	31	1
236	274	31	1
237	274	31	1
240	274	31	1
243	274	31	1
247	274	31	1
248	274	31	1
250	274	31	2
184	275	31	1
206	275	31	1
231	275	31	1
243	275	31	1
184	276	31	4
238	276	31	2
239	276	31	1
241	276	31	1
243	276	31	1
253	276	31	1
235	277	31	1
236	277	31	1
237	277	31	1
238	277	31	1
177	278	31	3
178	278	31	1
204	278	31	1
208	278	31	2
237	278	31	1
219	279	31	1
238	279	31	1
254	279	31	1
232	280	31	2
237	280	31	1
238	280	31	1
241	280	31	2
247	280	31	1
176	281	31	1
204	281	31	1
222	281	31	1
224	281	31	1
231	281	31	1
233	281	31	3
235	281	31	1
245	281	31	1
220	282	31	1
234	282	31	1
247	282	31	1
248	282	31	1
176	283	31	1
181	283	31	1
184	283	31	1
208	283	31	1
221	283	31	2
224	283	31	1
240	283	31	1
177	284	31	1
180	284	31	1
231	284	31	1
237	284	31	1
243	284	31	1
173	285	31	1
220	285	31	1
224	285	31	1
234	285	31	2
235	285	31	1
236	285	31	1
245	285	31	1
251	285	31	1
253	285	31	1
255	285	31	2
180	286	31	1
224	286	31	1
225	286	31	1
187	287	31	1
219	287	31	1
224	287	31	1
225	287	31	1
228	287	31	1
229	287	31	1
237	287	31	2
250	287	31	1
186	288	31	1
234	288	31	1
246	288	31	1
251	288	31	1
200	289	31	1
205	289	31	1
222	289	31	1
227	289	31	1
233	289	31	1
252	289	31	1
221	290	31	1
225	290	31	1
226	290	31	1
227	290	31	1
250	290	31	1
199	291	31	1
200	291	31	1
226	291	31	1
245	291	31	2
248	291	31	1
249	291	31	1
197	292	31	1
201	292	31	2
226	292	31	1
242	292	31	1
243	292	31	1
246	292	31	1
250	292	31	1
256	292	31	1
225	293	31	1
232	293	31	1
236	293	31	1
238	293	31	1
239	293	31	1
242	293	31	1
256	293	31	1
198	294	31	2
220	294	31	1
221	294	31	1
224	294	31	1
237	294	31	1
251	294	31	1
222	295	31	2
225	295	31	1
226	295	31	1
232	295	31	1
234	295	31	1
241	295	31	1
249	295	31	1
215	296	31	1
229	296	31	1
234	296	31	1
245	296	31	1
250	296	31	1
195	297	31	2
223	297	31	1
226	297	31	2
234	297	31	1
242	297	31	2
205	298	31	2
226	298	31	1
228	298	31	1
242	298	31	1
245	298	31	2
224	299	31	1
236	299	31	1
247	299	31	2
230	300	31	1
231	300	31	1
235	300	31	1
236	300	31	1
244	300	31	1
246	300	31	1
248	300	31	1
249	300	31	2
226	301	31	1
233	301	31	1
243	301	31	1
247	301	31	1
222	302	31	1
223	302	31	1
226	302	31	1
232	302	31	1
242	302	31	1
244	302	31	1
248	302	31	1
224	303	31	1
234	303	31	1
236	303	31	1
223	305	31	1
237	305	31	1
236	306	31	1
225	308	31	1
226	250	32	1
231	250	32	1
215	251	32	1
216	252	32	2
217	252	32	1
235	252	32	1
232	253	32	1
240	253	32	1
226	254	32	1
235	254	32	2
223	255	32	1
242	256	32	1
210	257	32	1
228	257	32	1
232	257	32	1
218	258	32	1
235	258	32	1
239	258	32	1
191	259	32	1
201	259	32	1
222	259	32	1
230	259	32	1
234	259	32	1
237	259	32	1
247	259	32	1
216	260	32	2
220	260	32	1
222	260	32	2
210	261	32	1
224	261	32	2
228	261	32	1
242	261	32	1
246	261	32	1
196	262	32	1
209	262	32	1
228	262	32	1
233	262	32	1
236	262	32	1
242	262	32	1
243	262	32	1
247	262	32	1
218	263	32	1
226	263	32	2
227	263	32	1
230	263	32	3
236	263	32	1
247	263	32	1
249	263	32	1
190	264	32	1
191	264	32	1
194	264	32	1
200	264	32	1
215	264	32	1
217	264	32	1
221	264	32	1
228	264	32	1
236	264	32	1
238	264	32	1
184	265	32	1
194	265	32	1
196	265	32	1
203	265	32	1
206	265	32	1
212	265	32	1
220	265	32	1
235	265	32	1
178	266	32	1
188	266	32	1
197	266	32	1
214	266	32	1
218	266	32	1
228	266	32	1
229	266	32	1
251	266	32	1
182	267	32	1
188	267	32	1
215	267	32	1
225	267	32	1
228	267	32	1
237	267	32	1
238	267	32	1
245.5	267.5	32.5	2
248	267	32	1
249	267	32	1
186	268	32	1
206	268	32	1
211	268	32	1
212	268	32	1
215	268	32	1
219	268	32	1
246	268	32	1
247	268	32	1
176	269	32	1
180	269	32	1
181	269	32	1
187	269	32	1
193	269	32	1
196	269	32	1
244	269	32	1
245	269	32	1
249	269	32	1
173	270	32	2
185	270	32	1
196	270	32	1
197	270	32	1
210	270	32	1
222	270	32	1
224	270	32	1
227	270	32	2
233	270	32	1
243	270	32	1
196	271	32	1
208	271	32	1
209	271	32	2
234	271	32	1
235	271	32	1
240	271	32	1
241	271	32	1
243	271	32	1
244	271	32	1
249	271	32	1
250	271	32	2
176	272	32	1
177	272	32	1
185	272	32	1
186	272	32	1
205	272	32	1
206	272	32	1
207	272	32	1
214	272	32	2
244	272	32	1
245	272	32	1
249	272	32	1
250	272	32	1
251	272	32	1
206	273	32	1
210	273	32	1
234	273	32	1
235	273	32	1
241	273	32	1
243	273	32	1
246	273	32	1
254	273	32	2
174	274	32	1
179	274	32	2
184	274	32	2
205	274	32	1
207	274	32	1
211	274	32	2
237	274	32	1
243	274	32	1
244	274	32	1
184	275	32	1
186	275	32	1
208	275	32	1
213	275	32	1
237	275	32	1
247	275	32	1
252	275	32	1
175	276	32	1
203	276	32	1
204	276	32	1
205	276	32	1
228	276	32	1
234	276	32	1
243	276	32	2
246	276	32	1
249	276	32	1
210	277	32	1
214	277	32	1
216	277	32	3
224	277	32	2
237	277	32	1
244	277	32	1
245	277	32	1
254	277	32	1
176	278	32	1
220	278	32	1
234	278	32	1
237	278	32	2
240	278	32	1
179	279	32	2
236	279	32	1
237	279	32	1
243	279	32	1
250	279	32	1
175	280	32	2
221	280	32	1
232	280	32	1
249	280	32	1
176	281	32	1
219	281	32	2
226	281	32	1
237	281	32	1
175	282	32	1
179	282	32	1
220	282	32	1
241	282	32	1
245	282	32	1
246	282	32	1
250	282	32	1
256	282	32	1
207	283	32	1
211	283	32	2
224	283	32	1
236	283	32	1
237	283	32	1
246	283	32	1
249	283	32	2
208	284	32	1
226	284	32	1
230	284	32	2
232	284	32	3
234	284	32	1
240	284	32	1
241	284	32	2
245	284	32	1
248	284	32	1
185	285	32	1
206	285	32	1
223	285	32	1
229	285	32	1
235	285	32	1
255	285	32	1
183	286	32	1
204	286	32	1
207	286	32	1
219	286	32	1
229	286	32	1
247	286	32	2
252	286	32	1
256	286	32	1
222	287	32	1
226	287	32	2
234	287	32	1
240	287	32	1
242	287	32	1
243	287	32	1
247	287	32	1
249	287	32	1
254	287	32	1
256	287	32	1
203	288	32	1
220	288	32	2
226	288	32	1
227	288	32	1
231	288	32	2
247	288	32	1
258	288	32	1
185	289	32	1
201	289	32	1
231	289	32	2
234	289	32	1
244	289	32	1
225	290	32	1
226	290	32	1
229	290	32	1
230	290	32	1
233	290	32	1
234	290	32	1
245	290	32	1
247	290	32	1
186	291	32	2
197	291	32	1
200	291	32	1
244	291	32	2
246	291	32	1
204	292	32	1
218	292	32	1
225	292	32	1
227	292	32	1
229	292	32	1
233	292	32	1
236.75	292.75	33	1
248	292	32	1
249	292	32	2
252	292	32	1
257	292	32	1
207	293	32	1
228	293	32	2
232	293	32	1
238	293	32	1
247	293	32	2
248	293	32	1
250	293	32	1
256	293	32	1
180	294	32	1
202	294	32	2
223	294	32	1
225	294	32	1
230	295	33	1
236	294	32	1
242	294	32	1
247	294	32	2
252	294	32	1
195	295	32	1
217	295	32	1
223	295	32	2
228	295	32	2
243	295	32	1
244	295	32	1
248	295	32	1
251	295	32	1
253	295	32	1
197	296	32	1
220	296	32	3
226	296	32	1
231	296	32	1
241	296	32	2
242	296	32	1
247	296	32	1
183	297	32	1
219	297	32	2
225	297	32	2
247	297	32	1
221	298	32	2
228	298	32	1
230	298	32	1
232	298	32	1
238	298	32	1
250	298	32	1
251	298	32	1
253	298	32	1
226	299	32	1
228	299	32	1
231	299	32	1
233	299	32	1
241	299	32	1
244	299	32	1
197	300	32	1
237	300	32	1
239	300	32	2
245	300	32	1
223	301	32	1
224	301	32	1
235	301	32	1
237	301	32	1
249	301	32	1
224	302	32	1
229	302	32	1
236	302	32	1
239	302	32	1
240	302	32	1
245	302	32	1
249	302	32	1
207	303	32	1
235	303	32	1
244	303	32	1
220	304	32	1
230	304	32	1
231	304	32	1
235	304	32	2
236	304	32	2
244	304	32	1
204	305	32	1
226	305	32	1
235	305	32	1
238	305	32	1
208	306	32	1
230	306	32	1
236	306	32	2
241	306	32	1
221	307	32	1
225	307	32	1
226	307	32	1
221	308	32	1
235	308	32	1
224	309	32	1
229	310	32	2
230	310	32	2
234	311	32	1
227	312	32	1
229	312	32	1
232	249	33	1
226	251	33	1
229	252	33	1
231	253	33	1
230	254	33	1
231	254	33	1
221	255	33	2
236	255	33	1
225	256	33	1
214	257	33	1
220	257	33	1
235	257	33	1
237	257	33	1
215	258	33	1
220	258	33	2
223	258	33	1
226	258	33	1
235	258	33	1
211	259	33	1
213	259	33	1
228	259	33	1
229	259	33	1
232	259	33	1
233	259	33	1
244	259	33	1
192	260	33	1
213	260	33	1
215	260	33	1
229	260	33	1
233	260	33	1
182	261	33	1
188	261	33	1
193	261	33	1
208	261	33	1
211	261	33	1
216	261	33	1
217.5	261.5	33.5	2
230	261	33	1
237	261	33	2
241	261	33	1
245	261	33	1
247	261	33	1
191	262	33	2
203	262	33	1
231	262	33	1
239	262	33	2
241	262	33	1
248	262	33	1
250	262	33	1
190	263	33	1
199	263	33	2
200	263	33	1
211	263	33	1
215	263	33	1
217	263	33	1
218	263	33	1
233	263	33	1
236	263	33	1
242	263	33	1
243	263	33	1
245	263	33	1
186	264	33	1
187	264	33	1
189	264	33	1
192	264	33	1
193	264	33	1
194	264	33	1
212	264	33	1
215	264	33	1
228	264	33	1
233	264	33	1
245	264	33	1
246	264	33	1
247	264	33	3
188	265	33	1
189	265	33	1
208	265	33	1
217	265	33	1
233	265	33	1
235	265	33	1
239	265	33	1
242	265	33	1
244	265	33	1
208	266	33	1
214	266	33	1
228	266	33	1
241	266	33	1
191	267	33	1
200	267	33	1
214	267	33	1
215	267	33	1
220	267	33	2
229	267	33	1
241	267	33	1
246	267	33	1
247	267	33	1
250	267	33	1
253	267	33	1
207	268	33	2
212	268	33	1
213	268	33	2
219	268	33	1
252	268	33	1
191	269	33	1
195	269	33	1
196	269	33	1
201	269	33	1
208	269	33	1
233	269	33	1
234	269	33	1
240	269	33	1
243	269	33	1
244	269	33	1
246	269	33	1
187	270	33	1
198	270	33	1
205	270	33	1
239	270	33	1
241	270	33	1
252	270	33	1
177	271	33	1
192	271	33	1
211	271	33	1
231	271	33	2
239	271	33	1
240	271	33	1
242	271	33	1
246	271	33	1
176	272	33	1
180	272	33	1
216	272	33	1
232	272	33	1
241	272	33	1
245	272	33	1
249	272	33	1
176	273	33	1
181	273	33	1
188	273	33	1
190	273	33	1
196	273	33	1
201	273	33	1
203	273	33	2
209	273	33	1
214	273	33	1
215	273	33	1
235	273	33	2
241	273	33	1
243	273	33	2
253	273	33	1
183	274	33	1
186	274	33	2
190	274	33	1
201	274	33	1
202	274	33	1
207	274	33	1
209	274	33	2
211	274	33	1
239	274	33	1
184	275	33	1
206	275	33	1
212	275	33	1
214	275	33	2
227	275	33	1
240	275	33	2
244	275	33	1
205	276	33	1
208	276	33	1
242	276	33	1
243	276	33	1
178	277	33	1
183	277	33	1
187	277	33	1
216	277	33	1
238	277	33	2
174	278	33	1
205	278	33	1
240	278	33	1
