x	y	z	Interferon alpha/beta signaling
216.157603775171	275.673637444315	34.5586340221659	1
246	292	21	1
239	272	24	1
241	279	24	1
244	287	24	2
246	287	24	1
251	287	24	2
244	288	24	1
247	289	24	1
248	289	24	1
249	289	24	1
244	290	24	1
244	291	24	1
231	264	25	1
232	265	25	1
233	269	25	1
235	270	25	1
238	270	25	2
238	272	25	1
227	273	25	1
235	275	25	1
236	275	25	1
232.5	276.5	25.5	1
234	276	25	1
236	276	25	1
235	277	25	1
231	278	25	1
236	278	25	1
237	278	25	1
239	278	25	1
233	279	25	2
235	279	25	1
237	279	25	1
239	279	25	1
249	279	25	1
232	280	25	2
243	281	25	2
238	282	25	1
240	282	25	1
247	282	25	1
249	282	25	1
230	283	25	1
232	283	25	1
233	283	25	1
237	283	25	2
238	283	25	1
239	283	25	1
243	283	25	1
247	283	25	2
213	284	25	1
233	284	25	1
236	284	25	1
245	284	25	1
249	284	25	1
252	284	25	1
215	285	25	1
232	285	25	1
238	285	25	1
239	285	25	2
243	285	25	2
242	286	25	1
243	286	25	1
245	286	25	1
252	286	25	1
245	287	25	1
249	287	25	1
252	287	25	1
236	288	25	1
239	288	25	1
226	289	25	1
236	289	25	1
237	289	25	1
237	290	25	1
238	290	25	1
246	290	25	1
250	290	25	1
234	291	25	1
237	291	25	1
239	291	25	1
245	291	25	1
235	292	25	2
237	292	25	1
242	292	25	1
249	292	25	1
240	293	25	1
244	293	25	1
240	294	25	1
242	294	25	1
244	294	25	1
240	295	25	1
243	295	25	2
244	296	25	1
247	296	25	1
239	297	25	1
243	299	25	1
239	300	25	3
240	300	25	1
176	259	26	1
182	259	26	1
230	264	26	1
231	264	26	1
234	265	26	1
237	266	26	2
233	268	26	1
241	268	26	1
228	269	26	1
229	269	26	2
240	270	26	1
250	270	26	1
229	271	26	1
215	272	26	1
217	272	26	1
230	272	26	1
236	272	26	1
239	272	26	1
236	273	26	1
232	275	26	1
239	275	26	1
249	275	26	2
250	275	26	2
215	276	26	1
231	276	26	2
235	276	26	1
237	276	26	1
239	276	26	1
248	276	26	2
250	276	26	1
213	277	26	1
231	277	26	1
239	277	26	1
247	277	26	1
249	277	26	1
231	278	26	1
233	278	26	2
234	278	26	1
237	278	26	1
239	278	26	1
249	278	26	2
251	278	26	2
252	278	26	1
207	279	26	1
231	279	26	1
234	279	26	2
240	279	26	1
241	279	26	1
248	279	26	1
230	280	26	1
232	280	26	2
234	280	26	2
242	280	26	1
247	280	26	1
249	280	26	2
232	281	26	1
237	281	26	1
250	281	26	1
209	282	26	1
233	282	26	1
234	282	26	2
235	282	26	1
237	282	26	1
231	283	26	1
238	283	26	1
245	283	26	1
248	283	26	1
215	284	26	1
232	284	26	1
241	284	26	1
244	284	26	1
246	284	26	1
211	285	26	1
234	285	26	1
241	285	26	1
245	285	26	1
247	285	26	1
252	285	26	1
253	285	26	1
254	285	26	1
233	286	26	1
246	286	26	1
248	286	26	1
252	286	26	2
254	286	26	1
223	287	26	1
224	287	26	1
252	287	26	1
232	288	26	1
235	288	26	2
236	288	26	1
243	288	26	1
245	288	26	1
253	288	26	1
223	289	26	2
231	289	26	1
233	289	26	1
242	289	26	1
248	289	26	1
250	289	26	1
227	290	26	1
228	290	26	1
236	290	26	1
238	290	26	1
239	290	26	1
240	290	26	1
242	290	26	1
243	290	26	1
250	290	26	2
226	291	26	1
235	291	26	1
242	291	26	1
244	291	26	2
246	291	26	1
238	292	26	1
242	292	26	1
244	292	26	1
245	292	26	2
247	292	26	2
249	292	26	1
246	293	26	1
220	294	26	1
235	294	26	1
237	294	26	1
240	294	26	1
244	294	26	1
234	295	26	1
237	295	26	1
239	295	26	2
244	295	26	1
245	295	26	1
248	295	26	1
254	295	26	1
241	296	26	1
242	296	26	1
244	296	26	1
239	297	26	1
242	297	26	4
245	297	26	1
246	297	26	4
240	298	26	1
236	299	26	1
241	299	26	2
241	300	26	2
182	255	27	1
184	255	27	1
181	258	27	1
183	258	27	1
184	258	27	1
226	259	27	1
228	259	27	2
231	259	27	1
186	260	27	1
227	260	27	1
233	260	27	1
234	260	27	2
177	261	27	1
181	261	27	1
182	261	27	1
183	261	27	1
186	261	27	1
232	261	27	1
234	261	27	1
235	261	27	1
227	262	27	1
229	262	27	1
233	262	27	1
236	262	27	1
179	263	27	1
225	263	27	1
229	263	27	1
231	263	27	2
235	263	27	1
175	264	27	2
176	264	27	1
180	264	27	1
186	264	27	1
224	264	27	1
225	264	27	1
234	264	27	1
238	264	27	1
239	264	27	1
240	264	27	1
248	264	27	1
181	265	27	1
212	265	27	2
225	265	27	1
226	265	27	1
231	265	27	1
232	265	27	1
233	265	27	1
234	265	27	1
236	265	27	2
237	265	27	1
239	265	27	1
178	266	27	1
201	266	27	1
231	266	27	2
233	266	27	1
234	266	27	1
235	266	27	1
237	266	27	1
239	266	27	2
179	267	27	3
214	267	27	1
217	267	27	2
229	267	27	2
231	267	27	1
232	267	27	3
239	267	27	2
241	267	27	1
249	267	27	2
180	268	27	1
197	268	27	1
213	268	27	1
214	268	27	1
215	268	27	1
223	268	27	2
224	268	27	1
225	268	27	1
227	268	27	2
231	268	27	1
233	268	27	1
235	268	27	1
240	268	27	2
241	268	27	1
214	269	27	1
224	269	27	1
225	269	27	1
228	269	27	1
237	269	27	1
241	269	27	1
242	269	27	2
252	269	27	1
184	270	27	1
192	270	27	1
197	270	27	1
207	270	27	2
215	270	27	1
217	270	27	2
226	270	27	2
227	270	27	1
228	270	27	1
231	270	27	1
232	270	27	1
233	270	27	1
237	270	27	2
238	270	27	1
239	270	27	2
243	270	27	1
248	270	27	2
180	271	27	1
182	271	27	1
208	271	27	1
209	271	27	1
216	271	27	1
217	271	27	1
225	271	27	2
239	271	27	1
240	271	27	1
243	271	27	1
247	271	27	1
248	271	27	1
176	272	27	1
181	272	27	1
208	272	27	1
217	272	27	1
220	272	27	1
223	272	27	2
227	272	27	2
232	272	27	1
234	272	27	1
251	272	27	1
203	273	27	1
212	273	27	1
215	273	27	1
227	273	27	1
229	273	27	1
232	273	27	1
234	273	27	1
240	273	27	1
241	273	27	1
253	273	27	1
177	274	27	1
207	274	27	1
208	274	27	1
212	274	27	1
213	274	27	2
227	274	27	1
228	274	27	1
229	274	27	1
230	274	27	1
233	274	27	1
237	274	27	2
250	274	27	1
252	274	27	1
182	275	27	1
213	275	27	1
216	275	27	1
228	275	27	1
242	275	27	2
244	275	27	2
247	275	27	1
252	275	27	1
177	276	27	3
204	276	27	1
205	276	27	3
207	276	27	1
208	276	27	1
209	276	27	1
210	276	27	1
212	276	27	2
214	276	27	1
222	276	27	1
227	276	27	2
230	276	27	2
233	276	27	1
234	276	27	1
239	276	27	1
245	276	27	1
204	277	27	1
210	277	27	1
211	277	27	2
212	277	27	1
218	277	27	1
219	277	27	1
220	277	27	1
238	277	27	1
246	277	27	1
249	277	27	1
250	277	27	1
203	278	27	1
213	278	27	1
220	278	27	1
224	278	27	1
225	278	27	1
233	278	27	1
234	278	27	1
239	278	27	1
240	278	27	1
244	278	27	1
245	278	27	1
246	278	27	1
249	278	27	1
251	278	27	2
201	279	27	1
220	279	27	1
231	279	27	1
234	279	27	1
237	279	27	1
238	279	27	1
239	279	27	1
240	279	27	1
242	279	27	1
243	279	27	1
249	279	27	2
250	279	27	1
204	280	27	1
210	280	27	1
233	280	27	1
234	280	27	1
235	280	27	1
243	280	27	2
244	280	27	4
245	280	27	1
246	280	27	1
247	280	27	1
249	280	27	2
251	280	27	2
252	280	27	1
256	280	27	1
209	281	27	1
210	281	27	1
214	281	27	1
215	281	27	1
217	281	27	1
229	281	27	1
233	281	27	1
234	281	27	2
235	281	27	1
236	281	27	2
239	281	27	3
248	281	27	2
252	281	27	1
256	281	27	1
257	281	27	2
206	282	27	1
212	282	27	2
215	282	27	1
217	282	27	1
227	282	27	1
231	282	27	1
236	282	27	1
237	282	27	1
238	282	27	1
240	282	27	1
245	282	27	1
246	282	27	1
248	282	27	2
252	282	27	2
206	283	27	1
208	283	27	1
210	283	27	2
221	283	27	1
235	283	27	1
239	283	27	1
240	283	27	1
241	283	27	2
242	283	27	2
244	283	27	1
245	283	27	2
248	283	27	1
253	283	27	1
205	284	27	2
209	284	27	2
213	284	27	1
214	284	27	1
232	284	27	1
236	284	27	1
237	284	27	1
240	284	27	1
252	284	27	1
257	284	27	1
206	285	27	1
208	285	27	1
209	285	27	1
223	285	27	1
233	285	27	1
234	285	27	1
246	285	27	1
249	285	27	1
250	285	27	1
204	286	27	2
232	286	27	1
234	286	27	1
237	286	27	2
240	286	27	1
249	286	27	1
251	286	27	1
254	286	27	1
256	286	27	1
258	286	27	1
210	287	27	1
222	287	27	1
223	287	27	1
228	287	27	1
232	287	27	1
233	287	27	1
240	287	27	1
242	287	27	1
246	287	27	1
249	287	27	1
251	287	27	1
252	287	27	2
256	287	27	2
226	288	27	1
232	288	27	1
237	288	27	1
242	288	27	2
243	288	27	1
244	288	27	1
246	288	27	1
253	288	27	1
219	289	27	1
224	289	27	1
231	289	27	1
236	289	27	1
237	289	27	1
249	289	27	3
251	289	27	1
253	289	27	1
254	289	27	1
214	290	27	2
225	290	27	2
228	290	27	1
231	290	27	1
237	290	27	2
240	290	27	1
246	290	27	1
247	290	27	1
225	291	27	1
228	291	27	1
230	291	27	1
234	291	27	1
236	291	27	2
237	291	27	4
239	291	27	1
242	291	27	1
257	291	27	1
220	292	27	1
223	292	27	1
224	292	27	1
230	292	27	1
234	292	27	1
241	292	27	1
246	292	27	1
249	292	27	1
250	292	27	2
253	292	27	1
254	292	27	1
210	293	27	1
211	293	27	2
221	293	27	1
222	293	27	1
224	293	27	1
244	293	27	1
247	293	27	1
248	293	27	2
251	293	27	1
254	293	27	1
211	294	27	1
217	294	27	1
235	294	27	2
250	294	27	1
251	294	27	2
257	294	27	1
219	295	27	1
220	295	27	2
223	295	27	1
226	295	27	1
211	296	27	1
238	296	27	1
240	296	27	1
246	296	27	1
247	296	27	1
255	296	27	1
240	297	27	3
224	298	27	2
226	298	27	1
238	298	27	3
247	298	27	1
215	299	27	1
226	299	27	2
249	299	27	2
252	299	27	1
231	300	27	1
237	300	27	2
241	300	27	1
244	300	27	1
248	300	27	1
235	301	27	1
236	301	27	1
241	301	27	1
243	301	27	2
245	301	27	1
247	301	27	1
226	302	27	1
235	302	27	2
237	302	27	1
239	302	27	1
245	302	27	1
235	304	27	2
237	304	27	1
243	304	27	2
232	264	28	1
234	265	28	1
231	266	28	1
236	269	28	2
238	269	28	1
236	270	28	2
236	271	28	1
237	271	28	2
232	272	28	2
233	272	28	2
211	273	28	1
235	273	28	1
214	274	28	1
232	274	28	1
233	276	28	1
235	277	28	1
236	277	28	1
248	279	28	1
208	281	28	1
250	281	28	1
249	282	28	1
238	283	28	1
246	284	28	1
248	284	28	1
250	284	28	1
242	285	28	1
245	285	28	1
240	287	28	1
251	287	28	1
224	288	28	1
245	288	28	1
227	289	28	1
246	289	28	1
242	290	28	1
240	291	28	1
241	291	28	1
245	291	28	1
247	291	28	1
222	292	28	1
245	292	28	1
248	292	28	1
250	292	28	1
250	293	28	1
251	294	28	1
240	295	28	1
240	296	28	1
245	297	28	1
240	298	28	1
229	255	29	1
234	256	29	1
190	258	29	1
228	258	29	1
234	258	29	1
235	258	29	1
238	259	29	1
234	260	29	1
240	260	29	2
187	261	29	1
227	261	29	1
229	261	29	1
221	262	29	1
227	262	29	1
178	264	29	1
216	264	29	1
248	264	29	1
232	265	29	1
233	265	29	1
239	265	29	1
230	266	29	1
237	266	29	1
196	267	29	1
199	267	29	2
226	267	29	1
231	267	29	1
249	267	29	3
194	268	29	1
201	268	29	1
217	268	29	1
231	268	29	1
235	268	29	1
237	268	29	1
239	268	29	3
250	268	29	1
193	269	29	3
196	269	29	1
175	270	29	1
215	270	29	1
237	270	29	1
182	271	29	1
233	271	29	2
235	271	29	1
211	272	29	3
239	272	29	1
249	272	29	3
251	272	29	1
236	273	29	1
249	273	29	1
180	274	29	2
214	274	29	1
234	274	29	1
235	274	29	1
238	274	29	2
247	274	29	1
236	275	29	1
237	275	29	1
238	275	29	1
239	275	29	1
240	275	29	2
242	275	29	1
206	276	29	1
233	276	29	1
234	276	29	1
236	276	29	1
240	276	29	2
246	276	29	1
250	276	29	1
232	277	29	1
234	277	29	1
237	277	29	2
238	277	29	1
250	277	29	1
238	278	29	2
239	278	29	2
244	278	29	1
247	278	29	1
235	279	29	1
246	279	29	1
256	279	29	1
237	280	29	1
241	280	29	1
246	280	29	1
249	280	29	1
251	280	29	1
252	280	29	2
208	281	29	1
214	281	29	1
224	281	29	1
232	281	29	1
233	281	29	2
238	281	29	2
241	281	29	1
243	281	29	1
245	281	29	1
233	282	29	2
242	282	29	1
244	282	29	1
245	282	29	1
248	282	29	1
254	282	29	1
215	283	29	1
231	283	29	1
232	283	29	1
239	283	29	2
241	283	29	1
246	283	29	2
247	283	29	1
249	283	29	1
250	283	29	1
251	283	29	2
211	284	29	1
233	284	29	1
236	284	29	1
237	284	29	1
240	284	29	1
241	284	29	1
244	284	29	2
249	284	29	1
233	285	29	1
234	285	29	3
236	285	29	1
238	285	29	1
211	286	29	1
234	286	29	1
242	286	29	3
247	286	29	1
249	286	29	1
226	287	29	1
228	287	29	1
231	287	29	1
232	287	29	3
249	287	29	1
225	288	29	1
226	288	29	1
228	288	29	1
234	288	29	1
235	288	29	1
236	288	29	1
240	288	29	1
244	288	29	2
245	288	29	1
249	288	29	1
228	289	29	1
236	289	29	1
237	289	29	1
243	289	29	1
250	289	29	1
222	290	29	1
224	290	29	1
225	290	29	2
230	290	29	1
239	290	29	2
243	290	29	1
225	291	29	1
239	291	29	1
240	291	29	1
246	291	29	1
251	291	29	1
222	292	29	1
225	292	29	1
236	292	29	1
238	292	29	1
239	292	29	1
241	292	29	1
243	292	29	1
245	292	29	2
249	292	29	1
225	293	29	1
227	293	29	2
246	293	29	1
221	294	29	1
238	294	29	1
240	294	29	1
241	294	29	3
248	294	29	3
221	295	29	1
240	295	29	1
219	296	29	1
227	297	29	1
241	297	29	1
242	297	29	2
248	297	29	3
226	298	29	1
238	298	29	1
239	298	29	1
242	298	29	1
245	298	29	1
248	298	29	2
226	299	29	1
239	299	29	2
252	299	29	2
236	300	29	1
237	300	29	1
240	300	29	1
227	301	29	1
230	301	29	1
238	301	29	1
241	301	29	2
250	302	29	1
225	251	30	2
215	252	30	1
228	253	30	1
233	254	30	1
236	254	30	2
191	255	30	1
215	255	30	1
230	255	30	1
232	255	30	1
236	255	30	1
204	256	30	1
231	256	30	1
236	256	30	2
192	257	30	1
203	257	30	1
204	257	30	2
227	257	30	2
229	257	30	1
240	257	30	2
175	258	30	1
176	258	30	1
203	258	30	1
227	258	30	1
229	258	30	1
237	258	30	2
175	259	30	3
209	259	30	1
214	259	30	1
216	259	30	1
218	259	30	2
219	259	30	2
230	259	30	2
232	259	30	1
234	259	30	2
237	259	30	1
241	259	30	1
186	260	30	1
206	260	30	1
212	260	30	1
228	260	30	1
231	260	30	3
184	261	30	1
186	261	30	1
199	261	30	1
