x	y	z	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
240	286	21	1
235	278	24	1
237	278	24	1
246	284	24	2
239	287	24	1
244	287	24	2
244	288	24	1
245	288	24	1
249	289	24	1
244	290	24	1
244	291	24	1
231	268	25	1
238	270	25	1
234	271	25	2
230	272	25	1
227	273	25	1
235	273	25	1
231	274	25	1
232	274	25	2
238	275	25	1
236	276	25	1
234	277	25	1
247	277	25	2
239	278	25	1
232	279	25	1
233	279	25	1
238	279	25	1
233	280	25	1
236	280	25	1
245	280	25	2
231	281	25	1
240	281	25	1
241	281	25	1
249	281	25	1
232	282	25	1
233	283	25	1
235	283	25	1
236	283	25	1
238	283	25	1
247	283	25	1
249	284	25	1
215	285	25	2
232	285	25	1
235	285	25	1
238	285	25	1
243	285	25	1
248	285	25	1
250	285	25	1
243	286	25	1
252	286	25	1
223	287	25	1
245	287	25	1
251	287	25	1
236	288	25	1
237	288	25	1
241	289	25	2
244	289	25	1
248.5	289.5	25.5	1
225	290	25	1
234	290	25	1
249	290	25	1
240	291	25	1
227	292	25	1
235	292	25	1
242	292	25	1
239	293	25	1
241	294	25	1
242	294	25	1
246	294	25	1
237	295	25	2
238	296	25	1
244	296	25	1
239	297	25	1
240	298	25	1
238	300	25	1
176	259	26	1
230	264	26	1
231	264	26	1
228	269	26	2
233	270	26	1
234	270	26	2
235	270	26	1
236	270	26	2
236	271	26	1
232	272	26	1
239	273	26	1
235	275	26	1
239	275	26	1
215	276	26	1
231	276	26	1
234	276	26	2
235	276	26	1
210	277	26	1
230	277	26	1
249	277	26	1
234	278	26	1
243	278	26	1
239	279	26	1
246	279	26	1
248	279	26	2
250	279	26	1
233	280	26	1
238	280	26	1
240	280	26	1
247	280	26	1
230	281	26	1
231	281	26	1
232	281	26	1
235	281	26	1
236	281	26	1
239	281	26	1
250	281	26	1
212	282	26	1
215	282	26	1
238	282	26	1
242	282	26	1
250	282	26	1
245	283	26	1
251	283	26	1
212	284	26	1
214	284	26	1
235	284	26	1
232	285	26	1
240	285	26	1
246	285	26	1
250	285	26	1
232	286	26	1
254	286	26	2
224	287	26	1
243	287	26	1
247	287	26	1
248	287	26	1
251	287	26	1
245	288	26	1
234	289	26	1
237	289	26	1
243	289	26	1
250	289	26	1
252	289	26	1
228	290	26	1
239	290	26	1
242	290	26	1
250	290	26	2
232	291	26	1
236	291	26	1
238	291	26	1
244	291	26	1
239	292	26	2
242	292	26	2
245	292	26	1
254	292	26	1
234	293	26	3
240	293	26	1
246	293	26	1
247	293	26	2
237	294	26	1
241	294	26	2
246	294	26	1
221	295	26	1
222	295	26	1
239	295	26	1
240	295	26	1
239	296	26	1
241	296	26	1
244	297	26	1
239	298	26	1
184	259	27	1
188	259	27	1
185	260	27	1
186	260	27	1
227	260	27	2
228	260	27	1
233	260	27	1
240	260	27	1
227	261	27	1
229	261	27	1
231	261	27	1
239	261	27	1
184	262	27	1
233	262	27	1
236	262	27	1
181	263	27	1
183	263	27	1
184	263	27	1
238	263	27	1
244	263	27	1
175	264	27	1
230	264	27	1
238	264	27	1
212	265	27	1
230	265	27	1
231	265	27	1
180	266	27	1
237	266	27	2
234	267	27	1
239	267	27	1
240	267	27	1
250	267	27	1
180	268	27	1
181	268	27	1
215	268	27	1
223	268	27	1
225	268	27	1
229	268	27	1
232	268	27	1
233	268	27	1
234	268	27	1
247	268	27	1
178	269	27	1
179	269	27	1
182	269	27	1
227	269	27	1
238	269	27	1
239	269	27	1
243	269	27	1
181	270	27	1
218	270	27	2
231	270	27	1
250	270	27	1
210	271	27	2
217	271	27	1
230	271	27	1
234	271	27	2
240	271	27	1
247	271	27	1
249	271	27	1
203	272	27	1
207	272	27	1
208	272	27	1
216	272	27	1
220	272	27	1
222	272	27	1
231	272	27	1
234	272	27	1
247	272	27	1
205	273	27	1
214	273	27	1
215	273	27	1
224	273	27	1
231	273	27	1
237	273	27	1
239	273	27	1
251	273	27	1
212	274	27	1
226	274	27	1
228	274	27	1
232	274	27	1
233	274	27	1
235	274	27	2
218	275	27	1
224	275	27	1
232	275	27	1
233	275	27	1
238	275	27	3
242	275	27	1
245	275	27	1
249	275	27	1
250	275	27	1
177	276	27	2
204	276	27	1
215	276	27	1
219	276	27	1
239	276	27	1
207	277	27	1
210	277	27	1
211	277	27	1
213	277	27	1
220	277	27	1
237	277	27	1
238	277	27	1
246	277	27	1
248	277	27	2
208	278	27	1
211	278	27	1
213	278	27	1
220	278	27	1
229	278	27	1
239	278	27	1
246	278	27	1
252	278	27	1
230	279	27	1
243	279	27	1
206	280	27	1
234	280	27	1
236	280	27	1
239	280	27	1
243	280	27	1
250	280	27	1
206	281	27	1
234	281	27	1
252	281	27	1
256	281	27	1
209	282	27	2
217	282	27	1
229	282	27	1
236	282	27	2
239	282	27	1
246	282	27	1
247	282	27	1
248	282	27	1
250	282	27	1
207	283	27	1
235	283	27	1
236	283	27	1
242	283	27	1
245	283	27	1
247	283	27	1
206	284	27	1
208	284	27	1
210	284	27	1
236	284	27	1
240	284	27	1
254	284	27	1
255	284	27	1
211	285	27	1
212	285	27	1
215	285	27	1
238	285	27	1
247	285	27	1
219	286	27	1
235	286	27	1
237	286	27	1
239	286	27	1
246	286	27	1
249	286	27	1
251	286	27	1
207	287	27	1
222	287	27	1
230	287	27	1
239	287	27	1
241	287	27	1
248	287	27	2
252	287	27	1
211	288	27	1
235	288	27	2
240	288	27	1
242	288	27	1
243	288	27	1
245	288	27	1
250	288	27	1
253	288	27	1
222	289	27	1
237	289	27	1
241	289	27	1
248	289	27	1
251	289	27	1
252	289	27	2
256	289	27	1
221	290	27	1
228	290	27	1
230	290	27	1
231	290	27	1
239	290	27	1
246	290	27	1
247	290	27	1
225	291	27	1
229	291	27	1
230	291	27	1
235	291	27	1
238	291	27	1
248	291	27	1
252	291	27	2
226	292	27	1
228	292	27	1
229	292	27	1
234	292	27	1
244	292	27	1
250	292	27	1
254	292	27	1
217	293	27	1
225	293	27	1
238	293	27	1
239	293	27	1
243	293	27	1
245	293	27	1
247	293	27	1
231	294	27	1
235	294	27	1
246	294	27	1
257	294	27	1
211	295	27	1
218	295	27	1
226	295	27	1
246	295	27	1
248	295	27	1
249	295	27	1
236	296	27	1
220	297	27	1
221	297	27	2
236	297	27	1
242	297	27	1
244	297	27	1
251	297	27	1
252	297	27	1
243	298	27	1
240	299	27	1
247	299	27	1
226	300	27	1
240	301	27	1
250	301	27	1
234	302	27	1
245	302	27	2
243	304	27	2
237	305	27	1
234	265	28	1
234	266	28	1
231	267	28	1
236	268	28	1
237	268	28	1
236	269	28	2
236	270	28	1
232	272	28	1
236	272	28	1
214	274	28	1
235	276	28	1
236	277	28	1
237	279	28	1
241	280	28	2
251	280	28	1
210	281	28	1
250	281	28	1
249	282	28	1
238	283	28	1
240	285	28	2
235	286	28	1
248	286	28	1
246	287	28	1
248	287	28	1
227	289	28	1
228	289	28	1
231	289	28	1
243	289	28	1
245	289	28	1
247	289	28	1
242	290	28	1
237	291	28	1
245	291	28	2
247	291	28	1
248	291	28	1
249	291	28	1
240	292	28	1
248	292	28	1
248	293	28	1
242	294	28	1
240	295	28	1
241	295	28	1
245	297	28	1
225	300	28	1
229	255	29	1
234	256	29	1
182	257	29	1
235	257	29	1
235	258	29	2
229	259	29	1
238	259	29	1
187	261	29	1
226	261	29	1
221	262	29	1
248	262	29	1
229	264	29	1
231	264	29	1
248	264	29	1
215	265	29	1
226	265	29	1
197	266	29	2
232	266	29	1
250	266	29	1
192	267	29	1
231	267	29	1
217	268	29	1
226	268	29	2
236	268	29	1
244	268	29	1
193	269	29	1
204	269	29	1
232	269	29	1
200	270	29	1
227	270	29	1
250	270	29	1
214	271	29	1
215	271	29	1
240	271	29	1
249	271	29	1
214	272	29	1
232	272	29	1
236	272	29	1
249	272	29	1
251	272	29	1
213	274	29	2
234	274	29	1
238	274	29	1
240	274	29	1
247	274	29	2
231	275	29	2
235	275	29	1
239	275	29	1
242	275	29	2
208	276	29	1
228	276	29	1
233	276	29	1
238	278	29	1
246	279	29	1
247	279	29	1
248	279	29	1
234	280	29	1
246	280	29	1
251	280	29	1
254	280	29	1
208	281	29	1
234	281	29	1
247	281	29	1
212	282	29	1
241	282	29	1
242	282	29	1
244	283	29	1
245	283	29	2
232	284	29	1
235	284	29	1
236	284	29	1
242	284	29	1
245	284	29	1
246	284	29	1
250	284	29	2
255	284	29	1
227	285	29	1
234	285	29	2
241	285	29	1
242	285	29	1
243	285	29	1
246	285	29	1
233	286	29	1
242	286	29	2
243	286	29	1
238	287	29	1
245	287	29	1
226	288	29	1
228	289	29	1
245	289	29	1
222	290	29	2
239	290	29	2
240	290	29	1
246	290	29	1
225	291	29	1
226	291	29	2
247	291	29	1
251	291	29	2
222	292	29	1
225	292	29	1
236	292	29	1
239	292	29	1
241	292	29	2
223	293	29	1
249	293	29	2
252	293	29	2
238	294	29	1
240	295	29	1
222	296	29	1
223	296	29	2
249	296	29	2
253	296	29	1
227	297	29	1
238	297	29	1
239	297	29	1
242	297	29	1
247	297	29	1
237	298	29	1
225	300	29	1
226	300	29	1
227	300	29	1
236	301	29	1
224	302	29	1
229	250	30	1
228	253	30	1
232	253	30	1
231	254	30	1
235	254	30	1
230	255	30	1
235	256	30	1
181	257	30	1
183	257	30	1
203	257	30	1
204	257	30	3
236	257	30	1
240	257	30	1
176	258	30	2
226	258	30	1
227	258	30	2
239	258	30	1
214	259	30	1
218	259	30	1
227	259	30	1
229	259	30	2
231	259	30	1
186	260	30	2
196	260	30	1
206	260	30	1
225	260	30	1
228	260	30	1
236	260	30	1
237	260	30	1
238	260	30	1
245	260	30	1
188	261	30	1
208	261	30	1
224	261	30	1
238	261	30	2
239	261	30	1
249	261	30	1
178	262	30	1
179	262	30	1
187	262	30	1
221	262	30	1
245	262	30	2
246	262	30	1
185	263	30	1
226	263	30	1
227	263	30	1
233	263	30	1
234	263	30	1
246	263	30	1
248	263	30	1
178	264	30	1
188	264	30	1
227	264	30	1
250	264	30	1
192	265	30	1
193	265	30	1
224	265	30	1
228	265	30	1
229	265	30	1
238	265	30	1
239	265	30	1
188	266	30	1
195	266	30	1
239.5	266.5	30.5	1
243	266	30	2
182	267	30	1
193	267	30	1
198	267	30	1
199	267	30	1
208	267	30	2
232	267	30	2
235	267	30	1
236	267	30	1
237	267	30	1
241	267	30	1
250	267	30	2
188	268	30	1
195	268	30	1
207	268	30	1
217	268	30	1
238	268	30	1
241	268	30	2
246	268	30	2
180	269	30	1
194	269	30	1
199	269	30	1
204	269	30	2
233	269	30	1
237	269	30	1
239	269	30	1
242	269	30	1
249	269	30	1
194	270	30	1
233	270	30	1
244	270	30	1
181	271	30	1
204	271	30	1
215	271	30	1
244	271	30	1
179	272	30	1
181	272	30	1
185	272	30	1
207	272	30	1
223	272	30	1
227	272	30	1
181	273	30	1
182	273	30	1
211	273	30	1
232	273	30	1
234	273	30	1
235	273	30	2
239	273	30	1
240	273	30	1
244	274	30	1
179	275	30	2
182	275	30	1
183	275	30	1
203	275	30	1
211	275	30	1
212	275	30	2
