x	y	z	STING mediated induction of host immune responses
240	277	24	1
232	278	24	1
241	279	24	1
244	287	24	1
245	287	24	1
251	287	24	1
244	288	24	1
244	289	24	1
247	289	24	1
227	273	25	1
230	274	25	1
232	274	25	1
234	274	25	1
238	275	25	1
248	276	25	1
235	277	25	1
236	277	25	1
233	279	25	1
235	279	25	1
238	279	25	1
241	279	25	1
231	281	25	2
248	281	25	1
249	281	25	1
249	282	25	1
233	283	25	1
236	283	25	1
239	283	25	1
241	283	25	1
247	283	25	1
233	284	25	1
242	284	25	1
243	284	25	1
252	284	25	1
243	285	25	2
246	285	25	1
248	285	25	1
234	286	25	1
243	286	25	1
254	286	25	2
252	287	25	1
237	288	25	1
239	288	25	1
242	288	25	1
251	288	25	1
236	289	25	1
238	289	25	1
241	289	25	1
244	289	25	1
252	289	25	1
238	290	25	1
234	291	25	1
236	291	25	1
240	291	25	1
251	291	25	1
237	292	25	1
242	292	25	1
243	292	25	1
250	292	25	2
239	293	25	1
240	293	25	1
247	293	25	1
237	295	25	1
243	295	25	3
229	262	26	1
232	263	26	2
231	264	26	1
241	268	26	1
228	269	26	1
233	270	26	1
236	270	26	1
238	270	26	1
240	270	26	2
250	270	26	1
215	272	26	1
226	272	26	1
232	272	26	1
234	272	26	1
236	272	26	1
231	273	26	3
237	273	26	2
248	273	26	1
232	275	26	1
235	275	26	1
239	275	26	1
232	276	26	1
233	276	26	1
235	276	26	1
237	276	26	1
230	277	26	1
232	277	26	1
235	277	26	1
240	277	26	1
247	277	26	2
250	277	26	1
237	278	26	1
231	279	26	1
246	279	26	1
250	279	26	1
236	280	26	1
242	280	26	1
249	280	26	1
237	281	26	2
248	281	26	1
234	282	26	1
238	282	26	1
240	282	26	1
245	282	26	1
249	282	26	1
250	282	26	1
254	282	26	1
209	283	26	1
238	283	26	1
241	283	26	1
253	283	26	1
241	284	26	1
244	284	26	1
248	284	26	1
211	285	26	1
232	285	26	1
237	285	26	1
240	285	26	1
237	286	26	1
240	286	26	1
242	286	26	1
246	286	26	1
254	286	26	1
223	287	26	1
228	287	26	1
251	287	26	1
235	288	26	1
250	288	26	1
231	289	26	1
233	289	26	2
234	289	26	1
235	289	26	2
242	289	26	1
248	289	26	1
250	289	26	3
227	290	26	1
236	290	26	1
244	290	26	1
235	291	26	1
236	291	26	1
239	291	26	1
245	291	26	1
249	291	26	1
226	292	26	1
240	292	26	1
244	292	26	1
245	293	26	2
241	294	26	1
249	294	26	1
239	295	26	1
245	295	26	2
246	297	26	1
239	298	26	1
236	299	26	2
239	299	26	1
240	299	26	1
241	299	26	1
181	257	27	1
186	257	27	1
183	259	27	1
188	259	27	1
231	259	27	1
184	260	27	1
185	260	27	1
233	260	27	2
235	260	27	1
182	261	27	1
184	261	27	1
187	261	27	1
228	261	27	1
236	261	27	1
229	262	27	1
181	263	27	2
210	263	27	1
211	263	27	1
225	263	27	1
235	263	27	1
236	263	27	1
239	263	27	1
180	264	27	1
222	264	27	1
224	264	27	1
225	264	27	2
226	264	27	1
229	264	27	1
231	264	27	1
221	265	27	1
230	265	27	1
237	265	27	1
240	265	27	1
201	266	27	1
219	266	27	1
224	266	27	1
230	266	27	1
226	267	27	1
229	267	27	1
233	267	27	1
236	267	27	1
249	267	27	1
250	267	27	1
216	268	27	1
227	268	27	1
243	268	27	1
247	268	27	1
248	268	27	1
211	269	27	2
218	269	27	1
224	269	27	1
229	269	27	1
231	269	27	1
232	269	27	1
235	269	27	1
241	269	27	1
178	270	27	1
227	270	27	1
230	270	27	1
233	270	27	1
234	270	27	1
238	270	27	1
248	270	27	1
180	271	27	1
210	271	27	1
215	271	27	1
228	271	27	1
232	271	27	1
235	271	27	1
236	271	27	1
242	271	27	2
243	271	27	1
247	271	27	1
176	272	27	1
181	272	27	1
205	272	27	1
220	272	27	1
229	272	27	1
231	272	27	1
240	272	27	1
206	273	27	1
238	273	27	1
239	273	27	1
247	273	27	1
249	273	27	1
251	273	27	1
203	274	27	1
204	274	27	2
212	274	27	1
229	274	27	1
230	274	27	1
231	274	27	1
237	274	27	1
240	274	27	1
254	274	27	1
182	275	27	1
205	275	27	1
213	275	27	1
216	275	27	2
230	275	27	1
232	275	27	2
237	275	27	2
252	275	27	1
254	275	27	1
205	276	27	1
213	276	27	1
215	276	27	1
219	276	27	1
230	276	27	1
232	276	27	1
233	276	27	1
234	276	27	2
239	276	27	1
246	276	27	1
204	277	27	1
205	277	27	3
208	277	27	1
210	277	27	1
211	277	27	1
213	277	27	1
227	277	27	1
233	277	27	1
235	277	27	1
246	277	27	1
248	277	27	1
250	277	27	1
206	278	27	1
221	278	27	1
239	278	27	1
248	278	27	1
208	279	27	1
231	279	27	1
238	279	27	1
239	279	27	1
243	279	27	2
245	279	27	1
248	279	27	1
257	279	27	1
204	280	27	1
209	280	27	1
214	280	27	1
232	280	27	1
243	280	27	1
244	280	27	1
247	280	27	1
252	280	27	2
217	281	27	1
218	281	27	1
229	281	27	1
241	281	27	2
249	281	27	1
252	281	27	1
257	281	27	2
212	282	27	1
213	282	27	1
217	282	27	1
