x	y	z	Interleukin-12 family signaling
239	278	24	5
246	287	24	3
251	287	24	1
244	289	24	1
244	291	24	1
232	265	25	1
234	271	25	2
230	272	25	1
239	272	25	2
238	273	25	1
233	274	25	2
234	274	25	2
235	275	25	1
238	275	25	3
232.5	276.5	25.5	2
233	276	25	1
235	276	25	1
236	276	25	1
239	276	25	1
240	276	25	2
232	277	25	1
234	277	25	1
247	277	25	2
232	279	25	1
235	279	25	1
236	279	25	1
237	279	25	1
240	279	25	1
232	280	25	2
239	280	25	1
234	281	25	2
231	282	25	1
232	282	25	1
233	282	25	1
245	282	25	1
247	282	25	1
248	282	25	2
231	283	25	2
232	283	25	2
234	283	25	1
239	283	25	1
241	283	25	1
245	283	25	1
233	284	25	1
235	284	25	1
241	284	25	1
249	284	25	1
250	284	25	1
215	285	25	1
236	285	25	1
232	286	25	1
233	286	25	1
236	286	25	1
240	286	25	1
245	286	25	1
252	286	25	1
237	287	25	1
252	287	25	1
224	288	25	1
239	288	25	1
242	288	25	1
234	289	25	1
244	289	25	1
225	290	25	1
240	290	25	1
246	290	25	1
234	291	25	1
239	291	25	2
241	291	25	1
246	291	25	1
227	292	25	1
235	292	25	1
243	292	25	1
239	293	25	1
240	293	25	1
243	293	25	1
244	293	25	1
240	294	25	2
241	294	25	1
243	294	25	1
247	294	25	1
239	296	25	1
244	296	25	1
247	296	25	1
243	297	25	1
241	299	25	2
227	300	25	1
239	302	25	1
182	260	26	1
229	262	26	1
229	264	26	1
230	264	26	1
215	265	26	1
232	265	26	1
237	266	26	1
236	268	26	1
236	269	26	1
228	270	26	2
235	270	26	1
236	270	26	1
237	270	26	1
238	270	26	1
215	272	26	1
224	272	26	1
226	272	26	1
230	272	26	1
236	272	26	1
239	273	26	2
248	273	26	1
249	273	26	1
231	274	26	1
235	275	26	4
237	275	26	1
248	275	26	1
250	275	26	2
232	276	26	1
239	276	26	1
231	277	26	2
232	277	26	1
234	277	26	2
239	277	26	1
249	277	26	1
232	278	26	1
233	278	26	2
240	278	26	1
251	278	26	2
232	279	26	2
239	279	26	1
241	279	26	1
246	279	26	1
248	279	26	1
232	280	26	1
234	280	26	1
240	280	26	1
217	281	26	1
236	281	26	1
240	281	26	1
244	281	26	1
247	281	26	1
250	281	26	1
208	282	26	1
215	282	26	2
234	282	26	1
240	282	26	2
246	282	26	1
247	282	26	1
250	282	26	1
233	283	26	1
243	283	26	1
252	283	26	1
253	283	26	2
214	284	26	1
215	284	26	1
232	284	26	1
233	284	26	1
237	284	26	1
238	284	26	1
242	284	26	1
243	284	26	1
244	284	26	1
214	285	26	2
232	285	26	1
234	285	26	4
240	285	26	1
246	285	26	1
247	285	26	1
253	285	26	1
254	285	26	1
255	285	26	1
216	286	26	1
241	286	26	1
249	286	26	1
234	287	26	1
236	287	26	1
237	287	26	1
238	287	26	1
243	287	26	1
252	287	26	1
232	288	26	1
243	288	26	4
245	288	26	2
222	289	26	2
231	289	26	1
232	289	26	1
236	289	26	2
237	289	26	1
238	289	26	2
242	289	26	1
250	289	26	1
251	289	26	1
227	290	26	1
228	290	26	2
236	290	26	1
237	290	26	1
239	290	26	1
232	291	26	1
235	291	26	1
238	291	26	2
227	292	26	1
237	292	26	1
238	292	26	1
242	292	26	1
245	292	26	1
246	292	26	1
