x	y	z	Deposition of new CENPA-containing nucleosomes at the centromere
244	284	21	1
240	277	24	2
232	278	24	1
251	287	24	1
243	288	24	1
244	289	24	1
247	289	24	1
244	290	24	1
238	270	25	1
230	272	25	1
236	273	25	1
230	274	25	1
235	275	25	1
238	275	25	1
235	276	25	1
231	277	25	1
233	277	25	1
235	277	25	1
247	277	25	1
236	278	25	1
238	278	25	2
238	279	25	1
247	279	25	1
241	280	25	1
248	280	25	1
241	281	25	1
243	281	25	2
245	281	25	2
249	281	25	2
214	282	25	1
231	282	25	1
234	282	25	1
237	282	25	2
239	282	25	2
231	283	25	1
232	283	25	1
235	283	25	1
239	283	25	1
247	283	25	1
213	284	25	1
235	284	25	2
241	284	25	1
242	284	25	1
243	284	25	1
244	284	25	1
235	285	25	1
248	285	25	1
232	286	25	2
233	286	25	1
241	286	25	1
237	287	25	1
238	287	25	4
224	288	25	1
235	288	25	1
236	288	25	1
251	288	25	2
244	289	25	1
225	290	25	1
237	290	25	1
246	290	25	1
241	291	25	1
250	291	25	2
238	292	25	1
242	292	25	1
244	293	25	1
247	293	25	1
239	294	25	1
242	294	25	1
243	294	25	2
234	295	25	1
240	295	25	1
243	295	25	1
239	296	25	1
239	297	25	1
243	297	25	1
241	299	25	1
227	300	25	1
238	300	25	1
240	300	25	1
182	259	26	1
231	264	26	1
215	265	26	1
234	265	26	2
235	267	26	1
233	268	26	1
235	268	26	1
228	269	26	1
229	269	26	1
237	269	26	2
233	270	26	1
240	270	26	1
229	271	26	1
223	272	26	1
234	272	26	1
236	272	26	1
248	273	26	2
249	273	26	1
232	275	26	1
233	275	26	1
237	275	26	1
246	275	26	1
235	276	26	1
248	276	26	1
210	277	26	1
230	277	26	1
231	277	26	1
234	277	26	1
233	278	26	1
237	278	26	2
239	278	26	1
240	278	26	1
243	278	26	1
249	278	26	1
231	279	26	1
233	279	26	1
239	279	26	1
240	279	26	2
233	280	26	1
236	280	26	1
241	280	26	2
242	280	26	1
231	281	26	1
234	281	26	2
236	281	26	1
248	281	26	1
233	282	26	3
238	282	26	1
253	282	26	2
231	283	26	1
233	283	26	2
234	283	26	1
239	283	26	3
241	283	26	1
249	283	26	1
212	284	26	1
214	284	26	1
215	284	26	1
234	284	26	2
235	284	26	1
248	284	26	1
235	285	26	1
236	285	26	1
255	285	26	1
225	286	26	1
234	286	26	1
240	286	26	1
241	286	26	1
248	286	26	1
223	287	26	1
236	287	26	2
250	287	26	1
252	287	26	1
235	288	26	1
236	288	26	1
253	288	26	1
231	289	26	2
243	289	26	1
251	289	26	1
238	290	26	1
242	290	26	1
243	290	26	1
236	291	26	1
250	292	26	1
254	292	26	1
225	293	26	1
234	293	26	1
240	293	26	1
244	293	26	1
246	293	26	1
246	294	26	1
221	295	26	1
240	296	26	1
239	299	26	1
227	301	26	1
235	301	26	1
184	256	27	1
232	258	27	1
188	259	27	1
228	259	27	1
232	259	27	1
181	260	27	1
185	260	27	2
226	260	27	1
