x	y	z	Leading Strand Synthesis
248	286	24	2
244	288	24	1
247	289	24	3
231	268	25	1
233	269	25	1
235	270	25	1
238	270	25	1
234	274	25	1
238	274	25	1
240	276	25	1
231	277	25	2
237	277	25	1
232	278	25	1
233	278	25	1
234	280	25	1
236	280	25	1
239	280	25	1
245	281	25	1
249	281	25	1
214	282	25	1
232	282	25	1
235	282	25	1
240	282	25	1
248	282	25	2
235	283	25	1
236	283	25	1
237	283	25	1
245	283	25	1
213	284	25	1
242	284	25	1
247	284	25	1
232	285	25	1
246	285	25	1
253	285	25	1
236	286	25	1
240	286	25	3
241	286	25	1
250	286	25	1
254	286	25	1
235	288	25	1
239	288	25	1
235	289	25	1
238	289	25	1
244	289	25	1
248.5	289.5	25.5	1
235	290	25	1
236	290	25	1
243	290	25	2
246	290	25	1
249	290	25	1
236	291	25	1
242	291	25	2
245	291	25	1
246	291	25	1
251	291	25	1
235	292	25	1
250	292	25	2
239	293	25	1
243	294	25	1
240	295	25	1
239	302	25	1
183	258	26	1
230	267	26	1
236	268	26	1
234	270	26	1
235	271	26	1
240	271	26	2
215	272	26	1
226	272	26	1
230	272	26	1
239	272	26	1
231	274	26	1
235	275	26	1
246	275	26	1
248	275	26	1
249	275	26	1
250	275	26	1
207	276	26	1
213	277	26	1
234	277	26	1
240	277	26	1
249	277	26	1
250	277	26	1
234	278	26	1
231	279	26	2
233	279	26	1
246	279	26	1
249	279	26	1
232	280	26	1
233	280	26	2
234	280	26	1
249	280	26	1
250	280	26	1
230	281	26	2
231	281	26	2
232	281	26	2
239	281	26	1
244	281	26	1
229	282	26	1
233	282	26	1
240	282	26	1
253	282	26	1
254	282	26	1
233	283	26	1
241	283	26	1
253	283	26	1
254	283	26	1
212	285	26	1
232	285	26	1
240	285	26	2
246	285	26	1
252	285	26	1
254	285	26	1
216	286	26	1
232	286	26	1
237	286	26	1
248	286	26	1
249	286	26	1
253	286	26	1
234	287	26	1
236	287	26	1
237	287	26	1
247	287	26	1
248	287	26	3
232	288	26	1
248	288	26	2
250	288	26	1
227	289	26	1
234	289	26	1
235	289	26	1
227	290	26	1
228	290	26	1
243	290	26	1
244	290	26	1
222	291	26	1
232	291	26	1
238	291	26	1
239	291	26	2
244	291	26	1
246	291	26	1
250	291	26	1
237	292	26	1
239	292	26	2
245	292	26	3
247	292	26	1
249	292	26	1
254	292	26	1
234	293	26	1
237	293	26	1
238	293	26	1
237	294	26	1
240	294	26	1
242	294	26	1
243	294	26	3
239	295	26	1
240	295	26	1
245	295	26	1
235	296	26	2
241	296	26	1
242	296	26	1
243	296	26	1
246	297	26	1
239	299	26	1
240	299	26	1
241	299	26	1
241	300	26	1
227	301	26	1
184	256	27	2
183	258	27	1
185	259	27	1
226	259	27	1
176	260	27	1
181	260	27	1
185	260	27	1
226	260	27	1
234	260	27	1
182	261	27	1
183	261	27	1
185	261	27	1
229	261	27	1
234	261	27	1
182	262	27	1
227	262	27	1
236	262	27	1
239	262	27	1
175	263	27	2
182	263	27	1
184	263	27	1
185	263	27	1
210	263	27	1
227	263	27	1
235	263	27	1
175	264	27	1
230	264	27	1
239	264	27	1
181	265	27	1
212	265	27	1
230	265	27	1
233	265	27	1
235	265	27	1
178	266	27	1
179	266	27	1
201	266	27	1
230	266	27	1
231	266	27	1
215	267	27	1
226	267	27	1
228	267	27	1
231	267	27	1
197	268	27	1
207	268	27	1
216	268	27	3
223	268	27	2
227	268	27	1
229	268	27	1
230	268	27	1
236	268	27	1
238	268	27	1
239	268	27	2
247	268	27	1
182	269	27	1
213	269	27	2
215	269	27	1
224	269	27	1
227	269	27	2
237	269	27	2
239	269	27	1
192	270	27	1
197	270	27	2
207	270	27	2
215	270	27	1
218	270	27	2
226	270	27	1
227	270	27	1
228	270	27	1
232	270	27	1
239	270	27	1
210	271	27	2
215	271	27	1
223	271	27	2
226	271	27	1
228	271	27	2
230	271	27	1
231	271	27	1
232	271	27	1
239	271	27	1
242	271	27	1
251	271	27	1
181	272	27	1
203	272	27	1
207	272	27	1
208	272	27	1
225	272	27	1
228	272	27	1
232	272	27	1
237	272	27	1
238	272	27	2
239	272	27	1
207	273	27	1
211	273	27	1
214	273	27	1
227	273	27	1
235	273	27	1
240	273	27	1
246	273	27	1
249	273	27	1
213	274	27	1
224	274	27	1
226	274	27	1
227	274	27	2
228	274	27	2
233	274	27	1
252	274	27	1
185	275	27	1
214	275	27	1
223	275	27	1
237	275	27	1
207	276	27	3
212	276	27	1
213	276	27	1
214	276	27	1
219	276	27	2
233	276	27	1
238	276	27	1
240	276	27	1
245	276	27	1
246	276	27	1
207	277	27	1
231	277	27	1
232	277	27	1
209	278	27	1
211	278	27	1
249	278	27	1
250	278	27	1
208	279	27	1
210	279	27	1
231	279	27	1
235	279	27	1
245	279	27	1
246	279	27	1
247	279	27	2
249	279	27	1
204	280	27	1
232	280	27	1
233	280	27	1
241	280	27	1
244	280	27	1
245	280	27	1
249	280	27	1
218	281	27	1
240	281	27	1
244	281	27	1
248	281	27	1
256	281	27	1
257	281	27	2
233	282	27	2
241	282	27	1
243	282	27	1
250	282	27	1
209	283	27	1
210	283	27	1
216	283	27	1
221	283	27	1
231	283	27	1
236	283	27	1
243	283	27	1
210	284	27	2
214	284	27	1
215	284	27	1
232	284	27	1
241	284	27	1
257	284	27	1
239	285	27	2
242	285	27	1
250	285	27	1
207	286	27	1
225	286	27	1
234	286	27	1
235	286	27	1
246	286	27	3
249	286	27	1
258	286	27	1
223	287	27	2
247	287	27	1
252	287	27	2
204	288	27	1
207	288	27	1
211	288	27	1
228	288	27	2
241	288	27	1
250	288	27	1
251	288	27	1
253	288	27	1
203	289	27	1
224	289	27	1
225	289	27	2
232	289	27	1
233	289	27	1
248	289	27	2
224	290	27	1
228	290	27	1
244	290	27	1
246	290	27	1
228	291	27	1
233	291	27	1
238	291	27	1
240	291	27	1
246	291	27	1
247	291	27	1
248	291	27	1
257	291	27	1
212	292	27	1
220	292	27	1
229	292	27	1
234	292	27	1
239	292	27	2
244	292	27	1
211	293	27	1
217	293	27	1
218	293	27	1
219	293	27	1
220	293	27	1
223	293	27	1
227	293	27	1
234	293	27	1
249	293	27	1
251	293	27	1
254	293	27	1
217	294	27	1
226	294	27	2
231	294	27	1
237	294	27	2
250	294	27	1
251	294	27	1
255	294	27	1
211	295	27	1
223	295	27	1
239	295	27	1
243	295	27	2
221	296	27	1
238	296	27	1
239	296	27	1
241	296	27	1
221	297	27	1
239	297	27	1
242	297	27	1
244	297	27	2
235	298	27	1
244	298	27	1
245	298	27	1
247	298	27	2
223	299	27	1
227	300	27	1
231	300	27	1
236	300	27	1
238	300	27	1
240	300	27	1
227	301	27	1
236	301	27	1
237	301	27	1
239	301	27	1
240	301	27	1
243	301	27	1
251	301	27	1
239	302	27	1
244	302	27	2
236	304	27	1
237	304	27	1
243	304	27	2
244	304	27	1
235	305	27	1
234	267	28	1
236	269	28	1
238	269	28	1
236	270	28	2
250	270	28	2
233	272	28	1
236	272	28	1
211	273	28	1
235	273	28	1
234	274	28	1
238	276	28	1
237	279	28	1
210	281	28	1
252	281	28	2
234	282	28	2
235	282	28	1
246	282	28	1
247	282	28	1
238	283	28	2
246	284	28	1
248	284	28	1
242	285	28	2
245	285	28	1
247	286	28	1
248	286	28	1
240	287	28	1
238	288	28	1
244	288	28	1
243	289	28	1
245	289	28	1
246	289	28	1
253	289	28	1
226	290	28	1
239	292	28	1
241	292	28	1
242	292	28	1
248	292	28	1
240	293	28	1
241	294	28	1
249	294	28	1
245	295	28	2
235	256	29	1
235	257	29	1
228	258	29	2
233	258	29	1
234	258	29	1
237	258	29	1
240	260	29	2
227	262	29	1
229	262	29	1
230	264	29	1
238	264	29	1
181	265	29	1
215	265	29	1
235	265	29	1
195	266	29	1
230	266	29	2
234	267	29	1
235	268	29	1
239	268	29	2
244	268	29	1
193	269	29	1
232	269	29	1
237	269	29	1
240	269	29	1
248	269	29	1
249	269	29	1
175	270	29	1
198	270	29	1
200	270	29	1
204	271	29	1
234	271	29	1
235	271	29	1
237	271	29	1
234	272	29	1
235	272	29	1
238	272	29	2
251	272	29	1
207	273	29	1
212	273	29	1
238	274	29	1
240	274	29	1
247	274	29	1
250	274	29	1
215	275	29	1
245	275	29	1
228	276	29	1
232	276	29	1
236	276	29	1
238	276	29	1
241	276	29	1
248	276	29	1
236	277	29	1
240	277	29	1
204	278	29	1
235	278	29	1
236	278	29	1
237	278	29	2
244	278	29	1
245	278	29	1
235	279	29	1
249	279	29	1
235	280	29	1
236	280	29	1
237	280	29	1
238	280	29	1
241	280	29	1
251	280	29	1
252	280	29	1
254	280	29	1
256	280	29	1
234	281	29	1
237	281	29	1
247	281	29	1
249	281	29	1
212	282	29	1
233	282	29	1
241	282	29	1
242	282	29	2
248	282	29	1
251	282	29	2
215	283	29	1
231	283	29	1
236	283	29	1
238	283	29	1
248	283	29	1
211	284	29	1
220	284	29	1
238	284	29	2
242	284	29	1
244	284	29	1
255	284	29	1
227	285	29	1
243	285	29	1
246	285	29	1
248	285	29	1
254	285	29	1
236	286	29	1
240	286	29	1
243	286	29	1
226	287	29	1
231	287	29	1
233	287	29	1
234	287	29	1
236	287	29	3
238	287	29	1
249	287	29	1
242	288	29	2
245	288	29	1
249	288	29	1
253	288	29	1
224	289	29	2
227	289	29	1
240	289	29	1
246	289	29	1
254	289	29	2
226	290	29	1
230	290	29	1
242	290	29	1
247	290	29	1
224	291	29	1
225	291	29	1
226	291	29	3
246	291	29	1
250	291	29	1
225	292	29	1
239	292	29	2
225	293	29	1
248	293	29	1
236	294	29	1
242	294	29	1
243	294	29	1
249	294	29	1
251	294	29	1
223	295	29	1
240	295	29	1
222	296	29	1
239	297	29	1
240	297	29	1
243	297	29	1
246	297	29	1
237	298	29	1
239	298	29	1
247	298	29	1
249	298	29	1
241	299	29	1
252	299	29	1
221	300	29	1
225	300	29	1
240	300	29	2
224	301	29	1
227	301	29	1
238	301	29	1
233	252	30	1
228	253	30	1
232	254	30	2
235	254	30	1
236	256	30	1
204	257	30	1
215	257	30	1
228	257	30	1
239	257	30	2
175	258	30	1
181	258	30	1
186	258	30	1
227	258	30	1
236	258	30	1
220	259	30	1
226	259	30	1
227	259	30	1
229	259	30	1
230	259	30	1
235	259	30	1
237	259	30	2
239	259	30	1
186	260	30	1
190	260	30	1
216	260	30	1
219	260	30	1
223	260	30	1
225	260	30	1
228	260	30	1
232	260	30	1
237	260	30	1
238	260	30	2
245	260	30	1
187	261	30	1
208	261	30	1
217	261	30	1
226	261	30	1
231	261	30	1
238	261	30	1
244	261	30	1
188	262	30	1
206	262	30	1
209	262	30	1
216	262	30	1
