x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
235	278	24	1
244	286	24	2
245	288	24	1
244	289	24	1
246	289	24	1
236	268	25	1
238	270	25	1
228	272	25	1
239	272	25	1
230	274	25	1
232	274	25	1
235	274	25	2
236	275	25	1
237	275	25	1
238	275	25	1
232.5	276.5	25.5	1
237	276	25	1
240	276	25	1
234	277	25	1
237	277	25	1
231	278	25	1
232	278	25	1
233	278	25	1
238	278	25	1
239	278	25	1
232	279	25	1
247	279	25	1
232	280	25	1
240	281	25	1
239	282	25	1
249	282	25	1
240	283	25	1
234	284	25	1
241	284	25	1
237	285	25	1
244	285	25	1
234	286	25	1
236	286	25	1
241	286	25	1
242	286	25	1
223	287	25	1
246	287	25	1
252	287	25	1
251	288	25	1
235	289	25	1
236	289	25	1
242	289	25	1
244	289	25	2
248.5	289.5	25.5	1
240	290	25	1
244	290	25	1
226	291	25	1
237	291	25	1
246	291	25	1
227	292	25	1
238	292	25	3
250	292	25	1
244	293	25	1
240	294	25	1
242	294	25	2
234	295	25	1
243	295	25	1
239	296	25	2
246	296	25	1
243	299	25	1
176	259	26	1
182	259	26	1
237	266	26	1
235	268	26	2
229	269	26	1
233	270	26	1
235	270	26	1
236	270	26	1
238	270	26	1
235	271	26	1
239	273	26	3
231	274	26	2
233	274	26	2
239	275	26	1
248	275	26	1
250	276	26	1
207	277	26	1
230	277	26	1
232	277	26	2
236	278	26	1
243	278	26	1
231	279	26	1
232	279	26	1
234	279	26	1
236	279	26	2
237	279	26	1
240	279	26	2
208	280	26	1
230	280	26	1
232	280	26	1
236	280	26	1
240	280	26	2
242	280	26	1
217	281	26	1
230	281	26	2
234	281	26	1
236	281	26	2
237	281	26	1
240	281	26	2
246	281	26	1
250	281	26	1
209	282	26	1
237	282	26	1
238	282	26	1
245	282	26	1
249	282	26	3
251	282	26	1
254	282	26	1
209	283	26	1
234	283	26	2
238	283	26	1
246	283	26	1
251	283	26	1
254	283	26	1
236	284	26	1
237	284	26	1
246	284	26	1
236	285	26	1
244	285	26	1
245	285	26	2
216	286	26	1
225	286	26	1
240	286	26	2
243	286	26	2
246	286	26	1
249	286	26	1
252	286	26	2
223	287	26	1
234	287	26	1
238	287	26	1
239	287	26	1
250	287	26	2
232	288	26	2
235	288	26	1
240	288	26	1
248	288	26	1
253	288	26	2
238	289	26	1
250	289	26	1
252	289	26	1
227	290	26	1
232	291	26	1
238	291	26	1
246	291	26	1
250	291	26	1
226	292	26	2
227	292	26	1
238	292	26	1
240	292	26	1
237	293	26	2
246	293	26	1
235	294	26	1
242	294	26	1
243	294	26	1
244	294	26	1
249	294	26	1
222	295	26	1
234	295	26	1
242	295	26	1
248	295	26	1
254	295	26	1
243	296	26	1
244	296	26	2
242	298	26	1
225	300	26	1
227	300	26	1
235	301	26	1
184	255	27	1
184	256	27	1
183	258	27	1
183	259	27	1
185	259	27	1
228	259	27	2
231	259	27	1
185	260	27	1
233	260	27	1
240	260	27	1
186	262	27	2
233	262	27	1
225	263	27	1
229	263	27	1
232	263	27	2
233	263	27	2
175	264	27	1
180	264	27	1
226	264	27	1
229	264	27	1
184	265	27	2
189	265	27	1
232	265	27	1
234	265	27	1
235	265	27	1
237	265	27	1
180	266	27	1
215	266	27	2
217	266	27	1
221	266	27	1
229	266	27	1
232	266	27	1
214	267	27	1
241	267	27	1
250	267	27	2
224	268	27	1
230	268	27	1
235	268	27	1
238	268	27	1
243	268	27	2
213	269	27	2
224	269	27	1
227	269	27	1
232	269	27	1
236	269	27	1
238	269	27	1
242	269	27	1
252	269	27	1
184	270	27	1
197	270	27	1
215	270	27	1
217	270	27	1
218	270	27	1
226	270	27	1
227	270	27	1
230	270	27	1
231	270	27	1
236	270	27	1
240	270	27	1
243	270	27	1
248	270	27	1
250	270	27	1
177	271	27	2
178	271	27	1
182	271	27	1
211	271	27	1
226	271	27	1
228	271	27	1
231	271	27	1
232	271	27	1
233	271	27	1
239	271	27	1
249	271	27	1
250	271	27	1
203	272	27	3
205	272	27	1
213	272	27	1
231	272	27	1
232	272	27	1
234	272	27	1
237	272	27	1
238	272	27	1
247	272	27	3
183	273	27	1
205	273	27	1
207	273	27	2
211	273	27	2
213	273	27	1
229	273	27	1
231	273	27	1
234	273	27	1
235	273	27	1
246	273	27	1
248	273	27	1
178	274	27	1
211	274	27	1
213	274	27	1
214	274	27	1
229	274	27	1
230	274	27	1
240	274	27	1
247	274	27	1
250	274	27	1
208	275	27	1
218	275	27	1
222	275	27	1
223	275	27	1
232	275	27	1
238	275	27	1
242	275	27	1
245	275	27	1
246	275	27	1
249	275	27	1
215	276	27	1
219	276	27	1
240	276	27	1
244	276	27	1
246	276	27	1
250	276	27	1
252	276	27	1
207	277	27	1
213	277	27	1
239	277	27	1
249	277	27	1
252	277	27	1
210	278	27	2
227	278	27	1
233	278	27	1
244	278	27	2
248	278	27	1
251	278	27	1
252	278	27	1
207	279	27	1
219	279	27	1
234	279	27	2
238	279	27	1
241	279	27	1
250	279	27	1
206	280	27	1
232	280	27	1
247	280	27	2
251	280	27	1
209	281	27	2
217	281	27	1
222	281	27	1
229	281	27	1
238	281	27	1
244	281	27	1
251	281	27	1
212	282	27	1
214	282	27	1
215	282	27	1
216	282	27	1
235	282	27	1
249	282	27	1
252	282	27	1
253	282	27	2
254	282	27	1
208	283	27	1
215	283	27	1
221	283	27	2
234	283	27	1
235	283	27	1
238	283	27	2
243	283	27	1
251	283	27	1
256	283	27	1
206	284	27	1
215	284	27	1
230	284	27	1
241	284	27	1
251	284	27	2
199	285	27	1
208	285	27	1
210	285	27	1
223	285	27	1
224	285	27	1
239	285	27	1
246	285	27	1
249	285	27	2
256	285	27	1
207	286	27	1
209	286	27	2
214	286	27	1
220	286	27	1
222	286	27	1
225	286	27	1
226	286	27	2
232	286	27	1
234	286	27	1
237	286	27	2
239	286	27	1
244	286	27	1
246	286	27	1
247	286	27	1
251	286	27	1
210	287	27	1
227	287	27	2
228	287	27	1
231	287	27	1
237	287	27	1
247	287	27	2
253	287	27	1
255	287	27	1
204	288	27	1
229	288	27	1
251	288	27	1
224	289	27	2
225	289	27	1
227	289	27	1
228	289	27	1
231	289	27	1
234	289	27	1
239	289	27	1
240	289	27	1
246	289	27	1
254	289	27	1
256	289	27	1
222	290	27	1
228	290	27	1
233	290	27	3
234	290	27	1
239	290	27	2
244	290	27	1
247	290	27	1
222	291	27	2
225	291	27	1
234	291	27	1
236	291	27	2
212	292	27	1
218	292	27	2
222	292	27	1
244	292	27	2
218	293	27	2
219	293	27	2
221	293	27	1
222	293	27	1
226	293	27	1
234	293	27	1
238	293	27	1
239	293	27	1
242	293	27	1
245	293	27	1
249	293	27	1
226	294	27	2
236	294	27	2
237	294	27	2
248	294	27	1
250	294	27	1
221	295	27	1
223	295	27	1
226	295	27	1
239	295	27	1
248	295	27	1
255	295	27	2
220	296	27	2
237	296	27	1
238	296	27	1
255	296	27	1
217	297	27	1
220	297	27	1
221	297	27	1
251	297	27	1
223	298	27	2
237	298	27	1
241	298	27	1
244	298	27	1
215	299	27	1
223	299	27	1
242	299	27	2
245	299	27	1
248	299	27	2
227	300	27	1
228	300	27	1
231	300	27	1
237	300	27	1
242	300	27	1
224	301	27	1
234	301	27	1
235	301	27	1
245	301	27	1
247	301	27	1
226	302	27	1
234	302	27	1
241	303	27	2
238	304	27	1
243	304	27	1
244	304	27	2
235	305	27	1
231	268	28	1
235	268	28	2
238	269	28	1
236	270	28	1
237	271	28	1
233	272	28	1
249	275	28	1
236	278	28	1
237	278	28	1
235	280	28	1
251	280	28	1
235	281	28	1
248	281	28	2
246	282	28	1
249	282	28	1
237	283	28	2
239	285	28	1
240	285	28	2
245	285	28	1
244	287	28	1
224	288	28	1
227	289	28	1
231	289	28	1
226	290	28	1
240	290	28	1
242	290	28	2
239	292	28	1
242	292	28	1
248	293	28	1
249	293	28	1
240	295	28	1
241	295	28	2
248	295	28	1
239	297	28	1
240	298	28	1
236	300	28	1
182	257	29	2
238	259	29	1
240	260	29	1
183	261	29	1
229	261	29	1
221	262	29	1
245	263	29	1
248	263	29	1
178	264	29	1
229	264	29	1
232	265	29	1
235	265	29	1
239	265	29	1
197	266	29	1
226	266	29	2
228	266	29	1
230	266	29	1
234	266	29	1
245	266	29	1
232	267	29	2
234	267	29	1
241	267	29	1
217	268	29	2
226	268	29	1
231	268	29	1
238	268	29	1
180	269	29	1
196	269	29	1
175	270	29	1
198	270	29	2
200	270	29	1
231	270	29	1
238	270	29	1
234	271	29	1
235	271	29	1
237	271	29	1
238	271	29	1
241	271	29	1
251	271	29	1
235	272	29	1
236	272	29	1
238	272	29	1
241	272	29	1
249	273	29	1
206	274	29	1
213	274	29	1
235	274	29	1
247	274	29	1
215	275	29	1
231	275	29	1
239	275	29	1
242	275	29	1
206	276	29	1
208	276	29	1
241	276	29	2
246	276	29	1
248	276	29	1
249	276	29	2
232	277	29	1
236	277	29	1
237	277	29	2
251	277	29	1
239	278	29	2
244	278	29	1
245	278	29	1
236	279	29	1
238	279	29	1
246	279	29	1
254	279	29	1
246	280	29	1
247	280	29	1
254	280	29	1
214	281	29	2
241	281	29	1
251	281	29	1
233	282	29	1
241	282	29	1
244	282	29	1
245	282	29	1
248	282	29	1
231	283	29	1
247	283	29	1
248	283	29	1
250	283	29	1
232	284	29	1
235	284	29	1
242	284	29	1
244	284	29	1
249	284	29	1
238	285	29	2
243	285	29	1
248	285	29	1
253	285	29	1
233	286	29	1
247	286	29	1
248	286	29	1
252	286	29	2
240	287	29	1
224	288	29	1
226	288	29	1
232	288	29	1
234	288	29	3
240	288	29	1
244	288	29	1
237	289	29	1
247	289	29	1
224	290	29	1
242	290	29	1
245	290	29	1
239	291	29	1
240	291	29	1
246	291	29	1
