x	y	z	Integration of energy metabolism
240	286	21	2
246	292	21	1
232	278	24	1
235	278	24	1
239	278	24	1
241	279	24	1
246	284	24	1
244	286	24	1
244	287	24	1
246	287	24	1
251	287	24	1
243	288	24	1
244	288	24	1
245	288	24	1
231	264	25	3
232	265	25	2
233	269	25	4
238	270	25	2
234	271	25	1
227	272	25	1
233	272	25	1
238	272	25	1
227	273	25	3
236	273	25	1
238	273	25	1
230	274	25	2
231	274	25	1
232	274	25	1
234	274	25	1
238	274	25	2
235	275	25	1
236	275	25	1
232.5	276.5	25.5	3
233	276	25	1
234	276	25	1
236	276	25	1
232	277	25	2
235	277	25	2
237	277	25	1
247	277	25	1
231	278	25	1
232	278	25	2
233	278	25	1
238	278	25	1
239	278	25	1
231	279	25	1
232	279	25	1
234	279	25	1
235	279	25	1
239	279	25	1
240	279	25	1
241	279	25	2
233	280	25	1
236	280	25	2
245	280	25	1
231	281	25	1
234	281	25	1
237	281	25	1
241	281	25	1
245	281	25	1
248	281	25	1
249	281	25	1
214	282	25	2
231	282	25	1
234	282	25	2
235	282	25	1
238	282	25	1
239	282	25	3
240	282	25	1
245	282	25	3
248	282	25	1
249	282	25	1
230	283	25	1
232	283	25	1
236	283	25	1
237	283	25	2
241	283	25	1
246	283	25	2
233	284	25	1
235	284	25	2
236	284	25	1
237	284	25	1
242	284	25	1
245	284	25	1
249	284	25	1
250	284	25	2
252	284	25	1
215	285	25	1
232	285	25	3
234	285	25	1
235	285	25	1
236	285	25	2
240	285	25	1
241	285	25	1
244	285	25	1
246	285	25	2
248	285	25	2
250	285	25	1
233	286	25	1
234	286	25	1
236	286	25	1
241	286	25	2
245	286	25	1
250	286	25	3
223	287	25	1
237	287	25	2
242	287	25	1
245	287	25	1
246	287	25	2
236	288	25	1
237	288	25	1
239	288	25	2
242	288	25	1
226	289	25	3
234	289	25	3
235	289	25	2
241	289	25	1
242	289	25	1
252	289	25	1
225	290	25	2
235	290	25	1
246	290	25	1
226	291	25	1
234	291	25	2
236	291	25	1
238	291	25	1
241	291	25	1
242	291	25	1
251	291	25	1
227	292	25	2
235	292	25	2
237	292	25	2
238	292	25	1
239	292	25	2
239	293	25	1
240	293	25	1
244	293	25	1
246	293	25	2
239	294	25	3
243	294	25	2
244	294	25	4
234	295	25	1
241	295	25	2
238	296	25	2
242	296	25	3
239	297	25	1
243	297	25	2
227	300	25	1
240	300	25	4
239	302	25	1
176	259	26	2
182	259	26	1
229	262	26	1
229	264	26	1
232	265	26	2
234	265	26	1
234	267	26	1
235	267	26	2
241	267	26	2
233	268	26	1
228	269	26	1
229	269	26	3
236	269	26	1
228	270	26	2
234	270	26	1
236	270	26	2
240	270	26	2
250	270	26	1
229	271	26	1
236	271	26	1
240	271	26	1
217	272	26	1
223	272	26	3
224	272	26	1
230	272	26	2
234	272	26	1
236	272	26	3
239	272	26	1
236	273	26	1
237	273	26	2
239	273	26	1
248	273	26	1
231	274	26	2
233	274	26	1
236	274	26	4
232	275	26	1
235	275	26	2
236	275	26	1
237	275	26	1
246	275	26	1
249	275	26	2
250	275	26	1
207	276	26	1
232	276	26	2
233	276	26	2
234	276	26	2
235	276	26	3
237	276	26	1
244	276	26	1
250	276	26	1
207	277	26	2
209	277	26	2
210	277	26	2
213	277	26	1
230	277	26	2
231	277	26	1
235	277	26	1
240	277	26	1
247	277	26	2
249	277	26	2
231	278	26	1
236	278	26	1
239	278	26	1
240	278	26	3
251	278	26	3
232	279	26	1
233	279	26	2
236	279	26	1
237	279	26	1
239	279	26	1
246	279	26	2
248	279	26	1
249	279	26	1
250	279	26	2
208	280	26	1
232	280	26	1
233	280	26	1
234	280	26	1
238	280	26	1
240	280	26	1
247	280	26	1
248	280	26	1
249	280	26	1
237	281	26	1
239	281	26	2
244	281	26	1
246	281	26	1
249	281	26	2
250	281	26	3
208	282	26	1
212	282	26	2
215	282	26	1
229	282	26	2
231	282	26	2
233	282	26	1
234	282	26	3
237	282	26	1
240	282	26	1
242	282	26	1
249	282	26	3
251	282	26	2
254	282	26	1
209	283	26	1
231	283	26	1
239	283	26	1
245	283	26	1
248	283	26	2
249	283	26	2
251	283	26	1
252	283	26	1
254	283	26	2
212	284	26	1
214	284	26	2
232	284	26	1
236	284	26	1
237	284	26	2
238	284	26	3
241	284	26	2
242	284	26	1
243	284	26	1
244	284	26	1
245	284	26	1
246	284	26	2
248	284	26	2
252	284	26	1
212	285	26	2
232	285	26	1
234	285	26	1
240	285	26	1
241	285	26	4
244	285	26	2
247	285	26	1
250	285	26	1
254	285	26	3
255	285	26	2
216	286	26	2
232	286	26	2
235	286	26	1
236	286	26	1
237	286	26	1
241	286	26	3
243	286	26	1
247	286	26	1
250	286	26	3
251	286	26	3
252	286	26	1
253	286	26	2
254	286	26	2
223	287	26	1
224	287	26	1
228	287	26	2
232	287	26	2
234	287	26	1
236	287	26	1
238	287	26	2
243	287	26	3
248	287	26	2
249	287	26	3
250	287	26	1
251	287	26	3
252	287	26	2
253	287	26	1
235	288	26	1
236	288	26	2
240	288	26	2
245	288	26	1
