x	y	z	RIP-mediated NFkB activation via ZBP1
216.157603775171	275.673637444315	34.5586340221659	1
244	284	21	1
240	286	21	1
246	292	21	1
232	278	24	1
239	278	24	1
245	284	24	1
246	284	24	1
248	286	24	1
239	287	24	1
244	287	24	1
243	288	24	1
248	289	24	1
231	264	25	1
236	268	25	1
233	269	25	1
235	270	25	2
227	272	25	1
233	272	25	2
238	272	25	1
235	273	25	1
238	273	25	1
231	274	25	1
235	274	25	1
234	276	25	1
240	276	25	1
231	277	25	1
237	277	25	1
247	277	25	1
231	278	25	2
232	278	25	1
236	278	25	1
237	278	25	1
238	278	25	1
240	279	25	1
241	279	25	2
247	279	25	1
249	279	25	1
233	280	25	1
235	281	25	1
237	281	25	1
249	281	25	1
214	282	25	1
232	282	25	3
237	282	25	1
238	282	25	1
240	282	25	1
245	282	25	1
249	282	25	1
238	283	25	1
241	283	25	1
243	283	25	1
242	284	25	5
215	285	25	1
234	285	25	1
236	285	25	1
240	285	25	2
244	285	25	1
232	286	25	1
243	286	25	1
245	286	25	1
254	286	25	1
237	287	25	1
238	287	25	1
242	287	25	2
245	287	25	1
246	287	25	1
249	287	25	1
251	287	25	1
235	288	25	1
237	288	25	1
250	288	25	1
236	289	25	1
237	289	25	1
242	289	25	1
244	289	25	1
248.5	289.5	25.5	1
250	289	25	1
234	290	25	1
237	290	25	1
243	290	25	1
244	290	25	1
246	290	25	1
249	290	25	1
250	290	25	2
234	291	25	1
238	291	25	1
250	291	25	2
251	291	25	1
235	292	25	2
237	292	25	1
244	292	25	1
250	292	25	1
243	293	25	1
239	294	25	2
242	294	25	1
243	294	25	1
244	294	25	1
238	296	25	1
239	296	25	1
242	296	25	1
239	297	25	1
227	300	25	1
239	300	25	1
239	302	25	2
183	258	26	1
182	260	26	1
229	262	26	2
231	264	26	1
230	267	26	1
235	267	26	1
236	268	26	1
237	269	26	2
233	270	26	1
234	270	26	1
229	271	26	1
215	272	26	2
217	272	26	1
223	272	26	1
224	272	26	1
230	272	26	1
236	273	26	1
237	273	26	1
239	273	26	1
249	273	26	1
231	274	26	1
236	274	26	1
232	275	26	1
237	275	26	1
249	275	26	2
250	275	26	2
215	276	26	1
235	276	26	1
250	276	26	1
207	277	26	1
209	277	26	1
230	277	26	1
231	277	26	2
234	277	26	1
239	277	26	1
250	277	26	1
233	278	26	3
235	278	26	1
251	278	26	1
231	279	26	2
232	279	26	1
233	279	26	1
234	279	26	1
237	279	26	1
246	279	26	2
248	279	26	1
250	279	26	1
208	280	26	2
230	280	26	1
232	280	26	2
234	280	26	1
248	280	26	1
231	281	26	1
239	281	26	1
208	282	26	1
231	282	26	1
235	282	26	1
240	282	26	1
227	283	26	1
245	283	26	1
246	283	26	1
248	283	26	1
