x	y	z	Interleukin-1 signaling
244	284	21	1
239	272	24	1
235	278	24	2
237	278	24	1
241	279	24	1
248	286	24	1
243	288	24	2
245	288	24	1
246	289	24	1
249	289	24	1
244	291	24	1
231	268	25	1
230	272	25	1
233	272	25	1
235	273	25	1
238	273	25	1
238	274	25	2
233	276	25	1
237	276	25	1
231	277	25	1
233	277	25	1
237	277	25	1
238	278	25	1
234	279	25	1
237	279	25	1
238	279	25	1
247	279	25	1
249	279	25	1
234	280	25	1
236	280	25	1
241	280	25	1
240	281	25	1
245	281	25	1
231	283	25	1
232	283	25	1
238	283	25	1
243	283	25	1
233	284	25	1
237	284	25	1
249	284	25	2
232	285	25	1
234	285	25	2
237	285	25	1
239	285	25	2
240	285	25	1
241	285	25	1
248	285	25	1
252	285	25	2
232	286	25	1
233	286	25	1
236	286	25	1
242	286	25	1
245	286	25	1
250	286	25	1
252	286	25	1
245	287	25	1
251	287	25	2
250	288	25	1
235	289	25	1
236	289	25	2
241	289	25	1
242	289	25	1
235	290	25	2
243	290	25	1
244	290	25	2
249	290	25	2
237	291	25	1
239	291	25	1
241	291	25	1
238	292	25	1
242	292	25	1
243	292	25	2
244	293	25	1
241	294	25	1
242	294	25	2
243	294	25	1
234	295	25	1
237	295	25	1
245	295	25	1
246	296	25	2
247	296	25	1
239	297	25	1
227	300	25	1
239	300	25	1
239	302	25	1
182	260	26	1
229	262	26	2
232	263	26	1
230	264	26	1
234	267	26	1
235	267	26	2
236	268	26	2
241	268	26	1
237	269	26	2
228	270	26	2
236	270	26	1
250	270	26	1
235	271	26	2
236	272	26	2
236	273	26	1
239	273	26	1
236	274	26	1
232	275	26	1
233	275	26	1
236	275	26	1
237	275	26	1
249	275	26	1
232	276	26	1
239	276	26	1
207	277	26	1
209	277	26	2
213	277	26	1
237	277	26	2
240	277	26	1
247	277	26	1
232	278	26	1
234	278	26	1
252	278	26	2
231	279	26	1
237	279	26	2
241	279	26	1
246	279	26	1
208	280	26	1
236	280	26	1
238	280	26	1
242	280	26	1
249	280	26	1
231	281	26	1
232	281	26	1
234	281	26	4
235	281	26	1
239	281	26	1
247	281	26	2
249	281	26	1
250	281	26	1
208	282	26	1
212	282	26	2
215	282	26	2
229	282	26	1
231	282	26	2
238	282	26	2
242	282	26	1
245	282	26	2
250	282	26	1
254	282	26	1
209	283	26	1
