x	y	z	SLBP independent Processing of Histone Pre-mRNAs
239	278	24	1
246	284	24	1
247	289	24	1
249	289	24	1
231	264	25	1
227	273	25	1
236	273	25	1
233	274	25	1
235	275	25	2
238	275	25	1
232.5	276.5	25.5	1
235	276	25	1
239	276	25	2
248	276	25	1
237	278	25	2
238	278	25	1
247	279	25	1
231	281	25	1
235	281	25	1
245	282	25	1
235	283	25	1
241	283	25	1
213	284	25	1
235	284	25	1
247	284	25	1
252	284	25	1
243	285	25	1
252	285	25	1
250	286	25	1
250	288	25	1
226	289	25	1
236	290	25	2
226	291	25	1
243	292	25	1
244	292	25	1
243	294	25	1
243	299	25	1
229	262	26	1
234	265	26	1
236	268	26	1
228	269	26	1
237	270	26	1
240	270	26	1
235	271	26	1
236	271	26	1
226	272	26	1
234	272	26	1
232	275	26	1
246	275	26	1
237	276	26	1
231	277	26	1
250	277	26	1
231	278	26	1
237	278	26	1
243	278	26	1
249	278	26	1
251	278	26	1
232	279	26	1
234	279	26	1
232	280	26	1
234	281	26	1
246	281	26	1
254	282	26	1
248	283	26	1
232	284	26	1
234	284	26	1
244	284	26	1
252	284	26	1
232	285	26	1
235	286	26	1
237	286	26	1
242	286	26	1
246	286	26	1
248	287	26	1
232	288	26	1
236	288	26	1
240	288	26	1
243	288	26	1
252	289	26	1
249	291	26	1
225	292	26	2
242	292	26	1
252	292	26	1
240	294	26	1
241	294	26	1
244	294	26	1
244	295	26	1
245	295	26	1
254	295	26	1
243	296	26	1
239	297	26	1
240	297	26	1
244	297	26	1
235	298	26	1
236	298	26	1
240	298	26	1
242	298	26	1
236	299	26	1
240	299	26	1
235	301	26	1
188	259	27	1
181	260	27	1
184	260	27	1
185	260	27	1
235	260	27	1
177	261	27	1
229	261	27	1
232	261	27	1
185	263	27	1
176	264	27	1
209	264	27	2
228	264	27	1
238	264	27	1
230	265	27	1
236	265	27	1
240	265	27	1
178	266	27	1
217	266	27	1
219	266	27	1
231	267	27	1
235	267	27	1
239	267	27	1
181	268	27	1
217	268	27	1
231	268	27	2
236	268	27	1
237	268	27	1
243	268	27	1
247	268	27	1
177	269	27	1
207	269	27	1
211	269	27	1
233	269	27	1
237	269	27	1
184	270	27	1
207	270	27	1
216	270	27	1
218	270	27	1
226	270	27	1
234	270	27	1
236	270	27	1
206	271	27	1
210	271	27	1
216	271	27	1
217	271	27	1
223	271	27	1
225	271	27	1
236	271	27	1
232	272	27	1
240	272	27	1
247	272	27	1
206	273	27	1
207	273	27	1
227	273	27	1
235	273	27	1
237	273	27	1
178	274	27	1
179	274	27	1
239	274	27	1
243	274	27	1
233	275	27	1
239	275	27	1
245	275	27	1
177	276	27	1
205	276	27	1
212	276	27	1
213	276	27	1
233	276	27	1
250	276	27	1
213	277	27	1
235	277	27	1
239	277	27	1
245	277	27	2
252	277	27	1
213	278	27	1
229	278	27	1
244	278	27	1
249	278	27	1
201	279	27	1
220	279	27	1
237	279	27	1
245	279	27	1
206	280	27	1
217	281	27	1
230	281	27	1
235	281	27	1
245	281	27	1
209	282	27	1
210	282	27	1
213	282	27	1
244	282	27	1
247	282	27	1
249	282	27	1
218	283	27	1
242	283	27	1
249	283	27	1
256	283	27	1
205	284	27	1
237	284	27	1
249	284	27	1
252	284	27	1
219	285	27	1
224	285	27	1
228	285	27	1
237	285	27	1
211	286	27	2
232	287	27	1
229	288	27	1
232	288	27	2
235	288	27	1
219	289	27	1
228	289	27	1
230	289	27	1
241	290	27	1
244	290	27	1
224	291	27	1
242	291	27	1
246	291	27	1
226	292	27	1
239	292	27	1
244	292	27	1
250	292	27	1
253	292	27	1
211	293	27	1
223	293	27	1
239	293	27	1
243	293	27	1
251	293	27	1
246	294	27	1
251	294	27	1
252	294	27	1
257	294	27	1
243	295	27	1
244	295	27	1
252	295	27	1
244	296	27	1
252	296	27	1
249	297	27	1
223	298	27	1
236	298	27	1
237	298	27	1
244	298	27	1
229	299	27	1
240	299	27	2
242	299	27	1
246	299	27	1
237	300	27	1
244	300	27	1
234	301	27	1
241	301	27	1
247	301	27	2
236	302	27	1
232	264	28	2
235	266	28	1
237	268	28	1
236	270	28	1
234	272	28	1
235	273	28	1
214	274	28	1
236	278	28	1
235	281	28	1
250	281	28	1
235	282	28	1
246	282	28	1
247	282	28	2
251	282	28	1
237	283	28	1
246	284	28	1
238	285	28	1
242	285	28	1
244	285	28	1
248	285	28	1
251	287	28	1
227	289	28	1
243	289	28	1
226	290	28	1
249	291	28	1
222	292	28	1
241	292	28	1
250	293	28	1
245	295	28	1
248	295	28	1
240	296	28	2
240	298	28	1
235	257	29	1
190	258	29	1
228	258	29	1
237	258	29	1
199	261	29	1
220	262	29	1
227	262	29	1
232	263	29	1
245	264	29	1
235	265	29	1
238	265	29	1
192	267	29	1
197	267	29	1
180	269	29	1
196	269	29	1
248	269	29	1
216	271	29	1
235	271	29	1
237	271	29	1
251	271	29	1
241	272	29	1
207	273	29	1
212	273	29	1
232	274	29	1
234	274	29	1
239	274	29	1
206	276	29	1
250	276	29	1
250	277	29	1
208	278	29	1
245	278	29	1
246	279	29	2
235	280	29	1
236	280	29	1
237	280	29	1
238	281	29	1
247	281	29	1
249	281	29	1
250	281	29	1
206	282	29	1
241	282	29	1
242	282	29	1
246	282	29	1
234	283	29	1
245	283	29	1
247	283	29	1
222	284	29	1
248	284	29	1
250	284	29	1
236	285	29	1
242	286	29	1
226	287	29	1
232	287	29	1
244	287	29	1
235	288	29	1
249	288	29	1
228	289	29	1
234	289	29	1
245	289	29	1
246	289	29	1
230	290	29	1
248	291	29	1
241	292	29	1
249	292	29	1
236	294	29	1
248	294	29	1
247	295	29	1
246	296	29	1
253	296	29	1
255	296	29	1
241	297	29	1
226	298	29	1
240	299	29	1
235	302	29	1
237	253	30	1
230	254	30	1
234	255	30	1
237	255	30	1
204	256	30	1
233	256	30	1
204	257	30	1
215	257	30	1
227	257	30	1
229	257	30	1
231	258	30	1
238	258	30	1
205	259	30	1
218	259	30	1
229	259	30	1
241	259	30	1
227	260	30	1
232	260	30	1
211	261	30	1
219	261	30	1
241	261	30	1
186	262	30	1
206	262	30	1
220	262	30	1
231	262	30	2
193	263	30	1
188	264	30	1
225	264	30	1
183	265	30	1
193	265	30	1
216	265	30	1
224	265	30	1
232	265	30	2
214	266	30	1
233	266	30	1
182	267	30	1
183	267	30	1
208	267	30	1
231	267	30	1
237	267	30	1
239	267	30	1
182	268	30	1
237	268	30	1
247	268	30	1
249	268	30	1
250	268	30	1
194	269	30	1
232	269	30	1
252	269	30	1
184	270	30	1
198	270	30	1
201	270	30	1
231	270	30	1
238	270	30	1
199	271	30	2
200	271	30	1
204	271	30	1
239	271	30	1
243	271	30	1
185	272	30	1
207	272	30	1
244	272	30	1
245	272	30	1
247	272	30	1
183	273	30	1
241	273	30	1
183	274	30	1
208	274	30	1
214	274	30	1
234	274	30	1
244	274	30	1
247	274	30	1
203	275	30	1
213	275	30	1
235	275	30	1
250	275	30	1
206	276	30	1
236	276	30	1
239	276	30	1
206	277	30	1
238	277	30	1
241	277	30	1
243	277	30	1
205	278	30	1
243	278	30	1
247	278	30	1
248	278	30	1
249	278	30	2
241	279	30	1
248	279	30	1
