x	y	z	DNA Replication
223	272	27	1
227	272	27	2
229	272	27	1
230	272	27	2
231	272	27	1
237	272	27	1
239	272	27	1
240	272	27	1
251	272	27	1
183	273	27	1
212	273	27	2
213	273	27	1
215	273	27	1
229	273	27	1
234	273	27	1
240	273	27	1
241	273	27	2
246	273	27	1
248	273	27	1
251	273	27	1
177	274	27	1
179	274	27	1
204	274	27	2
208	274	27	1
212	274	27	1
221	274	27	2
224	274	27	1
226	274	27	1
228	274	27	1
231	274	27	1
241	274	27	1
243	274	27	1
247	274	27	1
182	275	27	1
184	275	27	1
185	275	27	1
206	275	27	1
212	275	27	1
216	275	27	1
220	275	27	1
223	275	27	1
237	275	27	1
238	275	27	1
240	275	27	2
244	275	27	1
246	275	27	1
252	275	27	1
254	275	27	1
177	276	27	1
207	276	27	1
210	276	27	1
211	276	27	1
215	276	27	1
217	276	27	1
230	276	27	1
234	276	27	1
238	276	27	2
244	276	27	1
245	276	27	1
250	276	27	1
252	276	27	1
204	277	27	1
210	277	27	1
232	277	27	1
236	277	27	1
240	277	27	1
243	277	27	1
246	277	27	2
248	277	27	1
249	277	27	1
211	278	27	1
213	278	27	2
214	278	27	1
232	278	27	1
234	278	27	1
239	278	27	1
246	278	27	1
201	279	27	1
207	279	27	1
219	279	27	1
220	279	27	1
230	279	27	1
231	279	27	2
234	279	27	1
240	279	27	1
248	279	27	1
250	279	27	1
257	279	27	1
210	280	27	1
232	280	27	1
233	280	27	1
234	280	27	1
238	280	27	1
240	280	27	2
241	280	27	2
243	280	27	1
244	280	27	1
246	280	27	1
249	280	27	1
256	280	27	1
206	281	27	1
210	281	27	1
214	281	27	1
218	281	27	1
228	281	27	2
230	281	27	1
231	281	27	1
233	281	27	1
234	281	27	1
236	281	27	1
240	281	27	1
241	281	27	1
244	281	27	1
254	281	27	1
205	282	27	2
206	282	27	1
209	282	27	1
214	282	27	1
216	282	27	1
217	282	27	3
229	282	27	1
233	282	27	3
235	282	27	1
236	282	27	2
241	282	27	1
245	282	27	2
247	282	27	1
201	283	27	1
206	283	27	3
210	283	27	1
216	283	27	1
218	283	27	1
228	283	27	1
231	283	27	1
232	283	27	1
234	283	27	1
241	283	27	2
242	283	27	1
244	283	27	2
249	283	27	2
208	284	27	2
210	284	27	1
213	284	27	1
214	284	27	1
215	284	27	2
240	284	27	1
254	284	27	1
256	284	27	1
257	284	27	1
200	285	27	1
204	285	27	1
206	285	27	1
208	285	27	2
211	285	27	1
219	285	27	1
223	285	27	1
235	285	27	1
237	285	27	3
238	285	27	1
240	285	27	1
241	285	27	1
242	285	27	2
246	285	27	1
249	285	27	1
250	285	27	1
253	285	27	1
207	286	27	1
211	286	27	1
212	286	27	1
214	286	27	1
216	286	27	1
218	286	27	2
219	286	27	1
225	286	27	1
232	286	27	1
233	286	27	1
235	286	27	1
244	286	27	1
246	286	27	1
248	286	27	1
251	286	27	1
252	286	27	1
255	286	27	1
207	287	27	1
214	287	27	1
219	287	27	1
221	287	27	1
223	287	27	2
228	287	27	2
231	287	27	1
233	287	27	1
237	287	27	1
240	287	27	2
241	287	27	1
248	287	27	2
253	287	27	1
256	287	27	1
207	288	27	1
211	288	27	1
214	288	27	1
225	288	27	2
228	288	27	1
229	288	27	1
238	288	27	1
243	288	27	1
244	288	27	1
247	288	27	1
250	288	27	1
251	288	27	2
252	288	27	1
253	288	27	1
203	289	27	4
219	289	27	1
227	289	27	1
233	289	27	1
237	289	27	1
240	289	27	2
243	289	27	2
246	289	27	1
248	289	27	1
251	289	27	2
253	289	27	1
256	289	27	3
214	290	27	2
219	290	27	1
225	290	27	1
226	290	27	1
233	290	27	1
236	290	27	1
244	290	27	1
246	290	27	1
249	290	27	1
251	290	27	1
253	290	27	1
210	291	27	1
211	291	27	1
213	291	27	1
227	291	27	1
230	291	27	2
233	291	27	1
237	291	27	1
238	291	27	1
239	291	27	1
241	291	27	1
247	291	27	2
249	291	27	1
251	291	27	1
252	291	27	1
213	292	27	3
218	292	27	1
219	292	27	1
221	292	27	1
223	292	27	1
228	292	27	1
230	292	27	1
235	292	27	1
247	292	27	1
248	292	27	1
250	292	27	1
254	292	27	1
210	293	27	1
223	293	27	2
224	293	27	1
229	293	27	1
234	293	27	1
238	293	27	1
244	293	27	1
249	293	27	1
250	293	27	1
211	294	27	1
219	294	27	1
224	294	27	1
226	294	27	1
235	294	27	1
244	294	27	1
245	294	27	1
246	294	27	1
249	294	27	1
250	294	27	1
251	294	27	1
252	294	27	1
254	294	27	1
219	295	27	1
220	295	27	1
226	295	27	1
244	295	27	2
246	295	27	1
248	295	27	1
251	295	27	1
255	295	27	1
220	296	27	2
237	296	27	1
238	296	27	1
241	296	27	1
249	296	27	1
252	296	27	3
217	297	27	2
220	297	27	2
221	297	27	1
236	297	27	1
240	297	27	1
242	297	27	1
244	297	27	3
245	297	27	1
248	297	27	1
249	297	27	1
253	297	27	1
224	298	27	1
226	298	27	1
238	298	27	3
239	298	27	1
244	298	27	1
248	298	27	1
230	299	27	1
241	299	27	1
242	299	27	1
246	299	27	1
249	299	27	1
227	300	27	1
228	300	27	2
231	300	27	2
239	300	27	1
240	300	27	2
241	300	27	2
242	300	27	1
247	300	27	1
248	300	27	1
227	301	27	1
237	301	27	1
239	301	27	1
250	301	27	1
239	302	27	1
244	302	27	3
236	304	27	1
238	304	27	1
243	304	27	2
230	262	28	1
231	264	28	1
232	264	28	1
231	268	28	1
235	268	28	1
237	268	28	1
238	268	28	1
236	271	28	1
206	272	28	1
236	272	28	1
211	273	28	1
235	275	28	2
249	275	28	1
238	276	28	3
235	277	28	3
237	277	28	1
238	277	28	1
236	278	28	1
210	279	28	1
237	279	28	1
248	279	28	1
241	280	28	4
251	280	28	1
252	281	28	1
234	282	28	1
235	282	28	1
238	283	28	1
246	283	28	1
239	285	28	1
232	286	28	1
235	286	28	1
237	286	28	1
247	286	28	2
248	286	28	1
240	287	28	2
246	287	28	2
242	288	28	1
244	288	28	3
246	289	28	1
247	289	28	1
249	289	28	1
242	290	28	2
244	290	28	1
245	290	28	1
241	291	28	2
245	291	28	2
247	291	28	1
222	292	28	1
247	292	28	1
250	292	28	2
243	293	28	1
249	293	28	1
249	294	28	1
241	295	28	1
242	295	28	1
240	298	28	1
225	300	28	1
236	300	28	1
235	256	29	1
230	257	29	1
181	258	29	3
235	258	29	1
182	259	29	2
181	260	29	1
182	260	29	1
220	262	29	1
232	263	29	1
234	263	29	1
248	263	29	2
215	264	29	2
224	264	29	1
230	264	29	1
231	264	29	1
181	265	29	1
226	265	29	1
234	265	29	1
235	265	29	2
178	266	29	1
195	266	29	1
226	266	29	1
230	266	29	1
232	266	29	1
248	266	29	1
250	266	29	1
197	267	29	1
226	267	29	1
231	267	29	1
235	267	29	1
236	267	29	1
241	267	29	2
249	267	29	1
201	268	29	1
231	268	29	1
237	268	29	1
238	268	29	1
180	269	29	1
193	269	29	1
204	269	29	2
232	269	29	1
235	269	29	1
237	269	29	2
178	270	29	1
198	270	29	1
215	270	29	1
230	270	29	1
214	271	29	1
229	271	29	1
233	271	29	1
234	271	29	1
237	271	29	1
240	271	29	1
241	271	29	1
214	272	29	1
235	272	29	1
239	272	29	1
245	272	29	1
249	272	29	1
251	272	29	1
225	273	29	2
249	273	29	1
180	274	29	1
213	274	29	2
214	274	29	2
232	274	29	2
233	274	29	2
234	274	29	1
236	274	29	2
238	274	29	1
250	274	29	1
184	275	29	1
236	275	29	1
237	275	29	1
238	275	29	1
239	275	29	1
240	275	29	2
242	275	29	1
245	275	29	1
206	276	29	1
236	276	29	1
241	276	29	1
248	276	29	1
252	276	29	2
238	277	29	1
250	277	29	1
251	277	29	1
239	278	29	1
245	278	29	1
250	278	29	2
206	279	29	1
246	279	29	2
247	279	29	1
249	279	29	1
252	279	29	1
205	280	29	1
236	280	29	2
241	280	29	1
245	280	29	2
251	280	29	3
252	280	29	1
256	280	29	2
208	281	29	2
224	281	29	1
235	281	29	1
237	281	29	1
238	281	29	1
241	281	29	1
245	281	29	1
248	281	29	1
249	281	29	1
235	282	29	2
244	282	29	1
249	282	29	1
251	282	29	1
254	282	29	1
209	283	29	1
231	283	29	2
238	283	29	1
239	283	29	1
244	283	29	1
246	283	29	2
248	283	29	1
211	284	29	1
232	284	29	3
236	284	29	1
237	284	29	2
238	284	29	2
241	284	29	1
242	284	29	2
243	284	29	2
245	284	29	2
246	284	29	1
250	284	29	1
227	285	29	1
233	285	29	1
234	285	29	1
236	285	29	1
248	285	29	2
211	286	29	2
232	286	29	1
235	286	29	2
236	286	29	1
240	286	29	1
242	286	29	1
243	286	29	1
225	287	29	1
228	287	29	2
231	287	29	1
233	287	29	1
240	287	29	1
241	287	29	1
244	287	29	1
245	287	29	1
246	287	29	1
247	287	29	1
225	288	29	1
228	288	29	1
233	288	29	1
234	288	29	2
236	288	29	1
242	288	29	1
249	288	29	1
253	288	29	1
234	289	29	1
243	289	29	2
245	289	29	1
246	289	29	1
247	289	29	1
225	290	29	1
226	290	29	1
238	290	29	1
246	290	29	2
222	291	29	1
238	291	29	1
245	291	29	1
248	291	29	1
250	291	29	1
222	292	29	1
227	292	29	1
237	292	29	1
238	292	29	1
241	292	29	1
242	292	29	1
245	292	29	1
247	292	29	1
257	292	29	1
224	293	29	1
227	293	29	2
247	293	29	2
224	294	29	3
236	294	29	1
241	294	29	2
242	294	29	2
243	294	29	1
245	294	29	1
223	295	29	1
253	296	29	2
238	297	29	1
241	297	29	1
243	297	29	1
246	297	29	1
247	297	29	1
219	298	29	1
221	298	29	1
245	298	29	1
221	299	29	1
226	299	29	1
252	299	29	1
226	300	29	1
227	300	29	1
235	300	29	1
237	300	29	1
239	300	29	1
223	301	29	1
225	301	29	1
230	301	29	1
241	301	29	1
247	301	29	1
229	250	30	1
228	253	30	1
215	254	30	1
230	254	30	1
233	254	30	1
238	254	30	1
191	255	30	1
230	255	30	1
232	255	30	1
234	255	30	1
236	255	30	1
204	256	30	2
230	256	30	1
183	257	30	1
192	257	30	1
203	257	30	1
209	257	30	1
239	257	30	1
176	258	30	1
186	258	30	1
227	258	30	2
228	258	30	1
229	258	30	1
231	258	30	1
206	259	30	1
209	259	30	1
216	259	30	1
220	259	30	1
222	259	30	1
227	259	30	1
229	259	30	1
237	259	30	1
239	259	30	1
184	260	30	1
186	260	30	1
196	260	30	2
212	260	30	1
216	260	30	1
223	260	30	1
225	260	30	1
235	260	30	1
240	260	30	1
184	261	30	1
186	261	30	1
194	261	30	1
196	261	30	2
208	261	30	3
215	261	30	1
218	261	30	1
219	261	30	1
224	261	30	1
227	261	30	1
230	261	30	1
236	261	30	1
238	261	30	1
244	261	30	2
246	261	30	1
249	261	30	1
178	262	30	1
187	262	30	1
209	262	30	1
222	262	30	1
231	262	30	1
240	262	30	1
242	262	30	1
247	262	30	1
248	262	30	2
182	263	30	1
185	263	30	1
186	263	30	1
189	263	30	2
210	263	30	1
218	263	30	2
222	263	30	1
228	263	30	1
230	263	30	1
240	263	30	1
242	263	30	1
246	263	30	1
247	263	30	1
188	264	30	1
195	264	30	1
211	264	30	2
225	264	30	1
228	264	30	1
240	264	30	1
191	265	30	1
197	265	30	1
210	265	30	1
212	265	30	1
213	265	30	1
216	265	30	1
229	265	30	2
232	265	30	1
233	265	30	1
235	265	30	1
244	265	30	1
187	266	30	1
188	266	30	1
189	266	30	1
212	266	30	1
214	266	30	2
229	266	30	1
231	266	30	3
240	266	30	1
241	266	30	1
249	266	30	2
176	267	30	1
183	267	30	1
194	267	30	1
202	267	30	1
232	267	30	1
236	267	30	1
237	267	30	1
238	267	30	1
239	267	30	1
241	267	30	1
245	267	30	1
194	268	30	1
196	268	30	1
205	268	30	1
207	268	30	1
213	268	30	1
228	268	30	2
239	268	30	2
241	268	30	2
243	268	30	1
246	268	30	2
247	268	30	1
248	268	30	2
177	269	30	1
180	269	30	1
182	269	30	1
193	269	30	1
197	269	30	1
213	269	30	1
214	269	30	1
222	269	30	1
239	269	30	1
240	269	30	1
243	269	30	2
248	269	30	1
183	270	30	1
187	270	30	1
194	270	30	1
196	270	30	1
201	270	30	1
207	270	30	1
214	270	30	1
216	270	30	1
223	270	30	1
230	270	30	1
233	270	30	1
235	270	30	1
176	271	30	1
185	271	30	1
193	271	30	1
198	271	30	1
200	271	30	1
207	271	30	1
211	271	30	1
215	271	30	2
216	271	30	2
225	271	30	1
233	271	30	1
238	271	30	1
239	271	30	1
244	271	30	1
180	272	30	1
184	272	30	1
185	272	30	1
203	272	30	1
223	272	30	1
227	272	30	2
233	272	30	2
235	272	30	1
238	272	30	1
239	272	30	1
244	272	30	1
247	272	30	1
183	273	30	1
203	273	30	1
208	273	30	1
210	273	30	2
234	273	30	1
235	273	30	1
240	273	30	1
246	273	30	2
180	274	30	1
181	274	30	1
182	274	30	1
212	274	30	1
214	274	30	2
229	274	30	2
233	274	30	1
238	274	30	2
239	274	30	1
180	275	30	1
182	275	30	1
203	275	30	1
213	275	30	1
235	275	30	1
236	275	30	1
238	275	30	1
240	275	30	2
250	275	30	1
186	276	30	1
205	276	30	1
207	276	30	2
232	276	30	1
205	277	30	1
206	277	30	1
232	277	30	2
237	277	30	1
245	277	30	1
247	277	30	1
175	278	30	1
203	278	30	1
204	278	30	1
206	278	30	2
226	278	30	1
230	278	30	1
237	278	30	1
238	278	30	2
243	278	30	1
253	278	30	1
206	279	30	2
207	279	30	2
238	279	30	1
241	279	30	2
247	279	30	1
250	279	30	1
251	279	30	1
252	279	30	1
183	280	30	1
233	280	30	1
241	280	30	2
242	280	30	1
245	280	30	1
248	280	30	1
251	280	30	1
173	281	30	2
179	281	30	1
181	281	30	1
217	281	30	1
218	281	30	1
223	281	30	1
243	281	30	1
245	281	30	1
246	281	30	1
247	281	30	1
249	281	30	1
254	281	30	1
172	282	30	1
177	282	30	1
179	282	30	2
210	282	30	1
215	282	30	1
219	282	30	1
222	282	30	2
233	282	30	2
236	282	30	1
241	282	30	1
244	282	30	1
245	282	30	2
179	283	30	1
219	283	30	1
220	283	30	1
221	283	30	1
238	283	30	1
239	283	30	1
240	283	30	1
244	283	30	3
248	283	30	1
249	283	30	2
177	284	30	2
180	284	30	2
220	284	30	2
231	284	30	1
243	284	30	1
244	284	30	2
245	284	30	1
252	284	30	1
206	285	30	1
211	285	30	2
220	285	30	1
223	285	30	2
225	285	30	1
234	285	30	1
245	285.666666666667	31	1
248	285	30	1
255	285	30	1
219	286	30	1
222	286	30	1
224	286	30	1
225	286	30	1
227	286	30	1
236	286	30	2
238	286	30	2
241	286	30	1
248	286	30	3
250	286	30	1
251	286	30	1
252	286	30	1
222	287	30	1
231	287	30	1
233	287	30	1
241	287	30	2
243	287	30	2
246	287	30	1
251	287	30	1
254	287	30	1
255	287	30	2
223	288	30	1
228	288	30	1
232	288	30	1
234	288	30	1
236	288	30	1
239	288	30	1
244	288	30	1
199	289	30	1
221	289	30	1
222	289	30	1
224	289	30	1
226	289	30	2
232	289	30	1
237	289	30	1
238	289	30	1
240	289	30	1
250	289	30	1
256	289	30	1
222	290	30	1
231	290	30	2
240	290	30	1
245	290	30	1
248	290	30	1
222	291	30	1
225	291	30	1
227	291	30	1
239	291	30	1
241	291	30	1
245	291	30	2
247	291	30	1
203	292	30	2
223	292	30	1
224	292	30	1
227	292	30	1
230	292	30	1
232	292	30	1
241	292	30	1
249	292	30	1
222	293	30	2
229	293	30	1
239	293	30	1
241	293	30	1
244	293	30	1
245	293	30	1
247	293	30	2
220	294	30	1
230	294	30	1
231	294	30	2
232	294	30	1
233	294	30	1
235	294	30	1
237	294	30	1
238	294	30	1
240	294	30	1
244	294	30	1
253	294	30	1
257	294	30	1
258	294	30	1
224	295	30	1
226	295	30	1
247	295	30	1
255	295	30	2
257	295	30	1
220	296	30	1
226	296	30	1
237	296	30	1
247	296	30	1
220	297	30	2
223	297	30	1
227	297	30	1
229	297	30	1
231	297	30	1
237	297	30	2
238	297	30	2
239	297	30	1
240	297	30	1
215	298	30	1
224	298	30	2
230	298	30	2
240	298	30	1
242	298	30	1
245	298	30	2
246	298	30	1
250	298	30	1
251	298	30	1
216	299	30	1
242	299	30	1
247	299	30	2
250	299	30	1
252	299	30	1
218	300	30	1
222	300	30	4
227	300	30	1
231	300	30	1
244	300	30	1
249	300	30	1
251	300	30	1
230	301	30	1
236	301	30	4
244	301	30	2
245	301	30	1
248	301	30	1
231	302	30	2
239	302	30	1
240	302	30	1
248	302	30	2
217	303	30	1
240	303	30	1
241	303	30	1
244	303	30	1
233	304	30	1
235	304	30	1
236	304	30	1
237	304	30	2
238	304	30	1
240	304	30	1
242	304	30	1
236	306	30	1
216	252	31	1
226	252	31	1
193	253	31	2
224	253	31	1
225	253	31	1
227	253	31	1
