x	y	z	The NLRP3 inflammasome
239	272	24	1
237	278	24	1
246	284	24	1
248	286	24	1
244	287	24	1
245	287	24	1
245	288	24	2
247	289	24	2
248	289	24	1
232	265	25	1
233	269	25	1
238	270	25	1
233	272	25	1
238	272	25	1
239	272	25	1
227	273	25	1
236	273	25	2
231	274	25	1
236	275	25	1
232.5	276.5	25.5	1
235	276	25	1
248	276	25	2
231	277	25	3
232	278	25	1
236	278	25	1
237	278	25	2
238	278	25	1
239	278	25	1
231	279	25	1
241	279	25	2
232	280	25	1
233	280	25	1
235	281	25	1
237	281	25	1
241	281	25	1
243	281	25	1
249	281	25	1
237	282	25	1
240	282	25	1
245	282	25	1
248	282	25	1
249	282	25	1
234	283	25	1
236	283	25	1
238	283	25	1
239	283	25	1
240	283	25	1
245	283	25	1
246	283	25	2
241	284	25	1
247	284	25	1
249	284	25	1
234	285	25	1
236	285	25	1
240	285	25	2
243	285	25	1
244	285	25	1
252	285	25	1
233	286	25	1
234	286	25	1
236	286	25	1
241	286	25	1
242	286	25	1
254	286	25	1
238	287	25	2
235	288	25	2
237	288	25	1
242	288	25	1
226	289	25	2
234	289	25	1
237	289	25	1
248.5	289.5	25.5	1
225	290	25	1
235	290	25	1
240	290	25	1
244	290	25	1
249	290	25	2
250	290	25	1
237	291	25	1
227	292	25	1
235	292	25	1
239	292	25	1
249	292	25	2
241	294	25	1
242	294	25	1
247	294	25	1
240	295	25	1
242	296	25	3
239	300	25	2
229	264	26	1
234	265	26	1
241	268	26	1
228	269	26	1
237	269	26	2
228	270	26	2
238	270	26	1
236	271	26	1
240	271	26	2
217	272	26	1
232	272	26	1
231	273	26	1
237	273	26	1
233	274	26	1
235	275	26	1
239	275	26	1
207	276	26	2
233	276	26	1
250	276	26	1
207	277	26	1
210	277	26	1
234	277	26	1
235	277	26	1
236	277	26	1
237	277	26	1
247	277	26	2
231	278	26	1
233	278	26	2
235	278	26	1
236	278	26	1
252	278	26	1
207	279	26	1
239	279	26	2
240	279	26	1
249	279	26	2
230	280	26	1
233	280	26	1
247	280	26	2
250	280	26	1
232	281	26	1
246	281	26	1
247	281	26	1
215	282	26	1
231	282	26	1
233	282	26	1
234	282	26	1
235	282	26	1
242	282	26	1
246	282	26	2
249	282	26	1
227	283	26	1
231	283	26	2
245	283	26	1
249	283	26	1
251	283	26	2
252	283	26	1
253	283	26	1
212	284	26	1
215	284	26	1
235	284	26	2
241	284	26	2
245	284	26	1
234	285	26	1
236	285	26	1
237	285	26	1
247	285	26	1
254	285	26	2
216	286	26	1
225	286	26	2
238	286	26	1
253	286	26	1
228	287	26	1
236	287	26	1
239	287	26	1
248	287	26	1
251	287	26	3
232	288	26	1
235	288	26	1
243	288	26	1
249	288	26	1
253	288	26	1
233	289	26	1
238	289	26	1
242	289	26	1
248	289	26	1
251	289	26	1
252	289	26	1
225	290	26	1
238	290	26	1
244	290	26	1
250	290	26	1
229	291	26	1
236	291	26	1
237	291	26	1
244	291	26	1
246	291	26	1
225	292	26	2
242	292	26	1
245	292	26	1
247	292	26	1
250	292	26	1
254	292	26	1
236	293	26	1
240	293	26	1
244	293	26	1
246	293	26	1
247	293	26	1
253	293	26	1
235	294	26	1
239	294	26	1
237	295	26	1
239	295	26	1
243	295	26	1
254	295	26	1
240	296	26	1
243	296	26	1
244	296	26	1
236	298	26	1
246	298	26	1
239	299	26	1
182	255	27	2
183	257	27	1
180	259	27	1
231	259	27	1
232	259	27	1
226	260	27	3
234	260	27	1
235	260	27	1
240	260	27	1
222	261	27	1
235	261	27	1
186	262	27	1
227	262	27	1
232	262	27	1
175	263	27	1
179	263	27	1
185	263	27	1
210	263	27	1
227	263	27	1
234	263	27	1
219	264	27	1
234	264	27	1
237	264	27	1
248	264	27	1
189	265	27	1
225	265	27	1
231	265	27	2
233	265	27	2
235	265	27	1
230	266	27	1
214	267	27	1
228	267	27	1
231	267	27	1
232	267	27	1
179	268	27	1
181	268	27	1
197	268	27	1
207	268	27	1
213	268	27	1
214	268	27	1
219	268	27	1
222	268	27	1
223	268	27	1
226	268	27	1
228	268	27	2
232	268	27	1
233	268	27	1
235	268	27	1
239	268	27	1
243	268	27	1
178	269	27	1
205	269	27	1
213	269	27	1
224	269	27	1
225	269	27	1
231	269	27	1
240	269	27	1
242	269	27	2
252	269	27	1
221	270	27	1
226	270	27	1
227	270	27	1
228	270	27	1
231	270	27	1
232	270	27	1
233	270	27	1
236	270	27	1
238	270	27	2
242	270	27	3
243	270	27	1
177	271	27	1
178	271	27	3
182	271	27	1
209	271	27	2
210	271	27	3
230	271	27	2
238	271	27	1
240	271	27	2
248	271	27	1
251	271	27	1
179	272	27	1
204	272	27	1
205	272	27	1
208	272	27	1
225	272	27	1
239	272	27	1
207	273	27	1
211	273	27	1
212	273	27	1
213	273	27	2
217	273	27	1
220	273	27	1
231	273	27	1
238	273	27	1
241	273	27	1
246	273	27	1
177	274	27	1
178	274	27	1
206	274	27	1
212	274	27	1
226	274	27	1
232	274	27	1
235	274	27	1
236	274	27	1
238	274	27	2
252	274	27	1
182	275	27	1
208	275	27	1
217	275	27	2
230	275	27	1
237	275	27	1
242	275	27	1
246	275	27	1
204	276	27	1
206	276	27	1
207	276	27	1
213	276	27	1
220	276	27	1
205	277	27	1
207	277	27	1
211	277	27	1
212	277	27	1
213	277	27	2
220	277	27	1
227	277	27	1
231	277	27	1
236	277	27	2
237	277	27	1
238	277	27	1
239	277	27	1
244	277	27	1
211	278	27	1
220	278	27	1
231	278	27	2
232	278	27	1
233	278	27	1
234	278	27	1
235	278	27	1
246	278	27	1
248	278	27	1
249	278	27	1
231	279	27	2
237	279	27	1
239	279	27	1
240	279	27	1
243	279	27	1
244	279	27	1
251	279	27	1
257	279	27	1
234	280	27	2
238	280	27	1
241	280	27	1
207	281	27	1
209	281	27	1
215	281	27	1
217	281	27	1
234	281	27	1
237	281	27	1
243	281	27	1
245	281	27	1
205	282	27	1
213	282	27	1
217	282	27	1
227	282	27	1
231	282	27	1
236	282	27	1
243	282	27	1
244	282	27	1
247	282	27	1
249	282	27	1
207	283	27	1
208	283	27	1
210	283	27	1
234	283	27	1
236	283	27	1
244	283	27	2
251	283	27	1
254	283	27	1
210	284	27	1
215	284	27	1
237	284	27	1
241	284	27	1
253	284	27	2
256	284	27	1
257	284	27	1
199	285	27	1
209	285	27	1
220	285	27	1
235	285	27	1
237	285	27	1
240	285	27	1
241	285	27	1
245	285	27	1
246	285	27	1
206	286	27	1
214	286	27	1
220	286	27	1
224	286	27	1
226	286	27	1
236	286	27	1
240	286	27	1
244	286	27	2
245	286	27	1
252	286	27	1
258	286	27	3
221	287	27	1
228	287	27	1
232	287	27	2
248	287	27	2
249	287	27	1
251	287	27	2
255	287	27	1
204	288	27	1
214	288	27	1
228	288	27	2
231	288	27	1
237	288	27	1
240	288	27	1
241	288	27	1
242	288	27	1
243	288	27	1
245	288	27	1
247	288	27	2
210	289	27	2
227	289	27	1
231	289	27	2
237	289	27	3
239	289	27	2
240	289	27	1
221	290	27	1
222	290	27	1
224	290	27	1
228	290	27	1
230	290	27	1
237	290	27	2
239	290	27	1
241	290	27	1
252	290	27	2
224	291	27	1
227	291	27	1
228	291	27	1
230	291	27	2
235	291	27	1
237	291	27	2
240	291	27	2
241	291	27	2
246	291	27	1
248	291	27	1
249	291	27	1
250	291	27	1
252	291	27	1
211	292	27	1
223	292	27	1
224	292	27	1
234	292	27	1
244	292	27	1
248	292	27	1
251	292	27	1
229	293	27	1
238	293	27	1
239	293	27	1
240	293	27	1
244	293	27	1
247	293	27	1
249	293	27	1
250	293	27	1
253	293	27	1
256	293	27	1
219	294	27	1
225	294	27	1
237	294	27	1
238	294	27	1
248	294	27	1
250	294	27	1
253	294	27	1
218	295	27	1
219	295	27	1
220	295	27	2
239	295	27	1
241	295	27	2
249	295	27	1
220	296	27	1
221	296	27	2
236	296	27	1
240	296	27	1
241	296	27	1
244	296	27	1
246	296	27	1
249	296	27	2
252	296	27	1
220	297	27	1
237	297	27	1
238	297	27	1
239	297	27	1
242	297	27	1
243	297	27	1
248	297	27	1
249	297	27	1
221	298	27	1
223	298	27	1
226	298	27	1
245	298	27	1
247	298	27	1
223	299	27	1
229	299	27	1
240	299	27	1
241	299	27	1
245	299	27	1
246	299	27	1
252	299	27	2
239	300	27	2
240	300	27	1
244	300	27	1
235	301	27	2
236	301	27	1
237	301	27	1
226	302	27	1
237	302	27	2
245	302	27	1
244	304	27	1
231	264	28	1
232	264	28	2
235	268	28	1
238	268	28	1
236	269	28	1
237	269	28	1
236	270	28	1
250	270	28	1
232	274	28	1
235	274	28	1
249	275	28	1
235	276	28	1
236	277	28	1
237	277	28	1
238	277	28	1
210	279	28	1
248	279	28	1
235	282	28	1
246	282	28	1
249	282	28	1
237	283	28	2
247	283	28	1
249	283	28	1
235	284	28	1
254	284	28	1
240	285	28	1
232	286	28	1
246	286	28	1
248	286	28	1
244	287	28	1
251	287	28	1
244	288	28	1
227	289	28	1
243	289	28	1
249	289	28	2
245	290	28	1
226	291	28	1
237	291	28	1
240	291	28	1
247	291	28	1
240	292	28	1
241	292	28	1
247	292	28	1
240	293	28	2
241	294	28	2
250	294	28	1
240	295	28	1
241	295	28	1
242	295	28	2
240	296	28	1
240	300	28	1
233	256	29	1
235	256	29	2
188	259	29	1
229	259	29	1
234	260	29	1
226	261	29	1
227	262	29	1
231	263	29	1
245	263	29	1
238	264	29	1
233	265	29	1
178	266	29	1
195	266	29	2
197	266	29	1
234	266	29	1
236	266	29	1
193	267	29	1
194	267	29	2
197	267	29	1
234	267	29	1
237	268	29	1
238	268	29	1
232	269	29	1
196	270	29	1
232	270	29	1
234	270	29	1
173	271	29	1
203	271	29	1
233	271	29	3
242	271	29	1
214	272	29	1
232	272	29	1
233	272	29	1
249	272	29	1
206	274	29	1
236	274	29	1
247	274	29	1
250	274	29	1
184	275	29	1
206	275	29	3
237	275	29	1
239	275	29	2
245	275	29	2
205	276	29	1
206	276	29	1
233	276	29	1
234	276	29	1
236	276	29	1
237	276	29	1
236	277	29	2
237	277	29	1
237	278	29	2
238	278	29	1
235	279	29	2
238	279	29	1
245	279	29	1
247	279	29	1
205	280	29	1
236	280	29	1
237	280	29	1
241	280	29	1
245	280	29	1
247	280	29	1
214	281	29	1
234	281	29	1
241	282	29	1
244	282	29	2
245	282	29	1
215	283	29	1
241	283	29	1
245	283	29	1
247	283	29	1
251	283	29	1
238	284	29	1
242	284	29	1
255	284	29	1
219	285	29	2
227	285	29	1
236	285	29	1
238	285	29	1
240	285	29	1
247	285	29	1
254	285	29	2
232	286	29	1
236	286	29	3
243	286	29	1
252	286	29	1
231	287	29	1
233	287	29	1
236	287	29	1
238	287	29	2
240	287	29	1
245	287	29	2
233	288	29	1
236	288	29	2
240	288	29	1
245	288	29	1
249	288	29	1
228	289	29	2
234	289	29	1
235	289	29	1
245	289	29	1
222	290	29	1
224	290	29	1
228	290	29	1
238	290	29	1
240	290	29	1
243	290	29	1
224	291	29	1
226	291	29	1
238	291	29	1
240	291	29	1
241	291	29	1
245	291	29	1
247	291	29	1
250	291	29	1
227	292	29	1
237	292	29	1
241	292	29	1
242	292	29	1
248	292	29	1
250	292	29	1
227	293	29	1
239	293	29	1
236	294	29	1
240	294	29	1
243	294	29	1
248	294	29	1
251	294	29	1
221	295	29	1
223	295	29	1
244	295	29	3
222	296	29	1
249	296	29	1
253	296	29	1
227	297	29	1
239	297	29	1
240	297	29	1
246	297	29	1
221	298	29	1
226	298	29	1
242	298	29	1
247	298	29	2
227	299	29	1
252	299	29	1
225	300	29	1
226	300	29	1
236	300	29	1
224	301	29	1
227	301	29	1
236	301	29	1
235	302	29	1
229	250	30	1
225	251	30	1
215	254	30	1
231	254	30	1
235	254	30	2
227	255	30	1
229	255	30	1
234	255	30	2
237	255	30	1
192	257	30	1
204	257	30	2
228	257	30	1
229	257	30	2
186	258	30	1
227	258	30	1
236	258	30	1
239	258	30	1
189	259	30	1
195	259	30	1
206	259	30	1
219	259	30	2
227	259	30	1
231	259	30	2
237	259	30	1
239	259	30	1
241	259	30	2
184	260	30	2
190	260	30	1
196	260	30	1
206	260	30	1
219	260	30	1
227	260	30	1
232	260	30	1
237	260	30	2
239	260	30	1
186	261	30	1
194	261	30	1
211	261	30	1
215	261	30	1
231	261	30	1
236	261	30	1
239	261	30	1
246	261	30	1
249	261	30	1
221	262	30	2
226	262	30	1
233	262	30	1
240	262	30	1
251	262	30	1
182	263	30	1
185	263	30	1
188	263	30	1
193	263	30	1
215	263	30	1
218	263	30	1
233	263	30	2
242	263	30	1
247	263	30	1
249	263	30	1
186	264	30	2
194	264	30	2
211	264	30	1
222	264	30	1
229	264	30	1
233	264	30	1
246	264	30	1
214	265	30	2
219	265	30	1
232	265	30	1
236	265	30	1
238	265	30	1
246	265	30	1
248	265	30	1
184	266	30	1
188	266	30	1
193	266	30	2
194	266	30	1
197	266	30	1
213	266	30	1
219	266	30	1
243	266	30	1
247	266	30	1
189	267	30	1
192	267	30	1
208	267	30	1
219	267	30	1
228	267	30	1
235	267	30	1
236	267	30	1
248	267	30	2
250	267	30	1
