x	y	z	Signaling by FGFR
181	272	27	1
203	272	27	1
204	272	27	1
213	272	27	1
214	272	27	2
216	272	27	2
220	272	27	1
222	272	27	1
227	272	27	1
228	272	27	1
229	272	27	1
230	272	27	2
234	272	27	1
235	272	27	1
236	272	27	1
237	272	27	1
238	272	27	1
239	272	27	2
241	272	27	1
247	272	27	1
249	272	27	2
250	272	27	1
183	273	27	1
205	273	27	1
207	273	27	1
211	273	27	1
212	273	27	1
213	273	27	1
214	273	27	1
215	273	27	1
220	273	27	3
223	273	27	1
224	273	27	2
227	273	27	2
229	273	27	1
231	273	27	1
234	273	27	1
235	273	27	1
238	273	27	2
240	273	27	3
241	273	27	1
246	273	27	2
247	273	27	1
248	273	27	2
249	273	27	1
251	273	27	2
253	273	27	1
177	274	27	2
178	274	27	2
179	274	27	2
182	274	27	1
206	274	27	1
209	274	27	1
211	274	27	2
212	274	27	1
213	274	27	1
214	274	27	1
216	274	27	1
221	274	27	1
224	274	27	2
227	274	27	3
228	274	27	1
231	274	27	1
235	274	27	1
237	274	27	2
238	274	27	1
239	274	27	2
241	274	27	2
243	274	27	1
247	274	27	1
250	274	27	3
252	274	27	1
254	274	27	2
182	275	27	2
185	275	27	1
213	275	27	1
214	275	27	1
216	275	27	1
217	275	27	2
218	275	27	2
223	275	27	1
228	275	27	1
230	275	27	1
235	275	27	3
237	275	27	3
240	275	27	1
242	275	27	2
244	275	27	1
250	275	27	1
254	275	27	2
177	276	27	1
206	276	27	1
208	276	27	2
209	276	27	1
211	276	27	1
212	276	27	2
213	276	27	3
214	276	27	1
215	276	27	1
217	276	27	1
220	276	27	2
227	276	27	1
230	276	27	1
233	276	27	1
239	276	27	1
240	276	27	3
245	276	27	2
246	276	27	1
250	276	27	1
204	277	27	2
205	277	27	1
207	277	27	1
211	277	27	2
212	277	27	4
215	277	27	1
218	277	27	1
219	277	27	2
220	277	27	3
227	277	27	1
231	277	27	1
235	277	27	1
236	277	27	1
237	277	27	1
238	277	27	1
239	277	27	2
243	277	27	2
244	277	27	2
245	277	27	5
246	277	27	1
248	277	27	2
252	277	27	1
204	278	27	3
206	278	27	3
208	278	27	1
209	278	27	1
210	278	27	2
211	278	27	1
214	278	27	1
219	278	27	1
220	278	27	1
224	278	27	1
227	278	27	1
229	278	27	1
232	278	27	1
233	278	27	1
234	278	27	3
235	278	27	1
238	278	27	1
240	278	27	1
244	278	27	2
246	278	27	3
248	278	27	1
249	278	27	1
250	278	27	2
252	278	27	2
201	279	27	1
207	279	27	1
208	279	27	1
220	279	27	1
231	279	27	1
232	279	27	1
234	279	27	2
235	279	27	1
238	279	27	1
240	279	27	1
241	279	27	1
244	279	27	1
245	279	27	2
247	279	27	1
248	279	27	1
249	279	27	1
250	279	27	2
252	279	27	2
257	279	27	3
204	280	27	1
205	280	27	1
207	280	27	1
208	280	27	2
232	280	27	1
233	280	27	2
236	280	27	2
240	280	27	1
242	280	27	3
245	280	27	2
247	280	27	3
248	280	27	2
249	280	27	1
250	280	27	2
251	280	27	2
218	281	27	2
228	281	27	1
229	281	27	1
230	281	27	4
231	281	27	1
233	281	27	2
234	281	27	1
235	281	27	1
239	281	27	1
244	281	27	2
245	281	27	1
248	281	27	1
251	281	27	3
256	281	27	1
205	282	27	2
206	282	27	1
210	282	27	3
212	282	27	3
213	282	27	2
215	282	27	1
231	282	27	1
233	282	27	1
235	282	27	2
236	282	27	3
237	282	27	1
238	282	27	1
242	282	27	1
243	282	27	3
244	282	27	1
245	282	27	2
246	282	27	2
247	282	27	1
248	282	27	2
250	282	27	2
253	282	27	1
206	283	27	1
207	283	27	1
209	283	27	1
210	283	27	1
215	283	27	1
216	283	27	1
218	283	27	1
221	283	27	1
228	283	27	2
231	283	27	1
234	283	27	1
235	283	27	3
236	283	27	1
238	283	27	2
240	283	27	4
241	283	27	1
242	283	27	2
243	283	27	1
244	283	27	1
247	283	27	1
248	283	27	2
253	283	27	1
254	283	27	1
255	283	27	1
206	284	27	1
207	284	27	2
208	284	27	3
209	284	27	1
212	284	27	2
213	284	27	1
214	284	27	2
215	284	27	1
230	284	27	2
235	284	27	2
236	284	27	1
238	284	27	4
240	284	27	2
241	284	27	1
243	284	27	1
249	284	27	1
252	284	27	1
253	284	27	5
254	284	27	2
255	284	27	1
257	284	27	2
199	285	27	3
200	285	27	1
209	285	27	3
210	285	27	1
211	285	27	3
212	285	27	1
213	285	27	1
215	285	27	2
220	285	27	3
223	285	27	1
224	285	27	1
228	285	27	1
233	285	27	1
234	285	27	2
236	285	27	2
237	285	27	1
239	285	27	1
240	285	27	1
241	285	27	3
242	285	27	2
245	285	27	1
246	285	27	2
247	285	27	2
249	285	27	1
250	285	27	2
253	285	27	1
206	286	27	1
207	286	27	2
211	286	27	1
214	286	27	2
216	286	27	2
218	286	27	1
220	286	27	1
224	286	27	3
226	286	27	1
232	286	27	1
240	286	27	3
244	286	27	2
247	286	27	1
249	286	27	1
251	286	27	4
252	286	27	1
254	286	27	2
255	286	27	1
258	286	27	1
207	287	27	1
210	287	27	1
214	287	27	1
219	287	27	2
227	287	27	1
230	287	27	1
231	287	27	1
234	287	27	1
236	287	27	2
241	287	27	2
242	287	27	1
243	287	27	1
246	287	27	1
248	287	27	2
250	287	27	2
251	287	27	2
252	287	27	1
256	287	27	2
204	288	27	2
207	288	27	4
211	288	27	1
214	288	27	1
222	288	27	1
223	288	27	1
224	288	27	1
225	288	27	1
228	288	27	2
229	288	27	3
231	288	27	1
232	288	27	1
234	288	27	1
237	288	27	2
238	288	27	1
240	288	27	1
242	288	27	1
243	288	27	1
247	288	27	3
250	288	27	4
203	289	27	1
209	289	27	1
210	289	27	1
219	289	27	1
225	289	27	1
227	289	27	1
228	289	27	3
230	289	27	1
232	289	27	1
233	289	27	2
234	289	27	1
237	289	27	2
238	289	27	1
248	289	27	1
253	289	27	3
254	289	27	1
256	289	27	2
225	290	27	1
227	290	27	3
228	290	27	1
231	290	27	2
234	290	27	1
235	290	27	2
237	290	27	4
240	290	27	1
241	290	27	2
243	290	27	1
246	290	27	2
250	290	27	1
251	290	27	1
211	291	27	1
213	291	27	2
221	291	27	1
224	291	27	3
225	291	27	1
227	291	27	1
230	291	27	2
233	291	27	1
235	291	27	3
236	291	27	2
238	291	27	1
239	291	27	2
240	291	27	2
247	291	27	1
249	291	27	2
250	291	27	1
251	291	27	3
257	291	27	1
211	292	27	2
212	292	27	1
219	292	27	2
221	292	27	2
223	292	27	2
224	292	27	1
225	292	27	1
227	292	27	1
228	292	27	1
229	292	27	1
234	292	27	1
235	292	27	4
237	292	27	2
238	292	27	2
241	292	27	1
244	292	27	2
246	292	27	1
248	292	27	2
249	292	27	1
252	292	27	1
253	292	27	2
254	292	27	3
210	293	27	1
217	293	27	1
218	293	27	1
220	293	27	1
221	293	27	1
223	293	27	1
224	293	27	1
225	293	27	1
227	293	27	3
229	293	27	1
238	293	27	2
242	293	27	1
243	293	27	2
244	293	27	2
245	293	27	2
248	293	27	4
249	293	27	1
250	293	27	1
251	293	27	1
253	293	27	2
256	293	27	1
211	294	27	2
224	294	27	1
226	294	27	2
231	294	27	1
235	294	27	1
236	294	27	2
237	294	27	2
244	294	27	2
246	294	27	1
248	294	27	1
250	294	27	1
251	294	27	1
252	294	27	2
255	294	27	1
257	294	27	3
211	295	27	2
220	295	27	2
221	295	27	1
226	295	27	1
239	295	27	1
244	295	27	1
247	295	27	2
248	295	27	1
250	295	27	1
251	295	27	1
211	296	27	2
237	296	27	1
241	296	27	1
245	296	27	2
246	296	27	1
247	296	27	2
249	296	27	1
252	296	27	1
255	296	27	1
225	297	27	2
237	297	27	1
242	297	27	1
243	297	27	2
244	297	27	1
246	297	27	1
252	297	27	1
253	297	27	2
223	298	27	2
224	298	27	2
226	298	27	2
237	298	27	1
239	298	27	1
241	298	27	2
247	298	27	2
226	299	27	2
236	299	27	1
237	299	27	1
239	299	27	3
240	299	27	1
241	299	27	1
247	299	27	1
252	299	27	2
227	300	27	1
228	300	27	3
231	300	27	4
236	300	27	1
237	300	27	1
238	300	27	1
239	300	27	1
241	300	27	2
242	300	27	1
244	300	27	1
247	300	27	1
248	300	27	2
224	301	27	1
234	301	27	1
236	301	27	3
238	301	27	1
241	301	27	2
245	301	27	1
250	301	27	2
226	302	27	3
234	302	27	1
235	302	27	2
236	302	27	1
238	302	27	2
239	302	27	2
244	302	27	1
235	304	27	2
244	304	27	1
235	305	27	1
237	305	27	1
230	262	28	2
232	264	28	1
232	266	28	2
235	266	28	1
231	268	28	2
235	268	28	1
236	269	28	2
237	269	28	1
238	269	28	1
235	270	28	1
236	270	28	3
237	270	28	2
238	270	28	1
250	270	28	2
237	271	28	2
240	271	28	2
206	272	28	2
232	272	28	2
233	272	28	3
234	272	28	1
236	272	28	1
235	273	28	3
214	274	28	1
235	274	28	3
249	275	28	2
233	276	28	1
234	276	28	2
235	276	28	1
237	276	28	1
238	276	28	1
235	277	28	1
236	277	28	1
237	277	28	1
236	278	28	2
210	279	28	1
237	279	28	1
248	279	28	1
235	280	28	1
241	280	28	1
251	280	28	1
208	281	28	2
210	281	28	1
235	281	28	2
252	281	28	1
235	282	28	2
246	282	28	1
247	282	28	1
251	282	28	2
238	283	28	1
247	283	28	1
249	283	28	1
246	284	28	1
248	284	28	2
250	284	28	2
238	285	28	1
244	285	28	2
245	285	28	1
248	285	28	2
232	286	28	1
235	286	28	1
247	286	28	2
248	286	28	2
244	287	28	3
246	287	28	1
251	287	28	1
224	288	28	1
242	288	28	2
244	288	28	3
245	288	28	1
227	289	28	1
231	289	28	2
243	289	28	1
245	289	28	1
246	289	28	1
247	289	28	1
249	289	28	2
253	289	28	2
242	290	28	1
244	290	28	1
245	290	28	1
226	291	28	1
237	291	28	3
241	291	28	1
245	291	28	1
248	291	28	2
222	292	28	1
239	292	28	3
250	292	28	1
240	293	28	2
243	293	28	3
248	293	28	1
249	293	28	1
240	294	28	2
241	294	28	1
242	294	28	2
245	294	28	1
251	294	28	1
241	295	28	1
245	295	28	3
248	295	28	1
240	296	28	1
239	297	28	1
245	297	28	1
240	298	28	2
240	299	28	3
225	300	28	1
229	255	29	1
233	256	29	1
234	256	29	2
182	257	29	1
230	257	29	4
233	258	29	1
234	258	29	2
237	258	29	3
182	259	29	1
188	259	29	1
238	259	29	1
181	260	29	1
182	260	29	3
240	260	29	1
183	261	29	3
187	261	29	2
199	261	29	2
227	261	29	1
229	261	29	1
230	261	29	2
220	262	29	2
227	262	29	1
248	262	29	2
234	263	29	1
245	263	29	2
248	263	29	2
215	264	29	3
216	264	29	1
224	264	29	1
226	264	29	2
231	264	29	2
237	264	29	1
248	264	29	1
215	265	29	1
232	265	29	1
249	265	29	2
178	266	29	1
195	266	29	2
229	266	29	2
230	266	29	4
234	266	29	2
237	266	29	1
245	266	29	1
248	266	29	3
250	266	29	2
192	267	29	1
194	267	29	3
196	267	29	1
214	267	29	3
231	267	29	1
234	267	29	2
235	267	29	1
236	267	29	5
237	267	29	1
249	267	29	2
194	268	29	1
201	268	29	2
217	268	29	1
226	268	29	1
235	268	29	3
236	268	29	1
237	268	29	1
244	268	29	2
250	268	29	1
180	269	29	2
193	269	29	1
196	269	29	1
204	269	29	1
232	269	29	4
234	269	29	1
235	269	29	4
237	269	29	1
240	269	29	1
248	269	29	1
249	269	29	1
178	270	29	3
196	270	29	1
198	270	29	2
200	270	29	3
230	270	29	2
231	270	29	3
235	270	29	3
250	270	29	1
203	271	29	1
215	271	29	2
216	271	29	2
234	271	29	2
235	271	29	1
237	271	29	3
240	271	29	2
241	271	29	2
242	271	29	2
249	271	29	1
251	271	29	2
211	272	29	1
213	272	29	4
214	272	29	1
215	272	29	1
224	272	29	1
233	272	29	1
234	272	29	1
235	272	29	1
238	272	29	1
249	272	29	2
251	272	29	1
182	273	29	2
211	273	29	1
225	273	29	2
236	273	29	1
238	273	29	1
249	273	29	1
180	274	29	1
206	274	29	1
213	274	29	1
214	274	29	2
232	274	29	1
233	274	29	1
234	274	29	1
235	274	29	1
236	274	29	1
238	274	29	2
239	274	29	3
240	274	29	1
247	274	29	1
215	275	29	1
231	275	29	1
232	275	29	1
235	275	29	1
236	275	29	1
239	275	29	1
241	275	29	3
242	275	29	2
245	275	29	1
204	276	29	1
205	276	29	1
206	276	29	2
208	276	29	3
228	276	29	2
233	276	29	1
234	276	29	2
236	276	29	2
238	276	29	1
240	276	29	1
246	276	29	1
252	276	29	1
234	277	29	1
236	277	29	1
239	277	29	2
240	277	29	1
251	277	29	2
204	278	29	2
208	278	29	1
235	278	29	1
237	278	29	1
238	278	29	1
244	278	29	2
245	278	29	1
247	278	29	1
250	278	29	3
206	279	29	1
234	279	29	1
236	279	29	1
245	279	29	1
247	279	29	1
248	279	29	2
249	279	29	1
256	279	29	1
205	280	29	1
233	280	29	1
234	280	29	1
236	280	29	2
250	280	29	1
252	280	29	1
254	280	29	1
256	280	29	1
214	281	29	1
224	281	29	1
232	281	29	1
233	281	29	1
234	281	29	2
238	281	29	1
245	281	29	1
246	281	29	1
247	281	29	1
248	281	29	1
250	281	29	1
251	281	29	2
206	282	29	1
241	282	29	1
242	282	29	1
248	282	29	2
250	282	29	1
215	283	29	1
236	283	29	1
238	283	29	2
241	283	29	1
244	283	29	1
245	283	29	1
246	283	29	1
248	283	29	1
249	283	29	1
250	283	29	1
251	283	29	2
211	284	29	1
222	284	29	1
234	284	29	1
235	284	29	1
236	284	29	4
241	284	29	1
242	284	29	2
243	284	29	1
245	284	29	1
249	284	29	2
252	284	29	1
255	284	29	1
219	285	29	1
226	285	29	1
227	285	29	1
233	285	29	1
234	285	29	1
236	285	29	2
238	285	29	1
239	285	29	2
241	285	29	3
243	285	29	1
244	285	29	2
246	285	29	3
247	285	29	2
250	285	29	1
232	286	29	1
233	286	29	4
234	286	29	4
235	286	29	1
236	286	29	1
240	286	29	3
241	286	29	1
243	286	29	5
248	286	29	1
249	286	29	1
225	287	29	1
226	287	29	2
231	287	29	1
232	287	29	1
236	287	29	1
238	287	29	1
240	287	29	2
241	287	29	1
244	287	29	1
246	287	29	1
247	287	29	1
249	287	29	1
224	288	29	1
225	288	29	4
233	288	29	1
234	288	29	1
235	288	29	3
236	288	29	1
240	288	29	1
242	288	29	2
244	288	29	1
245	288	29	1
246	288	29	6
249	288	29	3
253	288	29	3
224	289	29	2
225	289	29	2
228	289	29	2
234	289	29	1
236	289	29	2
240	289	29	4
244	289	29	1
245	289	29	1
246	289	29	1
247	289	29	1
250	289	29	1
254	289	29	2
226	290	29	2
228	290	29	1
239	290	29	2
240	290	29	2
242	290	29	1
243	290	29	2
246	290	29	1
247	290	29	1
222	291	29	2
225	291	29	3
226	291	29	1
238	291	29	1
239	291	29	2
240	291	29	1
241	291	29	1
247	291	29	1
248	291	29	2
249	291	29	2
251	291	29	2
222	292	29	2
236	292	29	1
238	292	29	2
239	292	29	2
241	292	29	3
242	292	29	1
243	292	29	3
245	292	29	1
247	292	29	1
248	292	29	1
249	292	29	2
257	292	29	1
222	293	29	1
227	293	29	4
237	293	29	1
242	293	29	1
247	293	29	1
248	293	29	1
252	293	29	2
253	293	29	1
221	294	29	3
224	294	29	1
238	294	29	3
240	294	29	3
241	294	29	1
243	294	29	1
244	294	29	2
245	294	29	2
246	294	29	1
248	294	29	1
251	294	29	1
220	295	29	1
223	295	29	1
240	295	29	1
241	295	29	1
243	295	29	1
244	295	29	1
247	295	29	2
223	296	29	2
239	296	29	3
249	296	29	1
252	296	29	1
253	296	29	1
255	296	29	4
241	297	29	2
242	297	29	1
243	297	29	1
245	297	29	2
247	297	29	1
248	297	29	1
215	298	29	1
221	298	29	1
237	298	29	2
242	298	29	1
245	298	29	1
247	298	29	1
249	298	29	5
221	299	29	4
222	299	29	2
226	299	29	1
227	299	29	1
237	299	29	1
239	299	29	2
240	299	29	1
241	299	29	2
221	300	29	2
227	300	29	2
235	300	29	1
236	300	29	1
237	300	29	1
239	300	29	1
221	301	29	1
223	301	29	2
225	301	29	1
227	301	29	1
230	301	29	2
241	301	29	2
247	301	29	2
224	302	29	1
236	305	29	2
215	252	30	1
228	253	30	1
231	253	30	3
232	253	30	2
237	253	30	1
215	254	30	1
231	254	30	1
233	254	30	1
235	254	30	4
191	255	30	2
215	255	30	1
227	255	30	1
230	255	30	2
236	255	30	1
204	256	30	2
229	256	30	2
231	256	30	1
235	256	30	1
190	257	30	2
204	257	30	1
209	257	30	3
228	257	30	2
229	257	30	3
230	257	30	1
236	257	30	3
237	257	30	1
239	257	30	1
240	257	30	2
176	258	30	2
181	258	30	1
186	258	30	2
226	258	30	3
227	258	30	1
229	258	30	2
233	258	30	1
236	258	30	1
237	258	30	1
238	258	30	1
175	259	30	1
183	259	30	1
195	259	30	1
205	259	30	2
214	259	30	2
216	259	30	2
219	259	30	1
220	259	30	1
222	259	30	1
224	259	30	3
227	259	30	2
229	259	30	2
231	259	30	1
232	259	30	1
235	259	30	2
237	259	30	3
238	259	30	1
184	260	30	2
186	260	30	2
190	260	30	1
197	260	30	2
206	260	30	2
212	260	30	1
217	260	30	2
219	260	30	3
225	260	30	2
231	260	30	1
232	260	30	4
235	260	30	3
237	260	30	1
238	260	30	2
239	260	30	3
240	260	30	2
245	260	30	2
187	261	30	2
188	261	30	1
194	261	30	1
196	261	30	1
212	261	30	1
215	261	30	2
216	261	30	1
217	261	30	1
219	261	30	1
224	261	30	3
227	261	30	1
230	261	30	4
232	261	30	2
238	261	30	1
239	261	30	2
241	261	30	1
244	261	30	1
246	261	30	3
187	262	30	2
193	262	30	2
194	262	30	1
206	262	30	1
219	262	30	1
220	262	30	1
221	262	30	1
