x	y	z	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
244	284	21	1
240	286	21	1
237	278	24	2
239	278	24	2
241	279	24	1
245	284	24	1
246	284	24	1
248	286	24	1
245	287	24	1
245	288	24	1
244	289	24	1
246	289	24	3
244	291	24	1
236	268	25	2
235	270	25	1
238	270	25	1
234	271	25	1
235	273	25	1
234	274	25	1
235	274	25	1
237	275	25	1
232.5	276.5	25.5	1
234	276	25	1
237	276	25	1
232	277	25	2
234	277	25	1
236	277	25	1
232	278	25	2
234	278	25	1
237	278	25	1
238	278	25	1
231	279	25	1
236	279	25	2
247	279	25	1
234	280	25	1
236	280	25	1
231	281	25	1
237	281	25	1
249	281	25	2
231	282	25	1
235	282	25	1
238	282	25	3
247	282	25	1
249	282	25	1
233	283	25	1
239	283	25	1
240	283	25	1
241	283	25	1
243	283	25	1
245	283	25	1
249	283	25	1
233	284	25	2
234	284	25	1
236	284	25	1
243	284	25	1
245	284	25	3
247	284	25	1
252	284	25	1
236	285	25	1
237	285	25	2
238	285	25	5
240	285	25	1
241	285	25	1
243	285	25	2
250	285	25	1
232	286	25	2
240	286	25	3
241	286	25	1
237	287	25	1
242	287	25	2
246	287	25	1
224	288	25	1
236	288	25	2
251	288	25	2
226	289	25	1
236	289	25	2
238	289	25	2
252	289	25	1
225	290	25	1
236	290	25	1
249	290	25	1
250	290	25	2
226	291	25	1
234	291	25	1
236	291	25	1
238	291	25	1
241	291	25	1
245	291	25	1
246	291	25	2
250	291	25	1
227	292	25	1
237	292	25	1
238	292	25	1
242	292	25	1
250	292	25	1
239	293	25	1
240	293	25	1
243	293	25	1
247	293	25	2
241	294	25	1
242	294	25	1
246	294	25	2
234	295	25	1
241	295	25	1
227	300	25	1
239	302	25	2
183	258	26	1
182	260	26	1
229	262	26	1
230	264	26	1
232	265	26	2
235	267	26	1
235	268	26	1
236	268	26	1
233	270	26	1
240	270	26	1
235	271	26	1
215	272	26	1
217	272	26	1
230	272	26	1
232	272	26	1
234	272	26	2
239	272	26	1
231	273	26	1
236	273	26	1
237	273	26	1
239	273	26	1
248	273	26	1
233	274	26	1
238	274	26	1
235	275	26	2
245	275	26	1
248	275	26	1
215	276	26	1
235	276	26	1
237	276	26	3
239	276	26	1
210	277	26	1
213	277	26	1
235	277	26	1
231	278	26	2
232	278	26	1
237	278	26	1
239	278	26	1
249	278	26	1
252	278	26	1
237	279	26	2
240	279	26	1
248	279	26	1
234	280	26	1
238	280	26	1
247	280	26	3
231	281	26	1
240	281	26	2
246	281	26	1
231	282	26	4
233	282	26	1
234	282	26	1
246	282	26	1
249	282	26	1
254	282	26	2
227	283	26	1
234	283	26	1
245	283	26	2
251	283	26	1
214	284	26	1
215	284	26	2
233	284	26	1
237	284	26	1
241	284	26	2
242	284	26	1
245	284	26	1
212	285	26	1
214	285	26	1
232	285	26	1
234	285	26	2
235	285	26	2
237	285	26	1
240	285	26	1
244	285	26	1
252	285	26	1
254	285	26	1
233	286	26	1
246	286	26	1
223	287	26	1
232	287	26	1
239	287	26	1
250	287	26	1
232	288	26	1
235	288	26	1
240	288	26	1
245	288	26	1
249	288	26	1
223	289	26	1
233	289	26	1
235	289	26	3
238	289	26	1
242	289	26	2
250	289	26	1
226	291	26	4
229	291	26	1
235	291	26	1
239	291	26	1
246	291	26	1
226	292	26	2
227	292	26	2
244	292	26	1
245	292	26	1
246	292	26	1
247	292	26	1
236	293	26	1
244	293	26	1
253	293	26	1
220	294	26	1
239	294	26	1
240	294	26	1
249	294	26	1
234	295	26	1
239	295	26	2
242	295	26	1
243	295	26	1
235	296	26	1
240	296	26	1
239	297	26	1
246	297	26	1
235	298	26	1
236	299	26	1
225	300	26	2
227	300	26	2
236	300	26	1
184	256	27	1
181	257	27	1
183	257	27	1
228	259	27	1
231	259	27	1
232	259	27	2
185	260	27	1
186	260	27	1
234	260	27	1
237	260	27	1
181	261	27	1
182	261	27	1
185	261	27	1
187	261	27	2
228	261	27	1
230	261	27	1
239	261	27	1
182	262	27	1
184	262	27	1
229	262	27	1
236	262	27	1
179	263	27	2
182	263	27	1
185	263	27	1
215	263	27	1
229	263	27	1
230	263	27	1
232	263	27	1
234	263	27	2
236	263	27	1
175	264	27	1
180	264	27	2
209	264	27	2
224	264	27	1
225	264	27	1
228	264	27	1
230	264	27	1
231	264	27	1
232	264	27	1
238	264	27	2
240	264	27	1
248	264	27	1
189	265	27	2
212	265	27	1
230	265	27	1
231	265	27	1
238	265	27	1
239	265	27	3
180	266	27	1
215	266	27	1
217	266	27	1
227	266	27	1
229	266	27	1
233	266	27	1
226	267	27	1
228	267	27	1
229	267	27	1
