x	y	z	Calmodulin induced events
238	300	31	1
246	300	31	1
249	300	31	1
224	301	31	3
226	301	31	1
227	301	31	1
228	301	31	1
233	301	31	1
247	301	31	1
248	301	31	1
224	302	31	1
232	302	31	1
239	302	31	1
240	302	31	1
244	302	31	1
232	303	31	1
236	303	31	1
237	304	31	1
238	304	31	1
244	304	31	2
238	305	31	1
240	305	31	1
225	308	31	1
215	251	32	1
227	251	32	1
228	251	32	1
231	252	32	1
214	253	32	2
215	253	32	1
217	253	32	1
223	253	32	1
225	253	32	1
240	253	32	2
216	254	32	1
225	254	32	1
226	254	32	2
232	254	32	1
236	254	32	1
238	254	32	1
214	255	32	1
215	255	32	1
223	255	32	1
226	255	32	2
230	255	32	1
177	256	32	1
219	256	32	1
232	256	32	1
234	256	32	1
236	256	32	2
240	256	32	1
192	257	32	1
202	257	32	1
210	257	32	1
218	257	32	1
230	257	32	1
240	257	32	1
182	258	32	2
190	258	32	1
193	258	32	2
207	258	32	1
214	258	32	1
220	258	32	1
235	258	32	2
239	258	32	1
191	259	32	1
201	259	32	2
215	259	32	1
219	259	32	1
237	259	32	1
240	259	32	1
242	259	32	1
244	259	32	1
203	260	32	2
211	260	32	2
220	260	32	1
228	260	32	1
242	260	32	1
243	260	32	1
245	260	32	1
248	260	32	1
212	261	32	1
220	261	32	1
229	261	32	1
231	261	32	1
239	261	32	1
186	262	32	1
189	262	32	1
194	262	32	1
197	262	32	1
198	262	32	1
210	262	32	1
217	262	32	1
225	262	32	2
227	262	32	1
235	262	32	1
236	262	32	1
246	262	32	1
250	262	32	1
184	263	32	1
211	263	32	1
226	263	32	1
247	263	32	1
251	263	32	1
186	264	32	1
189	264	32	1
194	264	32	1
199	264	32	2
202	264	32	1
212	264	32	1
215	264	32	2
217	264	32	1
223	264	32	1
230	264	32	1
231	264	32	1
232	264	32	1
238	264	32	1
239	264	32	1
248	264	32	1
196	265	32	1
203	265	32	1
213	265	32	1
215	265	32	4
220	265	32	1
230	265	32	1
233	265	32	1
234	265	32	2
235	265	32	1
238	265	32	1
239	265	32	1
243	265	32	1
244	265	32	1
249	265	32	1
251	265	32	1
184	266	32	1
196	266	32	1
197	266	32	1
213	266	32	1
214	266	32	1
216	266	32	2
222	266	32	1
238	266	32	1
239	266	32	1
241	266	32	1
243	266	32	1
251	266	32	2
182	267	32	2
194	267	32	1
211	267	32	1
214	267	32	1
216	267	32	1
219	267	32	1
221	267	32	1
225	267	32	1
231	267	32	1
240	267	32	1
186	268	32	1
198	268	32	2
206	268	32	1
207	268	32	1
211	268	32	1
215	268	32	1
216	268	32	1
225	268	32	1
246	268	32	1
175	269	32	1
177	269	32	2
180	269	32	1
182	269	32	1
187	269	32	1
191	269	32	1
194	269	32	1
211	269	32	1
213	269	32	3
232	269	32	1
240	269	32	1
243	269	32	1
184	270	32	1
196	270	32	2
197	270	32	1
212	270	32	2
216	270	32	1
231	270	32	2
241	270	32	2
243	270	32	1
244	270	32	1
247	270	32	1
174	271	32	1
175	271	32	1
184	271	32	1
186	271	32	1
196	271	32	2
207	271	32	1
208	271	32	1
210	271	32	1
211	271	32	1
213	271	32	1
237	271	32	1
243	271	32	2
246	271	32	1
247	271	32	1
249	271	32	1
175	272	32	1
181	272	32	1
185	272	32	1
201	272	32	1
205	272	32	1
206	272	32	1
209	272	32	1
210	272	32	1
225	272	32	2
228	272	32	1
230	272	32	1
234	272	32	1
246	272	32	1
248	272	32	2
250	272	32	2
255	272	32	1
181	273	32	2
204	273	32	1
205	273	32	2
206	273	32	1
214	273	32	1
215	273	32	1
238	273	32	2
240	273	32	1
249	273	32	1
250	273	32	1
215	274	32	1
235	274	32	1
236	274	32	1
240	274	32	1
241	274	32	1
244	274	32	1
183	275	32	1
210	275	32	1
216	275	32	1
236	275	32	1
175	276	32	1
215	276	32	1
233	276	32	1
236	276	32	1
242	276	32	1
249	276	32	1
205	277	32	2
210	277	32	1
244	277	32	1
247	277	32	1
250	277	32	1
184	278	32	2
203	278	32	1
224	278	32	1
240	278	32	1
243	278	32	2
244	278	32	1
175	279	32	1
177	279	32	1
207	279	32	1
241	279	32	1
247	279	32	1
250	279	32	1
175	280	32	1
177	280	32	1
180	280	32	1
205	280	32	1
219	280	32	1
221	280	32	2
223	280	32	1
240	280	32	1
245	280	32	1
249	280	32	1
181	281	32	1
186	281	32	1
210	281	32	1
219	281	32	1
222	281	32	1
232	281	32	1
244	281	32	1
250	281	32	1
251	281	32	1
252	281	32	1
175	282	32	1
178	282	32	1
188	282	32	1
218	282	32	1
223	282	32	1
226	282	32	1
231	282	32	1
246	282	32	1
248	282	32	2
253	282	32	1
256	282	32	1
173	283	32	1
178	283	32	1
179	283	32	1
183	283	32	1
222	283	32	1
240	283	32	1
248	283	32	1
251	283	32	1
176	284	32	2
205	284	32	1
208	284	32	1
226	284	32	1
234	284	32	1
237	284	32	2
241	284	32	1
244	284	32	1
251	284	32	2
178	285	32	1
185	285	32	1
215	285	32	2
231	285	32	1
235	285	32	1
238	285	32	1
246	285	32	1
253	285	32	1
174	286	32	1
177	286	32	1
218	286	32	2
231	286	32	1
242	286	32	1
246	286	32	1
247	286	32	1
248	286	32	1
250	286	32	1
177	287	32	1
207	287	32	1
208	287	32	2
221	287	32	1
223	287	32	1
228	287	32	1
230	287	32	1
242	287	32	1
245	287	32	1
248	287	32	1
203	288	32	1
221	288	32	2
235	288	32	1
240	288	32	1
